algorithm,task,model_name,model_dir,episodes,success_rate_percent,collision_rate_percent,mean_return,mean_steps,mean_path_length,evaluation_csv,status
SAC,free_random,best_model,experiments\sac\free_random,100,97.0,0.0,386.126,104.92,9.879,experiments\sac\free_random\evaluation_free_random_best_model.csv,existing
SAC,one_obstacle_fixed,best_model,experiments\sac\one_obstacle_fixed,100,100.0,0.0,418.445,261.0,16.301,experiments\sac\one_obstacle_fixed\evaluation_one_obstacle_fixed_best_model.csv,existing
SAC,one_obstacle_jitter_r4,best_model,experiments\sac\one_obstacle_jitter_r4,100,99.0,1.0,413.009,109.75,14.801,experiments\sac\one_obstacle_jitter_r4\evaluation_one_obstacle_jitter_r4_best_model.csv,existing
SAC,one_obstacle_random,best_model,experiments\sac\one_obstacle_random,100,94.0,3.0,371.131,96.61,10.169,experiments\sac\one_obstacle_random\evaluation_one_obstacle_random_best_model.csv,existing
SAC,three_obstacles_random,best_model,experiments\sac\three_obstacles_random,100,93.0,5.0,363.116,94.55,10.322,experiments\sac\three_obstacles_random\evaluation_three_obstacles_random_best_model.csv,existing
SAC,three_obstacles_random,best_model,experiments\sac\three_obstacles_random_extra,100,92.0,3.0,358.444,112.38,10.07,experiments\sac\three_obstacles_random_extra\evaluation_three_obstacles_random_best_model.csv,existing
SAC,three_obstacles_wind,best_model,experiments\sac\three_obstacles_wind_from_random,100,85.0,7.0,327.915,137.69,10.079,experiments\sac\three_obstacles_wind_from_random\evaluation_three_obstacles_wind_best_model.csv,existing
SAC,two_obstacles_random,best_model,experiments\sac\two_obstacles_random,100,96.0,2.0,377.928,96.68,10.848,experiments\sac\two_obstacles_random\evaluation_two_obstacles_random_best_model.csv,existing
SB3 PPO,free_random,best_model,experiments\sb3_ppo\free_random,100,93.0,4.0,365.492,83.09,10.522,experiments\sb3_ppo\free_random\evaluation_free_random_best_model.csv,existing
SB3 PPO,one_obstacle_fixed,best_model,experiments\sb3_ppo\one_obstacle_fixed,100,100.0,0.0,417.681,119.0,16.676,experiments\sb3_ppo\one_obstacle_fixed\evaluation_one_obstacle_fixed_best_model.csv,existing
SB3 PPO,one_obstacle_jitter_r2,best_model,experiments\sb3_ppo\one_obstacle_jitter_r2,200,99.5,0.5,415.547,94.72,15.908,experiments\sb3_ppo\one_obstacle_jitter_r2\evaluation_one_obstacle_jitter_r2_best_model.csv,existing
SB3 PPO,one_obstacle_jitter_r4,best_model,experiments\sb3_ppo\one_obstacle_jitter_r4,200,33.5,31.5,132.066,256.13,27.6,experiments\sb3_ppo\one_obstacle_jitter_r4\evaluation_one_obstacle_jitter_r4_best_model.csv,existing
SB3 PPO,one_obstacle_jitter_r6,best_model,experiments\sb3_ppo\one_obstacle_jitter_r6,100,77.0,19.0,307.117,119.41,18.068,experiments\sb3_ppo\one_obstacle_jitter_r6\evaluation_one_obstacle_jitter_r6_best_model.csv,existing
SB3 PPO,one_obstacle_jitter_r6,best_model,experiments\sb3_ppo\one_obstacle_jitter_r6_safe_tuned,200,75.5,24.5,295.256,103.345,16.25,experiments\sb3_ppo\one_obstacle_jitter_r6_safe_tuned\evaluation_one_obstacle_jitter_r6_best_model.csv,existing
SB3 PPO,one_obstacle_random,best_model,experiments\sb3_ppo\one_obstacle_random_from_free_random,200,71.5,19.0,265.4,111.745,9.681,experiments\sb3_ppo\one_obstacle_random_from_free_random\evaluation_one_obstacle_random_best_model.csv,existing
SB3 PPO,one_obstacle_random,best_model,experiments\sb3_ppo\one_obstacle_random_from_free_random_safe2,200,72.0,26.0,257.851,69.46,8.589,experiments\sb3_ppo\one_obstacle_random_from_free_random_safe2\evaluation_one_obstacle_random_best_model.csv,evaluated
SB3 PPO,one_obstacle_random,best_model,experiments\sb3_ppo\one_obstacle_random_from_free_random_safe_tuned,200,72.0,21.5,263.081,95.17,9.171,experiments\sb3_ppo\one_obstacle_random_from_free_random_safe_tuned\evaluation_one_obstacle_random_best_model.csv,existing
SB3 PPO,three_obstacles_random,best_model,experiments\sb3_ppo\three_obstacles_random_from_two_obstacles,200,21.5,66.0,14.6,116.585,6.868,experiments\sb3_ppo\three_obstacles_random_from_two_obstacles\evaluation_three_obstacles_random_best_model.csv,evaluated
SB3 PPO,two_obstacles_random,best_model,experiments\sb3_ppo\two_obstacles_random_from_one_obstacle,200,37.0,50.0,93.908,128.81,8.003,experiments\sb3_ppo\two_obstacles_random_from_one_obstacle\evaluation_two_obstacles_random_best_model.csv,existing
Custom PPO,free_fixed,best_model,experiments\custom_ppo\free_fixed,100,100.0,0.0,428.399,125.0,15.614,experiments\custom_ppo\free_fixed\evaluation_free_fixed_best_model.csv,existing
Custom PPO,free_jitter_r2,best_model,experiments\custom_ppo\free_jitter_r2,100,99.0,1.0,422.92,100.0,15.63,experiments\custom_ppo\free_jitter_r2\evaluation_free_jitter_r2_best_model.csv,existing
Custom PPO,free_jitter_r5,best_model,experiments\custom_ppo\free_jitter_r5,100,95.0,5.0,396.026,93.77,15.458,experiments\custom_ppo\free_jitter_r5\evaluation_free_jitter_r5_best_model.csv,existing
Custom PPO,free_jitter_r8,best_model,experiments\custom_ppo\free_jitter_r8,100,83.0,12.0,340.816,106.42,15.883,experiments\custom_ppo\free_jitter_r8\evaluation_free_jitter_r8_best_model.csv,existing
Custom PPO,free_random,best_model,experiments\custom_ppo\free_random,100,48.0,41.0,141.93,140.4,18.218,experiments\custom_ppo\free_random\evaluation_free_random_best_model.csv,existing
Custom PPO,free_random,best_model,experiments\custom_ppo\free_random_from_r5,100,91.0,7.0,351.116,96.82,12.989,experiments\custom_ppo\free_random_from_r5\evaluation_free_random_best_model.csv,existing
Custom PPO,one_obstacle_fixed,best_model,experiments\custom_ppo\one_obstacle_fixed,100,100.0,0.0,418.348,133.0,18.704,experiments\custom_ppo\one_obstacle_fixed\evaluation_one_obstacle_fixed_best_model.csv,existing
Custom PPO,one_obstacle_jitter_r2,best_model,experiments\custom_ppo\one_obstacle_jitter_r2,100,100.0,0.0,416.773,135.6,20.197,experiments\custom_ppo\one_obstacle_jitter_r2\evaluation_one_obstacle_jitter_r2_best_model.csv,existing
Custom PPO,one_obstacle_jitter_r4,best_model,experiments\custom_ppo\one_obstacle_jitter_r4,100,77.0,22.0,298.775,126.01,17.643,experiments\custom_ppo\one_obstacle_jitter_r4\evaluation_one_obstacle_jitter_r4_best_model.csv,existing
Custom PPO,one_obstacle_jitter_r4,best_model,experiments\custom_ppo\one_obstacle_jitter_r4_safe,100,82.0,18.0,323.668,94.29,15.046,experiments\custom_ppo\one_obstacle_jitter_r4_safe\evaluation_one_obstacle_jitter_r4_best_model.csv,existing
Custom PPO,one_obstacle_jitter_r6,best_model,experiments\custom_ppo\one_obstacle_jitter_r6,100,77.0,20.0,299.951,117.71,15.951,experiments\custom_ppo\one_obstacle_jitter_r6\evaluation_one_obstacle_jitter_r6_best_model.csv,existing
Custom PPO,one_obstacle_jitter_r6,best_model,experiments\custom_ppo\one_obstacle_jitter_r6_safe_tuned,100,86.0,13.0,344.017,114.58,16.591,experiments\custom_ppo\one_obstacle_jitter_r6_safe_tuned\evaluation_one_obstacle_jitter_r6_best_model.csv,existing
Custom PPO,one_obstacle_random,best_model,experiments\custom_ppo\one_obstacle_random_final_ent001,200,62.0,37.0,203.377,85.01,10.917,experiments\custom_ppo\one_obstacle_random_final_ent001\evaluation_one_obstacle_random_best_model.csv,evaluated
