update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,265.1,-77.63734174865404,0.0,0.5789473684210527,210.31578947368422,-0.8690363262867314,2.220446049250313e-16,0.0,0.0,300.0,8.22632122039795,45.12396517594655,-0.00882322567049414,90.268523923556,1.4735444322228433,0.00871185827612256,0.107080078125,0.5097358226776123,0.0
2,8192,255.5,-73.54225869181516,0.0,0.6176470588235294,234.94117647058823,52.80539534090716,1.4210854715202004e-14,0.0,0.0,300.0,12.500615119934082,28.40916925271352,-0.007427151427449038,56.83617497086525,1.4911681483189265,0.009506901623293136,0.10807291666666667,0.5114221572875977,0.0
3,12288,248.2,-57.05475510704133,0.0,0.56,244.6,51.97809516916212,7.105427357601002e-15,0.0,0.0,300.0,19.833852767944336,9.197903014471134,-0.007490164716728032,18.413753084341685,1.4833689759174982,0.010399401511919374,0.138623046875,0.5054002404212952,0.0
4,16384,261.8,-38.81989273057764,0.0,0.52,265.78,-62.068494626886185,1.4210854715202004e-14,0.0,1.0,220.0,17.84600830078125,6.960006708403428,-0.004684779579595973,13.93228984773159,1.4534597078959146,0.010040729664615356,0.13570963541666667,0.4960370659828186,0.0
5,20480,278.5,-18.509001818953053,0.04,0.62,251.34,428.1867581615354,5.684341886080802e-14,1.0,0.0,176.0,15.779441833496094,156.17319678465526,-0.0034646121930563822,312.3561895847321,1.4318816274404527,0.003987090394366533,0.042724609375,0.4942185580730438,0.0
6,24576,295.0,16.931499763124428,0.14,0.72,225.56,428.3433074132777,5.684341886080802e-14,1.0,0.0,159.0,15.57888126373291,220.78901483217876,-0.002246925599562625,441.5853906949361,1.4330303778251012,0.002882912360170546,0.024934895833333335,0.4967379570007324,0.0
7,28672,308.2,34.390599837536705,0.2,0.78,188.36,-67.0296568724694,2.842170943040401e-14,0.0,1.0,164.0,17.85823631286621,224.1507374604543,-0.002749783481704071,448.3098443667094,1.435533229013284,0.0030752606166061015,0.024723307291666666,0.49466216564178467,0.0
8,32768,316.3,52.18260936486139,0.24,0.76,169.7,-66.99522235759349,1.4210854715202004e-14,0.0,1.0,155.0,17.83978843688965,262.49465616544086,-0.0037148118756401044,524.9996161460876,1.4383621176083883,0.0032044216893458116,0.027962239583333333,0.49875909090042114,0.0
9,36864,317.4,31.75288657730451,0.2,0.8,159.54,427.62128088558467,1.7053025658242404e-13,1.0,0.0,139.0,15.844117164611816,110.79416922728221,-0.004356356322144469,221.59994524319967,1.4461298684279125,0.00558048594975844,0.06883138020833333,0.4997350871562958,0.0
10,40960,319.6,91.65196543688995,0.32,0.68,150.84,427.9420856196508,1.1368683772161603e-13,1.0,0.0,140.0,15.633228302001953,360.9224173863729,-0.001954356189041088,721.8516686757406,1.4520139207442602,0.0018345306200596193,0.012825520833333333,0.5004945993423462,0.0
