episode,return,success,collision,steps,path_length
0,-124.22824653367344,0,1,100,16.464473724365234
1,399.58307215106095,1,0,82,12.522114753723145
2,396.58839195781945,1,0,74,9.87309741973877
3,415.85967457626555,1,0,70,10.114421844482422
4,454.35845736714987,1,0,104,18.070850372314453
5,409.27388378958403,1,0,79,11.922900199890137
6,452.48407000828183,1,0,127,22.670846939086914
7,424.2909250077965,1,0,92,15.670853614807129
8,426.94728732958436,1,0,95,15.97049331665039
9,448.46574786947826,1,0,112,18.85293960571289
10,378.07205379755794,1,0,48,5.939357757568359
11,397.12711333288456,1,0,64,10.020954132080078
12,434.87107241583954,1,0,116,20.470844268798828
13,-100.94085214840858,0,1,124,21.598989486694336
14,400.2070027096569,1,0,66,10.470849990844727
15,423.2115566393337,1,0,97,16.358991622924805
16,69.93728437927564,0,0,350,26.708961486816406
17,416.42128392123215,1,0,95,16.2687931060791
18,57.830461517923816,0,0,350,36.23314666748047
19,463.9613735081266,1,0,133,23.870853424072266
20,452.2655368779032,1,0,107,18.64984893798828
21,-120.9345929732746,0,1,95,14.621567726135254
22,411.5810315571234,1,0,98,16.052366256713867
23,396.74377836862203,1,0,67,9.510407447814941
24,383.99444287815356,1,0,67,10.565178871154785
25,411.82999650553927,1,0,94,15.618943214416504
26,438.73408226322925,1,0,90,15.270856857299805
27,456.89333181592616,1,0,123,21.8708553314209
28,428.60065641288907,1,0,109,19.070859909057617
29,-112.22981001088826,0,1,121,21.263751983642578
30,-147.39069764038197,0,1,76,12.439859390258789
31,409.21047021591664,1,0,77,12.147507667541504
32,441.28620740610154,1,0,94,15.597025871276855
33,62.84204837871151,0,0,350,30.881336212158203
34,458.66818162296505,1,0,111,19.13163948059082
35,384.83748379988606,1,0,68,10.570937156677246
36,396.3285646563321,1,0,67,9.899513244628906
37,411.7043939736634,1,0,82,12.985633850097656
38,421.14588390185054,1,0,85,14.269424438476562
39,457.61525731639085,1,0,123,21.870847702026367
40,417.0622956467202,1,0,99,17.068769454956055
41,441.56710693715314,1,0,97,15.542973518371582
42,430.28975144086485,1,0,113,19.870853424072266
43,-71.72197532550544,0,1,92,15.371973037719727
44,458.2468678081147,1,0,116,20.468929290771484
45,461.51971360652897,1,0,130,23.270856857299805
46,427.1113737541361,1,0,97,15.500472068786621
47,398.48643339858404,1,0,82,12.504199981689453
48,461.9392013111368,1,0,114,20.07085418701172
49,460.03335731129266,1,0,123,21.870853424072266
50,432.8859545201862,1,0,87,13.603068351745605
51,391.9205506205725,1,0,81,13.117525100708008
52,402.95646585467455,1,0,75,10.763524055480957
53,-57.39602562379152,0,1,92,15.670854568481445
54,425.93106570187734,1,0,108,18.867219924926758
55,-125.14345717814825,0,1,106,18.292810440063477
56,420.2232477823998,1,0,110,17.253610610961914
57,432.07913195449055,1,0,101,17.470680236816406
58,399.9436030552387,1,0,70,10.132535934448242
59,448.8641454615014,1,0,103,17.003177642822266
60,419.90992159299947,1,0,112,17.212980270385742
61,447.5811293838772,1,0,113,19.58108901977539
62,440.9994913743751,1,0,94,15.095922470092773
63,420.3754849749512,1,0,101,16.984682083129883
64,452.018563838763,1,0,106,17.428468704223633
65,448.2362309321087,1,0,112,18.605361938476562
66,443.2219430569437,1,0,109,19.070846557617188
67,428.4632436256321,1,0,114,20.070850372314453
68,25.073740816319855,0,0,350,14.898988723754883
69,35.444513197960305,0,0,350,16.01337242126465
70,420.79790969961016,1,0,106,17.477888107299805
71,390.7993341952338,1,0,56,8.415572166442871
72,445.5673755864709,1,0,117,20.67085075378418
73,406.7616679364758,1,0,82,13.670856475830078
74,388.5119802663533,1,0,71,11.288511276245117
75,376.7876431831717,1,0,42,5.619089603424072
76,396.4372255744346,1,0,65,9.404559135437012
77,396.2051743760742,1,0,65,9.57455825805664
78,387.1020633433908,1,0,57,7.685298442840576
79,448.35158885530825,1,0,115,20.264156341552734
80,-151.2560700554157,0,1,138,15.020423889160156
81,433.27117346365634,1,0,112,19.670852661132812
82,-84.18909920346847,0,1,76,11.549342155456543
83,387.03359400009634,1,0,77,11.50918197631836
84,446.3906838929037,1,0,113,19.38974952697754
85,383.78434895612656,1,0,69,10.264439582824707
86,454.31146471939394,1,0,121,21.228721618652344
87,402.82404374998805,1,0,73,10.776199340820312
88,417.0340105447086,1,0,81,13.469489097595215
89,430.6386660585105,1,0,98,16.8708553314209
90,412.11285275483874,1,0,79,13.025997161865234
91,426.85838108697334,1,0,76,12.470852851867676
92,-55.16817784031051,0,1,94,15.988622665405273
93,382.5036802586317,1,0,52,7.093080520629883
94,394.2629859584995,1,0,76,11.435920715332031
95,384.5861291427648,1,0,66,9.396921157836914
96,427.17075024363,1,0,104,18.070852279663086
97,-56.59940767032046,0,1,94,16.07085609436035
98,434.6087923716168,1,0,115,20.270851135253906
99,447.9607665436964,1,0,113,19.615631103515625
