update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,373.6,331.1522344371596,0.78125,0.125,126.96875,293.2200381250044,232.97101108932983,0.7333333333333333,0.26666666666666666,115.66666666666667,18.611714140574136,136.63436848033558,0.004525628542019562,273.262147175182,1.2293102936311202,0.008593975407579406,0.10511363636363637,0.46263083815574646,1.0
2,8192,365.6,253.72811174761733,0.64,0.3,125.7,255.43061846119448,243.4274393204966,0.6666666666666666,0.3333333333333333,113.5,18.4901642481486,169.55100592154045,-0.003327393414521659,339.11111116762515,1.2233182456758287,0.011152399902197498,0.14305555555555555,0.46182459592819214,1.0
3,12288,370.8,241.01319300079874,0.64,0.34,114.1,344.9717141373904,200.95950712707273,0.8333333333333334,0.16666666666666666,114.26666666666667,18.55879584948222,224.33862172989618,0.0011536379183997355,448.6773806072417,1.2248514621030717,0.00926659857560437,0.1144438244047619,0.4618186950683594,1.0
4,16384,367.2,284.6829742147771,0.72,0.26,110.98,244.77465903389168,242.96518795212182,0.6333333333333333,0.3,125.56666666666666,18.86322660446167,224.87021349789052,0.0019379741815703639,449.738996012827,1.2244830948583196,0.009960334147640576,0.11692415730337079,0.4626399576663971,1.0
5,20480,371.7,271.55339360626726,0.68,0.28,120.52,253.04858354153706,227.94588645447,0.6666666666666666,0.3333333333333333,98.03333333333333,15.892818148930868,108.71490867932637,0.0008197735733119771,217.43062615394592,1.2261946946382523,0.00944557331725567,0.11568196614583333,0.4624186158180237,1.0
6,24576,377.7,281.4557779438672,0.7,0.28,121.36,250.99435296010213,241.123648248328,0.6666666666666666,0.3333333333333333,109.16666666666667,17.58603903452555,615.301628112793,8.215941488742828e-05,1230.6055221557617,1.224193051457405,0.012952603967278264,0.11474609375,0.4618847370147705,1.0
7,28672,369.7,236.91643908393937,0.62,0.38,113.86,212.06576501592627,251.67557662740222,0.5666666666666667,0.36666666666666664,162.06666666666666,23.95756804148356,213.91142663290336,0.001537121864858755,427.82222401818564,1.2219447743060976,0.008596259802796467,0.10474200581395349,0.46268385648727417,1.0
8,32768,371.7,193.50419144504139,0.54,0.44,114.28,183.05978064775005,265.3412780445394,0.5333333333333333,0.4666666666666667,118.63333333333334,18.768592389424644,705.7967180524554,0.035631070711783,1411.5246058872767,1.2269789150782995,0.011702932134669806,0.12444196428571429,0.46245723962783813,1.0
9,36864,370.3,140.9420475515406,0.44,0.54,120.5,226.71238136654497,248.02040146131188,0.6,0.4,111.53333333333333,18.26727172533671,181.82872418353432,-0.0008938338877143044,363.6616695303666,1.218547923784507,0.007725560508429465,0.09542043585526316,0.4589748680591583,1.0
10,40960,370.6,163.64559876152,0.46,0.48,132.08,233.5314202775317,241.61207761644445,0.6333333333333333,0.3333333333333333,112.96666666666667,17.55727826754252,163.02223020854748,0.0017696734615846683,326.04334756951584,1.211513638496399,0.012613606245845165,0.1518092105263158,0.45842015743255615,1.0
