episode,return,success,collision,steps,path_length
0,12.201733535889144,0,0,400,46.69895935058594
1,397.8645644010603,1,0,100,14.185051918029785
2,391.460308532238,1,0,57,8.652078628540039
3,-87.88226773291366,0,1,151,25.668500900268555
4,-144.79285013439426,0,1,115,20.270851135253906
5,393.9370919215693,1,0,66,9.020042419433594
6,-88.40352719615291,0,1,89,15.07084846496582
7,375.0381030671596,1,0,47,5.309070587158203
8,377.89499960299867,1,0,263,34.706077575683594
9,-119.86823976697144,0,1,98,15.717369079589844
10,396.49008689003807,1,0,67,9.838096618652344
11,-137.2850197456342,0,1,192,12.53100299835205
12,-87.17030668589722,0,1,79,13.070856094360352
13,413.75674703009423,1,0,80,13.252730369567871
14,391.48888924330464,1,0,59,8.481980323791504
15,-131.73906791240807,0,1,109,12.239005088806152
16,-111.93997407238739,0,1,89,13.287043571472168
17,379.1615920555629,1,0,182,24.874357223510742
18,69.54739179547448,0,0,400,55.014137268066406
19,-84.81507234089251,0,1,122,21.670852661132812
20,370.9671617157236,1,0,194,20.617717742919922
21,17.93671409853242,0,0,400,47.19957733154297
22,-112.71456722902752,0,1,71,11.056864738464355
23,376.7026201876997,1,0,48,5.708082675933838
24,381.67004411170075,1,0,84,7.586979866027832
25,-154.99868104863205,0,1,76,10.15530776977539
26,-163.8120609209257,0,1,119,19.01782989501953
27,424.02126457483,1,0,341,42.49073028564453
28,-137.3671618679797,0,1,73,11.614194869995117
29,374.181516954489,1,0,139,16.21764373779297
30,-137.63634072409226,0,1,180,18.183650970458984
31,394.17131236951053,1,0,76,11.37309455871582
32,383.65732054615205,1,0,272,31.38229751586914
33,-142.75774198945726,0,1,119,20.4361572265625
34,398.3173516806078,1,0,300,41.60711669921875
35,378.29424789933483,1,0,183,21.950077056884766
36,389.653859239459,1,0,55,8.236483573913574
37,-124.9086355554462,0,1,106,16.71049690246582
38,4.818661849465405,0,0,400,53.263206481933594
39,-105.38900352610322,0,1,111,19.470849990844727
40,-116.61250957249689,0,1,119,18.89966583251953
41,9.12053562727849,0,0,400,46.00021743774414
42,-124.01291394239459,0,1,72,11.549890518188477
43,390.89092372934516,1,0,64,8.447383880615234
44,400.72033088693576,1,0,70,10.214776992797852
45,-81.91983770421517,0,1,105,18.10771369934082
46,17.073585968945228,0,0,400,55.21139907836914
47,-158.52597171292322,0,1,47,5.807439804077148
48,399.3451872663647,1,0,67,9.942975044250488
49,402.68127001490564,1,0,193,20.2939453125
50,409.38974408028275,1,0,77,12.044776916503906
51,-120.55879660690547,0,1,44,4.822690010070801
52,-100.58566737999996,0,1,86,13.435563087463379
53,404.6748130259662,1,0,83,11.53797435760498
54,21.96969809205417,0,0,400,18.227148056030273
55,16.23397309489364,0,0,400,52.100738525390625
56,-114.97873770085714,0,1,39,4.91514778137207
57,383.3411006816476,1,0,63,8.445605278015137
58,371.25970183562487,1,0,129,13.780120849609375
59,397.05839801555453,1,0,68,9.927091598510742
60,414.69096147680455,1,0,99,15.488476753234863
61,-85.67426406106533,0,1,108,18.41737174987793
62,375.68893951550126,1,0,68,6.242552280426025
63,-131.57279749370926,0,1,65,9.133702278137207
64,398.27760088295486,1,0,66,10.286687850952148
65,-96.37297783440778,0,1,104,16.601024627685547
66,-132.1831992880021,0,1,96,15.546548843383789
67,405.81187722129374,1,0,74,11.424419403076172
68,424.22765352247654,1,0,96,16.16374397277832
69,-83.06931565776665,0,1,97,15.604092597961426
70,7.4260642036623405,0,0,400,29.248146057128906
71,404.62814377532897,1,0,112,16.492902755737305
72,409.0648285348564,1,0,82,13.649584770202637
73,-124.23971513874943,0,1,101,12.944448471069336
74,-143.95360431506444,0,1,52,3.138493776321411
75,407.92195581004023,1,0,112,16.658254623413086
76,-92.27517693347826,0,1,99,15.745058059692383
77,409.83848147944354,1,0,88,13.903970718383789
78,387.43782970904556,1,0,65,8.34687328338623
79,-117.68959410434435,0,1,81,13.247088432312012
80,1.862205422747027,0,0,400,49.929725646972656
81,392.43376410677286,1,0,211,30.594818115234375
82,386.2798564966768,1,0,57,7.673040390014648
83,-119.07453896003817,0,1,94,11.72327995300293
84,395.79469669041504,1,0,67,9.728243827819824
85,407.32770327164235,1,0,79,12.491161346435547
86,49.89725978182307,0,0,400,50.27218246459961
87,369.66774693413447,1,0,137,13.66318130493164
88,377.44345097937423,1,0,322,28.58157730102539
89,-148.27082749354688,0,1,84,12.7001314163208
90,373.72165696075973,1,0,243,25.8018856048584
91,-181.6512799823791,0,1,106,18.31382942199707
92,412.06400700242443,1,0,89,13.009403228759766
93,391.2645957521348,1,0,157,20.111549377441406
94,-150.78150819289186,0,1,67,4.6670145988464355
95,417.9426249943375,1,0,86,14.433149337768555
96,-105.07225861315952,0,1,81,12.652369499206543
97,-96.9960981668489,0,1,101,14.872552871704102
98,-102.95942402425932,0,1,77,12.670852661132812
99,-142.15868932557785,0,1,79,12.066344261169434
