episode,return,success,collision,steps,path_length
0,398.88293379071354,1,0,74,11.012683868408203
1,-116.81703408722478,0,1,38,4.870854377746582
2,399.6072102897122,1,0,85,12.10389232635498
3,429.11581925157253,1,0,142,22.177093505859375
4,442.8917414782822,1,0,115,19.0
5,408.62870972920956,1,0,96,15.039765357971191
6,428.45186711393615,1,0,124,21.799755096435547
7,412.5925550302565,1,0,91,14.866031646728516
8,415.3138437132304,1,0,96,15.189748764038086
9,450.7372835522947,1,0,136,24.44012451171875
10,389.3720911197064,1,0,93,12.198295593261719
11,396.8649966247008,1,0,100,14.900747299194336
12,422.57878185598406,1,0,119,20.776464462280273
13,431.42557579344316,1,0,98,16.579051971435547
14,401.69753236295276,1,0,85,12.763307571411133
15,416.9336621819873,1,0,126,20.738008499145508
16,409.8721210658848,1,0,98,14.532868385314941
17,419.8541937606616,1,0,101,16.59727668762207
18,-102.50628583432537,0,1,46,6.382388114929199
19,458.5449602026845,1,0,126,21.333629608154297
20,420.8380239706741,1,0,128,20.54265785217285
21,397.03079464861753,1,0,72,10.472886085510254
22,415.07830511574804,1,0,103,17.82513427734375
23,402.0601311226934,1,0,87,13.047736167907715
24,-122.8444941050376,0,1,27,2.6684153079986572
25,416.1901232524607,1,0,107,18.395488739013672
26,437.414238314254,1,0,110,18.703990936279297
27,453.3387964007279,1,0,128,22.66752815246582
28,425.79315425243425,1,0,112,19.568628311157227
29,422.73073663435815,1,0,104,17.229717254638672
30,382.18266598573314,1,0,108,12.613225936889648
31,405.288348763952,1,0,99,14.04605484008789
32,422.33939055449713,1,0,124,20.069833755493164
33,429.94770011429284,1,0,97,15.792315483093262
34,433.34942622179744,1,0,113,18.42136573791504
35,-121.55581016253208,0,1,28,2.8620216846466064
36,398.831148444137,1,0,92,12.942105293273926
37,409.95587174952027,1,0,110,17.250144958496094
38,410.86190449744464,1,0,105,15.566454887390137
39,455.10575790160686,1,0,125,21.860952377319336
40,414.81109775830595,1,0,94,13.783713340759277
41,440.71489682884305,1,0,105,18.213876724243164
42,423.23148375263133,1,0,123,21.84781265258789
43,416.50172885404845,1,0,92,15.292641639709473
44,451.19874366053733,1,0,115,20.127817153930664
45,439.5365440758826,1,0,126,21.464969635009766
46,417.20499456765987,1,0,120,19.4451904296875
47,-118.53744943078642,0,1,38,4.859086990356445
48,450.11349993690646,1,0,117,20.32073974609375
49,453.2880003060827,1,0,121,20.904239654541016
50,437.68796542072096,1,0,113,19.244556427001953
51,-119.89706206831397,0,1,31,3.4708545207977295
52,401.3135800086706,1,0,93,12.78873062133789
53,407.1544302725748,1,0,98,15.286027908325195
54,422.7604907536953,1,0,105,18.130634307861328
55,-106.05007703917347,0,1,54,6.313691139221191
56,-114.06930440794802,0,1,31,3.461357593536377
57,418.6857349888033,1,0,100,16.161409378051758
58,401.33112960875786,1,0,104,15.511432647705078
59,445.03519097383116,1,0,111,19.38795280456543
60,-114.47122784328207,0,1,29,3.032646656036377
61,447.7338951184658,1,0,133,23.749710083007812
62,434.72993875253565,1,0,111,18.954927444458008
63,413.7556417513462,1,0,115,20.127866744995117
64,434.2915999303149,1,0,109,18.98552894592285
65,448.4785095220812,1,0,131,23.369808197021484
66,421.55510481632496,1,0,105,17.150558471679688
67,421.26401144252327,1,0,112,18.754947662353516
68,-118.1478159692914,0,1,30,3.052807092666626
69,395.46085816343503,1,0,95,12.063671112060547
70,425.32036416650163,1,0,102,17.6556396484375
71,-117.24346911235492,0,1,35,4.234745025634766
72,451.7710911391361,1,0,123,21.84796714782715
73,408.55033017685645,1,0,101,16.672229766845703
74,-120.88512128444043,0,1,30,3.2708547115325928
75,-116.13746255079772,0,1,39,5.023488998413086
76,396.8411030456058,1,0,95,12.305185317993164
77,396.3042678152151,1,0,99,12.62801456451416
78,-119.90725111514033,0,1,28,2.763780117034912
79,426.61501532329976,1,0,123,21.765981674194336
80,389.38896014186736,1,0,80,10.319944381713867
81,424.22404860941833,1,0,108,17.559080123901367
82,402.82821848416563,1,0,89,14.307465553283691
83,404.4984268036728,1,0,93,15.31936264038086
84,433.34815510173956,1,0,125,22.157743453979492
85,-120.65665533554227,0,1,29,3.0035252571105957
86,440.26314034535693,1,0,115,20.028888702392578
87,404.20048569249104,1,0,110,16.258808135986328
88,409.23167835521696,1,0,106,16.982717514038086
89,416.6282469816804,1,0,104,17.628414154052734
90,408.13942415117066,1,0,103,15.400134086608887
91,430.1462860231636,1,0,119,19.460983276367188
92,407.9699767137335,1,0,98,14.815791130065918
93,-121.12153421903257,0,1,31,3.446934700012207
94,-119.21199190499114,0,1,34,4.070853233337402
95,-123.01721708199265,0,1,27,2.6685001850128174
96,415.6296306107596,1,0,113,19.448564529418945
97,407.810272594737,1,0,100,15.912389755249023
98,423.31985549288777,1,0,116,20.29094886779785
99,427.2599569350248,1,0,125,22.203088760375977
