update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1604.5,273.6110824204011,0.7142857142857143,0.2857142857142857,139.96428571428572,219.34308129611344,246.7749148449603,0.6,0.36666666666666664,133.93333333333334,17.924990113576253,232.28954555193584,-0.006590139016043395,464.59395971298215,0.8393231769402821,0.004535724129527807,0.052962239583333334,0.3786836266517639,0.0
2,8192,1618.1,327.6941172666361,0.82,0.16,145.4,289.8762915250827,232.3830541148568,0.7333333333333333,0.23333333333333334,139.83333333333334,18.894238233566284,107.27266385555268,-0.010768694531482955,214.56853386561076,0.8340267332891623,0.006601862001116387,0.08468424479166667,0.3766961097717285,0.0
3,12288,1632.0,310.1332735474278,0.78,0.18,138.16,354.00944754561647,179.31897765873398,0.8666666666666667,0.13333333333333333,160.96666666666667,20.94468762874603,137.6423675696055,-0.007678382271357502,275.30173110961914,0.8201029852032662,0.005001717065169942,0.056168619791666666,0.3735573887825012,0.0
4,16384,1654.2,290.6484137345466,0.74,0.22,144.28,310.1740454300403,211.12812672480356,0.8,0.2,131.83333333333334,17.563559873898825,154.48994800249736,-0.006796402831969317,308.99509353637694,0.8014142361780008,0.00508765687069778,0.056591796875,0.3703809976577759,0.0
5,20480,1648.3,289.5422161500375,0.72,0.2,171.7,352.2018349937498,171.4255511072378,0.8666666666666667,0.1,151.83333333333334,19.74178516070048,182.30638664563497,-0.005090509490886083,364.62453076044716,0.7865904348591963,0.0040513805962594535,0.041748046875,0.36846113204956055,0.0
6,24576,1674.3,289.96373553558163,0.74,0.22,137.5,276.438853541169,228.7550682027553,0.7333333333333333,0.26666666666666666,111.76666666666667,16.01177361806234,155.86370231310528,-0.00880685814578707,311.74657033284507,0.7740702678759893,0.005230457786334834,0.06212565104166667,0.3660757541656494,0.0
7,28672,1679.7,249.42921061481772,0.66,0.3,129.72,300.757151743001,219.68331164289253,0.7666666666666667,0.2,144.46666666666667,17.853054157892863,139.01094247500103,-0.007492400371120311,278.03838005065916,0.7555352292954922,0.005842834583017975,0.07332356770833333,0.36079204082489014,0.0
8,32768,1675.4,310.5768622744859,0.78,0.2,141.0,354.7528146184583,179.59183544085974,0.8666666666666667,0.13333333333333333,147.2,20.514086151123045,81.99510488510131,-0.0041248182125855236,163.99991337458292,0.7270246831079324,0.00538859174848767,0.06632486979166667,0.3562759757041931,0.0
9,36864,1674.9,337.3494356108566,0.84,0.16,142.22,366.10343016139166,161.72510683195236,0.9,0.1,143.26666666666668,19.481612626711527,116.21638320287069,-0.007369399117305875,232.44891856511433,0.70574021662275,0.006211705602860699,0.07646484375,0.3525974154472351,0.0
10,40960,1677.7,309.0096111557087,0.78,0.18,154.3,351.97161370497105,177.94198401101798,0.8666666666666667,0.13333333333333333,143.1,20.485052426656086,98.63073994318644,-0.004517283759196289,197.27189892133077,0.691678752998511,0.005418879776455773,0.0638671875,0.35083749890327454,0.0
11,45056,1687.1,303.9235969848839,0.76,0.18,152.58,295.24542040225026,227.0033045447382,0.7666666666666667,0.23333333333333334,118.33333333333333,16.06977419058482,73.48608708381653,-0.006859438103856519,146.9872631549835,0.6852871095140775,0.006296088256446334,0.07845052083333333,0.3496953248977661,0.0
12,49152,1684.7,342.16877521120165,0.84,0.14,139.76,330.69030375042706,189.77590176826388,0.8333333333333334,0.13333333333333333,143.03333333333333,17.893897088368735,154.95307010014852,-0.006273959311268603,309.920050684611,0.6796877900759379,0.004758521468708447,0.0525390625,0.349182665348053,0.0
13,53248,1688.0,339.2053636863091,0.84,0.14,135.2,350.25794279507943,179.62187436050266,0.8666666666666667,0.13333333333333333,126.33333333333333,17.523727718989054,61.63727258841197,-0.006036217541744312,123.28795158068338,0.6672928117215633,0.006675799381628167,0.08636067708333334,0.3445502519607544,0.0
14,57344,1683.3,338.7745514789003,0.84,0.14,131.6,331.21149388993325,180.11291717510372,0.8,0.1,167.0,19.53413712978363,49.194504364331564,-0.009281336088315583,98.40886851946513,0.6484071622292201,0.008539998807342878,0.11178385416666667,0.3435368537902832,0.0
15,61440,1666.4,341.643380054319,0.84,0.14,132.1,308.8630887063933,194.09810580222106,0.7333333333333333,0.1,188.96666666666667,20.62833833694458,29.85312385559082,-0.006694827575120144,59.72091716527939,0.6397944860160351,0.008549722412620515,0.10875651041666666,0.342482328414917,0.0
16,65536,1688.5,332.5260496497988,0.82,0.14,137.94,337.53171434136635,191.59671008230126,0.8333333333333334,0.13333333333333333,145.4,18.873284951845804,165.68277645111084,0.011849270609673113,331.3431339263916,0.6380535364151001,0.010347580595407635,0.14306640625,0.34255605936050415,1.0
17,69632,1690.0,373.0376270250121,0.9,0.08,139.82,353.40425581757484,186.2464069010594,0.8666666666666667,0.13333333333333333,121.63333333333334,18.08865905602773,75.21783966223398,-0.004668946810609972,150.4462944348653,0.6381931374470393,0.0051068977190880105,0.05974934895833333,0.3425021767616272,0.0
18,73728,1687.1,342.18851033010367,0.84,0.12,157.6,335.39977083463526,189.5746495021711,0.8333333333333334,0.13333333333333333,134.13333333333333,18.07213162581126,146.8898777802785,-0.008326265256619081,293.7976934750875,0.6427731240789095,0.004996468028790938,0.057779947916666664,0.34441208839416504,0.0
19,77824,1688.5,294.8413218174377,0.74,0.18,175.1,288.1656774031031,224.708164924234,0.7333333333333333,0.2,135.13333333333333,16.117765577634177,88.82316921552022,-0.008647860528435558,177.66493288675943,0.6478003598749638,0.005996326917374973,0.07625325520833333,0.34345507621765137,0.0
20,81920,1692.4,330.5507739604811,0.82,0.14,147.42,300.20452731330096,219.6515704123143,0.7666666666666667,0.2,120.86666666666666,16.154091103871664,49.62495891253153,-0.006631310301600024,99.26447477340699,0.6470467572410902,0.006697955720786315,0.087060546875,0.3437843322753906,0.0
21,86016,1686.4,324.91301461899116,0.82,0.18,119.78,363.6982164236198,160.602139510755,0.8666666666666667,0.06666666666666667,158.16666666666666,19.45339415073395,108.07443533738454,-0.008858773089013994,216.1678819815318,0.646131756156683,0.006803300786123146,0.088037109375,0.34201228618621826,0.0
22,90112,1686.2,309.7072829135875,0.78,0.18,132.14,390.8946704927221,115.58372684371375,0.9333333333333333,0.03333333333333333,146.6,19.62569893201192,55.41851264635722,-0.0036281952750869097,110.84555079142253,0.63452554444472,0.00583738515318449,0.070703125,0.3388894200325012,0.0
23,94208,1686.0,356.4981406549822,0.86,0.06,153.16,334.44034752835336,183.11912969940886,0.8,0.1,153.56666666666666,18.825815145174662,67.09638112386068,-0.004727782076224684,134.20346585114797,0.6241862977544467,0.005859217139368411,0.07140299479166666,0.3383030295372009,0.0
24,98304,1691.3,326.5217187236932,0.8,0.12,150.78,333.83991210077534,187.93390596970033,0.8333333333333334,0.13333333333333333,129.53333333333333,16.515859381357828,50.90451890733507,-0.0063171981409606,101.8229178958469,0.6231470187505086,0.005898441205111643,0.07168402777777778,0.3390210270881653,1.0
25,102400,1692.5,322.26259890178767,0.8,0.16,134.38,354.7219050717184,170.69729619980703,0.8666666666666667,0.1,129.86666666666667,17.908811593055724,70.24069153467813,-0.007039827156889563,140.49672277768454,0.6305713849763076,0.005888312901273215,0.07530924479166666,0.33979731798171997,0.0
26,106496,1694.1,284.6672274741681,0.74,0.22,120.86,339.3730717836519,178.59495824263723,0.8333333333333334,0.1,134.6,17.34240505695343,88.39946297804515,-0.00809166562006188,176.81637943585713,0.6354700977603595,0.006839366539982923,0.08365885416666667,0.3407999575138092,0.0
27,110592,1687.8,321.12279035442066,0.82,0.18,114.94,314.49077982731853,193.93247759794008,0.7666666666666667,0.1,165.16666666666666,17.387948457400004,45.107217729091644,-0.006881914805853739,90.22947895526886,0.6403282128274441,0.007089828990380435,0.09138997395833333,0.3409903645515442,0.0
28,114688,1700.6,316.92927337441773,0.8,0.2,115.66,352.498913891311,183.699050521207,0.8666666666666667,0.13333333333333333,122.36666666666666,17.49716240564982,301.6148986816406,0.015120001230388879,603.2008453369141,0.6381650507450104,0.009973828180227429,0.1296875,0.3411613702774048,1.0
29,118784,1703.4,299.5232649680692,0.76,0.2,132.02,286.44404773638297,231.93622965097236,0.7333333333333333,0.23333333333333334,121.4,16.747760168711345,61.51856118837993,-0.008661470282822848,123.05572401682535,0.6389806600908439,0.006425410377172132,0.07980143229166667,0.341682493686676,0.0
30,122880,1706.0,318.8392424316101,0.8,0.16,126.06,316.38232624044736,217.0095875044291,0.8,0.2,117.7,16.971851404507955,43.70566627581914,-0.005427509848959744,87.42347952922185,0.6458289888997872,0.007654392775051141,0.09847005208333333,0.3443141281604767,0.0
31,126976,1705.0,286.2915794388175,0.74,0.24,119.62,326.6182265440835,207.17626519333297,0.8,0.16666666666666666,129.9,18.282517528533937,75.28869563738505,-0.006314502151023286,150.5913151741028,0.6475693841775259,0.00627244395048668,0.07815755208333333,0.34059572219848633,0.0
32,131072,1707.8,308.31527249533445,0.78,0.18,125.86,365.2003168136076,161.70109408125862,0.9,0.1,113.7,17.646072117487588,31.065744433782797,-0.005820031971176179,62.14439985393423,0.6355769069848862,0.009079238073282208,0.11889864491150443,0.34006810188293457,1.0
33,135168,1710.4,307.61018914184103,0.78,0.2,121.36,273.1849067484915,238.27961586107463,0.7333333333333333,0.26666666666666666,106.8,14.803843021392822,92.69716532230377,-0.003349239802143226,185.40230129559833,0.6352802669008573,0.005387196652494216,0.0673828125,0.34047868847846985,0.0
34,139264,1709.5,315.64456437756314,0.78,0.16,135.86,361.9412242486961,157.21198213825556,0.8666666666666667,0.06666666666666667,145.86666666666667,18.269914436340333,51.63255178133647,-0.006279430532595142,103.2789250532786,0.6316515212257703,0.005276375556422863,0.06520182291666667,0.33910173177719116,0.0
35,143360,1707.8,377.4938306944369,0.92,0.06,131.88,330.1128606903294,188.31788986181627,0.8,0.1,151.33333333333334,18.117366456985472,47.42707521915436,-0.007944551631226204,94.87127785682678,0.6190115449329218,0.006339996196523619,0.07884114583333333,0.3365108370780945,0.0
36,147456,1709.9,330.6625239769834,0.84,0.16,120.68,321.30270768382087,207.4591866100137,0.8,0.16666666666666666,119.5,16.596618334452312,44.927903866767885,-0.007039514669061949,89.8710965236028,0.604475413262844,0.006762743719931071,0.08310546875,0.33430415391921997,0.0
37,151552,1708.0,343.47259511741754,0.84,0.12,140.34,339.42422308946374,177.2092860459021,0.8333333333333334,0.1,136.63333333333333,16.875335629781087,56.48014108339945,-0.006145240661377708,112.97378245989482,0.6046420979003112,0.006105976891800916,0.074853515625,0.3363466262817383,0.0
38,155648,1717.6,344.48327347018477,0.84,0.12,136.82,364.28249531758553,161.60987139187765,0.9,0.1,109.9,16.850354584058127,19.194182492374033,-0.004358656186443032,38.398288705375755,0.6030078007933799,0.008936715282217254,0.11674859550561797,0.33336710929870605,1.0
