episode,return,success,collision,steps,path_length
0,387.87797514966053,1,0,131,14.531116485595703
1,-118.36682971281097,0,1,31,3.3014001846313477
2,387.7763119693666,1,0,80,10.274517059326172
3,419.280252917373,1,0,163,24.47475814819336
4,-66.47184237514125,0,1,74,10.903507232666016
5,403.78659311951697,1,0,93,14.16111946105957
6,428.5322183076019,1,0,127,21.738588333129883
7,410.3699086511781,1,0,86,13.18769645690918
8,415.0846253499932,1,0,93,14.629995346069336
9,435.14386099300987,1,0,147,26.556888580322266
10,437.4580716823407,1,0,112,19.670677185058594
11,-102.4951925503564,0,1,7,0.1070873811841011
12,421.5282254899321,1,0,124,21.27743148803711
13,413.73052449750287,1,0,84,13.101227760314941
14,31.43105752202283,0,0,500,17.082637786865234
15,-116.266822637912,0,1,49,7.057579517364502
16,408.60307141213116,1,0,99,13.92112922668457
17,406.11156910575914,1,0,102,16.842117309570312
18,-106.55484524061146,0,1,42,5.304901599884033
19,460.1534369416055,1,0,132,22.211132049560547
20,-98.66286080351757,0,1,62,9.670852661132812
21,386.1008183630954,1,0,146,13.797536849975586
22,412.61212107433465,1,0,99,17.01679229736328
23,394.18158337149293,1,0,73,10.482706069946289
24,391.30880698173064,1,0,131,14.514715194702148
25,396.16370085515047,1,0,110,18.970375061035156
26,424.23092226122674,1,0,386,34.96297073364258
27,451.745141286433,1,0,130,22.94115447998047
28,414.02177203472877,1,0,118,20.73503303527832
29,405.04945411704307,1,0,161,19.844236373901367
30,-111.91900980474746,0,1,47,0.5640637278556824
31,400.6440167547298,1,0,98,12.94739818572998
32,433.06265921786985,1,0,138,22.00131607055664
33,417.9728698392411,1,0,213,25.469419479370117
34,449.6893456016742,1,0,115,18.806821823120117
35,390.6464340886409,1,0,134,13.9400053024292
36,-120.9449478114825,0,1,29,3.016294002532959
37,405.9114591922607,1,0,118,17.859622955322266
38,409.7820117535121,1,0,109,15.298807144165039
39,457.4853315471179,1,0,128,21.902080535888672
40,419.486141029049,1,0,93,14.244967460632324
41,438.9499073342214,1,0,101,17.375951766967773
42,414.66433930659593,1,0,134,24.043903350830078
43,-69.89182279078096,0,1,96,15.699874877929688
44,455.3993146958331,1,0,116,20.422094345092773
45,449.3906341420757,1,0,131,21.626930236816406
46,415.934099045118,1,0,133,21.05899429321289
47,48.85034587653675,0,0,500,31.320533752441406
48,454.10547077980436,1,0,118,20.521432876586914
49,458.5495000986381,1,0,124,21.35681915283203
50,432.91846273030137,1,0,113,18.881038665771484
51,-114.8813144861088,0,1,30,3.199272871017456
52,396.3746627210211,1,0,91,11.499455451965332
53,398.64175165073357,1,0,93,14.35244083404541
54,425.04909667488926,1,0,106,18.272722244262695
55,-108.40164598600758,0,1,48,5.573349952697754
56,397.80412807938166,1,0,134,17.62215805053711
57,420.32479869362936,1,0,100,16.150968551635742
58,-123.71049007822927,0,1,31,3.4151313304901123
59,444.40815616348186,1,0,108,18.855802536010742
60,398.19840165069354,1,0,130,16.981258392333984
61,439.01351775928214,1,0,136,24.414838790893555
62,437.86031753244794,1,0,110,18.666662216186523
63,400.05750620788695,1,0,120,20.976186752319336
64,446.1815583453009,1,0,110,19.252744674682617
65,439.34083617335193,1,0,134,23.998476028442383
66,426.1980802086854,1,0,110,17.11818504333496
67,419.43775913397144,1,0,111,17.556114196777344
68,362.790123750814,1,0,176,15.880698204040527
69,27.827777943288407,0,0,500,31.564899444580078
70,420.6441821566899,1,0,105,18.26674461364746
71,-111.09856564359507,0,1,37,3.7539615631103516
72,447.6550515092331,1,0,122,21.487943649291992
73,390.33300027572915,1,0,102,16.125471115112305
74,-118.29652135875949,0,1,28,2.615976333618164
75,370.57042624710436,1,0,146,16.873214721679688
76,388.79223860395825,1,0,98,11.422539710998535
77,390.09705049987355,1,0,109,12.80063533782959
78,416.19889896310013,1,0,114,20.017234802246094
79,426.86536006486125,1,0,129,22.992515563964844
80,376.25562267355616,1,0,62,6.340353965759277
81,-93.16656774089361,0,1,52,7.670854091644287
82,393.31616234738766,1,0,78,11.605655670166016
83,394.0085877427703,1,0,84,13.267990112304688
84,443.3969202691852,1,0,130,23.192840576171875
85,377.7414000957862,1,0,136,15.129997253417969
86,456.1820533335999,1,0,124,22.013290405273438
87,-119.38199458412934,0,1,36,4.47085428237915
88,399.2471145595758,1,0,276,33.030818939208984
89,418.1940771083831,1,0,106,17.556211471557617
90,398.4285930179724,1,0,110,15.440322875976562
91,-85.7355680696518,0,1,81,10.545836448669434
92,406.3901535985077,1,0,93,14.80118465423584
93,-119.6390342049587,0,1,31,1.4394934177398682
94,-119.30776652397712,0,1,24,2.0270025730133057
95,-115.79730255238759,0,1,32,3.4274802207946777
96,412.2909232080963,1,0,115,19.429853439331055
97,398.9919386730953,1,0,96,14.943307876586914
98,419.9539211078842,1,0,118,20.407302856445312
99,415.3010091805855,1,0,139,25.00101089477539
