update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,2367.6,220.48305514368113,0.6222222222222222,0.37777777777777777,88.35555555555555,297.2999691121774,227.7365649952026,0.7666666666666667,0.23333333333333334,92.73333333333333,14.572998257478078,409.5558344523112,0.0066827768459916115,819.0988464355469,0.2718735734621684,0.009335801199389001,0.11393229166666667,0.2864573299884796,1.0
2,8192,2326.1,216.79954485131358,0.6,0.38,112.96,289.14451286575365,234.42238964249236,0.7333333333333333,0.26666666666666666,103.5,16.180469239254794,365.05182119516223,1.4349531668883104e-05,730.1041588416466,0.273349404335022,0.008163412710508475,0.09975961538461539,0.28668761253356934,1.0
3,12288,2048.5,248.54893314156132,0.66,0.32,119.92,321.4863279818004,201.49220141313597,0.7666666666666667,0.13333333333333333,145.93333333333334,18.459609850247702,102.01210561593373,-0.008598179316807848,204.04195318222045,0.2724195525050163,0.006583452232492467,0.08074544270833334,0.2858893573284149,0.0
4,16384,1998.1,272.4911514025036,0.7,0.28,117.72,274.4940313713347,232.7140302261048,0.7333333333333333,0.26666666666666666,110.26666666666667,15.135759115219116,179.83103375434877,-0.00694854476605542,359.6765110651652,0.27026955485343934,0.005673295625213844,0.06188151041666667,0.2862352132797241,0.0
5,20480,1966.8,242.14925472328005,0.66,0.32,106.26,296.9990895441897,221.1142565925383,0.7666666666666667,0.2,109.23333333333333,16.259213586648304,83.2244924902916,-0.010278125254747769,166.470099846522,0.27939854661623637,0.007871270285492452,0.10304361979166667,0.2877183258533478,0.0
6,24576,1966.5,296.052878543887,0.76,0.22,119.34,222.39187275701707,253.3060982125067,0.6333333333333333,0.36666666666666664,88.9,12.846920629342398,86.46500318050384,-0.010747140004726437,172.95208578109742,0.2928031379977862,0.007635996202589012,0.09847005208333333,0.2896738648414612,0.0
7,28672,1947.6,296.93716179280057,0.76,0.22,118.64,314.19880875705496,213.28501980466697,0.8,0.2,105.3,15.458188492059708,93.8719998240471,-0.0069135114104331786,187.75842253367105,0.2973826850454013,0.008281291728296006,0.10743815104166667,0.2878592610359192,0.0
8,32768,1932.5,255.3022340317013,0.68,0.3,109.24,301.9954960963131,226.47487409372414,0.7666666666666667,0.23333333333333334,100.53333333333333,15.71518497467041,122.15262450377146,-0.011488240190859263,244.3288024107615,0.28849069476127626,0.008609579032054171,0.10768229166666667,0.2884860336780548,0.0
9,36864,1919.6,290.4175267345431,0.76,0.24,97.26,310.95222552379073,210.34889448866963,0.7666666666666667,0.16666666666666666,128.66666666666666,16.895209083954494,138.52892404941502,-0.011499790815416302,277.081425088967,0.2894690800182925,0.007417649141939476,0.0921528633004926,0.2891523838043213,1.0
10,40960,1912.6,295.0597804336644,0.76,0.2,123.14,352.7452566513809,184.07518056540607,0.8666666666666667,0.13333333333333333,105.46666666666667,17.07868600289027,122.43654457728069,-0.006313047461056461,244.8862936814626,0.28972641080617906,0.00603281916216171,0.076416015625,0.28939077258110046,0.0
11,45056,1901.1,284.9481150115565,0.72,0.22,136.32,298.87267944457125,220.78026897324483,0.7666666666666667,0.2,105.8,14.114862076441447,83.84919067223866,-0.009183524287072942,167.71733349164327,0.29277373701334,0.008166733614052646,0.10533854166666666,0.29069286584854126,0.0
12,49152,1902.5,329.2598845523691,0.82,0.16,110.56,262.754728775314,236.6999956477388,0.7,0.26666666666666666,118.63333333333334,15.390106749534606,53.97493055188978,-0.006801389011780958,107.9640605411014,0.29771953337901347,0.009330818044474802,0.12267736486486487,0.2905355393886566,1.0
13,53248,1909.3,326.72460184252935,0.82,0.18,101.44,270.2350373685632,236.95878306784016,0.7,0.26666666666666666,106.8,15.07377761999766,53.45685841678794,-0.005889219064508972,106.92609042747348,0.2977202647651722,0.008773548621379959,0.1146343954248366,0.28976166248321533,1.0
14,57344,1910.0,325.9067741491818,0.82,0.16,118.92,338.486500901323,190.6644642589734,0.8333333333333334,0.13333333333333333,121.4,17.147961459557216,82.93961413938608,-0.003643958742466213,165.887107877589,0.2956978385128192,0.007680933225774832,0.09640275186567164,0.2905009686946869,1.0
15,61440,1899.1,283.12523300601043,0.74,0.24,114.2,420.32935000563975,22.08768095901044,1.0,0.0,111.1,17.46210095087687,112.54670048554739,-0.0104192837238467,225.1148392677307,0.29869421968857446,0.007334080594591797,0.09505208333333333,0.2897499203681946,0.0
16,65536,1894.4,325.98146184847957,0.82,0.18,102.6,251.5567055755818,245.15528976732912,0.6666666666666666,0.3,111.0,15.37011988957723,77.74941962560018,-0.010530386984464712,155.5205052534739,0.3026712064941724,0.007443955134173545,0.09383138020833333,0.2932676076889038,0.0
17,69632,1892.9,271.05135651371586,0.72,0.26,115.98,319.42034035831136,213.577618097448,0.8,0.2,100.46666666666667,15.43042848110199,135.9537967522939,-0.005439410848581853,271.91909942626955,0.31299730353057387,0.006021372093042979,0.073291015625,0.2920703589916229,0.0
18,73728,1900.6,266.5282070607489,0.7,0.28,102.56,248.6001141363237,244.1336895184845,0.6666666666666666,0.3,108.76666666666667,15.134847005208334,116.15972843454846,-0.004779440663588136,232.32963009734652,0.3085805951659359,0.004843167750401172,0.057864972014925374,0.2912224531173706,1.0
19,77824,1895.1,227.89896216029797,0.62,0.34,113.7,284.8585669177224,224.4881306101065,0.7333333333333333,0.23333333333333334,120.53333333333333,15.977773733933766,124.96269736289977,-0.008394960146203327,249.94278395970662,0.2996998240550359,0.0058822314041511465,0.07135416666666666,0.28893405199050903,0.0
20,81920,1894.8,296.0843476492593,0.76,0.22,120.72,262.2923031573019,238.59166860529885,0.7,0.26666666666666666,112.5,14.756488964955013,117.78343660036722,-0.009239926200825721,235.58593479792276,0.2914187933007876,0.005968218423853007,0.07384440104166666,0.28892025351524353,0.0
21,86016,1888.1,268.19540002649563,0.7,0.28,123.0,316.64654018117915,209.2938848753915,0.8,0.2,109.0,16.690147264798483,105.99048265616099,-0.006918093441830327,211.99537278811138,0.2844217409690221,0.006470076495315879,0.08125,0.28612393140792847,0.0
22,90112,1874.2,296.9676079270612,0.76,0.2,136.98,383.18067101270003,137.16645261867802,0.9333333333333333,0.06666666666666667,120.23333333333333,17.973496480782828,149.02265708446504,-0.004853752606625979,298.0555628458659,0.2702400843302409,0.00686287752566083,0.08629557291666666,0.2848327159881592,0.0
23,94208,1882.7,333.03732815539587,0.84,0.16,104.92,297.77443788314133,229.2368901431315,0.7666666666666667,0.23333333333333334,104.06666666666666,15.582149505615234,79.5517848177654,-0.003113832304867484,159.11032164969095,0.26243845427908546,0.00630219577152918,0.08012576219512195,0.2839661240577698,1.0
24,98304,1882.8,311.7015343392797,0.78,0.18,120.02,335.1212632502907,191.12285693220747,0.8333333333333334,0.13333333333333333,110.76666666666667,14.655715662240983,162.9982592328709,-0.0029010491880901794,326.0028318472244,0.25606595691124995,0.007508895217192981,0.0893726444723618,0.2825152575969696,1.0
25,102400,1879.6,254.80623685201255,0.68,0.3,108.64,288.18816152191687,227.10522967486554,0.7333333333333333,0.23333333333333334,120.1,16.707649525006612,85.40478032430013,-0.011169462992499272,170.83239299456278,0.24704047292470932,0.008843911872827449,0.1109375,0.28218305110931396,0.0
26,106496,1885.7,273.6805287909916,0.72,0.26,109.26,312.67988064465516,209.70409212134174,0.8,0.2,102.83333333333333,15.165929754575094,57.697430685162544,-0.00395772769843461,115.4032753109932,0.24975906778126955,0.008117417301036767,0.104400634765625,0.2837126553058624,1.0
27,110592,1883.8,307.0144267552968,0.78,0.2,119.16,299.035714894897,215.7863963006364,0.7666666666666667,0.2,109.6,14.357370070616405,117.1141194343567,-0.007062727344843248,234.24287230173746,0.2538320710261663,0.0066918969309578335,0.084375,0.28312450647354126,0.0
28,114688,1888.7,278.4132774155092,0.72,0.24,121.2,268.4372632790515,247.2640825736616,0.7,0.3,94.16666666666667,14.971818927923838,134.70016953439423,-0.006920404726582946,269.41466543024234,0.2446550311464252,0.0076020631163070595,0.09429450757575758,0.28135526180267334,1.0
29,118784,1889.3,275.08313438230454,0.72,0.28,96.48,250.34426799137182,248.84052060310322,0.6666666666666666,0.3,108.46666666666667,14.629007538159689,103.15208208049002,-0.007197706183087241,206.31902587048114,0.23396942878793353,0.008083633185747119,0.10506134969325154,0.2810889482498169,1.0
30,122880,1888.9,316.0458240971039,0.8,0.18,128.44,344.736138372856,182.09982126012926,0.8333333333333334,0.1,140.8,17.757191689809165,74.77260799985943,-0.0044946451163427395,149.5546727035985,0.23358766743631074,0.008213285678489642,0.10544507575757575,0.2804473042488098,1.0
31,126976,1897.9,325.0612822713548,0.82,0.18,120.02,310.84275893754204,221.22678998827305,0.7666666666666667,0.2,113.5,16.66133101185163,180.00617218017578,-0.0078059763958056765,360.0284135606554,0.23262030548519558,0.009953138263275227,0.10460069444444445,0.2806031107902527,1.0
32,131072,1904.3,302.0213512526448,0.76,0.2,116.68,279.6955736545072,240.2588471976163,0.7333333333333333,0.26666666666666666,92.7,14.85400539636612,104.35331770199448,-0.006230581784620881,208.71957166871027,0.23773100038072956,0.007289394890931227,0.08812383395522388,0.28198885917663574,1.0
33,135168,1901.4,260.27923365960334,0.68,0.26,125.7,201.04893446159974,254.61814203067428,0.5666666666666667,0.36666666666666664,113.3,13.583415164550145,127.07418225606283,-0.006938715145224705,254.16273120244344,0.24392357021570205,0.007086276899402341,0.09000651041666667,0.2821570634841919,0.0
34,139264,1895.1,262.06841841095775,0.7,0.3,101.08,316.0989972821616,201.92496966821707,0.7666666666666667,0.13333333333333333,145.33333333333334,17.257736001412074,109.15877021583351,-0.010605684286486861,218.3392474818874,0.2482141675175847,0.007497380783378675,0.09047719594594594,0.2828215956687927,1.0
35,143360,1896.3,262.87265198284416,0.68,0.28,122.2,280.0382604485131,233.97952036749047,0.7333333333333333,0.26666666666666666,101.26666666666667,15.568498903512955,132.10006492428664,-0.009464930930379324,264.21956615913206,0.2539578123790462,0.00750674774938422,0.09233993902439025,0.2822311222553253,1.0
