episode,return,success,collision,steps,path_length
0,384.9405424041971,1,0,65,7.563352108001709
1,391.2991157671187,1,0,66,9.98379898071289
2,391.1827359625319,1,0,59,8.778745651245117
3,-98.04792324072304,0,1,66,10.47085189819336
4,405.26807504731136,1,0,243,35.44919967651367
5,387.5006386996641,1,0,138,14.574780464172363
6,409.7610216303346,1,0,103,16.940052032470703
7,375.2678461255133,1,0,51,5.415404796600342
8,386.9330863165063,1,0,77,9.93437671661377
9,395.7556834364086,1,0,66,9.33413028717041
10,-93.59605896046862,0,1,52,6.633068084716797
11,387.32171457511186,1,0,55,7.709148406982422
12,-88.66578970659776,0,1,90,15.065169334411621
13,-91.45015773171862,0,1,55,8.261613845825195
14,379.2116659303277,1,0,145,15.033146858215332
15,373.9156947823167,1,0,45,5.366396427154541
16,411.2666698845519,1,0,93,11.403871536254883
17,378.96010937571805,1,0,60,7.080711364746094
18,435.749195611231,1,0,144,25.467987060546875
19,-87.5471210972606,0,1,140,23.910797119140625
20,370.8286206594595,1,0,124,14.44689655303955
21,386.6740111568984,1,0,57,7.622352123260498
22,385.3648167207092,1,0,84,9.545223236083984
23,-7.814917561412871,0,0,500,38.31096267700195
24,-105.85766766118812,0,1,53,7.517362594604492
25,383.1495857397344,1,0,225,27.45946502685547
26,385.90447563312944,1,0,205,29.440143585205078
27,-84.07965805526106,0,1,62,9.667654037475586
28,-110.53513218047264,0,1,13,0.64346843957901
29,366.04689558386195,1,0,143,14.582246780395508
30,417.9159634830169,1,0,89,14.170719146728516
31,400.07856197400775,1,0,104,13.622323989868164
32,-117.67398375974501,0,1,38,4.864998817443848
33,407.6269798394006,1,0,86,13.997413635253906
34,-111.42984193862661,0,1,42,5.670854568481445
35,367.96233094495346,1,0,49,6.532637596130371
36,391.01902749765986,1,0,488,43.60649108886719
37,372.4089296556809,1,0,132,14.969947814941406
38,382.6149783435403,1,0,143,15.66925048828125
39,409.68957956838045,1,0,80,12.879919052124023
40,-104.24703229994697,0,1,53,7.870854377746582
41,374.5000852658748,1,0,43,5.355118274688721
42,-112.43414346570961,0,1,53,7.308180332183838
43,391.0110456622093,1,0,66,8.50544548034668
44,399.2059002322828,1,0,67,10.421525001525879
45,-94.31387532211075,0,1,59,8.004813194274902
46,397.0917491069312,1,0,112,16.279088973999023
47,394.8888243107721,1,0,81,10.897339820861816
48,393.191430392417,1,0,210,25.996559143066406
49,-98.14550813928251,0,1,49,7.070852756500244
50,409.8588195838928,1,0,77,12.602880477905273
51,-122.95228167023984,0,1,91,11.453652381896973
52,407.41926455937323,1,0,76,11.795814514160156
53,-97.42046383987243,0,1,114,19.020252227783203
54,377.6910198130199,1,0,44,5.485234260559082
55,429.89646386636144,1,0,102,16.305084228515625
56,-125.19261018568059,0,1,35,3.4439730644226074
57,387.10723576731607,1,0,92,11.03653621673584
58,28.727433389426384,0,0,500,48.69462585449219
59,397.06285453076464,1,0,67,9.53396987915039
60,412.21196867486066,1,0,96,15.785135269165039
61,416.12585566395126,1,0,86,13.557936668395996
62,373.77680409288774,1,0,112,10.465163230895996
63,384.7878123415852,1,0,43,4.968654632568359
64,-116.49621665082525,0,1,33,3.3962466716766357
65,-104.1192875148504,0,1,46,5.858146667480469
66,402.71146651749314,1,0,107,15.65650463104248
67,405.58855800815667,1,0,79,11.320663452148438
68,-99.37996077825831,0,1,54,8.017728805541992
69,-118.63224591492997,0,1,24,1.9739916324615479
70,-133.32669864425537,0,1,31,2.5950920581817627
71,-97.58231764949207,0,1,48,6.453326225280762
72,409.1697324714715,1,0,77,12.204388618469238
