episode,return,success,collision,steps,path_length
0,371.3279237195765,1,0,104,11.103196144104004
1,382.37622229209916,1,0,54,6.8775954246521
2,385.00604071981456,1,0,67,7.745752334594727
3,396.2330854435806,1,0,67,9.707246780395508
4,391.26663047790527,1,0,57,8.520466804504395
5,407.75814724927386,1,0,118,18.309494018554688
6,400.40010367989333,1,0,92,15.169951438903809
7,-120.04899431851538,0,1,30,2.1200320720672607
8,410.26514495193146,1,0,97,15.802552223205566
9,-133.06477940275317,0,1,153,18.71825408935547
10,386.80963632131466,1,0,69,9.12537670135498
11,395.38644645465905,1,0,66,9.319292068481445
12,386.20318910035235,1,0,69,10.092874526977539
13,387.1123162243366,1,0,53,7.663987159729004
14,-88.55804877151675,0,1,77,12.628154754638672
15,-89.20660892609114,0,1,61,8.291441917419434
16,374.5876757817004,1,0,167,18.09339714050293
17,363.89584397551334,1,0,118,12.792845726013184
18,410.90029630385106,1,0,115,11.815709114074707
19,378.39256191897675,1,0,60,7.287258148193359
20,435.86649918942703,1,0,145,25.246925354003906
21,-128.3823229528678,0,1,33,3.5503437519073486
22,371.297597525931,1,0,130,15.514504432678223
23,386.23588939719644,1,0,57,7.721704959869385
24,378.85942854250766,1,0,116,13.569024085998535
25,373.8311187930012,1,0,54,5.723705768585205
26,376.87444965940904,1,0,47,6.463438987731934
27,-152.6623258184833,0,1,92,13.62662410736084
28,386.6261900693327,1,0,64,9.152923583984375
29,-84.34712651671106,0,1,62,9.617109298706055
30,-110.50565057611632,0,1,13,0.6428108811378479
31,371.72274771052463,1,0,126,12.186934471130371
32,417.3064853848219,1,0,91,14.535964012145996
33,399.1145007080794,1,0,89,12.918967247009277
34,-114.97629625777824,0,1,37,4.410491466522217
35,-116.66510903345392,0,1,45,6.246858596801758
36,-110.35602302829778,0,1,41,5.4708051681518555
37,367.8332044389367,1,0,48,6.448494911193848
38,386.7702629719299,1,0,60,8.279570579528809
39,371.27964537262227,1,0,109,12.295269966125488
40,383.57368367336375,1,0,125,16.479764938354492
41,413.0910776134729,1,0,92,14.743167877197266
42,-100.01816265099343,0,1,51,7.47085428237915
43,374.75865981081125,1,0,41,5.236514091491699
44,-106.80625619610565,0,1,55,7.961361408233643
45,386.882468091228,1,0,102,11.562410354614258
46,396.9859957930461,1,0,167,22.860864639282227
47,423.079878591381,1,0,113,19.04851531982422
48,396.23634601852734,1,0,118,17.002532958984375
49,394.56102037407453,1,0,75,10.201363563537598
50,395.23121506799936,1,0,105,11.518492698669434
51,-97.42634159255064,0,1,49,7.070852279663086
52,409.4378855255842,1,0,78,12.869977951049805
53,373.9794981130994,1,0,147,17.723718643188477
54,407.5678587634414,1,0,77,11.603981018066406
55,403.8256455945473,1,0,94,15.284266471862793
56,377.78075660922883,1,0,44,5.6227569580078125
57,-90.29824823585884,0,1,53,7.8366379737854
58,-117.59058773700235,0,1,37,4.592084884643555
59,386.60324711463795,1,0,79,9.907144546508789
60,-111.97861218598412,0,1,37,4.359755992889404
61,396.51414846189317,1,0,67,9.929854393005371
62,410.8830858578817,1,0,96,15.958756446838379
63,415.66100670652054,1,0,86,13.51330280303955
64,375.93751540199355,1,0,52,5.756886959075928
65,384.33780622826737,1,0,43,4.9406304359436035
66,-114.88667648750382,0,1,32,2.9448623657226562
67,-108.04725341159954,0,1,46,5.9532246589660645
68,401.5758268589228,1,0,88,13.743658065795898
69,-115.9956485338912,0,1,164,22.21686553955078
70,-99.86853185932566,0,1,53,7.8239617347717285
71,406.5712685342949,1,0,107,15.446722030639648
72,379.2854742787305,1,0,159,21.287128448486328
73,-93.76416563224856,0,1,55,7.121735572814941
74,409.4028567661941,1,0,78,12.029287338256836
75,389.4020439327343,1,0,86,11.17761516571045
76,396.4357710365802,1,0,68,9.735031127929688
77,404.1074813458599,1,0,76,11.672958374023438
78,-118.05054399360793,0,1,28,2.53188419342041
79,-115.56892587502428,0,1,41,3.9559762477874756
80,-102.7202520341316,0,1,53,6.910905838012695
81,387.4830688761507,1,0,95,10.56818962097168
82,403.1445759921838,1,0,73,10.855093955993652
83,394.33296182303127,1,0,92,13.080292701721191
84,386.4642955910861,1,0,57,7.475849628448486
85,384.14603914858395,1,0,71,9.342728614807129
86,-126.62625132953846,0,1,124,8.665680885314941
87,-97.16507418442343,0,1,50,6.409536838531494
88,396.3380195042604,1,0,73,11.264429092407227
89,352.30156018904125,1,0,48,4.55786657333374
90,-105.31074661346501,0,1,8,0.19301441311836243
91,385.02893628428285,1,0,145,18.057830810546875
92,-114.8165309089569,0,1,55,4.75581693649292
93,385.8725924721751,1,0,239,35.60139846801758
94,408.67937851771745,1,0,106,17.984521865844727
