episode,return,success,collision,steps,path_length
0,385.37881782060856,1,0,65,7.533125877380371
1,395.2731023790321,1,0,67,9.815237998962402
2,391.281058054626,1,0,58,8.556902885437012
3,407.9753525517347,1,0,117,18.2117919921875
4,403.177210197436,1,0,88,14.28448486328125
5,-120.7382373480045,0,1,28,1.7420018911361694
6,409.0505547839601,1,0,96,15.567047119140625
7,-124.91599554002477,0,1,146,17.606327056884766
8,386.3906125789997,1,0,66,8.78052043914795
9,395.1357713599354,1,0,66,9.321109771728516
10,-103.95120419183583,0,1,52,6.7435736656188965
11,387.4628144810796,1,0,54,7.762209892272949
12,-88.52928619223272,0,1,82,13.670853614807129
13,-88.8799981134077,0,1,58,8.103860855102539
14,-99.53203518513442,0,1,48,6.510401248931885
15,369.965075279805,1,0,108,10.713830947875977
16,410.9095377871265,1,0,123,12.061396598815918
17,378.60081479919234,1,0,57,6.813713550567627
18,435.782530430831,1,0,142,24.83561134338379
19,423.4554772622749,1,0,124,21.537261962890625
20,370.6469425976431,1,0,130,15.509398460388184
21,386.37156121859135,1,0,57,7.688138008117676
22,383.7126131438448,1,0,104,11.93785285949707
23,374.1324698300332,1,0,52,5.804676532745361
24,376.43808972429736,1,0,47,6.426789283752441
25,-153.5979165581532,0,1,86,12.793495178222656
26,386.3828245846182,1,0,60,8.36101245880127
27,-86.1643409968695,0,1,62,9.593769073486328
28,-110.27018280901581,0,1,13,0.6375880837440491
29,373.53641714656726,1,0,104,9.28345012664795
30,417.7640081580952,1,0,87,14.142876625061035
31,399.3203563156804,1,0,91,13.627270698547363
32,-119.81942936401627,0,1,38,4.755614757537842
33,-114.17320840938876,0,1,47,6.669650077819824
34,-113.17599847694001,0,1,42,5.670854091644287
35,368.02409074990084,1,0,48,6.423330307006836
36,385.1508159481999,1,0,60,8.335966110229492
37,369.2295709401534,1,0,109,11.28041934967041
38,383.703734107609,1,0,127,17.14231300354004
39,412.67696489792314,1,0,87,13.796582221984863
40,-104.01966009262588,0,1,52,7.670841217041016
41,374.3838670270741,1,0,41,5.177073001861572
42,401.5678605085295,1,0,201,28.26559829711914
43,390.3685041014701,1,0,64,8.816898345947266
44,398.1869312446624,1,0,165,22.360198974609375
45,423.14087358356267,1,0,113,19.1074161529541
46,396.39023680502726,1,0,119,17.41415786743164
47,394.7824056669473,1,0,73,10.039834976196289
48,393.5312633205506,1,0,85,10.505603790283203
49,-100.5557326691905,0,1,50,7.270853042602539
50,409.48468018221854,1,0,77,12.66345500946045
51,375.42759303925567,1,0,136,16.168834686279297
52,407.962807827428,1,0,77,11.667268753051758
