update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1362.8,253.34350937318126,0.7142857142857143,0.2619047619047619,96.52380952380952,326.6224261332873,174.72853866935648,0.8666666666666667,0.13333333333333333,92.03333333333333,12.48479018608729,132.7197208323377,-0.01228847136879538,265.4639293914146,-0.1505561701794888,0.005511311476336832,0.06881648936170212,0.22397737205028534,1.0
2,8192,1443.6,248.87406208851354,0.72,0.28,102.06,241.30062882852053,232.69478064940162,0.7,0.3,91.1,12.487003596623738,86.91378836419172,-0.0117928178025896,173.85106826587847,-0.158477398999937,0.006045495142128057,0.07892117834394904,0.22307613492012024,1.0
3,12288,1492.2,180.45221594592473,0.58,0.42,80.54,141.86289236405804,245.61772642673427,0.5,0.5,69.63333333333334,9.075808872779211,174.78142093022663,-0.009491868270561098,349.58172216415403,-0.1658873533209165,0.004729270797300463,0.057047526041666664,0.22242173552513123,0.0
4,16384,1505.7,231.33094694627255,0.68,0.32,87.34,227.2708051891421,234.19828564732626,0.6666666666666666,0.3333333333333333,86.83333333333333,11.30548709233602,137.17079140345257,-0.012380541059731817,274.36624034245807,-0.1720910683274269,0.0050959280468911555,0.06155598958333333,0.2216380536556244,0.0
5,20480,1504.3,202.55751484670247,0.62,0.38,93.26,241.07782642126068,232.26066486684755,0.7,0.3,83.13333333333334,11.283596436182657,156.09545645713806,-0.011417784947358693,312.21364367802937,-0.17775285840034485,0.0047873148083454,0.057470703125,0.22126039862632751,0.0
6,24576,1516.5,162.85086996852056,0.54,0.46,83.0,305.49821528573483,191.1602237913945,0.8333333333333334,0.16666666666666666,94.86666666666666,13.089841651916505,182.29101011068514,-0.012600510823770915,364.6071090698242,-0.1778809162649778,0.005965307614268126,0.07702274133663366,0.22175902128219604,1.0
7,28672,1530.8,162.66907968875245,0.54,0.46,91.34,193.66089167641263,245.37342951212264,0.6,0.4,86.0,11.744989395141602,169.36202780714314,-0.010782836616554669,338.7455209528358,-0.17613062638680912,0.0052707861742746194,0.0650219963592233,0.22136689722537994,1.0
8,32768,1540.5,263.70862060945495,0.74,0.24,100.22,277.1060347927857,212.51754188898423,0.7666666666666667,0.23333333333333334,68.26666666666667,9.732604432106019,226.52717485427857,-0.010376159420896631,453.07498156229656,-0.17860463956991832,0.004149075927368055,0.04534505208333333,0.22130662202835083,0.0
9,36864,1557.7,180.87731798892779,0.58,0.42,78.6,177.21699697239703,250.12642641330106,0.5666666666666667,0.43333333333333335,68.63333333333334,9.47498125731945,128.1412216788844,-0.015719313649950842,256.3137679652164,-0.17880002071982937,0.006092158316536561,0.07654194078947368,0.2212887406349182,1.0
10,40960,1562.0,225.91452668072318,0.66,0.32,98.38,219.19032775504212,245.10142651110607,0.6666666666666666,0.3333333333333333,95.06666666666666,12.762411467234294,164.90098963992696,-0.01180223133546156,329.8254696125156,-0.1805837288708754,0.0059207604658033505,0.07473224765258216,0.22088736295700073,1.0
11,45056,1571.5,225.5679916115704,0.66,0.32,93.5,279.1198678882799,214.69465500065132,0.7666666666666667,0.23333333333333334,100.8,13.099670070409775,152.00972668329874,-0.010046734638135171,304.03943179902575,-0.1819076609043848,0.005196844015569825,0.06189546130952381,0.22117677330970764,1.0
12,49152,1572.4,193.88071905374133,0.6,0.38,90.18,250.75942264803578,228.45921848352035,0.7,0.26666666666666666,104.56666666666666,12.692624624570211,138.66602446206252,-0.014305060741084454,277.3605450960859,-0.18145938374888357,0.005747390333001488,0.07258951005025126,0.22084249556064606,1.0
13,53248,1578.7,221.90389357548588,0.66,0.34,95.92,276.90364574058896,204.3309552192802,0.7666666666666667,0.23333333333333334,94.66666666666667,12.46890074412028,179.6599756592479,-0.012095408698845676,359.34402516967094,-0.18263548845685393,0.005436513592442237,0.06660265363128491,0.2210487276315689,1.0
14,57344,1584.0,260.9995573147951,0.74,0.24,106.38,138.79579731148027,251.15581145266356,0.5,0.5,80.3,10.441588778297106,169.41655413309732,-0.011882329872106294,338.8567565095191,-0.1822224943076863,0.005967550715842449,0.07356770833333333,0.22078225016593933,1.0
15,61440,1590.8,220.32797546172498,0.66,0.32,92.88,107.9540627145061,245.67698926218998,0.43333333333333335,0.5666666666666667,57.333333333333336,7.572071560223898,204.45888770421345,-0.0118354344565887,408.9413298288981,-0.1850634530186653,0.005474006350656661,0.06534830729166667,0.22038349509239197,0.0
16,65536,1591.3,239.3134286188105,0.7,0.3,90.48,209.8864121882417,239.43450531133675,0.6333333333333333,0.36666666666666664,87.03333333333333,11.518155082066853,157.00631869633992,-0.012569705282415574,314.0376612027486,-0.18380603243907292,0.005596998469748845,0.06998697916666667,0.22133386135101318,0.0
17,69632,1589.9,212.57555864768975,0.64,0.34,99.46,225.66185078808365,236.51067071607116,0.6666666666666666,0.3333333333333333,89.23333333333333,11.55752599934737,167.76126119295756,-0.012694402423221618,335.547797425588,-0.17802758713563283,0.00546734800930911,0.070361328125,0.22165367007255554,0.0
18,73728,1589.2,275.72775258894563,0.76,0.2,108.94,244.66767271444488,231.21951281378693,0.7,0.3,88.2,11.158115418752034,165.99450287818908,-0.012808154403076817,332.01451743443806,-0.1776813179254532,0.005291604337010843,0.063330078125,0.22108599543571472,0.0
19,77824,1588.9,258.6830865259885,0.74,0.26,93.84,172.86740417252355,245.88815717356053,0.5666666666666667,0.43333333333333335,91.4,11.27302904923757,188.6410254889755,-0.013204497026976958,377.3083431732033,-0.18111999339966978,0.006218072053451109,0.07875444312796208,0.22110411524772644,1.0
20,81920,1595.2,229.22374018523172,0.68,0.32,102.76,223.08807589398754,236.59756737111542,0.6666666666666666,0.3333333333333333,104.33333333333333,13.843654282887776,129.77251110985165,-0.008613712908256622,259.5621374947684,-0.18119497980390276,0.004339224410553773,0.05033482142857143,0.22107696533203125,1.0
21,86016,1594.9,206.67597466034724,0.62,0.36,90.96,276.2215530596335,216.25007745060302,0.7666666666666667,0.23333333333333334,85.13333333333334,12.001520075385148,212.8364133834839,-0.009397977828242195,425.69150416056317,-0.18453385978937148,0.004324103090524053,0.0501953125,0.22024020552635193,0.0
22,90112,1592.5,237.5734263418079,0.68,0.32,89.02,259.6716930857913,221.62295856552873,0.7333333333333333,0.26666666666666666,98.16666666666667,12.871572462717692,128.89314111073813,-0.01149797784552599,257.80916401545204,-0.18852491875489552,0.005471436932566576,0.06796875,0.22038809955120087,0.0
