episode,return,success,collision,steps,path_length
0,385.1964395062929,1,0,68,7.584676742553711
1,394.82910158284835,1,0,67,9.826029777526855
2,391.75380783855917,1,0,58,8.72692584991455
3,407.3128801890674,1,0,119,18.449832916259766
4,402.3169370402888,1,0,89,14.53212833404541
5,382.14488756597905,1,0,140,14.484224319458008
6,408.4153299506101,1,0,96,15.577228546142578
7,-130.345072520426,0,1,157,19.637575149536133
8,386.668520304263,1,0,72,9.340118408203125
9,395.0354248156547,1,0,67,9.515604019165039
10,-92.346654487313,0,1,52,6.836123466491699
11,387.1511225761175,1,0,54,7.71845006942749
12,-89.81720654369649,0,1,76,12.468069076538086
13,-92.19985858614379,0,1,60,8.173595428466797
14,-97.38246404632189,0,1,50,6.857161998748779
15,373.67311476784937,1,0,43,5.465782165527344
16,411.9407714447921,1,0,105,11.581270217895508
17,378.4230370113878,1,0,59,7.106729984283447
18,435.8579215715919,1,0,145,25.407573699951172
19,424.0956465040884,1,0,125,21.69559669494629
20,369.0567718108113,1,0,129,15.337937355041504
21,386.5533842114657,1,0,57,7.725329399108887
22,-110.30660345760153,0,1,76,10.948029518127441
23,367.59288050267077,1,0,93,7.8702802658081055
24,376.68839924434036,1,0,47,6.489645957946777
25,-149.73977773598597,0,1,87,12.886838912963867
26,386.2415248466879,1,0,60,8.365242004394531
27,-82.96161632326124,0,1,62,9.598516464233398
28,-110.50328640246691,0,1,13,0.642759382724762
29,373.35788150623534,1,0,117,10.825016021728516
30,417.477007742688,1,0,91,14.3107271194458
31,398.57801967789396,1,0,90,12.851700782775879
32,-120.58662336202666,0,1,38,4.6113715171813965
33,-114.01495947690594,0,1,47,6.665913105010986
34,-110.7148158392506,0,1,41,5.470854759216309
35,367.4497210560311,1,0,48,6.486076354980469
36,384.30663326494783,1,0,62,8.355240821838379
37,370.73904160231785,1,0,108,11.976297378540039
38,383.677777482501,1,0,130,17.443370819091797
39,412.4241944886967,1,0,87,13.785161972045898
40,-105.0514436172786,0,1,52,7.670853614807129
41,374.39024222627285,1,0,42,5.33710241317749
