update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1821.1,191.34232075201308,0.6,0.38,80.58,281.07104166670825,208.0535827315139,0.7666666666666667,0.2,110.16666666666667,14.595048999786377,229.10091365178425,-0.00990465127203303,458.2221014340719,0.22816094408432644,0.005086530116386712,0.06033528645833333,0.2710656523704529,0.0
2,8192,1936.6,253.6648006929028,0.72,0.28,81.78,260.522149379075,225.0029767344246,0.7333333333333333,0.26666666666666666,75.8,10.742567495505016,133.1477355448405,-0.010906615518033505,266.3177369181315,0.2257669194539388,0.0055611523039018115,0.060182291666666665,0.27069759368896484,1.0
3,12288,1960.9,241.54655206830816,0.7,0.3,89.74,158.13721366665857,248.20569279970357,0.5333333333333333,0.4666666666666667,66.46666666666667,8.684113046526909,211.81792157491049,-0.011363927754185472,423.659016195933,0.22371018479267757,0.005012373123706008,0.06271158854166667,0.27068448066711426,0.0
4,16384,1952.8,233.26410878276548,0.68,0.32,80.88,211.49019452546966,241.61466505075606,0.6333333333333333,0.36666666666666664,90.56666666666666,11.811030681927999,159.2121715227763,-0.013313317749028405,318.4514073530833,0.21895080904165903,0.006682648184748056,0.0857421875,0.2691349685192108,0.0
5,20480,1966.4,214.18993399517328,0.64,0.36,87.76,256.81877509082227,225.8243776222454,0.7333333333333333,0.26666666666666666,80.03333333333333,11.05116856098175,145.767460951934,-0.012919180910103023,291.5611828984441,0.2099688982104396,0.008244396746368357,0.10585585585585586,0.2687017321586609,1.0
6,24576,1971.2,241.13473523299098,0.7,0.3,90.84,303.78547439367463,200.32481461214854,0.8333333333333334,0.16666666666666666,92.16666666666667,12.964689540863038,124.33371649522047,-0.014538917309628465,248.69692713419596,0.20663729080787072,0.009660315992406163,0.12608173076923077,0.2678959369659424,1.0
7,28672,1964.8,225.7440018347723,0.66,0.32,94.46,176.94252601192235,246.5950657343147,0.5666666666666667,0.43333333333333335,75.96666666666667,10.018144289652506,120.766406027476,-0.013716780217752482,241.56066130002338,0.20726448595523833,0.006923878763336689,0.08603515625,0.26965489983558655,0.0
8,32768,1973.3,190.48832232200112,0.6,0.4,82.26,292.5694435994759,200.36512565051117,0.8,0.2,73.73333333333333,10.156056141853332,146.36210215886433,-0.012703900400083512,292.7500381151835,0.21361933847268422,0.00703241319473212,0.08741861979166667,0.26886242628097534,0.0
9,36864,1979.6,196.0115346143454,0.6,0.38,97.82,177.50352354981584,248.75434184842703,0.5666666666666667,0.43333333333333335,66.93333333333334,8.989633924762408,95.8682002067566,-0.014930539337607721,191.76667420069376,0.20584290872017544,0.008176180947339162,0.10572916666666667,0.2672705352306366,0.0
10,40960,1970.3,245.43851641956616,0.7,0.3,89.68,168.73409269122567,254.9983682803275,0.5666666666666667,0.43333333333333335,71.56666666666666,9.601285807291667,188.86226003964742,-0.014426095999078825,377.7537617365519,0.19638059834639232,0.00852856861311011,0.11321614583333334,0.26716551184654236,0.0
11,45056,1942.6,224.35254216900765,0.66,0.34,97.16,246.73197949883289,235.6008992924084,0.7,0.3,94.6,12.898059089978537,154.44938707351685,-0.012441774516870889,308.92404991785685,0.1984882841507594,0.006576216556519891,0.085009765625,0.26763948798179626,0.0
