episode,return,success,collision,steps,path_length
0,385.40509426219387,1,0,66,7.66563606262207
1,393.3054274193513,1,0,66,9.71754264831543
2,391.56436836889384,1,0,57,8.624661445617676
3,-99.61007764674783,0,1,64,10.059917449951172
4,399.9637354819902,1,0,93,15.324231147766113
5,385.8993352116128,1,0,141,14.435086250305176
6,413.94440445208016,1,0,102,16.943286895751953
7,375.3526459688842,1,0,52,5.636148929595947
8,386.8336034035542,1,0,78,9.955887794494629
9,395.349955835402,1,0,66,9.32143497467041
10,-98.11653195952277,0,1,52,6.731653213500977
11,386.9527235201001,1,0,54,7.636953830718994
12,-89.36418924441023,0,1,78,12.767679214477539
13,-94.71353052252908,0,1,58,7.603065490722656
14,373.0313785273721,1,0,152,16.243499755859375
15,374.0276285767052,1,0,43,5.315509796142578
16,411.40870706463954,1,0,136,13.626612663269043
17,378.4014314186601,1,0,62,7.422036170959473
18,436.03998040406407,1,0,147,26.109481811523438
19,-127.74726348919312,0,1,34,3.6920583248138428
20,371.7433268022462,1,0,128,15.171590805053711
21,386.64218182635307,1,0,57,7.7472076416015625
22,-111.11830263460377,0,1,67,10.608055114746094
23,370.65047654287525,1,0,192,18.746702194213867
24,372.2523821114738,1,0,48,6.660604476928711
25,-154.93324854110082,0,1,93,13.841137886047363
26,386.5656450245529,1,0,63,8.694235801696777
27,-84.34584184765944,0,1,63,9.779569625854492
28,-110.53513218047264,0,1,13,0.64346843957901
29,370.18325954953684,1,0,129,12.640115737915039
30,416.9820194989667,1,0,113,15.043578147888184
31,399.2071743722105,1,0,94,12.868752479553223
32,-115.65074864543067,0,1,37,4.54251766204834
33,-117.59290188476893,0,1,44,6.069516658782959
34,-114.33075424075258,0,1,42,5.670854091644287
35,366.8436634343319,1,0,49,6.63559627532959
36,383.9450059660238,1,0,76,8.266247749328613
37,370.20557656464615,1,0,116,13.134449005126953
38,383.3559442331768,1,0,120,15.296905517578125
39,412.49827496170246,1,0,89,14.100640296936035
40,-101.23167070282403,0,1,52,7.670854568481445
41,374.38259964111444,1,0,41,5.176815032958984
42,-108.98242624992818,0,1,54,7.656673431396484
43,-111.02146380899366,0,1,77,11.696367263793945
