episode,return,success,collision,steps,path_length
0,-115.39651993153693,0,1,50,6.858367919921875
1,398.03479447441043,1,0,98,10.075439453125
2,5.598695389324557,0,0,500,41.487361907958984
3,412.23808074179135,1,0,140,17.925029754638672
4,406.83380695626687,1,0,107,12.73178768157959
5,-123.46366484692905,0,1,23,1.3322798013687134
6,414.02806776959443,1,0,94,14.77901840209961
7,-116.33394399035079,0,1,47,5.1129889488220215
8,15.46943604721489,0,0,500,29.558963775634766
9,-114.65428032256014,0,1,46,5.584214210510254
10,23.898434616763016,0,0,500,19.908817291259766
11,27.379552313305474,0,0,500,16.5321044921875
12,409.22171088889047,1,0,80,12.898018836975098
13,413.58679711297157,1,0,87,13.312315940856934
14,-100.937182469319,0,1,47,6.482178688049316
15,12.113941728172236,0,0,500,18.093534469604492
16,413.00407280772174,1,0,62,8.796460151672363
17,378.61884087087105,1,0,50,6.009195804595947
18,67.26741226392106,0,0,500,35.7308349609375
19,-65.50051216484721,0,1,142,22.75534439086914
20,370.7734306616209,1,0,49,4.912718772888184
21,14.302175396068487,0,0,500,23.696636199951172
22,386.6169494663244,1,0,65,7.6644368171691895
23,-114.25091418826689,0,1,42,3.8227012157440186
24,378.0386986948004,1,0,165,19.708202362060547
25,-118.70184997797496,0,1,71,9.287877082824707
26,18.921733551027714,0,0,500,24.274059295654297
27,-85.23642400860936,0,1,62,9.67085075378418
28,-111.63997185712998,0,1,14,0.7131735682487488
29,373.023334412009,1,0,307,24.961124420166016
30,415.69294577955793,1,0,121,17.684484481811523
31,398.29907453806186,1,0,166,11.887944221496582
32,386.12264278514937,1,0,80,8.221856117248535
33,408.07704480253153,1,0,90,12.027609825134277
34,-102.8739248920378,0,1,45,4.972311973571777
35,368.35489638377226,1,0,170,19.184608459472656
36,-105.85909493131169,0,1,120,13.354549407958984
37,-118.0178230371181,0,1,33,1.9233604669570923
38,386.0288978221829,1,0,74,8.74073600769043
39,47.457288030882324,0,0,500,30.69190216064453
40,48.24842268903331,0,0,500,30.062252044677734
41,-129.7588831630928,0,1,107,12.33151912689209
42,413.8474948703796,1,0,90,13.224141120910645
43,390.8141407895282,1,0,60,8.542932510375977
44,35.001309732738285,0,0,500,29.35921859741211
45,422.94861540444936,1,0,99,15.750216484069824
46,395.8963278214104,1,0,73,9.90831184387207
47,394.90365869794243,1,0,68,9.383296966552734
48,30.10555839614329,0,0,500,33.76062774658203
49,-99.20456126105633,0,1,48,6.793933391571045
50,406.9767743281126,1,0,184,24.01613998413086
51,380.4306965397196,1,0,54,6.21914005279541
52,407.0852460222989,1,0,80,12.14925765991211
53,404.52659865406895,1,0,76,11.14830493927002
54,374.7861528803929,1,0,173,17.196393966674805
55,-97.52387599021854,0,1,51,7.460176944732666
56,411.6533544725827,1,0,90,12.972101211547852
57,20.318633883965767,0,0,500,35.44581604003906
58,-109.30376327354345,0,1,117,12.613056182861328
59,394.3748437651544,1,0,157,19.564151763916016
60,415.9189204695821,1,0,91,13.851792335510254
61,417.4639631258175,1,0,127,21.5128231048584
62,375.8786179920137,1,0,50,5.717710494995117
63,23.684123853121594,0,0,500,6.41109037399292
64,395.2478333810269,1,0,149,18.1456298828125
65,401.02689414619124,1,0,132,20.14244270324707
66,-114.92282915847329,0,1,40,4.110827922821045
67,405.55518636851383,1,0,73,11.483514785766602
68,414.1549843258233,1,0,203,28.15869140625
69,-120.39570532967252,0,1,25,1.601413369178772
70,382.86495643575813,1,0,192,22.774246215820312
71,-93.77154423103832,0,1,58,7.1861467361450195
72,409.95146743418644,1,0,83,12.855833053588867
73,379.0597532737942,1,0,154,13.46784782409668
74,396.2437606694102,1,0,78,11.072796821594238
75,407.61241817930124,1,0,86,11.729703903198242
76,-119.66523837090043,0,1,27,2.009169101715088
77,-117.85796309003454,0,1,39,2.1681013107299805
78,414.9432527548969,1,0,109,16.261415481567383
79,30.559614990619615,0,0,500,28.47815704345703
80,-118.87157748039175,0,1,36,3.724121570587158
81,385.61502458658947,1,0,353,33.10032272338867
82,22.385157502879228,0,0,500,36.202980041503906
83,384.4694044684446,1,0,66,7.108954906463623
84,390.8235638892421,1,0,162,19.568359375
85,407.8864990962001,1,0,102,13.100257873535156
86,-114.41496806178887,0,1,31,3.2938623428344727
87,1.5140284697075117,0,0,500,5.100370407104492
88,-103.61283636565044,0,1,8,0.23835435509681702
89,-116.33515187128636,0,1,27,1.91524338722229
90,-111.568982640353,0,1,78,4.511228084564209
91,10.248508521678197,0,0,500,32.25238037109375
92,412.1052919198349,1,0,82,12.502020835876465
93,30.342372348612138,0,0,500,10.123480796813965
94,388.262783225795,1,0,185,19.182716369628906
95,-101.93590869261484,0,1,53,6.8222174644470215
96,402.85427897508066,1,0,75,11.299198150634766
97,406.2432846428528,1,0,77,11.442960739135742
98,394.8009257441776,1,0,74,9.515645980834961
99,377.27302106569704,1,0,56,5.68602991104126
100,29.85398843990238,0,0,500,18.379467010498047
101,383.2264269025546,1,0,64,6.901718616485596
102,-97.75652819317327,0,1,102,11.760313034057617
103,25.800611569643284,0,0,500,41.5007209777832
104,397.57344925173,1,0,210,22.887123107910156
105,-114.17047153943682,0,1,85,10.86631965637207
106,65.06635804706622,0,0,500,40.71924591064453
107,429.7705589434579,1,0,144,25.74734115600586
108,395.49414770664936,1,0,64,9.329455375671387
109,13.637343935000024,0,0,500,36.55009460449219
110,413.30666384054325,1,0,130,21.82083511352539
111,-113.48846077963482,0,1,39,3.7579100131988525
112,19.080600909190764,0,0,500,21.987953186035156
113,381.20741232415656,1,0,62,6.441738605499268
114,-104.04229145472216,0,1,46,5.127154350280762
115,395.4309877461246,1,0,143,16.559310913085938
116,401.5654436894804,1,0,151,19.6311092376709
117,-104.10369507009725,0,1,51,7.130520820617676
118,385.74393180325626,1,0,140,16.16082763671875
119,408.46245551863893,1,0,80,13.098188400268555
120,368.6041950041406,1,0,172,13.723217964172363
121,-123.04152250666714,0,1,107,8.08883285522461
122,399.8683143408504,1,0,54,6.910360336303711
123,38.70302871412049,0,0,500,32.03838348388672
124,-102.57463499629964,0,1,46,5.8777947425842285
125,396.05892531384524,1,0,92,12.019896507263184
126,422.17906451524794,1,0,103,15.05313777923584
127,381.65334596745015,1,0,54,7.0176100730896
128,395.3424463335433,1,0,67,9.372160911560059
129,375.09202910643813,1,0,47,5.214109420776367
130,-114.32001516023163,0,1,34,4.01702356338501
131,394.2952418430168,1,0,65,9.105326652526855
132,-85.29209011271554,0,1,80,12.843669891357422
133,394.0287745372504,1,0,63,9.129213333129883
134,389.88755331166084,1,0,61,8.301170349121094
135,407.46881001033023,1,0,230,27.62293243408203
136,-111.95746899002418,0,1,82,9.695438385009766
137,398.3139825052619,1,0,67,10.148106575012207
138,-120.43864843828753,0,1,22,1.78898024559021
139,390.2650620976239,1,0,63,8.238807678222656
140,388.5300222219974,1,0,100,10.809478759765625
141,390.11264584930603,1,0,61,7.363729476928711
142,411.93853232620654,1,0,91,13.493850708007812
143,-102.77495904894678,0,1,132,20.47402572631836
144,32.92713418728043,0,0,500,35.684288024902344
145,24.02747458265321,0,0,500,26.676963806152344
146,-6.502075848772778,0,0,500,3.836371660232544
147,-115.2231718447665,0,1,41,4.281163692474365
148,395.85394778130404,1,0,71,9.793922424316406
149,-111.68492397443208,0,1,24,1.4608333110809326
150,377.79183588836213,1,0,176,18.10016632080078
151,407.23196433725906,1,0,164,19.18877601623535
152,-96.60247140948067,0,1,50,6.449143886566162
153,-95.23783873324551,0,1,51,7.162930011749268
154,351.877778617476,1,0,174,13.98951530456543
155,-109.20329318064708,0,1,41,5.2248077392578125
156,391.8147055254382,1,0,321,27.661300659179688
157,371.18658265418395,1,0,120,10.94452953338623
158,385.4322509999666,1,0,65,7.295428276062012
159,390.3865748981535,1,0,62,8.447712898254395
160,19.795790122213266,0,0,500,40.06501007080078
161,-78.99513115229314,0,1,124,17.67034912109375
162,-89.50266872978138,0,1,64,10.069816589355469
163,394.4872318263352,1,0,68,9.259160995483398
164,415.005529434368,1,0,95,15.437094688415527
165,390.2254603753239,1,0,65,8.251980781555176
166,-110.80575449085188,0,1,51,6.567025184631348
167,398.8651809131801,1,0,76,10.821523666381836
168,403.40945243471856,1,0,72,11.079084396362305
169,-108.11680644614906,0,1,41,4.3730926513671875
170,-93.24548244656188,0,1,181,19.222145080566406
171,382.8587038280215,1,0,52,6.1827778816223145
172,441.8010916260925,1,0,120,20.17499542236328
173,375.04969615127436,1,0,304,22.494829177856445
174,415.88237649814783,1,0,97,15.95704174041748
175,-106.60913433226952,0,1,77,7.794114589691162
176,-118.27295244630545,0,1,29,2.982842206954956
177,-117.19857064686421,0,1,28,2.46412992477417
178,-118.66898226163175,0,1,41,3.930306911468506
179,-113.04403977131594,0,1,37,4.086136817932129
180,393.308644681923,1,0,163,19.703285217285156
181,370.70541770303424,1,0,52,4.766205310821533
182,399.0660468609482,1,0,94,11.839696884155273
183,395.95991261883086,1,0,323,29.552576065063477
184,40.99330737186655,0,0,500,22.831100463867188
185,-116.94665423738805,0,1,29,2.7626395225524902
186,422.14989364551,1,0,97,15.427593231201172
187,368.93075870045686,1,0,195,15.629913330078125
188,388.06258674246635,1,0,123,17.17230224609375
189,26.741427208433674,0,0,500,20.07611083984375
190,-116.77797591030657,0,1,18,0.8957797288894653
191,-99.87032070326666,0,1,49,6.248446941375732
192,383.18804718861156,1,0,177,10.975302696228027
193,379.75751065086786,1,0,163,18.91672706604004
194,394.8466869012932,1,0,68,9.438708305358887
195,399.51223340181394,1,0,71,10.107440948486328
196,394.05022199365095,1,0,71,9.716525077819824
197,396.9214040423929,1,0,100,10.71091365814209
198,404.50771925964943,1,0,84,12.081903457641602
199,16.647280002447104,0,0,500,34.89236068725586
