episode,return,success,collision,steps,path_length
0,-105.32710589482718,0,1,174,13.063326835632324
1,-121.63113471410183,0,1,95,6.097599983215332
2,-108.66532908524334,0,1,132,13.51065731048584
3,-118.12916022504108,0,1,25,2.298095703125
4,-90.95753563240801,0,1,71,10.802299499511719
5,382.7497852774171,1,0,115,12.586541175842285
6,386.89956302884326,1,0,71,10.04714584350586
7,-119.89027834950215,0,1,20,1.3597748279571533
8,-120.41989643268735,0,1,28,2.8649463653564453
9,394.8377775250196,1,0,79,11.410174369812012
10,-113.71709863107523,0,1,38,3.6904115676879883
11,366.9712062439466,1,0,269,23.339797973632812
12,-115.5268432492454,0,1,32,2.879772901535034
13,-118.94499158732528,0,1,30,3.244936943054199
14,-116.77781397722057,0,1,28,2.65708589553833
15,-115.27454819321336,0,1,17,0.9276658296585083
16,393.37072831225595,1,0,248,27.457866668701172
17,-121.69391441950701,0,1,116,13.686851501464844
18,-76.4300072986546,0,1,116,20.063091278076172
19,-97.55472840406252,0,1,77,11.980530738830566
20,-115.85415862493629,0,1,39,4.837950229644775
21,368.4837455762658,1,0,244,27.83686065673828
22,-120.73675874688377,0,1,28,2.7814154624938965
23,-157.53130715935913,0,1,219,18.2003173828125
24,-99.9142341556245,0,1,50,6.723495006561279
25,-105.52136110777096,0,1,39,5.070224761962891
26,346.490752867351,1,0,277,37.168304443359375
27,-117.44958748054518,0,1,25,2.2967255115509033
28,-118.74018793255806,0,1,23,1.8872299194335938
29,-145.10458168814375,0,1,106,12.47718620300293
30,389.68157859372513,1,0,163,18.976573944091797
31,-94.88654773104926,0,1,33,3.869511127471924
32,-114.41505424230895,0,1,219,23.308198928833008
33,-93.67416978350326,0,1,91,15.15178108215332
34,-115.62127428615383,0,1,14,0.711114227771759
35,-111.80885638474659,0,1,40,4.325494766235352
36,-108.75531588624472,0,1,45,6.268329620361328
37,393.7785007711957,1,0,199,22.451005935668945
38,-114.76903442043296,0,1,226,27.44887924194336
39,-100.05449466989836,0,1,44,5.541594982147217
40,-83.36388350942804,0,1,60,9.167327880859375
41,-94.7219645818126,0,1,58,8.041614532470703
42,-115.06813346909503,0,1,31,3.397265911102295
43,-102.71232190602471,0,1,58,8.773683547973633
44,-113.16768729456567,0,1,31,3.4572532176971436
45,412.90511301224933,1,0,114,19.51980972290039
46,-100.60484528386397,0,1,68,9.187394142150879
47,390.2189484993462,1,0,93,10.424065589904785
48,-89.05463107573897,0,1,41,5.47085428237915
49,-117.644070046275,0,1,18,1.2091525793075562
50,-116.31858593116397,0,1,36,4.440791130065918
51,380.31033478904703,1,0,54,6.893969535827637
52,400.71380965126156,1,0,311,31.48912239074707
53,-94.45764854026426,0,1,92,15.229686737060547
54,377.8590048637401,1,0,44,5.555644512176514
55,-88.27752277688009,0,1,57,8.554651260375977
56,-119.13614479868613,0,1,36,4.268593788146973
57,-106.03150662921924,0,1,34,3.9901599884033203
58,-119.93640236196825,0,1,87,6.369041919708252
59,-124.41110255019258,0,1,25,1.9063457250595093
60,411.0077734951771,1,0,97,15.937647819519043
61,-85.05401739707473,0,1,67,9.619473457336426
62,-118.4604452224586,0,1,17,1.081873893737793
63,-118.41659774799626,0,1,24,1.344801425933838
64,-103.73181572099722,0,1,7,0.19799038767814636
65,-92.51384459804228,0,1,61,9.0333833694458
66,-92.90434008212938,0,1,66,9.412158966064453
67,-89.04291094612181,0,1,78,12.676528930664062
68,-112.9289912125767,0,1,38,4.740515232086182
69,-106.35445390765737,0,1,44,5.968210697174072
70,382.7095315321173,1,0,118,14.175186157226562
71,379.93652127816097,1,0,174,15.210123062133789
72,-112.95085235950447,0,1,38,4.186758041381836
73,-119.64299965448247,0,1,69,10.206594467163086
74,-81.17212573927222,0,1,68,9.162328720092773
75,-122.21573228777675,0,1,21,1.3298730850219727
76,-89.21892823840963,0,1,76,11.907307624816895
77,-109.97534080353986,0,1,40,5.248385906219482
78,-116.35012699225254,0,1,40,4.038259983062744
79,377.7129021859964,1,0,322,34.09661865234375
