episode,return,success,collision,steps,path_length
0,385.2688963041594,1,0,63,7.567338943481445
1,-107.89007371757195,0,1,10,0.2907092869281769
2,395.13281937054876,1,0,64,9.382615089416504
3,-96.24818114022227,0,1,60,9.266975402832031
4,402.0476593472437,1,0,91,14.881022453308105
5,-106.25909178869385,0,1,10,0.31558215618133545
6,-120.17954931402657,0,1,24,2.1213202476501465
7,-139.62555473949368,0,1,181,23.85553741455078
8,420.75033379836816,1,0,106,16.869293212890625
9,395.8697945185683,1,0,66,9.368478775024414
10,383.8876032805368,1,0,52,7.061577796936035
11,-110.65360674427627,0,1,43,4.316874027252197
12,-110.38466823421045,0,1,37,4.629828929901123
13,-97.77171819148468,0,1,50,6.463279724121094
14,-113.37490310772564,0,1,39,4.196869850158691
15,-131.0659791075015,0,1,59,4.366318702697754
16,411.99074156573414,1,0,82,12.728323936462402
17,-124.01427909991038,0,1,112,13.102411270141602
18,436.0461904006898,1,0,149,26.2993106842041
19,429.2511830656598,1,0,118,20.02703285217285
20,-113.1909185814679,0,1,44,5.219244956970215
21,386.26909872213747,1,0,58,7.61503791809082
22,-116.55372760529116,0,1,66,10.375868797302246
23,-123.04901814537038,0,1,27,1.9446520805358887
24,-113.3375706999728,0,1,36,4.064859867095947
25,403.7055188535015,1,0,64,7.645544052124023
26,386.8753666569143,1,0,63,8.830474853515625
27,-91.2362075243891,0,1,54,8.058500289916992
28,-92.34202040554375,0,1,54,7.8833909034729
29,373.41523977313614,1,0,101,8.997258186340332
30,-117.97712544833082,0,1,30,3.0513060092926025
31,-116.23895430693764,0,1,21,1.6216384172439575
32,360.4771292722398,1,0,181,24.037687301635742
33,-120.5684491660465,0,1,43,5.485528945922852
34,392.68891870426995,1,0,167,23.104516983032227
35,-115.03732163689587,0,1,35,3.446780204772949
36,396.4380726262457,1,0,283,32.79430389404297
37,401.9442449284339,1,0,103,14.200511932373047
38,383.7615110104885,1,0,153,15.516775131225586
39,406.39644426192046,1,0,87,13.776644706726074
40,-74.13897705326417,0,1,76,12.401944160461426
41,374.7244361139834,1,0,41,5.224788665771484
42,410.323583937004,1,0,93,15.387718200683594
43,-104.93033299906156,0,1,60,9.061115264892578
44,394.3006359827012,1,0,74,11.15820026397705
45,-99.99461135647252,0,1,60,8.135173797607422
46,391.6030715129269,1,0,283,34.330509185791016
47,393.4835990962476,1,0,82,10.754829406738281
48,-100.57675318912212,0,1,46,6.3355817794799805
49,-99.92486529954375,0,1,50,7.269768714904785
50,408.62965418197314,1,0,77,12.66023063659668
51,377.65263725643945,1,0,121,13.309338569641113
52,407.6990978104742,1,0,96,14.443788528442383
53,-114.11113196215197,0,1,47,6.449720859527588
54,390.16466398403776,1,0,46,5.671473026275635
55,-98.16822823303275,0,1,48,6.765336513519287
56,-120.18113447907055,0,1,37,4.297480583190918
57,384.0738016998532,1,0,168,20.120025634765625
58,-144.82119628273762,0,1,260,30.152355194091797
59,396.00902235317864,1,0,67,9.824881553649902
60,413.775182721291,1,0,94,15.272278785705566
61,-87.82217241973746,0,1,70,10.17685604095459
62,376.679216247268,1,0,92,9.058540344238281
63,-116.72892803455072,0,1,24,1.7523295879364014
64,-123.65994298241654,0,1,26,2.325855255126953
65,-110.06734865722704,0,1,41,4.907176971435547
66,-107.74451520943288,0,1,49,6.217196464538574
67,-86.91427519776207,0,1,77,12.579278945922852
68,-113.24439774977351,0,1,33,3.788053035736084
69,-97.96991401285793,0,1,53,7.690135478973389
70,-121.20609219173897,0,1,23,1.4340827465057373
71,-119.77184947688441,0,1,32,2.778343677520752
72,409.14552762218705,1,0,78,12.070966720581055
73,-125.93190678075132,0,1,67,9.784072875976562
74,396.06695639207396,1,0,68,9.910398483276367
75,-117.88209956169625,0,1,19,1.2452292442321777
76,421.4104684370838,1,0,118,20.477615356445312
77,-100.7662991246616,0,1,51,7.140275478363037
78,-118.73072791047016,0,1,35,3.161972761154175
79,-85.60071987426494,0,1,97,10.986403465270996
80,403.55477883709966,1,0,74,11.197514533996582
81,-119.95024328895353,0,1,28,2.633251190185547
82,386.2907637358606,1,0,56,7.435476303100586
83,-120.06671008726589,0,1,59,8.182896614074707
84,-126.69539736127189,0,1,180,6.163573265075684
85,-119.66094502364456,0,1,32,2.832552433013916
86,401.35608334451393,1,0,100,15.228608131408691
87,-100.30917739281394,0,1,12,0.396152526140213
88,-165.8285494906395,0,1,128,18.416370391845703
89,-122.63298148826192,0,1,35,3.820012331008911
90,-112.10186430963492,0,1,40,4.7020463943481445
91,387.1962287317286,1,0,246,37.838897705078125
92,-106.43950695728454,0,1,55,8.253390312194824
93,-120.22282544208107,0,1,30,2.372574806213379
94,393.03642870910437,1,0,93,8.714494705200195
95,416.01856178227985,1,0,88,14.544901847839355
96,-107.4172204864181,0,1,64,9.956195831298828
97,-112.7887499947647,0,1,44,5.775199890136719
98,-103.28020161389243,0,1,40,5.253462314605713
99,374.28763763118735,1,0,46,5.783879280090332
