episode,return,success,collision,steps,path_length
0,420.0653121168986,1,0,90,14.268705368041992
1,377.7168619854301,1,0,102,9.572274208068848
2,397.50984251813003,1,0,67,10.662127494812012
3,386.7669637171626,1,0,54,7.657094955444336
4,372.7225946439282,1,0,88,8.150272369384766
5,428.0454240400046,1,0,99,16.493595123291016
6,-82.16463462937988,0,1,62,9.655235290527344
7,372.87291402877116,1,0,58,6.060532569885254
8,395.3653959627935,1,0,50,6.720421314239502
9,364.14252168731736,1,0,117,12.174575805664062
10,390.7932752999866,1,0,85,12.43200397491455
11,377.95594579261723,1,0,62,6.436711311340332
12,-94.04868112883884,0,1,55,8.192953109741211
13,400.69308693995333,1,0,86,13.3104829788208
14,-100.58557188477822,0,1,50,6.3694539070129395
15,378.985186554362,1,0,54,7.559669494628906
16,-106.3824693909763,0,1,97,16.61070442199707
17,378.3880810214997,1,0,175,17.723155975341797
18,-99.53349892177995,0,1,52,6.689644813537598
19,402.06702104353155,1,0,76,11.398199081420898
20,387.8261589069549,1,0,87,11.140761375427246
21,371.11962675525166,1,0,177,11.44436264038086
22,380.23901237277124,1,0,53,6.247534275054932
23,412.1861358271459,1,0,95,15.342026710510254
24,421.74060681082494,1,0,100,14.91650390625
25,387.5288851150367,1,0,54,7.718413352966309
26,390.5947097362578,1,0,60,8.35789966583252
27,390.12399683861804,1,0,61,8.341045379638672
28,402.9385889776647,1,0,83,12.317684173583984
29,392.62350076719497,1,0,65,10.265896797180176
30,381.166860281946,1,0,49,6.850246906280518
31,-112.25183180238078,0,1,15,0.7542449235916138
32,391.9463412011528,1,0,100,11.371541976928711
33,389.10657495438306,1,0,63,8.957804679870605
34,401.1687388999311,1,0,122,14.86496639251709
35,374.86734454359583,1,0,124,13.80788803100586
36,-109.71037871884121,0,1,39,4.227025032043457
37,390.61623663892135,1,0,101,10.716079711914062
38,387.5491432452649,1,0,71,9.402364730834961
39,390.8808083929774,1,0,151,18.963150024414062
40,-123.36637751925105,0,1,139,14.368325233459473
41,-106.01477046672134,0,1,132,15.856032371520996
42,-112.86851696656585,0,1,29,2.5129265785217285
43,371.7563436341584,1,0,40,4.698959827423096
44,387.303361214673,1,0,70,8.283852577209473
45,-112.61922233715322,0,1,13,0.4713757038116455
46,-125.55405562451921,0,1,46,6.470852851867676
47,-118.8468151577037,0,1,16,0.8636877536773682
48,-120.57570361515269,0,1,69,2.5513031482696533
49,373.8501546376779,1,0,180,20.605693817138672
50,377.0677821278255,1,0,54,7.391550064086914
51,392.2049464784786,1,0,69,10.063844680786133
52,382.5969632415622,1,0,123,13.745635986328125
53,-115.51987040815091,0,1,35,3.968301296234131
54,385.73769141468404,1,0,57,7.606532573699951
55,389.36672920748947,1,0,126,14.412766456604004
56,-116.04450742331242,0,1,99,11.095792770385742
57,-113.29473632402845,0,1,15,0.8476895093917847
58,396.62131214864553,1,0,93,14.23496150970459
59,385.6664366953671,1,0,141,15.422908782958984
60,-88.45731089999416,0,1,55,8.27085018157959
61,412.4609722717106,1,0,108,17.29912757873535
62,-84.09849737795415,0,1,108,18.0163516998291
63,431.4140607675663,1,0,101,16.739595413208008
64,-101.40745882284003,0,1,50,6.786128520965576
65,378.90356521711544,1,0,53,6.96767520904541
66,-119.4557224340185,0,1,24,2.116115093231201
67,379.853674188282,1,0,68,7.268935203552246
68,-104.1767585932065,0,1,83,10.202054977416992
69,-100.11335348818936,0,1,50,6.6510910987854
70,421.29139812987245,1,0,98,16.46885108947754
71,-106.88232492619287,0,1,47,6.569255828857422
72,9.48050802400463,0,0,500,17.717567443847656
73,398.2942467042936,1,0,103,15.371638298034668
74,398.009083182873,1,0,75,10.184410095214844
75,-118.6170870898985,0,1,29,3.0703258514404297
76,-120.43710037017046,0,1,127,11.821063995361328
77,377.42048650523276,1,0,48,6.175837516784668
78,387.91860070764574,1,0,139,15.527033805847168
79,380.7522878661054,1,0,105,11.085877418518066
80,-118.93263438996979,0,1,68,8.824352264404297
81,384.49697088079006,1,0,60,7.2356038093566895
82,398.98339694292486,1,0,58,7.745847702026367
83,382.8856122703131,1,0,75,8.040154457092285
84,417.69333795642854,1,0,84,13.971794128417969
85,403.0224883203838,1,0,110,17.598617553710938
86,389.5997332436126,1,0,60,8.193289756774902
87,390.90787230853203,1,0,162,20.216915130615234
88,373.7093088729678,1,0,46,5.83696174621582
89,-104.48656560412883,0,1,7,0.19799038767814636
90,393.7262161281779,1,0,71,10.512935638427734
91,372.6338918703064,1,0,60,5.023359298706055
92,-103.57656290989121,0,1,68,10.798672676086426
93,398.4066343009356,1,0,88,13.456521987915039
94,376.09653272755304,1,0,58,5.992767810821533
95,376.529704089084,1,0,222,30.018253326416016
96,408.9019138017726,1,0,80,13.201719284057617
97,406.8904066563547,1,0,76,11.865861892700195
98,-112.08685595998598,0,1,80,12.36252498626709
99,392.1017228786548,1,0,66,9.795353889465332
100,393.8699682513711,1,0,87,11.177071571350098
101,422.78476815384624,1,0,105,16.803314208984375
102,377.59569351234467,1,0,47,5.5073137283325195
103,374.86364672186386,1,0,71,9.524775505065918
104,419.8621960734529,1,0,108,18.011625289916992
105,371.9919616359264,1,0,165,22.182703018188477
106,372.091403978306,1,0,135,15.423282623291016
107,-89.21776401841501,0,1,55,8.269017219543457
108,412.9279992714226,1,0,83,12.79319953918457
109,-99.84649754110187,0,1,49,6.824487209320068
110,421.849604935795,1,0,89,15.06257438659668
111,20.522879035491524,0,0,500,13.904067993164062
112,-114.92809654564688,0,1,33,3.8708536624908447
113,364.63172118916367,1,0,179,15.515567779541016
114,-119.23921746930313,0,1,48,6.773487091064453
115,-118.46096651102287,0,1,21,1.5318186283111572
116,-117.5871216453874,0,1,35,3.31950044631958
117,-103.09488381283437,0,1,49,7.058117866516113
118,-104.08991895176752,0,1,65,10.164318084716797
119,386.7816248978972,1,0,66,8.836604118347168
120,-125.06094902089569,0,1,26,1.9026707410812378
121,395.9670368581507,1,0,66,9.34145450592041
122,387.352299536766,1,0,65,10.24660587310791
123,394.3924968648106,1,0,63,9.407435417175293
124,397.28556034071744,1,0,92,13.921727180480957
125,399.44423962270105,1,0,79,12.76248836517334
126,390.56577032492714,1,0,94,11.629111289978027
127,406.58222110491243,1,0,143,18.111141204833984
128,374.3777703112065,1,0,50,5.503650188446045
129,428.93002762335163,1,0,116,19.573726654052734
130,-100.13102743552908,0,1,56,7.441816806793213
131,391.9659252272811,1,0,105,13.490230560302734
132,386.29724974875893,1,0,81,10.277578353881836
133,394.6825829708707,1,0,169,21.622907638549805
134,-86.4301742266581,0,1,59,9.070852279663086
135,406.3718912124187,1,0,87,13.678304672241211
136,-113.50572309709911,0,1,35,4.270854473114014
137,-111.14258584706475,0,1,36,3.6412179470062256
138,372.465293441434,1,0,95,13.485817909240723
139,377.2449384688375,1,0,115,12.359429359436035
140,396.7050559384189,1,0,70,9.840291976928711
141,378.2728816627331,1,0,81,8.600263595581055
142,382.58379444535274,1,0,70,7.758400917053223
143,405.7853819093735,1,0,110,18.35867691040039
144,409.0296147472113,1,0,79,12.375364303588867
145,389.4120775490403,1,0,57,8.308484077453613
146,-99.18176371664491,0,1,51,7.295016765594482
147,-117.57620570216915,0,1,28,2.513793468475342
148,403.4168117465996,1,0,74,11.002058029174805
149,390.33381869930486,1,0,59,8.487998962402344
150,390.33877972272205,1,0,57,8.34959888458252
151,392.9308522218624,1,0,63,8.69985294342041
152,384.3214318896234,1,0,71,9.149687767028809
153,382.32516165015744,1,0,144,15.41511344909668
154,383.20649483096594,1,0,53,7.056936740875244
155,364.7507877042615,1,0,155,13.726859092712402
156,399.59547901833076,1,0,82,12.650815963745117
157,386.48638495385273,1,0,107,10.623807907104492
158,405.67507885274665,1,0,96,15.622843742370605
159,-120.9927631595034,0,1,20,1.1606847047805786
160,374.11205980332846,1,0,108,11.96271800994873
161,391.6919406760977,1,0,88,9.546154022216797
162,374.6277811595783,1,0,46,5.216188430786133
163,401.5543678205758,1,0,89,10.916290283203125
164,13.767994503522198,0,0,500,15.287514686584473
165,388.23820693532133,1,0,98,12.23354721069336
166,389.160753089263,1,0,51,7.343557834625244
167,419.9782097468609,1,0,95,16.112035751342773
168,-101.68588242477742,0,1,40,4.862980842590332
169,431.33394082603587,1,0,109,18.310976028442383
170,376.9307202543485,1,0,156,20.770793914794922
171,-126.8677274658375,0,1,42,5.558615207672119
172,376.3308442458395,1,0,107,10.975875854492188
173,-105.47861122930377,0,1,127,14.895977020263672
174,385.91188213075696,1,0,105,13.137804985046387
175,426.1016748009978,1,0,136,23.586103439331055
176,383.4169863995805,1,0,58,8.734109878540039
177,-89.02751014538407,0,1,54,8.070853233337402
178,408.9054029503724,1,0,84,13.05093765258789
179,-119.46165164637841,0,1,35,4.180762767791748
180,380.8834350282921,1,0,65,8.747379302978516
181,404.0836501437425,1,0,121,18.73519515991211
182,-157.76116390075737,0,1,106,15.71087646484375
183,409.26893967984864,1,0,124,20.978389739990234
184,411.99146666772845,1,0,82,12.93254280090332
185,376.7661288711577,1,0,49,5.63265323638916
186,-100.00842961208834,0,1,51,7.470853805541992
187,407.101179311037,1,0,112,17.789262771606445
188,379.37980651836097,1,0,57,6.895122528076172
189,-92.62506028148259,0,1,52,7.670666694641113
190,-113.61702128823673,0,1,38,4.60508918762207
191,384.196011288099,1,0,54,7.031301975250244
192,402.45990223391993,1,0,77,11.753994941711426
193,387.83498269582066,1,0,228,26.943714141845703
194,-108.44301768051736,0,1,33,3.870854139328003
195,-122.83798717900524,0,1,24,2.107342004776001
196,51.80173166842397,0,0,500,61.62438201904297
197,-106.20472537177474,0,1,48,6.326260089874268
198,-104.75055914732688,0,1,11,0.39029809832572937
199,376.1189783407108,1,0,58,8.019046783447266
