episode,return,success,collision,steps,path_length
0,385.32604233546095,1,0,63,7.5191779136657715
1,393.4917581204915,1,0,67,9.99509048461914
2,391.79005768370325,1,0,57,8.611784934997559
3,-99.66074497645465,0,1,65,10.270654678344727
4,405.27646573015977,1,0,88,13.773536682128906
5,-120.37137227216594,0,1,26,2.061976194381714
6,-117.48337109199532,0,1,31,2.8184473514556885
7,-131.85875768684903,0,1,180,20.609485626220703
8,386.4718251991672,1,0,71,9.01598072052002
9,396.04891002997755,1,0,66,9.33505630493164
10,-106.08589906033406,0,1,52,6.719206809997559
11,386.74183127078413,1,0,55,7.82579231262207
12,-86.31910714417675,0,1,82,13.670853614807129
13,-88.63308128176811,0,1,55,8.26756763458252
14,371.37176185028255,1,0,161,17.30023193359375
15,368.27290186414103,1,0,111,11.321013450622559
16,411.7016276128627,1,0,110,12.865449905395508
17,378.39836889601037,1,0,62,6.980991840362549
18,436.2545009893924,1,0,147,26.040693283081055
19,432.1595919669866,1,0,105,17.226287841796875
20,367.193606878217,1,0,126,14.808160781860352
21,386.5701856802215,1,0,57,7.569299221038818
22,-112.0626023780865,0,1,70,10.893638610839844
23,370.73329889981073,1,0,251,22.539230346679688
24,376.23695029471094,1,0,47,6.430395126342773
25,-151.57497780208624,0,1,116,15.547451972961426
26,386.82366337098176,1,0,68,8.978842735290527
27,-85.78422302501407,0,1,61,9.417729377746582
28,-110.47298991662205,0,1,13,0.6420692205429077
29,-133.0817076857595,0,1,98,10.467836380004883
30,417.93320659115693,1,0,98,14.03519344329834
31,399.00853257306613,1,0,95,13.518091201782227
32,-121.75547974961462,0,1,39,5.065489292144775
33,408.2599951533107,1,0,88,14.11672306060791
34,-110.91243104456379,0,1,42,5.670855522155762
35,370.8828519371844,1,0,47,6.254701137542725
36,381.67414987888236,1,0,300,33.766319274902344
37,-117.28824762569076,0,1,24,1.739419937133789
38,380.1250147172354,1,0,197,23.15610694885254
39,412.85472812680894,1,0,85,13.39543342590332
40,-105.18312122265522,0,1,53,7.864030361175537
41,372.70845012807473,1,0,177,24.03854751586914
42,407.91985586529375,1,0,98,16.049970626831055
43,-108.15286698121945,0,1,76,11.501317024230957
44,399.89424968018346,1,0,70,10.6602783203125
45,-100.25628903500613,0,1,52,7.118312358856201
46,396.04369779752443,1,0,118,16.875259399414062
47,45.971247069399894,0,0,500,60.003196716308594
48,388.72568133070115,1,0,200,26.169002532958984
49,-98.05820329051714,0,1,50,7.2708516120910645
50,409.942395473361,1,0,77,12.423627853393555
51,379.8530849041274,1,0,60,7.230240345001221
52,407.3917373412102,1,0,76,11.706063270568848
53,-95.72977034725199,0,1,116,19.4027156829834
54,377.6105926451957,1,0,44,5.511141777038574
55,-95.18927487383212,0,1,51,7.4497833251953125
56,-115.45437185450497,0,1,36,4.463074684143066
57,387.10853959087854,1,0,86,10.297347068786621
58,-113.83580806970055,0,1,38,4.231995582580566
59,397.0134568039923,1,0,67,9.57841968536377
60,-114.49521266173403,0,1,43,5.496395587921143
61,416.61417189262426,1,0,86,13.56962776184082
62,374.92296239107844,1,0,98,8.686869621276855
63,385.7251103482541,1,0,43,4.906016826629639
64,-115.46877544198179,0,1,32,3.255033016204834
65,401.4541684835183,1,0,77,11.896846771240234
66,402.1298031758517,1,0,104,15.080253601074219
67,-88.23459713749183,0,1,81,13.184287071228027
68,-99.81951682685155,0,1,54,8.048887252807617
69,-118.40132811559363,0,1,24,1.9619587659835815
70,-132.24346776286328,0,1,31,2.5815584659576416
71,-104.02830055651002,0,1,63,8.295787811279297
72,409.161401756376,1,0,77,12.153037071228027
73,389.8205784451149,1,0,91,11.49931812286377
74,396.3506223438419,1,0,77,9.853141784667969
75,400.7489094916496,1,0,76,11.920016288757324
76,-120.05284203706188,0,1,26,2.345777988433838
77,401.81583280092525,1,0,93,14.668174743652344
78,-103.51367361812623,0,1,53,6.761679649353027
79,390.2838892007508,1,0,85,10.8976411819458
80,403.068126739243,1,0,73,10.868631362915039
81,394.5732431087419,1,0,97,13.017608642578125
82,386.2394180897586,1,0,56,7.536006927490234
83,385.0423384818497,1,0,94,11.827802658081055
84,-120.14138356131151,0,1,34,2.396958589553833
85,-104.68179227766286,0,1,50,6.4923272132873535
86,-109.4197819065065,0,1,34,3.7479360103607178
87,353.6526031556881,1,0,43,4.472616195678711
88,-103.72884195308133,0,1,9,0.2701660096645355
89,379.33055203488516,1,0,165,21.420988082885742
90,-114.44545631916247,0,1,63,5.531661033630371
91,385.30822765040165,1,0,259,36.50070571899414
92,-86.08423436707011,0,1,122,21.062755584716797
93,380.04013639144154,1,0,63,9.169601440429688
94,392.4768728580561,1,0,229,24.436138153076172
95,417.63709206967815,1,0,87,14.601057052612305
96,-103.67686269337904,0,1,93,14.981881141662598
97,-100.0833079621303,0,1,117,19.92900848388672
98,-108.78025626047565,0,1,79,12.829863548278809
99,377.15098374933007,1,0,45,5.781982898712158
100,383.1128037785962,1,0,61,8.56566047668457
101,-120.78867871748905,0,1,89,11.714798927307129
102,394.4184346027463,1,0,54,7.001109600067139
103,394.74594365336,1,0,85,12.261754989624023
104,400.9205601953617,1,0,72,10.554082870483398
105,-121.13201772963691,0,1,23,1.9311487674713135
106,-89.03914817730603,0,1,72,10.729575157165527
107,429.8843762428164,1,0,96,16.467941284179688
108,-118.93464903627225,0,1,88,9.925149917602539
109,381.9434437999852,1,0,85,8.763023376464844
110,413.4756033679545,1,0,81,13.084150314331055
111,385.95160966681436,1,0,153,17.2158260345459
112,381.51979298721346,1,0,52,6.483299255371094
113,381.066684639588,1,0,71,8.793076515197754
114,408.3446748287677,1,0,108,15.347929954528809
115,394.4754011045404,1,0,62,9.568124771118164
116,400.15460608511114,1,0,74,11.388832092285156
117,387.6263887687302,1,0,165,17.140785217285156
118,384.1515097019373,1,0,60,8.121471405029297
119,-98.52927283662267,0,1,53,7.870851039886475
120,374.56372261090576,1,0,48,5.836309909820557
121,372.6140183646232,1,0,42,4.8791069984436035
122,390.982020690656,1,0,115,12.549362182617188
123,393.92039108133355,1,0,75,11.290953636169434
124,384.936099964256,1,0,240,27.672618865966797
125,395.96144254155456,1,0,71,9.356554985046387
126,-121.19561298867428,0,1,32,3.6698129177093506
127,382.654587641836,1,0,76,9.71716594696045
128,-111.11767068745135,0,1,96,11.767030715942383
129,375.0203225038284,1,0,91,8.390846252441406
130,372.09279626295665,1,0,193,24.148515701293945
131,394.3931622935886,1,0,71,10.634666442871094
132,414.80025868118236,1,0,245,31.12371063232422
133,390.6045983167706,1,0,82,10.295205116271973
134,389.5182004030029,1,0,72,9.236705780029297
135,414.1300440438817,1,0,110,15.95035171508789
136,-107.4248560099852,0,1,11,0.452070951461792
137,398.1829817678667,1,0,173,22.964218139648438
138,-116.70478942332107,0,1,27,2.2983310222625732
139,390.9449555824548,1,0,169,22.337684631347656
140,389.6450365565419,1,0,68,8.798189163208008
141,390.64887861256545,1,0,103,11.975296020507812
142,-96.97403471646042,0,1,47,6.3490891456604
143,405.66615339539027,1,0,74,11.766181945800781
144,398.0158765611687,1,0,64,7.300390243530273
145,388.8408425449431,1,0,56,8.464156150817871
146,382.2415533659458,1,0,82,9.356393814086914
147,390.1793802415831,1,0,114,14.049539566040039
148,397.0207682402171,1,0,98,14.618903160095215
149,387.3863581934533,1,0,102,10.440787315368652
150,384.9915515043139,1,0,55,7.169347286224365
151,403.8993260622589,1,0,280,33.95307922363281
152,440.07793579870105,1,0,113,19.20118522644043
153,-95.95734019863059,0,1,50,7.2693071365356445
154,363.43958434639495,1,0,127,15.244566917419434
155,-107.01032831703294,0,1,42,5.57647705078125
156,387.8097227227983,1,0,178,23.03260040283203
157,-126.98809090382768,0,1,58,8.37658405303955
158,-120.67112304663556,0,1,93,9.86704158782959
159,-108.39961150439477,0,1,37,3.831414222717285
160,381.3397161793261,1,0,55,7.004773139953613
161,417.91138779735127,1,0,103,17.45433235168457
162,422.48107797706126,1,0,91,14.85419750213623
163,-132.20001802809062,0,1,32,3.423927068710327
164,414.62672669026813,1,0,86,12.952727317810059
165,389.2877203429798,1,0,68,9.808727264404297
166,390.99887820596524,1,0,62,8.704941749572754
167,-110.20908461591165,0,1,90,14.1155366897583
168,403.0622793059945,1,0,69,11.07085132598877
169,-109.87626608913925,0,1,46,5.466159820556641
170,404.85949109669025,1,0,114,17.917984008789062
171,383.00817927510127,1,0,68,7.389163017272949
172,-94.02887361129011,0,1,52,7.254299640655518
173,390.16330970428874,1,0,73,9.890389442443848
174,-106.51301642601074,0,1,48,6.397433280944824
175,-148.2015856865512,0,1,81,12.122491836547852
176,-116.86512037774875,0,1,29,3.030482769012451
177,380.7415669234969,1,0,236,18.273521423339844
178,405.88272647415096,1,0,112,16.748275756835938
179,-110.20608162809829,0,1,38,4.527595043182373
180,396.1441491738798,1,0,65,9.679266929626465
181,363.1974295659865,1,0,103,11.126617431640625
182,397.76946388169034,1,0,69,9.880555152893066
183,390.3413231416047,1,0,73,10.226312637329102
184,401.7542536266017,1,0,90,13.982330322265625
185,398.00816249530425,1,0,72,10.770675659179688
186,-90.18639529467296,0,1,52,7.670854091644287
187,370.2581456273645,1,0,115,12.501558303833008
188,387.42996621516835,1,0,57,7.979086399078369
189,386.2198713259048,1,0,94,9.677814483642578
190,-116.34688178572051,0,1,20,1.3536415100097656
191,-97.1217567056058,0,1,50,7.247251033782959
192,385.70127101843804,1,0,72,8.579912185668945
193,384.54558740329514,1,0,108,12.908135414123535
194,395.60234357664024,1,0,98,14.391080856323242
195,398.0921038520027,1,0,183,25.211585998535156
196,-114.45427972822523,0,1,42,5.655801296234131
197,395.5690094968794,1,0,66,9.340899467468262
198,404.96658730107544,1,0,104,16.05710220336914
199,377.5564986937729,1,0,73,7.553689956665039
