episode,return,success,collision,steps,path_length
0,419.8130258671939,1,0,89,14.093438148498535
1,377.5980763204711,1,0,296,29.439800262451172
2,391.7025510321123,1,0,148,18.85956573486328
3,386.8239801929593,1,0,54,7.661029815673828
4,371.42954795181333,1,0,122,12.748711585998535
5,428.56699197438354,1,0,97,16.040212631225586
6,-87.39505718001834,0,1,58,8.870849609375
7,-129.02071342539142,0,1,74,9.088770866394043
8,393.2781661132116,1,0,48,6.6992058753967285
9,362.7756798087887,1,0,117,13.038081169128418
10,-106.71155041665827,0,1,107,16.420631408691406
11,378.5194904355183,1,0,75,7.326189041137695
12,-93.78213572737886,0,1,58,8.83968734741211
13,401.0219729075641,1,0,87,13.166129112243652
14,-103.75281682130128,0,1,45,5.921568870544434
15,379.893286649962,1,0,54,7.547791481018066
16,404.0328868128955,1,0,70,11.168971061706543
17,378.94750384415096,1,0,115,11.050577163696289
18,394.13898317377397,1,0,150,19.565448760986328
19,401.8200751717696,1,0,75,11.325754165649414
20,388.49818281022254,1,0,105,13.661688804626465
21,372.58525243282315,1,0,85,6.901459217071533
22,380.69210474646087,1,0,51,6.3472676277160645
23,412.518875717308,1,0,93,14.881705284118652
24,425.16694290947726,1,0,309,40.126163482666016
25,384.4484427232574,1,0,130,15.509843826293945
26,390.74389626619217,1,0,60,8.416726112365723
27,390.1025224745609,1,0,62,8.440286636352539
28,402.61454333475143,1,0,96,13.13991928100586
29,395.46055297299586,1,0,71,11.216565132141113
30,381.36746479151964,1,0,49,6.827812671661377
31,-113.27443789445334,0,1,20,0.8037744164466858
32,390.8953726240177,1,0,265,28.62779998779297
33,388.65095930793876,1,0,65,9.029627799987793
34,402.8529652626518,1,0,81,11.775593757629395
35,374.2855809733619,1,0,144,17.829225540161133
36,394.5776388060094,1,0,68,9.763324737548828
37,393.1671492487554,1,0,112,12.567183494567871
38,387.05206544186035,1,0,79,10.903674125671387
39,392.3414326173964,1,0,165,21.580055236816406
40,365.2720754227736,1,0,93,8.51192569732666
41,388.35011712320517,1,0,99,11.204238891601562
42,387.8215445691586,1,0,104,12.649314880371094
43,372.2501647389233,1,0,40,4.740899085998535
44,387.77757002224763,1,0,68,8.282529830932617
45,-113.83682125123258,0,1,13,0.6410224437713623
46,-124.861796534971,0,1,46,6.470852375030518
47,-116.41172792348513,0,1,15,0.8129054307937622
48,-121.33516919751028,0,1,69,3.477426528930664
49,372.13772659452013,1,0,156,17.53301239013672
50,376.45638137783476,1,0,149,19.208341598510742
