update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1987.5,225.87084716613214,0.6585365853658537,0.2926829268292683,98.82926829268293,141.29750237830964,246.6402583169878,0.5,0.4666666666666667,103.83333333333333,10.992136653264364,451.7554574731278,-0.01429987957458688,903.5462699785625,1.1274022141548052,0.011028283615341436,0.023598030821917807,0.4247574806213379,1.0
2,8192,1845.0,184.81693439120943,0.58,0.36,108.04,265.4271017618988,217.33045952901884,0.7333333333333333,0.23333333333333334,124.26666666666667,15.963487462202709,455.39548854410214,-0.012933269207685316,910.823595589965,1.1246758394867835,0.010778559169589277,0.02206888686131387,0.4244983196258545,1.0
3,12288,1788.6,171.1996591760678,0.54,0.38,139.62,146.16094773487652,246.44720628301383,0.5,0.4666666666666667,131.4,16.308012914657592,281.7251637500265,-0.01937460584272428,563.4957917254904,1.1214016993408618,0.015035292936575032,0.03895635190217391,0.42313268780708313,1.0
4,16384,1709.8,239.44910020264558,0.7,0.3,103.96,107.74994413177352,241.4971870535513,0.4,0.43333333333333335,166.43333333333334,18.938702408472697,237.09273460352026,-0.0165055701244287,474.2251944880915,1.1191751747899712,0.01403781328012646,0.03637811018957346,0.4238879978656769,1.0
5,20480,1705.5,193.644616888587,0.58,0.34,124.18,127.48375833157478,236.78099116466095,0.43333333333333335,0.4,154.26666666666668,17.97033362388611,239.68276850382486,-0.015528237498882744,479.4033025105794,1.1189229761560757,0.013562224169921441,0.034478081597222224,0.4225882887840271,1.0
6,24576,1732.7,198.58065313047555,0.6,0.32,128.96,158.60541978876387,239.66573732673496,0.5,0.4,131.66666666666666,16.049582076072692,251.4344109015736,-0.010198118240852667,502.89589821420066,1.1130413805566184,0.010973837579661087,0.025279471544715448,0.4217378497123718,1.0
7,28672,1745.7,125.99068583012976,0.44,0.46,114.48,181.79306313175908,235.08812352899847,0.5666666666666667,0.3333333333333333,125.33333333333333,15.727577978372574,254.9901615074295,-0.013862053696400749,510.01470773662635,1.110238395051328,0.011238961348109349,0.024934505988023953,0.42109930515289307,1.0
8,32768,1744.8,173.0690864745253,0.56,0.44,87.52,205.48798218913072,235.27886766568,0.6,0.3,142.23333333333332,14.506624523798624,347.21631022519284,-0.018813182330403314,694.4768697870602,1.1047533645569902,0.013601862385418008,0.033903301886792456,0.41914230585098267,1.0
9,36864,1753.7,217.90193153184558,0.64,0.34,99.34,135.6300207724442,241.7065931740956,0.4666666666666667,0.43333333333333335,131.06666666666666,16.286795210838317,245.94141173518562,-0.013602309668546213,491.91661640242035,1.097866500125212,0.015496847543901964,0.03970077614379085,0.4181872010231018,1.0
10,40960,1762.3,159.9867061312673,0.52,0.42,116.4,224.15488201918055,230.69562567884645,0.6333333333333333,0.26666666666666666,144.86666666666667,18.16560417811076,325.0552752857477,-0.014732296299845191,650.1465487413003,1.0884532886491696,0.014547113440668499,0.03947513204225352,0.4156981110572815,1.0
11,45056,1782.1,119.67256736502246,0.44,0.5,118.36,145.91980204330957,244.16632006237464,0.5,0.43333333333333335,103.56666666666666,11.547906629244487,277.5901151225515,-0.01230622525496857,555.2113458118299,1.0846639340811401,0.01380016468805227,0.033445483576642336,0.41679057478904724,1.0
12,49152,1792.1,162.79455196826655,0.54,0.44,108.68,209.2996649793634,238.18377681236885,0.6333333333333333,0.3333333333333333,114.93333333333334,14.031252777576446,205.461790822347,-0.014295345054318507,410.9586752827962,1.083390194574992,0.014056540903014442,0.035,0.4136449098587036,1.0
13,53248,1810.9,205.3618891409523,0.62,0.32,111.48,160.55059208123802,244.17206039816585,0.5333333333333333,0.43333333333333335,98.26666666666667,12.605148442586263,301.6599168777466,-0.013674249697942287,603.3536168507168,1.0731833545225007,0.01591248355024228,0.04084123883928571,0.41462427377700806,1.0
14,57344,1812.0,172.8376948095778,0.56,0.4,100.06,176.6771821249179,248.06836742932492,0.5666666666666667,0.4,116.03333333333333,13.789508108297984,338.87918157162875,-0.01256176953514417,677.7899500528971,1.0768674093744028,0.012233149935153948,0.026692708333333332,0.4137860834598541,1.0
15,61440,1818.4,186.3889508211769,0.58,0.36,123.16,235.5061554831306,233.28123005401747,0.6666666666666666,0.26666666666666666,107.86666666666666,12.30767940680186,210.32909041760016,-0.010919047889354475,420.68643008961396,1.0697001253857332,0.012485011524119067,0.030369178921568627,0.41195905208587646,1.0
16,65536,1833.0,219.82152359705964,0.64,0.3,137.56,255.4214663870882,223.54363640478562,0.7333333333333333,0.26666666666666666,82.66666666666667,11.034605232874553,337.64322363161574,-0.012682025196423353,675.3181868908453,1.0625985264778137,0.014316697439461873,0.03519454656862745,0.41107165813446045,1.0
17,69632,1845.3,210.714624242641,0.62,0.32,132.1,262.18056515088097,214.2858778280091,0.7333333333333333,0.23333333333333334,105.4,13.361265849073728,274.8576008960454,-0.011397399861986438,549.7443602590849,1.0611803555729413,0.01324575770801554,0.03259154040404041,0.4115467965602875,1.0
18,73728,1849.5,248.74806235500654,0.7,0.26,122.14,266.7804135695786,217.61908282379287,0.7333333333333333,0.23333333333333334,114.13333333333334,14.931686047712962,221.80888409884471,-0.01340399892728354,443.65092741768314,1.059328612291588,0.012422488531194417,0.03147110849056604,0.4095720052719116,1.0
19,77824,1854.5,184.94291467835626,0.58,0.42,81.98,169.81252592555725,246.25967776282803,0.5333333333333333,0.4,115.23333333333333,14.892700131734212,345.17209100104,-0.0071080073883587665,690.3646902109122,1.0487664860564392,0.012271889263171364,0.032974837662337664,0.40794068574905396,1.0
20,81920,1849.3,175.42516699573986,0.56,0.42,102.56,119.96032821906672,236.2307434380358,0.43333333333333335,0.43333333333333335,147.46666666666667,14.575834213197231,298.92648008827854,-0.013148288799571656,597.8855158725631,1.0426010261072176,0.016150458021716118,0.042895735981308414,0.4067797064781189,1.0
21,86016,1850.8,169.03087539119306,0.54,0.42,102.1,184.93332803270428,244.1928495788886,0.5666666666666667,0.36666666666666664,122.6,14.1882294913133,224.2291429232707,-0.014999641047840098,448.4945102117758,1.0373260753344646,0.015963422353956355,0.04376382743362832,0.4060288071632385,1.0
22,90112,1851.8,189.54802773890685,0.58,0.36,119.28,178.7326965272124,248.56262164304232,0.5666666666666667,0.4,100.3,13.143889035781225,259.1349095910545,-0.010884065707252035,518.2977638554767,1.0287893874858454,0.014449626995757888,0.035664380081300816,0.4018958806991577,1.0
23,94208,1862.8,170.4861061376349,0.54,0.4,114.38,145.47049716812745,248.684643091866,0.5,0.4666666666666667,88.43333333333334,11.369677299261093,232.58403134813497,-0.012381200651254724,465.1988942763385,1.0111163106619143,0.013293811525263842,0.03209252450980392,0.40067970752716064,1.0
24,98304,1867.4,247.00278681736717,0.7,0.28,119.36,257.0362234383768,212.65355993094448,0.7,0.2,118.43333333333334,14.542799854278565,226.2264827887217,-0.012799347222122984,452.48460213343304,1.0065505007902782,0.013269033002870856,0.032674153645833336,0.399608850479126,1.0
25,102400,1866.4,165.53248988915067,0.54,0.42,103.54,160.09736171818102,239.28142382279512,0.5,0.36666666666666664,137.36666666666667,17.212319151560465,215.69807416742498,-0.007146732744083486,431.41646454551005,1.0024657479741357,0.012161594117060304,0.028586647727272728,0.3992874026298523,1.0
