episode,return,success,collision,steps,path_length
0,11.300038427872401,0,0,500,11.923747062683105
1,394.640667838211,1,0,68,9.993453025817871
2,390.91708744774013,1,0,59,8.730852127075195
3,-96.8386041468582,0,1,67,10.645353317260742
4,405.7968881620119,1,0,83,13.082616806030273
5,-120.26477943132677,0,1,27,1.9708184003829956
6,-114.15816985578353,0,1,31,2.695620536804199
7,-114.96891753953376,0,1,52,5.586653232574463
8,386.57858357232334,1,0,87,11.26087760925293
9,395.9352464705556,1,0,66,9.336764335632324
10,-105.9228429436788,0,1,52,6.780308723449707
11,386.9567020784989,1,0,55,7.577622413635254
12,-91.43107406617597,0,1,80,13.270862579345703
13,-85.90928946023061,0,1,58,8.781174659729004
14,368.6195344961033,1,0,180,21.264835357666016
15,-141.59080508925442,0,1,141,17.1607723236084
16,412.07663234158684,1,0,110,12.70771312713623
17,375.625473067048,1,0,119,11.955331802368164
18,436.16194275350495,1,0,151,26.85087013244629
19,-87.23170920990755,0,1,141,24.394062042236328
20,367.3298932469335,1,0,132,16.127832412719727
21,386.4379623554051,1,0,64,7.549484729766846
22,-120.7189834658728,0,1,233,29.766307830810547
23,368.7343730076907,1,0,249,23.742385864257812
24,378.55053699657975,1,0,46,6.364007949829102
25,-149.33192665996617,0,1,130,16.266366958618164
26,386.84122523780167,1,0,62,8.517806053161621
27,-83.81459725412658,0,1,62,9.616036415100098
28,-110.24741254444547,0,1,15,0.7564018368721008
29,364.48986670335717,1,0,148,15.243002891540527
30,420.61996482701784,1,0,275,34.59492492675781
31,395.28339365854464,1,0,161,19.65151596069336
32,-117.11319225329231,0,1,38,4.8629608154296875
33,406.51234752312564,1,0,91,14.952178001403809
34,-111.3294884900639,0,1,42,5.670853614807129
35,371.3619196885364,1,0,47,6.375334739685059
36,383.08133076673977,1,0,237,28.3624210357666
37,369.51933407189483,1,0,127,13.271668434143066
38,386.6380167092463,1,0,287,31.55067253112793
39,-109.66915402412772,0,1,122,20.270221710205078
40,-102.40435653346046,0,1,52,7.663928508758545
41,372.7641690755067,1,0,169,22.04765510559082
42,407.2185421750968,1,0,100,16.03297233581543
43,-124.24599460917608,0,1,247,31.598600387573242
44,395.68137834599275,1,0,161,21.551660537719727
45,-98.1765632439981,0,1,55,7.265952110290527
46,396.69283985803264,1,0,124,16.505216598510742
47,4.79234304015391,0,0,500,55.45994567871094
48,388.62268547449537,1,0,261,30.5235538482666
49,-97.3156416882786,0,1,49,7.070851802825928
50,409.0341633988619,1,0,76,12.358409881591797
51,379.4781691755289,1,0,62,7.417124271392822
52,407.74002954971786,1,0,77,11.695079803466797
53,-95.40347316282822,0,1,115,19.562292098999023
54,377.82697589237137,1,0,44,5.61838960647583
55,-95.89469235349596,0,1,51,7.440867900848389
56,-117.7217680207253,0,1,36,4.47065544128418
57,386.80167486054864,1,0,98,11.942458152770996
58,379.0723947057759,1,0,253,25.499889373779297
59,397.0059320086539,1,0,67,9.627251625061035
60,-120.6216688061546,0,1,37,4.389631271362305
61,415.547413334914,1,0,87,13.648869514465332
62,375.69121793779635,1,0,56,5.8775248527526855
63,-118.42587403992918,0,1,66,9.454312324523926
64,-115.07062416063512,0,1,32,3.022261619567871
65,-107.931968821065,0,1,46,5.851236820220947
66,402.13071462177516,1,0,78,11.876195907592773
67,-102.94699910036123,0,1,247,32.92761993408203
68,-97.84145344824925,0,1,54,8.046832084655762
69,-118.91424810147925,0,1,24,1.9742586612701416
70,-139.89667301707308,0,1,118,12.609747886657715
71,-102.46845008736786,0,1,65,8.760382652282715
72,409.733491436556,1,0,78,12.116913795471191
73,388.3631228617608,1,0,87,11.555173873901367
74,9.299798850943791,0,0,500,58.617279052734375
75,403.214287764267,1,0,77,11.888656616210938
76,-118.5155336321479,0,1,26,2.3164260387420654
77,-116.81887143237074,0,1,32,2.883812427520752
78,-103.54855106507243,0,1,53,6.8705010414123535
79,387.81712771816893,1,0,135,12.394021987915039
80,403.42265447968384,1,0,74,11.014540672302246
81,392.6638093300238,1,0,140,16.300601959228516
82,386.29215960748115,1,0,57,7.6340651512146
83,-118.5963983345995,0,1,100,14.70019245147705
84,-119.55291391143223,0,1,34,2.3195760250091553
85,-104.55296300929709,0,1,50,6.480912208557129
86,-112.91861718095137,0,1,33,3.5751707553863525
87,347.0150839337059,1,0,57,4.643611431121826
88,-106.15827785330568,0,1,9,0.2594623267650604
89,384.3556371903243,1,0,155,19.956764221191406
90,-112.84143878286169,0,1,61,5.0808610916137695
91,385.32872411847103,1,0,263,38.200416564941406
92,-85.78523617786047,0,1,121,21.177467346191406
93,380.04850612153047,1,0,63,9.222807884216309
94,4.662720559495173,0,0,500,51.28511047363281
95,418.18250565258927,1,0,89,14.79081916809082
96,-98.80832391888751,0,1,89,14.197046279907227
97,-96.89569760860081,0,1,114,19.632463455200195
98,-107.11950073824059,0,1,85,12.787099838256836
99,377.06687947231524,1,0,45,5.773513317108154
100,376.0333107098289,1,0,237,28.300823211669922
101,383.0460366299053,1,0,118,14.602937698364258
102,394.90562437593076,1,0,53,6.835130214691162
103,392.350917269133,1,0,168,21.671171188354492
104,400.88553094789313,1,0,72,10.613784790039062
105,-120.97473426697587,0,1,23,1.9283342361450195
106,431.3881543473726,1,0,124,20.74070930480957
107,428.8536771700382,1,0,96,16.46811294555664
108,387.6203093751932,1,0,196,21.990596771240234
109,380.90114089341597,1,0,206,19.635786056518555
110,413.27463289347287,1,0,81,12.940303802490234
111,387.1038525827128,1,0,120,12.548559188842773
112,381.6172123454873,1,0,73,6.618809700012207
113,381.30795717705786,1,0,67,7.999042987823486
114,407.5768796414136,1,0,98,14.525586128234863
115,394.24989460108276,1,0,62,9.535459518432617
116,399.67874133582853,1,0,74,11.256525039672852
117,-102.42744208348077,0,1,68,7.458707332611084
118,385.1197622647979,1,0,61,8.310929298400879
119,-97.96032728520767,0,1,53,7.868884086608887
120,-129.98915907292755,0,1,71,10.344325065612793
121,371.2870931135801,1,0,40,4.905705451965332
122,393.8860275852563,1,0,108,11.764747619628906
123,-114.76838541171904,0,1,35,4.015082359313965
124,386.4207949496482,1,0,114,13.251248359680176
125,399.35967541810123,1,0,289,34.142356872558594
126,-121.90008622905845,0,1,32,3.670853614807129
127,382.02636929765873,1,0,76,10.040565490722656
128,393.98381539436457,1,0,197,24.021493911743164
129,372.36475473280245,1,0,119,12.600774765014648
130,378.1835426282557,1,0,181,22.896221160888672
131,393.6729442943538,1,0,72,10.46446704864502
132,51.9378104283935,0,0,500,60.3259162902832
133,389.7083115625933,1,0,80,10.32324504852295
134,389.617709169771,1,0,68,9.213455200195312
135,413.8422487428794,1,0,121,17.77789306640625
136,-107.59410022251511,0,1,11,0.4557032883167267
137,397.00471556060756,1,0,145,17.841243743896484
138,-117.28213210549232,0,1,27,2.2612733840942383
139,389.49320212575174,1,0,163,21.346267700195312
140,389.92001619654894,1,0,65,8.672500610351562
141,390.9145118751626,1,0,100,10.005939483642578
142,-107.10627669377891,0,1,46,5.684767246246338
143,405.69000972295623,1,0,74,11.78354549407959
144,397.5609161347524,1,0,72,7.772571086883545
145,389.34816297408935,1,0,54,8.046182632446289
146,382.28895469427107,1,0,74,8.779296875
147,388.7473989634716,1,0,386,38.962894439697266
148,394.38825504422186,1,0,166,21.369762420654297
149,-111.99924523459181,0,1,14,0.5341813564300537
150,384.9458017670959,1,0,55,7.16897439956665
151,0.756220806262986,0,0,500,61.750457763671875
152,439.9087920497816,1,0,113,19.20172691345215
153,-96.53491430151145,0,1,50,7.266267776489258
154,362.55265736610414,1,0,132,16.906417846679688
155,-104.2332044491792,0,1,42,5.463456153869629
156,395.37112403872345,1,0,107,16.12137794494629
157,369.6634039255624,1,0,116,13.601679801940918
158,-119.77741738609525,0,1,97,10.71627426147461
159,-125.88049081288045,0,1,96,14.846924781799316
160,380.96285723873973,1,0,59,7.357743740081787
161,413.7326308681921,1,0,103,17.13721466064453
162,422.54352789430317,1,0,91,14.904402732849121
163,-127.82444283027989,0,1,32,3.467374324798584
164,414.6206232941183,1,0,87,12.95569133758545
165,-113.48941391949688,0,1,79,12.083901405334473
166,392.61032142508026,1,0,239,27.09423065185547
167,-129.969649016559,0,1,266,35.05400848388672
168,400.4824679966017,1,0,144,18.149845123291016
169,-108.31167309337624,0,1,47,5.3528313636779785
170,405.7907800301015,1,0,120,18.3535099029541
171,381.30938377136573,1,0,80,9.079761505126953
172,-96.03852839744012,0,1,56,7.868511199951172
173,390.55359274241596,1,0,86,10.884325981140137
174,-104.41429990767072,0,1,48,6.1346588134765625
175,-144.40519214118626,0,1,93,12.689440727233887
176,-118.1403945686364,0,1,30,3.1461451053619385
177,381.5239181856503,1,0,227,23.879880905151367
178,405.8455348168462,1,0,101,15.683026313781738
179,-112.55897568278385,0,1,39,4.52850341796875
180,396.24524596026095,1,0,65,9.703551292419434
181,367.56373539174297,1,0,114,12.7888822555542
182,396.68235693390176,1,0,71,9.754974365234375
183,32.54057209086107,0,0,500,65.19810485839844
184,401.4676576174239,1,0,89,14.064326286315918
185,398.53462440267674,1,0,79,11.775368690490723
186,-76.01945517381533,0,1,109,17.14664649963379
187,370.58201480538025,1,0,119,13.54796314239502
188,388.0218101195554,1,0,57,7.838746070861816
189,386.4840250780269,1,0,96,9.986082077026367
190,-115.42546422303704,0,1,22,1.5398240089416504
191,409.08108457154486,1,0,167,22.111286163330078
192,386.1311267517243,1,0,84,9.370243072509766
193,382.35610375061447,1,0,145,14.903908729553223
