episode,return,success,collision,steps,path_length
0,420.6110620525777,1,0,90,14.13554859161377
1,377.4181314550025,1,0,279,28.28084945678711
2,394.8586370185592,1,0,67,10.613799095153809
3,386.66542542272805,1,0,54,7.585453033447266
4,378.25613469403385,1,0,92,9.347042083740234
5,428.27203094426017,1,0,95,15.87502384185791
6,-81.64679022879949,0,1,63,9.843695640563965
7,363.3317550165205,1,0,202,22.980392456054688
8,393.4699390712519,1,0,47,6.612970352172852
9,367.7447282562369,1,0,211,22.933164596557617
10,391.95479716494685,1,0,80,12.052103042602539
11,373.4655525712617,1,0,139,10.48747730255127
12,-94.30324719006475,0,1,57,8.622865676879883
13,403.1392082666342,1,0,83,12.803627967834473
14,-105.86019230966203,0,1,46,5.811423301696777
15,383.2811668728746,1,0,55,7.538951396942139
16,404.07643129816654,1,0,70,11.236273765563965
17,378.8054399225121,1,0,95,8.777719497680664
18,-113.42681182450805,0,1,179,25.34908676147461
19,402.55647742986673,1,0,73,11.015401840209961
20,387.9722007074725,1,0,71,8.76116943359375
21,373.87171602919693,1,0,67,6.773758411407471
22,380.45503031277656,1,0,51,6.313867092132568
23,413.23411591591616,1,0,89,14.04028606414795
24,424.8265921650101,1,0,274,34.87437057495117
25,384.50691809947784,1,0,118,13.748531341552734
26,390.4740878465026,1,0,60,8.256693840026855
27,390.0373139866674,1,0,239,27.089374542236328
28,403.15526467129587,1,0,87,12.489450454711914
29,394.1152354227926,1,0,65,10.244182586669922
30,380.5340896587131,1,0,48,6.695605278015137
31,-112.16328772511928,0,1,17,0.7796065211296082
32,393.1903375038375,1,0,234,25.357219696044922
33,385.67644500900167,1,0,232,32.43278884887695
34,403.2967815078069,1,0,74,11.600665092468262
35,374.328117574133,1,0,120,12.871667861938477
36,391.30530396335627,1,0,68,9.946554183959961
37,391.9083530902674,1,0,103,11.027019500732422
38,388.17717210678757,1,0,71,9.649347305297852
39,391.53279145640636,1,0,156,19.954395294189453
40,366.85035276857013,1,0,119,13.014972686767578
41,388.4088165121004,1,0,106,12.495158195495605
42,386.9536731221601,1,0,61,8.127838134765625
43,372.1964417424686,1,0,40,4.731739044189453
44,387.95844323078217,1,0,69,8.059306144714355
45,-112.79783624408807,0,1,13,0.4831828474998474
46,-126.44667710211162,0,1,46,6.470852851867676
47,-113.7379706893179,0,1,16,0.7688538432121277
48,-117.0091814601284,0,1,158,8.64969253540039
49,373.8668205154507,1,0,164,18.506507873535156
50,-116.42361456014119,0,1,163,22.533971786499023
51,392.6318432632014,1,0,67,9.72874927520752
52,383.1704382799966,1,0,135,15.981071472167969
53,-115.22973937217712,0,1,34,3.868011474609375
54,-111.04974381982954,0,1,69,9.947953224182129
55,389.7782491070421,1,0,129,14.951379776000977
56,-122.29800127755823,0,1,101,11.397409439086914
57,-112.97685672258582,0,1,17,0.9750473499298096
58,397.42384974476687,1,0,97,14.440629959106445
59,388.82974847757816,1,0,73,9.81704330444336
60,-96.71285693136679,0,1,56,8.450716018676758
61,412.1574894901812,1,0,103,16.440357208251953
62,-112.90543057706223,0,1,39,4.381764888763428
63,431.0601655021775,1,0,102,16.620527267456055
64,-100.59247131320521,0,1,50,6.364622592926025
65,379.43611861992235,1,0,51,6.937926769256592
66,-118.82712392543829,0,1,24,2.1036136150360107
67,-128.22278278381575,0,1,33,2.7694602012634277
68,-103.8573965040172,0,1,78,9.7260160446167
69,-99.56647471251888,0,1,49,6.553926467895508
70,-98.97262760566912,0,1,51,7.290461540222168
71,-99.42805537271926,0,1,47,6.583006858825684
72,381.16384201658326,1,0,302,25.205556869506836
73,382.79499093909277,1,0,207,30.195648193359375
74,400.21207100903496,1,0,203,18.713077545166016
75,-118.65976491374491,0,1,29,3.0693628787994385
76,-105.86347743184093,0,1,39,3.7132811546325684
77,377.71045060517264,1,0,46,5.876004695892334
78,388.3943406915915,1,0,146,16.023136138916016
79,381.5239972572802,1,0,109,11.59012508392334
80,375.94605995015894,1,0,44,5.675443172454834
81,382.54893754851406,1,0,141,15.925495147705078
82,398.79853384854647,1,0,59,8.134244918823242
83,383.28612363005846,1,0,73,7.85031270980835
84,417.5483268172103,1,0,84,13.865758895874023
85,406.91755521161076,1,0,102,16.435264587402344
86,389.24539911592007,1,0,58,8.184107780456543
87,392.9590962627083,1,0,86,12.527596473693848
88,373.43165525735947,1,0,45,5.722500324249268
89,-105.17966927342452,0,1,8,0.24013587832450867
90,394.43881790823485,1,0,70,10.272785186767578
91,373.43910606737484,1,0,236,24.02117919921875
92,-104.70893524347653,0,1,73,11.49954891204834
93,399.44465431210153,1,0,85,12.789859771728516
94,-143.417095302893,0,1,132,14.622631072998047
95,373.9623383187742,1,0,239,31.561119079589844
96,409.35795429509506,1,0,80,13.186385154724121
97,405.20812724338845,1,0,171,21.014686584472656
98,-107.66737354493388,0,1,82,12.723146438598633
99,390.44477398942297,1,0,66,9.858963012695312
100,392.75092405596985,1,0,233,31.66454315185547
101,422.6040675519109,1,0,106,16.798200607299805
102,375.7861819718974,1,0,48,5.706976413726807
103,372.4227497495894,1,0,62,8.371843338012695
104,422.27522407559036,1,0,94,15.159774780273438
105,371.7736109145507,1,0,188,25.937179565429688
106,374.4451527870093,1,0,129,14.721624374389648
107,-89.80065706208653,0,1,56,8.380082130432129
108,412.29835634934904,1,0,83,12.86715316772461
109,-105.55348454786628,0,1,50,6.645841598510742
110,-77.97366258693813,0,1,105,18.225852966308594
111,380.5536063708205,1,0,135,15.316390037536621
112,-114.93369883393598,0,1,33,3.8708529472351074
113,375.02729995354355,1,0,136,13.171159744262695
114,408.1685701761694,1,0,116,18.92601776123047
115,-114.72994576144131,0,1,25,1.9298386573791504
116,-117.88687764006337,0,1,35,3.174342155456543
117,-102.33081985100911,0,1,48,6.765644073486328
118,-101.7260471049035,0,1,66,10.292341232299805
119,387.18076456898444,1,0,63,8.630632400512695
120,-123.19663069070222,0,1,27,1.868082046508789
121,396.57702005987613,1,0,67,9.52759075164795
122,383.60687688182634,1,0,66,10.390451431274414
123,-103.41763934386623,0,1,86,13.363819122314453
124,397.629692527011,1,0,88,13.180197715759277
125,-102.20030187945298,0,1,41,5.438067436218262
126,391.6501518255605,1,0,78,10.584626197814941
127,407.05216767353,1,0,150,19.231266021728516
128,374.105024094969,1,0,46,5.42507266998291
129,427.8813554868466,1,0,109,18.061363220214844
130,-92.53151769272219,0,1,56,7.889103412628174
131,391.50164931689665,1,0,114,13.790304183959961
132,386.4756456005126,1,0,77,10.088044166564941
133,397.0551794537976,1,0,97,14.400449752807617
134,-87.52725684078575,0,1,59,9.070856094360352
135,404.40310165581565,1,0,80,12.359119415283203
136,-113.52109817932563,0,1,35,4.2708539962768555
137,-114.57309033837217,0,1,31,2.815459728240967
138,-102.1624733228496,0,1,53,6.727142810821533
139,379.31688248267767,1,0,182,19.238243103027344
140,396.91223789408804,1,0,84,9.514226913452148
141,377.70230677706,1,0,67,7.68607234954834
142,-119.5988781723516,0,1,23,1.7138898372650146
143,410.63834672064667,1,0,103,17.122703552246094
144,408.4489238350242,1,0,79,12.493595123291016
145,389.7743820221796,1,0,58,8.296358108520508
