episode,return,success,collision,steps,path_length
0,386.990371264321,1,0,188,14.96653938293457
1,396.1572015127644,1,0,69,9.945629119873047
2,391.70761697704484,1,0,57,8.57907485961914
3,408.3799212686719,1,0,114,17.964649200439453
4,-137.57085312569052,0,1,164,25.984132766723633
5,389.7183001487925,1,0,149,13.211675643920898
6,-109.97151385103712,0,1,49,6.003739833831787
7,-107.99224447946582,0,1,67,6.691349506378174
8,387.11407517870794,1,0,81,9.9278564453125
9,396.0337054072022,1,0,66,9.34274673461914
10,-106.16675011549096,0,1,52,6.739346027374268
11,386.8050826703012,1,0,55,7.6343536376953125
12,-87.80438824524326,0,1,78,12.812819480895996
13,-90.26041207924963,0,1,56,8.118804931640625
14,-103.136662578235,0,1,269,28.6269474029541
15,371.0836161149758,1,0,99,9.2791748046875
16,411.28937409600405,1,0,251,27.908388137817383
17,378.92786116707606,1,0,61,7.068613529205322
18,436.44338188612085,1,0,153,26.459653854370117
19,-87.95328189068516,0,1,143,24.83965301513672
20,368.56093447962826,1,0,133,16.170459747314453
21,385.9866684383531,1,0,57,7.49186897277832
22,387.02066446880616,1,0,100,11.277153968811035
23,371.39030046961335,1,0,343,32.99645233154297
24,-106.64680079107167,0,1,53,7.520488739013672
25,-153.22503073822043,0,1,105,14.265180587768555
26,386.43521378338335,1,0,220,31.820587158203125
27,-83.58574684613731,0,1,63,9.824536323547363
28,-111.1700703571603,0,1,14,0.7131150960922241
29,363.23730094146373,1,0,183,15.739521980285645
30,61.36732727095321,0,0,500,58.9703369140625
31,399.4161840613849,1,0,94,13.295283317565918
32,-119.49603273064321,0,1,40,4.947285175323486
33,407.27175737623025,1,0,246,37.178245544433594
34,-114.60658978497031,0,1,43,5.866391658782959
35,369.97352945307034,1,0,48,6.313493728637695
36,386.0115585856704,1,0,223,25.948158264160156
37,369.23050213227594,1,0,131,14.630690574645996
38,385.74587921569275,1,0,263,28.70488739013672
39,-106.26440468840154,0,1,127,20.449596405029297
40,-101.70739389842092,0,1,52,7.670074462890625
41,373.18589473668857,1,0,176,23.99954605102539
