episode,return,success,collision,steps,path_length
0,16.181628805629718,0,0,500,31.910064697265625
1,392.8088408615671,1,0,66,9.885309219360352
2,391.2591179898381,1,0,60,8.977171897888184
3,-102.0348898599293,0,1,64,10.058889389038086
4,405.2188549630404,1,0,84,13.242737770080566
5,393.32156258148586,1,0,101,11.440651893615723
6,-113.89169050963187,0,1,36,3.5873422622680664
7,-112.82025788039529,0,1,73,7.272790431976318
8,387.0057839761888,1,0,101,13.755424499511719
9,395.33855439729984,1,0,67,9.565751075744629
10,-101.29038948697094,0,1,52,6.547091484069824
11,387.13511539691683,1,0,56,7.826747417449951
12,-124.75672415879697,0,1,26,1.885756015777588
13,-90.72648951129659,0,1,55,8.245956420898438
14,-98.69820535400169,0,1,54,6.855040073394775
15,373.8131311361789,1,0,45,5.329518795013428
16,409.98548111225546,1,0,112,11.778142929077148
17,376.7656952929786,1,0,169,17.66844367980957
18,436.13023504564444,1,0,153,27.18288803100586
19,431.4457553409189,1,0,108,17.7708740234375
20,361.29505724827237,1,0,119,13.974034309387207
21,386.398009021014,1,0,58,7.640693187713623
22,381.38704735552267,1,0,115,13.143901824951172
23,374.1036738430018,1,0,94,8.669425010681152
24,377.99284350638754,1,0,47,6.634305000305176
25,382.42258113383036,1,0,248,29.441505432128906
26,385.52226722030474,1,0,209,29.677207946777344
27,-83.6903037601561,0,1,61,9.445991516113281
28,-110.36053766163667,0,1,13,0.6395640969276428
29,368.0893463657612,1,0,145,13.898078918457031
30,68.88805977457056,0,0,500,62.923545837402344
31,399.4991566579711,1,0,100,13.88525676727295
32,-117.98408276491885,0,1,38,4.86422872543335
33,407.0199073572538,1,0,89,14.555794715881348
34,-111.36127223857385,0,1,42,5.670854091644287
35,-105.96903433480695,0,1,52,7.461295127868652
36,386.4866130376122,1,0,91,10.004621505737305
37,-117.14054141958289,0,1,24,1.8223950862884521
38,384.27023834117676,1,0,129,16.622840881347656
39,-105.6815933091074,0,1,137,20.460002899169922
40,-100.37658953353724,0,1,54,8.016709327697754
41,374.5829689823687,1,0,42,5.292672157287598
42,403.85615033417105,1,0,225,31.589534759521484
43,388.5855096179235,1,0,82,11.902044296264648
44,395.8578650043569,1,0,127,14.891359329223633
45,419.8329817558765,1,0,105,17.40471649169922
46,396.76923224023653,1,0,116,17.1121768951416
47,39.675144827302844,0,0,500,63.751014709472656
48,392.1397813019724,1,0,65,10.157429695129395
49,-96.97918888515098,0,1,49,7.070852756500244
50,409.4225181066096,1,0,77,12.616592407226562
51,376.46277796416433,1,0,159,19.097312927246094
52,407.2711320743077,1,0,78,11.810763359069824
53,-102.2819535222039,0,1,121,20.561098098754883
54,377.4856413552737,1,0,46,5.502285003662109
55,430.3763081249391,1,0,299,41.93610763549805
56,-118.02562799075086,0,1,35,4.141474723815918
57,386.7263772185391,1,0,105,13.927846908569336
58,380.662056604261,1,0,227,17.217369079589844
59,396.4719239220619,1,0,67,9.743462562561035
60,-121.23798449114157,0,1,35,4.0504937171936035
61,414.01496462083986,1,0,87,13.53764533996582
62,375.8162503020762,1,0,142,15.270685195922852
63,385.1981677050504,1,0,44,5.258676528930664
64,-115.31755933900038,0,1,32,3.1109442710876465
65,-108.80973944461397,0,1,46,6.079349994659424
66,402.5620116683691,1,0,100,14.722426414489746
67,-115.62312016449782,0,1,46,5.262290000915527
68,-96.93623981931401,0,1,56,8.36750602722168
69,413.06856710374046,1,0,108,16.11910629272461
70,388.76470660353016,1,0,63,8.026888847351074
71,-101.6227207858525,0,1,60,8.244575500488281
72,409.153412206443,1,0,78,12.051285743713379
73,389.1063677956365,1,0,86,11.23654556274414
74,396.25474493998854,1,0,90,10.437264442443848
75,402.9022974842914,1,0,76,11.924369812011719
76,406.96726475456074,1,0,100,14.585138320922852
77,-115.29719112425684,0,1,36,3.505619525909424
78,-101.56107625503019,0,1,53,6.766910076141357
79,384.0238280566246,1,0,86,9.212540626525879
80,403.4777188409716,1,0,74,11.05640983581543
81,391.6707935449183,1,0,179,22.825105667114258
82,386.485481263943,1,0,56,7.533847808837891
83,384.33177582080657,1,0,68,8.870060920715332
84,-119.4490673494441,0,1,31,2.3262076377868652
85,-106.10035415498965,0,1,51,6.991976737976074
86,-115.44377612928359,0,1,29,3.0521798133850098
87,355.7361500306869,1,0,47,4.581690311431885
88,-105.29946847927607,0,1,9,0.22377532720565796
89,-121.62210547294418,0,1,24,1.628907561302185
90,358.8672395325513,1,0,373,35.23377990722656
91,33.93242400508004,0,0,500,66.63191223144531
92,-109.86766062711644,0,1,57,8.670851707458496
93,-108.8268332529628,0,1,48,6.493157386779785
94,391.42807504779006,1,0,261,29.054481506347656
95,418.2163907880494,1,0,88,14.661909103393555
96,394.12187391959907,1,0,78,12.214251518249512
97,-105.4473366520026,0,1,120,20.621410369873047
98,-131.54554271115038,0,1,193,23.38373565673828
99,376.73403382748364,1,0,46,5.920280456542969
100,378.63325167796063,1,0,229,20.490522384643555
101,382.74714449413966,1,0,113,12.935791969299316
102,395.16254243988516,1,0,55,6.837730407714844
103,392.5805624348577,1,0,203,27.9899959564209
104,400.9576576761905,1,0,72,10.71312141418457
105,-120.88993634297881,0,1,24,2.0290632247924805
106,433.6604310994613,1,0,124,20.422250747680664
107,429.2087584570646,1,0,96,16.45926284790039
108,390.85715995709245,1,0,182,22.07959747314453
109,381.91524797458214,1,0,104,12.918069839477539
110,412.5656307328045,1,0,81,12.804647445678711
111,386.90061457448905,1,0,113,12.194635391235352
112,381.27164720271526,1,0,60,6.443327903747559
113,381.2283945955187,1,0,73,9.077522277832031
114,407.6336602334976,1,0,98,14.366546630859375
115,394.4637328343191,1,0,64,9.657370567321777
116,398.9539636050036,1,0,74,11.138479232788086
117,390.80861561428225,1,0,120,10.770605087280273
118,384.6907976139179,1,0,60,8.114689826965332
119,-99.3692128304697,0,1,53,7.870851039886475
120,-126.56826163592453,0,1,73,10.81367015838623
121,-131.29987112438377,0,1,158,19.802490234375
122,400.3512781430921,1,0,62,7.418815612792969
123,-115.43198494965054,0,1,33,3.818354368209839
124,385.78245078577106,1,0,130,15.079811096191406
125,395.9693981366465,1,0,285,34.59906768798828
126,-123.80466777477452,0,1,32,3.538499116897583
127,381.6208000012196,1,0,87,11.184072494506836
128,395.07070388945937,1,0,167,21.253904342651367
129,374.89795282275975,1,0,48,5.800835132598877
130,-110.3652827885004,0,1,38,4.519460201263428
131,-114.87858383445555,0,1,41,5.179661273956299
132,61.40885315289187,0,0,500,61.879852294921875
133,391.47745519754363,1,0,83,10.260664939880371
134,389.9906384079754,1,0,70,9.1412935256958
135,414.2740605085845,1,0,126,18.507930755615234
136,-107.08318710124942,0,1,12,0.49673449993133545
137,397.39043672581016,1,0,188,24.952777862548828
138,-120.82159920892785,0,1,23,1.8891935348510742
139,390.3077546124756,1,0,64,9.219924926757812
140,390.03974805244803,1,0,65,8.526981353759766
141,388.8560220409294,1,0,104,11.88413143157959
142,-102.50416117526692,0,1,55,7.3202805519104
143,405.6964105547648,1,0,75,11.944624900817871
144,398.1251352547073,1,0,55,6.790348529815674
145,389.380938267976,1,0,54,8.070852279663086
146,381.8167190694809,1,0,68,7.859403133392334
147,390.1155727863343,1,0,128,17.586971282958984
148,394.64542450793084,1,0,181,24.18710708618164
149,-111.94326497146174,0,1,14,0.6742714643478394
150,384.60132709839934,1,0,55,7.192976951599121
151,406.52455000947646,1,0,267,33.12955093383789
152,439.5640109523881,1,0,113,19.170244216918945
153,-94.44476335598468,0,1,53,7.790692329406738
154,358.74759352233775,1,0,134,15.807164192199707
155,388.6250873650583,1,0,114,11.418346405029297
156,395.34389563741763,1,0,114,16.919897079467773
157,368.71352929901633,1,0,110,12.24227523803711
158,-118.90174890299654,0,1,101,10.064927101135254
159,-123.94162046678787,0,1,38,4.2102508544921875
160,381.56813607671853,1,0,60,7.524386405944824
161,420.46093781656026,1,0,119,19.97781753540039
162,422.4680101325232,1,0,91,15.18149471282959
163,389.9713733000508,1,0,128,17.76342010498047
164,414.4972634203689,1,0,90,13.055340766906738
165,390.27222682502503,1,0,66,9.543068885803223
166,391.71532496635615,1,0,65,8.72719669342041
167,-106.0805304190557,0,1,36,4.274888515472412
168,403.14888190087845,1,0,72,10.837502479553223
169,393.04864469924837,1,0,152,18.44937515258789
170,402.7269706463218,1,0,171,23.511032104492188
