episode,return,success,collision,steps,path_length
0,385.4685287056211,1,0,71,7.633904457092285
1,392.3309719615078,1,0,66,9.94202995300293
2,390.9347527102343,1,0,59,8.749305725097656
3,-98.36886142153134,0,1,65,10.270852088928223
4,405.15117146873996,1,0,247,35.608863830566406
5,392.0341845463229,1,0,87,11.057456016540527
6,411.98066628900915,1,0,100,16.414363861083984
7,375.279852945894,1,0,52,5.409666061401367
8,386.82259748564195,1,0,77,9.882251739501953
9,395.64558935958144,1,0,66,9.338918685913086
10,-98.08398953191131,0,1,52,6.594753742218018
11,387.0127823863625,1,0,54,7.632516860961914
12,-88.4156446844164,0,1,89,15.041353225708008
13,-89.58389009809501,0,1,56,8.454917907714844
14,379.46400735341973,1,0,145,15.37515926361084
15,373.8465815376043,1,0,45,5.321937561035156
16,411.3667706402881,1,0,94,11.584610939025879
17,378.6642915459899,1,0,60,6.982154846191406
18,436.04974063529073,1,0,147,26.081050872802734
19,-88.29158785687379,0,1,142,24.209125518798828
20,370.13668409499314,1,0,123,14.296841621398926
21,386.62890424400376,1,0,57,7.558919429779053
22,385.0645408098399,1,0,85,9.788236618041992
23,-9.41648658288995,0,0,500,39.63916015625
24,-107.72807671972276,0,1,53,7.5321269035339355
25,-18.10497789365475,0,0,500,58.466426849365234
26,385.89068027525764,1,0,206,29.541011810302734
27,-84.93604926818102,0,1,62,9.640247344970703
28,-110.53513218047264,0,1,13,0.64346843957901
29,365.1241445069336,1,0,145,14.968889236450195
30,417.8779304132647,1,0,89,14.2310791015625
31,399.68496798137005,1,0,100,13.889948844909668
32,-118.37414035946978,0,1,38,4.860828876495361
33,407.52248040724453,1,0,87,14.233080863952637
34,-111.85507526758803,0,1,42,5.670854568481445
35,366.8714571391334,1,0,49,6.545289993286133
36,390.5096946364801,1,0,491,47.073829650878906
37,373.7714228390214,1,0,135,15.313400268554688
38,382.76717990261267,1,0,146,15.59183120727539
39,410.0770915941278,1,0,80,12.763132095336914
40,-104.36849920280143,0,1,53,7.870851993560791
41,374.30947431120273,1,0,42,5.185617923736572
42,-111.88514382621815,0,1,52,7.104378700256348
43,391.0463511178791,1,0,65,8.570182800292969
44,399.38533529209826,1,0,68,10.424070358276367
45,-88.8505174290634,0,1,140,22.55512237548828
46,396.5187142183613,1,0,112,16.37811279296875
47,394.122170513656,1,0,103,11.734159469604492
48,394.66383265723084,1,0,101,12.184589385986328
49,-98.24030267769574,0,1,49,7.070852756500244
50,409.70073055988547,1,0,77,12.601624488830566
51,-124.10137318284188,0,1,91,11.735369682312012
52,407.2443433135003,1,0,76,11.710527420043945
53,-98.87835193271874,0,1,115,19.203706741333008
54,377.6090390050768,1,0,44,5.443357467651367
55,429.4581467635778,1,0,102,16.308635711669922
56,-129.08980718550052,0,1,35,3.374526023864746
57,386.74129350699553,1,0,91,10.83764934539795
58,379.3381903250086,1,0,494,47.31376266479492
59,396.7958838190436,1,0,67,9.548567771911621
60,410.8678060542916,1,0,97,15.952991485595703
61,416.7826987841909,1,0,86,13.609079360961914
62,373.5967625127136,1,0,110,9.910859107971191
63,384.6501643655364,1,0,43,4.983003616333008
64,-116.50245082113854,0,1,33,3.432842969894409
65,-104.12612509594837,0,1,46,5.8163275718688965
66,402.89980200307065,1,0,111,16.493419647216797
67,405.4690258826613,1,0,77,11.301155090332031
68,-98.59245233792235,0,1,54,8.023906707763672
69,-118.52282473844315,0,1,25,2.083083391189575
70,-130.57908635691084,0,1,30,2.4892640113830566
71,-101.18155118128071,0,1,49,6.435157775878906
72,409.73887944146986,1,0,78,12.35024642944336
73,389.96332952989775,1,0,90,11.500096321105957
74,396.51718016909524,1,0,79,9.802108764648438
75,401.69515796065474,1,0,75,11.926301002502441
76,-117.59442903310423,0,1,27,2.3902227878570557
77,-117.94630687634336,0,1,27,2.176534652709961
78,-101.88494367109678,0,1,53,6.7018842697143555
79,391.41828437326114,1,0,87,11.298792839050293
80,403.0775704484363,1,0,73,10.878022193908691
81,394.6015406141579,1,0,95,13.139250755310059
82,386.8947031540945,1,0,57,7.5610432624816895
83,384.88468410555544,1,0,87,11.111263275146484
84,-118.96235348782815,0,1,36,2.5030148029327393
85,-104.94263327425027,0,1,50,6.547150611877441
86,396.8494609371132,1,0,74,11.149800300598145
87,357.7370387133687,1,0,46,4.683788299560547
88,-104.01374419353625,0,1,8,0.2538430392742157
89,386.4339915763175,1,0,125,14.822901725769043
90,6.004891297180216,0,0,500,28.631511688232422
91,385.98574095296857,1,0,242,35.94256591796875
92,-85.40065642010622,0,1,122,21.010488510131836
93,384.9145135482324,1,0,64,9.339319229125977
94,391.68313173948786,1,0,246,27.92618751525879
95,417.95878146030213,1,0,87,14.478466987609863
96,-105.10660113995988,0,1,91,14.546713829040527
97,402.9874242216675,1,0,94,15.51551628112793
98,389.96635326573755,1,0,61,9.409516334533691
99,376.9435884585977,1,0,45,5.734235763549805
100,385.9681091505524,1,0,120,12.282709121704102
101,380.99476354060135,1,0,104,11.60420036315918
102,395.394159079583,1,0,52,6.7410197257995605
103,394.76404489077623,1,0,78,11.643277168273926
104,400.67783894187284,1,0,72,10.547588348388672
105,-117.36057110057286,0,1,26,2.190739631652832
106,-95.78035517763361,0,1,60,8.441043853759766
107,429.84567201626294,1,0,96,16.470857620239258
108,-124.14095712911325,0,1,191,16.89560317993164
109,16.99025566487603,0,0,500,30.948253631591797
110,413.2250584303438,1,0,81,13.139493942260742
111,390.6925980418906,1,0,81,8.787516593933105
112,381.0796755193216,1,0,52,6.454708099365234
113,380.85204327727854,1,0,67,8.566017150878906
114,407.2117525298595,1,0,103,15.435807228088379
115,394.98844675650355,1,0,63,9.360891342163086
116,-91.86083787349972,0,1,53,7.276087284088135
117,391.8189656852079,1,0,68,9.069605827331543
118,383.0159132333563,1,0,60,8.147467613220215
119,-97.71348881923126,0,1,53,7.870851993560791
120,375.01704116903244,1,0,47,5.556777000427246
121,371.9939944049946,1,0,39,4.709686279296875
122,396.42332990924535,1,0,98,10.39002799987793
123,-108.26145059409173,0,1,44,5.173462867736816
124,31.438323886261678,0,0,500,49.2168083190918
125,395.55528334623386,1,0,70,9.195768356323242
126,-132.3527731513314,0,1,32,2.789602756500244
127,379.71460557154427,1,0,124,13.419957160949707
128,391.8815005931265,1,0,279,31.067485809326172
129,374.8790400188267,1,0,64,6.401931285858154
130,382.11991192431157,1,0,96,10.543731689453125
131,394.651085398153,1,0,69,10.27646541595459
132,415.1299577784742,1,0,251,32.64697265625
133,-124.44609480629082,0,1,132,19.171112060546875
134,389.52306428375834,1,0,63,8.950921058654785
135,414.07064044989295,1,0,111,16.361238479614258
136,394.22132034475675,1,0,182,19.675586700439453
137,397.3717418262734,1,0,139,16.763927459716797
138,398.33585780115436,1,0,93,13.085179328918457
139,391.49992568305595,1,0,164,21.939617156982422
140,389.31121823772787,1,0,67,9.229291915893555
141,391.1575573019016,1,0,95,11.716778755187988
142,-107.99826693837727,0,1,45,5.3896636962890625
143,405.8752254586618,1,0,75,11.881422996520996
144,397.5037670212799,1,0,69,7.772680759429932
145,389.76626821401715,1,0,55,8.246161460876465
146,382.3707036814689,1,0,79,9.435495376586914
147,390.4285725954694,1,0,372,31.89971160888672
148,394.21294171708075,1,0,172,22.5561466217041
149,388.7557065222527,1,0,100,11.77232551574707
