episode,return,success,collision,steps,path_length
0,420.23670752811427,1,0,90,14.257019996643066
1,377.67828769642114,1,0,93,9.354652404785156
2,394.86246140942046,1,0,67,10.663453102111816
3,386.7793646803498,1,0,54,7.675785541534424
4,380.60352287532396,1,0,127,14.299301147460938
5,424.7467654866777,1,0,98,16.84219741821289
6,405.9397555548959,1,0,202,29.640159606933594
7,373.6436088343337,1,0,52,5.5919952392578125
8,393.40115602810573,1,0,47,6.547759532928467
9,366.6644963127526,1,0,196,22.243526458740234
10,389.80337021345156,1,0,85,12.957642555236816
11,378.34501726508233,1,0,79,7.717380523681641
12,412.24153040046986,1,0,147,18.928775787353516
13,404.4113437460293,1,0,79,12.55345344543457
14,-102.17607392918273,0,1,46,6.125621318817139
15,379.5814763893316,1,0,54,7.548460483551025
16,404.6420157201588,1,0,70,11.270852088928223
17,378.17351572725386,1,0,123,12.525691986083984
18,394.543369699799,1,0,149,19.252042770385742
19,401.03542371370406,1,0,77,10.719304084777832
20,387.9350967620367,1,0,98,13.099936485290527
21,371.223812734969,1,0,91,8.080968856811523
22,380.1511305600465,1,0,52,6.46043586730957
23,56.78846176646501,0,0,500,41.96112823486328
24,421.9882824462019,1,0,99,14.97976303100586
25,387.13561044753897,1,0,54,7.729640960693359
26,390.75840017879005,1,0,60,8.398419380187988
27,389.7950013883374,1,0,62,8.504127502441406
28,402.75483964177965,1,0,84,12.654211044311523
29,393.35298107337553,1,0,67,10.257338523864746
30,380.8474096235799,1,0,48,6.76572322845459
31,-111.72197792786974,0,1,20,1.0640897750854492
32,393.57162899351476,1,0,201,22.979206085205078
33,388.12983079977806,1,0,216,30.510379791259766
34,400.6968305270645,1,0,124,15.37789249420166
35,373.7220838153809,1,0,120,13.466714859008789
36,390.1913702261902,1,0,67,9.694535255432129
37,393.81409767866757,1,0,102,11.536825180053711
38,387.53152263190094,1,0,72,10.071220397949219
39,393.98795889205854,1,0,116,13.335419654846191
40,-115.22916919254476,0,1,23,1.9101414680480957
41,388.22410997453335,1,0,96,11.0313720703125
42,390.64171543750166,1,0,84,10.74846076965332
43,371.6047256120368,1,0,40,4.642665863037109
44,387.0340928650356,1,0,73,8.640867233276367
45,-112.47190323473926,0,1,13,0.4610290229320526
46,-125.85544551303775,0,1,46,6.470852851867676
47,387.4116823947549,1,0,116,13.573826789855957
48,-120.78404661669342,0,1,69,3.6252176761627197
49,372.5049556438756,1,0,183,20.777292251586914
50,378.67188067575546,1,0,144,18.129108428955078
51,392.58268647163356,1,0,66,9.574688911437988
52,382.8272580833137,1,0,124,14.128162384033203
53,-110.21771867885131,0,1,45,4.729066371917725
54,385.54025534935295,1,0,55,7.2683844566345215
55,387.9588506670792,1,0,128,15.232540130615234
56,-120.8944867908727,0,1,100,11.89651870727539
57,405.53553188689216,1,0,85,11.76709270477295
58,396.95270678902415,1,0,95,14.408342361450195
59,388.80327828037736,1,0,69,9.422945976257324
60,-87.03320546419467,0,1,58,8.66811752319336
61,412.1027405177653,1,0,107,17.194028854370117
62,422.22698111276327,1,0,108,18.02985382080078
63,432.0303910964658,1,0,220,29.82463836669922
64,-104.46567202997228,0,1,51,7.0275750160217285
65,379.2420589576236,1,0,51,7.026384353637695
66,-117.76076894037436,0,1,24,1.908834457397461
67,-130.01280712519036,0,1,33,2.8014976978302
68,-106.01785542273184,0,1,64,7.712366104125977
69,-88.94992123293724,0,1,135,13.528305053710938
70,-91.77393994135429,0,1,52,7.650474548339844
71,-104.37850176160877,0,1,46,6.274240493774414
72,380.4480210506922,1,0,222,23.0960750579834
73,398.5277501175701,1,0,95,14.520101547241211
74,398.064623718209,1,0,73,9.943909645080566
75,-118.68923347165916,0,1,29,3.068624496459961
76,-120.48770962970326,0,1,126,10.672269821166992
77,377.8836945794448,1,0,48,5.865324974060059
78,390.5601701547801,1,0,93,12.107162475585938
79,380.812727031651,1,0,102,11.066349029541016
80,376.10144750428196,1,0,43,5.483181476593018
81,381.24488471844916,1,0,168,17.192646026611328
82,398.9368130312636,1,0,57,7.347127437591553
83,383.34324800497,1,0,89,10.1797513961792
84,417.80003701280054,1,0,84,14.046448707580566
85,407.2510690012872,1,0,95,15.701087951660156
86,389.54187476828696,1,0,58,8.296574592590332
87,392.84075799335534,1,0,77,11.681415557861328
88,-136.131317683953,0,1,146,17.6219482421875
89,-104.48656560412883,0,1,7,0.19799038767814636
90,-143.32135189494892,0,1,131,21.155723571777344
91,372.425482784515,1,0,55,5.297825336456299
92,391.10022806487973,1,0,108,11.621162414550781
93,400.59663074590264,1,0,77,12.009904861450195
94,-139.22912331527976,0,1,137,15.239629745483398
95,380.02499427358487,1,0,209,28.785011291503906
96,411.4042118264393,1,0,80,13.270853042602539
97,405.5251439723726,1,0,187,24.024301528930664
98,380.0413820896864,1,0,220,26.09973907470703
99,390.5564998946733,1,0,66,9.809647560119629
100,393.8535755492196,1,0,96,12.251039505004883
101,422.8635819306374,1,0,118,18.335256576538086
102,376.4670823120273,1,0,47,5.507081985473633
103,381.2753679461313,1,0,64,8.731986999511719
104,418.027668786986,1,0,90,14.917622566223145
105,363.13988669777723,1,0,140,16.396997451782227
106,375.5255744649179,1,0,118,12.944236755371094
107,402.4153346932317,1,0,147,18.238882064819336
108,412.71898186200855,1,0,83,12.730612754821777
109,-101.21413519928832,0,1,50,7.107110500335693
110,422.115723622471,1,0,88,14.870851516723633
111,383.9511879031509,1,0,112,12.076286315917969
112,-115.09074184283634,0,1,33,3.8708536624908447
113,370.27350949993786,1,0,59,6.765777587890625
114,412.9154108825209,1,0,107,18.234731674194336
115,393.95222642318294,1,0,99,12.95167064666748
116,-117.51501295763946,0,1,36,3.6137092113494873
117,-97.70445693736312,0,1,48,6.862363815307617
118,387.9362173946802,1,0,209,24.216320037841797
119,387.35020175973324,1,0,72,9.548678398132324
120,-127.22712745068144,0,1,29,2.0152993202209473
121,396.40188092013074,1,0,68,9.456352233886719
122,383.77358642958154,1,0,66,10.46688461303711
123,394.1135612608268,1,0,64,9.568958282470703
124,397.798861149624,1,0,95,14.34819507598877
125,401.86225173859526,1,0,100,13.315787315368652
126,391.777459534252,1,0,75,10.361849784851074
127,405.6982100625336,1,0,138,17.378711700439453
128,373.97032438443597,1,0,191,15.047292709350586
129,-97.11123174759426,0,1,55,7.503554344177246
130,402.9761329637948,1,0,148,19.448923110961914
131,389.18570001166904,1,0,98,13.366612434387207
132,385.9747989621609,1,0,89,12.140864372253418
133,396.81423767507823,1,0,87,13.547314643859863
134,-87.42780218960723,0,1,60,9.270853996276855
135,406.0756043666154,1,0,101,15.866525650024414
136,-113.62232199363736,0,1,35,4.2708539962768555
137,-114.19721160406371,0,1,30,2.67020583152771
138,372.5758688933117,1,0,250,19.77936363220215
139,380.08347133755126,1,0,48,6.212257385253906
140,396.5881468442677,1,0,69,9.73439884185791
141,377.1968549235016,1,0,80,8.704538345336914
142,383.8445894340103,1,0,88,11.090753555297852
143,410.9063980518877,1,0,94,15.560676574707031
144,408.4946050436944,1,0,79,12.441792488098145
145,389.2135624836404,1,0,57,8.200662612915039
146,-99.03880630651801,0,1,51,7.217367172241211
147,389.94730582644655,1,0,110,13.295884132385254
148,403.81020110447514,1,0,74,10.904696464538574
149,390.6419274297478,1,0,59,8.748370170593262
150,390.3322054072158,1,0,63,8.493651390075684
151,393.02549675187464,1,0,64,8.784273147583008
152,385.4095921956002,1,0,83,10.762297630310059
153,381.41420876397365,1,0,142,15.544649124145508
154,383.8471926907693,1,0,54,7.293382167816162
155,366.5158480085646,1,0,50,5.616363525390625
156,399.74041073636397,1,0,81,12.702159881591797
157,386.5916100475452,1,0,107,11.65148639678955
158,406.4757725553538,1,0,201,28.9885311126709
159,-120.74012087861186,0,1,20,1.278267502784729
160,374.534478484241,1,0,109,12.79437255859375
161,394.3097274037109,1,0,259,24.92110824584961
162,374.52416449646836,1,0,191,19.455371856689453
163,401.49060780762693,1,0,86,10.582770347595215
164,374.974702579163,1,0,92,8.852762222290039
165,389.21799581077363,1,0,96,12.41716194152832
166,389.38020481728364,1,0,53,7.5643792152404785
167,419.471253009138,1,0,98,16.174549102783203
168,-98.32791588090548,0,1,42,5.279839038848877
169,-83.8239446585623,0,1,65,9.88949203491211
170,374.4733584494596,1,0,141,18.10437774658203
171,-123.21712771570687,0,1,41,5.46738338470459
172,375.6843213099185,1,0,109,11.580012321472168
173,370.23901545265636,1,0,124,14.179963111877441
174,385.88479455247517,1,0,104,13.425361633300781
175,425.44351578604426,1,0,124,21.54399871826172
176,383.97594041830996,1,0,57,8.55427074432373
177,-88.0804348913211,0,1,56,8.470637321472168
178,-93.39415487496564,0,1,56,7.391005039215088
179,388.44700118775376,1,0,72,10.73209285736084
180,382.2079822188137,1,0,169,21.347816467285156
181,404.2781012871116,1,0,131,19.027454376220703
182,388.48300804949713,1,0,169,21.856212615966797
