update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,888.9,225.87084716613214,0.6585365853658537,0.2926829268292683,98.82926829268293,145.76024379334174,242.909125305021,0.5,0.43333333333333335,113.43333333333334,11.831788571675618,483.0165346781413,-0.00926141172919112,966.0583527882894,1.1282304763793944,0.0033951456542126836,0.03390299479166667,0.4253816604614258,0.0
2,8192,846.5,183.10458536281203,0.58,0.38,110.82,248.37086796296848,227.63362363484015,0.7,0.26666666666666666,115.36666666666666,15.07634352048238,436.69195861816405,-0.007345079756729925,873.4053643544515,1.1290372028946876,0.0032061420070628325,0.03528645833333333,0.4257010221481323,0.0
3,12288,812.0,148.31811016114435,0.5,0.44,140.82,138.23481264372063,240.958060576038,0.4666666666666667,0.43333333333333335,141.46666666666667,17.55963214635849,451.1225570042928,-0.008670769181723397,902.269237391154,1.1277441650629043,0.003245015827026994,0.03388671875,0.4247044026851654,0.0
4,16384,768.8,225.854483100799,0.66,0.3,128.34,138.9493643276401,243.13731817253316,0.4666666666666667,0.4,147.13333333333333,16.426124620437623,301.07382520039874,-0.00899984747520648,602.1724145889282,1.1264424592256546,0.004012070761624879,0.043505859375,0.42556947469711304,0.0
5,20480,756.4,229.6487371163203,0.66,0.28,128.14,133.85748046807066,242.60509442836587,0.4666666666666667,0.43333333333333335,138.66666666666666,16.09298663934072,230.97709922790528,-0.010265046416316181,461.9815112431844,1.130885973572731,0.004518692217728434,0.055810546875,0.42630743980407715,0.0
6,24576,818.1,225.40824835277178,0.66,0.28,124.32,159.0134415723818,240.80716105578966,0.5,0.4,143.6,17.60560100078583,238.49361778895062,-0.010626500807120465,477.0152852376302,1.1328827187418937,0.00482742034024947,0.058919270833333336,0.42629408836364746,0.0
7,28672,878.4,110.2118085259677,0.42,0.52,105.84,167.26761817629944,237.01289748629506,0.5333333333333333,0.36666666666666664,121.63333333333334,15.19665468732516,379.27494157155354,-0.00958172245688426,758.5758556365967,1.1342661370833715,0.003991183564842989,0.04236653645833333,0.42719197273254395,0.0
8,32768,927.8,133.89477366335746,0.48,0.5,87.84,222.93968508766108,234.03338036561686,0.6333333333333333,0.26666666666666666,138.83333333333334,14.09706778526306,428.3037926355998,-0.01001763738070925,856.6344565073649,1.1395470385750135,0.0037054518208606167,0.04034830729166667,0.42832183837890625,0.0
9,36864,969.0,192.01712980632982,0.58,0.36,118.5,154.31060088086824,238.4303335894363,0.5,0.36666666666666664,140.9,17.179493602116903,344.022356001536,-0.008528998870557795,688.0686077753703,1.1411292205254238,0.0036385286880734687,0.03899739583333333,0.42774635553359985,0.0
10,40960,1006.4,192.40128620308423,0.58,0.36,118.52,210.58539445854694,227.6971511996816,0.6,0.26666666666666666,151.63333333333333,19.263660605748495,288.613453133901,-0.00957028721847261,577.2528853734334,1.1402180661757788,0.003787072975925791,0.04251302083333333,0.42819494009017944,0.0
11,45056,1048.0,127.80582329383796,0.44,0.44,154.18,209.2949103507867,234.74869804108488,0.6333333333333333,0.3333333333333333,96.0,12.398282448450724,213.14081595738728,-0.0105571914173197,426.30956033070885,1.1361472810308137,0.0049457319177842385,0.06106770833333333,0.425484299659729,0.0
12,49152,1080.8,108.80971258291734,0.42,0.52,134.0,192.59901781067796,241.16050739566393,0.6,0.36666666666666664,107.16666666666667,12.678671828905742,262.6607797622681,-0.01167343561925615,525.3516801198324,1.129343542456627,0.0048633598344167694,0.05987955729166667,0.42556649446487427,0.0
