episode,return,success,collision,steps,path_length
0,385.07866717261817,1,0,55,7.304088592529297
1,391.16779212575625,1,0,73,10.239974975585938
2,391.19773269111664,1,0,58,8.553016662597656
3,-99.72077138945428,0,1,65,10.270849227905273
4,398.5827064366156,1,0,95,15.30961799621582
5,388.1887707590782,1,0,92,10.390795707702637
6,414.5024369832054,1,0,103,17.116518020629883
7,376.155801307179,1,0,87,8.480491638183594
8,386.6412384334234,1,0,83,10.21858024597168
9,395.6077230914533,1,0,66,9.375279426574707
10,-105.78882327346054,0,1,52,6.669041633605957
11,386.98084336536743,1,0,57,7.672361373901367
12,-86.79539936886877,0,1,84,14.006102561950684
13,-100.27052156575924,0,1,56,7.655690670013428
14,359.7802609041412,1,0,150,14.20637321472168
15,371.1722631211355,1,0,97,8.980110168457031
16,412.92303496856783,1,0,110,12.429923057556152
17,379.16126363560875,1,0,73,8.15151309967041
18,436.1236548377826,1,0,155,27.412782669067383
19,425.51045351596406,1,0,123,21.249141693115234
20,369.6653891980083,1,0,128,15.117168426513672
21,385.9094831842612,1,0,56,7.390697479248047
22,381.13069158996944,1,0,112,13.027023315429688
23,366.49845063460697,1,0,192,16.798797607421875
24,-108.52540424384462,0,1,53,7.599624156951904
25,383.24099024355746,1,0,240,27.798925399780273
26,386.38458054419107,1,0,71,9.32132339477539
27,-85.67410521282864,0,1,62,9.607783317565918
28,-110.37829099659774,0,1,13,0.6399659514427185
29,369.96935811241053,1,0,142,13.185161590576172
30,417.2787828456312,1,0,89,14.359621047973633
31,399.0718466541865,1,0,98,12.841825485229492
32,-119.50607872480585,0,1,38,4.842379093170166
33,-114.344950382212,0,1,48,6.861339092254639
34,-112.14631850412117,0,1,42,5.670854568481445
35,367.8517219027186,1,0,49,6.590734958648682
36,385.93121017479825,1,0,182,18.09870147705078
37,370.7295534876178,1,0,121,12.899630546569824
38,383.8535856977461,1,0,111,14.581912994384766
39,412.9143453673124,1,0,93,14.910699844360352
40,-102.75546396679871,0,1,54,8.054083824157715
41,373.18330658738034,1,0,161,19.81406593322754
42,408.14434975237117,1,0,97,16.128707885742188
43,390.79792610729146,1,0,69,9.898480415344238
44,396.8798413625478,1,0,157,20.72648811340332
45,423.7044304843693,1,0,127,21.6340274810791
46,396.7600454789309,1,0,110,16.471622467041016
47,393.0431316723264,1,0,122,13.711722373962402
48,391.4875927759205,1,0,79,10.856084823608398
49,-98.71419973254389,0,1,49,7.070852756500244
50,409.2912996134474,1,0,77,12.466989517211914
51,379.95235697826536,1,0,59,7.214290618896484
52,407.47525889466704,1,0,76,11.801353454589844
53,401.78865306960853,1,0,102,16.039520263671875
54,377.5625384038733,1,0,44,5.464900970458984
55,429.28665502795764,1,0,111,17.02646827697754
56,-117.752611346126,0,1,37,4.669538497924805
57,386.76040532841245,1,0,92,10.961308479309082
58,-111.30384671321987,0,1,38,4.146327972412109
59,396.47964187638956,1,0,67,9.551225662231445
60,-119.61130607737189,0,1,37,4.380411624908447
61,416.7058802256388,1,0,87,13.597367286682129
62,375.2395145273109,1,0,61,6.49704647064209
63,385.84596328521206,1,0,43,4.901474952697754
64,-115.55626004302049,0,1,32,3.2295567989349365
65,-106.07199261704629,0,1,46,5.811725616455078
66,402.36168097834286,1,0,114,16.76717185974121
67,404.6126489722532,1,0,79,12.092205047607422
68,-94.43212598210002,0,1,53,7.833245754241943
69,-116.79763668714092,0,1,29,2.5312857627868652
70,386.6534752908208,1,0,100,10.497086524963379
71,-99.98509395294545,0,1,75,9.732044219970703
72,409.4641919056498,1,0,78,12.445045471191406
73,389.8201698754256,1,0,84,10.35965347290039
74,394.86258581293373,1,0,111,11.791438102722168
75,399.1079727616045,1,0,85,12.481170654296875
76,-115.68249988217082,0,1,33,3.1313297748565674
77,-118.95005308394204,0,1,30,2.6265149116516113
78,-103.4054955604526,0,1,53,6.749382019042969
79,388.9138113364611,1,0,115,11.030374526977539
80,403.26887718017394,1,0,73,11.0850191116333
81,394.5730927473605,1,0,97,13.282732963562012
82,386.3630698678959,1,0,56,7.4354119300842285
83,384.76451190246644,1,0,74,9.116681098937988
84,-119.31425401320354,0,1,33,2.3877453804016113
85,-97.27269050602253,0,1,50,6.416538715362549
86,-115.15406297240051,0,1,30,3.174509048461914
87,346.2118667709376,1,0,44,4.579543113708496
88,-103.39123694495086,0,1,9,0.2552640438079834
89,-121.2148332795172,0,1,24,1.6236417293548584
90,-110.86414642562514,0,1,153,11.870630264282227
91,384.0770314107979,1,0,65,8.329383850097656
92,403.15479916743186,1,0,113,18.77356719970703
93,387.24157156515514,1,0,64,9.274192810058594
94,390.40646839490813,1,0,75,8.70451545715332
95,417.83109179898497,1,0,86,14.421441078186035
96,-110.46756553816697,0,1,97,15.853633880615234
97,400.560358906142,1,0,100,15.926849365234375
98,378.3154942044436,1,0,128,15.3164701461792
99,377.21612102830403,1,0,46,5.845883369445801
100,382.160330157528,1,0,59,8.546599388122559
101,381.37000200043497,1,0,119,13.915616989135742
102,394.8504451590247,1,0,53,6.628623008728027
103,395.1496123128086,1,0,88,12.795846939086914
104,400.12239522938563,1,0,72,10.525205612182617
105,-120.97648516859954,0,1,23,1.928368091583252
106,433.3825157783648,1,0,129,21.943157196044922
107,429.6180331265926,1,0,96,16.470500946044922
108,-116.97492419056661,0,1,87,9.953786849975586
109,382.1794738314397,1,0,87,9.158367156982422
110,413.0533535746634,1,0,81,12.921469688415527
111,389.727507772041,1,0,62,8.638162612915039
112,381.8338848755807,1,0,52,6.596590518951416
113,381.46164855135976,1,0,71,8.742116928100586
114,407.8814648845195,1,0,106,15.108973503112793
115,394.08785284533974,1,0,62,9.441574096679688
116,396.05611977370137,1,0,73,11.142596244812012
117,391.6023192777037,1,0,131,15.614875793457031
118,-106.21716877802788,0,1,39,3.942077159881592
119,-97.84641496071504,0,1,53,7.870851993560791
120,375.1921736429185,1,0,46,5.386569499969482
121,370.35832581202146,1,0,42,4.991235733032227
122,-98.86695164996313,0,1,80,10.3770751953125
123,-109.05929316349001,0,1,44,5.073754787445068
124,387.48977271027513,1,0,84,10.91491413116455
125,395.89189949488633,1,0,69,9.303970336914062
126,-121.39988236586214,0,1,32,3.670851707458496
127,382.2321923785251,1,0,77,9.857197761535645
128,387.14518994341506,1,0,214,27.085477828979492
129,374.72728935547167,1,0,52,5.8403239250183105
130,-110.81578194339998,0,1,38,4.533921241760254
131,391.49262075341716,1,0,78,11.528665542602539
132,413.10290983602425,1,0,290,34.48507308959961
133,389.6205193432944,1,0,78,10.467208862304688
134,389.57504668443113,1,0,70,9.374506950378418
135,414.71179238041634,1,0,125,17.880767822265625
136,-107.81895690044308,0,1,11,0.46050241589546204
137,397.2501226625843,1,0,166,21.593637466430664
138,-118.53958736478353,0,1,25,2.0728888511657715
139,388.69635318035625,1,0,191,25.59065055847168
140,389.66989157730336,1,0,70,8.943500518798828
141,388.6989364469251,1,0,99,10.6747407913208
142,412.4769983321162,1,0,112,17.964195251464844
143,404.94102123608303,1,0,74,11.540193557739258
144,398.02518460400415,1,0,70,7.496639728546143
145,388.9587776708901,1,0,56,8.44556999206543
146,382.2379057232141,1,0,79,9.13111686706543
147,389.51236507217334,1,0,243,25.65224266052246
148,397.49352740060164,1,0,101,15.198528289794922
149,-111.34340384987246,0,1,17,0.8001301884651184
150,384.2110282422006,1,0,55,7.238483905792236
151,32.321257730542825,0,0,500,61.397216796875
152,441.48396089150754,1,0,120,20.396759033203125
153,-96.55139222510114,0,1,52,7.635890483856201
154,362.4073283611708,1,0,130,15.732404708862305
155,392.81558234684485,1,0,123,13.918802261352539
156,395.9209663103077,1,0,108,16.214344024658203
157,-127.22312667490866,0,1,58,8.292882919311523
158,-120.2045258398096,0,1,91,9.595586776733398
159,-121.06206150600231,0,1,37,4.018829822540283
160,377.6661372259928,1,0,166,19.91594886779785
161,420.6031620571613,1,0,137,22.430496215820312
162,422.6708714425777,1,0,93,14.803750038146973
163,-131.28927336552513,0,1,32,3.36336088180542
164,414.9891378678427,1,0,87,13.09628677368164
165,390.1415904934394,1,0,67,9.624889373779297
166,391.51475600869765,1,0,61,8.6358642578125
167,-114.00412239837334,0,1,35,3.8715245723724365
168,399.83301952606075,1,0,128,15.519805908203125
169,398.4253219989802,1,0,84,12.675774574279785
170,405.89211414432526,1,0,118,18.701431274414062
171,382.5072181828675,1,0,77,8.274870872497559
172,442.05813106423614,1,0,136,23.877708435058594
173,390.8646597033914,1,0,85,10.799259185791016
174,-107.11810471896622,0,1,48,6.366700649261475
175,387.7408931740552,1,0,47,4.907505512237549
176,-118.39994087723201,0,1,30,2.9649648666381836
177,382.08313155060625,1,0,230,23.651126861572266
178,405.86418452332913,1,0,107,16.226970672607422
179,397.94432884892484,1,0,95,13.208606719970703
180,395.0463212805397,1,0,65,9.530904769897461
181,361.44428100228265,1,0,102,10.96783447265625
182,395.1791560560676,1,0,69,9.838644027709961
183,388.76010636807996,1,0,74,10.462309837341309
184,401.66886437851974,1,0,87,13.62779426574707
185,398.5193784312691,1,0,77,11.463521003723145
186,-104.17215951071142,0,1,51,6.602232933044434
187,370.8018383165955,1,0,126,14.598069190979004
188,387.9851564103946,1,0,57,7.803742408752441
189,386.49252638454954,1,0,90,9.257940292358398
190,-115.2703380172069,0,1,23,1.582707405090332
191,-100.12799499540104,0,1,51,7.424325942993164
192,385.96208275317434,1,0,81,9.609840393066406
193,384.12363710176714,1,0,110,13.162124633789062
194,395.83400724580537,1,0,99,14.289372444152832
195,396.3114422509517,1,0,184,25.365947723388672
196,-115.60588558407768,0,1,42,5.642947673797607
197,393.6112472312095,1,0,66,9.321269035339355
198,405.00583422338957,1,0,104,16.12969207763672
199,373.69455952665555,1,0,140,17.193111419677734
