update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1798.4,433.5867432230516,0.6585365853658537,0.2926829268292683,98.82926829268293,301.1640082747364,383.6197943956751,0.5,0.4666666666666667,104.33333333333333,11.093058371543885,1033.5675899505616,-0.009641174715943635,2067.1612380981446,1.1263538971543312,0.004954747163477199,0.0564453125,0.42429113388061523,0.0
2,8192,1709.6,364.9985775601367,0.58,0.38,109.46,451.3936150564903,365.92178297023565,0.6666666666666666,0.26666666666666666,130.73333333333332,16.774273351828256,818.7361099243165,-0.009712728085772445,1637.4983899434408,1.123593059182167,0.004279350184757883,0.050764973958333334,0.4244765043258667,0.0
3,12288,1674.7,321.7877340514216,0.52,0.44,132.98,289.481989438084,391.3865442037209,0.4666666666666667,0.4666666666666667,133.0,16.665014870961507,737.5488519668579,-0.011239474621834233,1475.1269383748372,1.1263531506061555,0.004957742749441726,0.061474609375,0.42572569847106934,0.0
4,16384,1648.9,443.9338572788022,0.68,0.3,135.74,257.2331528318855,384.71718943305575,0.43333333333333335,0.4666666666666667,137.66666666666666,15.586639094352723,591.8725317637126,-0.010103549622969391,1183.7720493316651,1.1280567119518916,0.004246148722692548,0.045670572916666666,0.42467328906059265,0.0
5,20480,1646.6,409.66035602901525,0.62,0.3,136.74,293.496975034509,377.7313139198787,0.4666666666666667,0.4,145.8,16.880017693837484,565.6575387954712,-0.010432021071513494,1131.342685699463,1.1240966026981671,0.0041764927688442794,0.04855143229166667,0.4240817725658417,0.0
6,24576,1660.0,406.73236150955427,0.62,0.28,136.02,353.8734585363737,376.2112956845872,0.5333333333333333,0.4,125.6,16.478781326611838,428.67959216435753,-0.009417557254588852,857.3847402572632,1.1210842673977217,0.004192326148525657,0.04485677083333333,0.42299020290374756,0.0
7,28672,1661.5,296.120368269514,0.48,0.46,118.3,333.54364819142745,372.14795908594664,0.5333333333333333,0.36666666666666664,121.46666666666667,15.408928364515305,503.30387427012124,-0.012765119985366861,1006.6399837493897,1.1189038599530856,0.005640781764911177,0.06907552083333333,0.4239441156387329,0.0
8,32768,1646.3,328.67612164851226,0.52,0.46,89.8,377.44991532142143,384.2239272463284,0.5666666666666667,0.3,159.03333333333333,16.32600868542989,839.6067489624023,-0.011001547703441854,1679.242270787557,1.125715505083402,0.0048212975399413455,0.057958984375,0.4261055588722229,0.0
9,36864,1655.5,354.67174147273187,0.54,0.4,117.46,260.8569955881661,378.84518705385295,0.43333333333333335,0.4666666666666667,122.23333333333333,15.223522925376892,628.2523482004801,-0.010206843262615924,1256.5318845113118,1.1273002997040749,0.004575433957991966,0.052083333333333336,0.42387855052948,0.0
10,40960,1641.4,323.3247267609771,0.5,0.38,138.6,356.3181605035293,367.495888475009,0.5333333333333333,0.3,153.6,19.48124165534973,336.8059891382853,-0.008701744522356118,673.6360980033875,1.1196856513619422,0.005627471517558055,0.06896158854166666,0.4229692220687866,0.0
