episode,return,success,collision,steps,path_length
0,387.9541832083724,1,0,217,24.29827117919922
1,389.5610950709009,1,0,66,10.032947540283203
2,391.5407804123461,1,0,58,8.737641334533691
3,-98.12045468888493,0,1,66,10.436978340148926
4,400.6653644274614,1,0,92,15.070979118347168
5,-121.10594998726958,0,1,23,1.7729860544204712
6,-118.12370393186458,0,1,31,2.7890007495880127
7,-114.25169243353166,0,1,69,7.395282745361328
8,386.90005739579624,1,0,86,11.297611236572266
9,395.3392384316772,1,0,66,9.34609317779541
10,-105.12713759911588,0,1,52,6.663017272949219
11,386.80532591857013,1,0,56,7.631457805633545
12,-83.89341945770636,0,1,84,14.070850372314453
13,-92.09867329256099,0,1,51,7.396607875823975
14,369.69769008003414,1,0,165,16.069156646728516
15,374.12555376201726,1,0,43,5.3710479736328125
16,411.66938601776536,1,0,115,13.631648063659668
17,374.69235931779724,1,0,127,12.96534538269043
18,436.53530224196606,1,0,148,26.58331298828125
19,430.3207796774821,1,0,118,19.947839736938477
20,367.3915082821671,1,0,126,14.802008628845215
21,386.26278211000556,1,0,58,7.573179244995117
22,385.7462989030855,1,0,101,11.969264030456543
23,372.9164303184889,1,0,337,31.50147819519043
24,378.36809379182296,1,0,46,6.401919841766357
25,3.229704424050247,0,0,500,41.95118713378906
26,386.83623742578004,1,0,69,9.446905136108398
27,-86.39743523242052,0,1,61,9.413941383361816
28,-110.45437650967366,0,1,13,0.6416653990745544
29,372.2824228135049,1,0,48,4.789426803588867
30,65.0144661990329,0,0,500,59.297115325927734
31,398.8040328535762,1,0,94,14.210739135742188
32,-117.43717381324429,0,1,38,4.841957092285156
33,-111.28688016152681,0,1,51,7.438714981079102
34,-111.55185978279249,0,1,42,5.670854091644287
35,371.2818099999068,1,0,47,6.395227432250977
36,385.53991880997893,1,0,226,26.03023910522461
37,-116.62297495686809,0,1,26,1.7753010988235474
38,383.6910931270284,1,0,293,33.72891616821289
39,412.84827550976723,1,0,88,13.91946792602539
40,-105.2106689781352,0,1,53,7.8665771484375
41,373.86341201058025,1,0,44,5.578691482543945
42,404.9045093815413,1,0,202,28.324655532836914
43,374.886841027993,1,0,234,29.1281795501709
44,397.4166227546463,1,0,159,21.028221130371094
45,423.46281912182167,1,0,111,18.78912925720215
46,396.22945557461526,1,0,122,17.591693878173828
47,3.3472792809121366,0,0,500,40.78642272949219
48,392.5327777793568,1,0,71,10.337547302246094
49,-97.35485885180441,0,1,50,7.270852088928223
50,409.07730045127863,1,0,76,12.331400871276855
51,373.24378046468775,1,0,164,19.73310089111328
52,407.3861038463413,1,0,76,11.73569107055664
53,402.7609257106264,1,0,99,15.754971504211426
54,377.52176369794796,1,0,44,5.528913974761963
55,428.06788127103573,1,0,101,16.257230758666992
56,-116.22745719549457,0,1,36,4.428643226623535
57,386.8338999868053,1,0,93,11.75859260559082
58,-108.31404757807815,0,1,38,4.480299949645996
59,396.3623629266144,1,0,67,9.603666305541992
60,-117.25584776859111,0,1,40,4.931368827819824
61,415.47274214781316,1,0,86,13.408599853515625
62,376.317251271551,1,0,169,16.541217803955078
63,385.6621481003668,1,0,43,4.865277290344238
