update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1748.3,181.79517330267197,0.6585365853658537,0.2926829268292683,98.82926829268293,80.94611823209029,312.7803093430021,0.5,0.43333333333333335,111.36666666666666,11.656030265490214,588.5128238042196,-0.012502983563657229,1177.0574232737224,1.128766686717669,0.005320528622542042,0.06295572916666667,0.4259294271469116,0.0
2,8192,1674.4,125.82636658102939,0.58,0.38,112.82,196.27781475607668,292.5180558556665,0.6666666666666666,0.26666666666666666,127.46666666666667,16.322195422649383,524.9310762723287,-0.013059610557199145,1049.8950857798259,1.1330133850375812,0.0049902087252121415,0.061328125,0.4270053803920746,0.0
3,12288,1571.9,94.44645958943558,0.52,0.42,140.32,94.33050823141357,310.34671902447633,0.5,0.4,141.4,17.424016269048057,598.5221121470133,-0.011854400371278946,1197.0747706095378,1.1372085765004158,0.005029789391361798,0.05987955729166667,0.42803335189819336,0.0
4,16384,1568.3,168.5869497916731,0.66,0.34,102.6,69.96726918745854,313.82754271591585,0.4666666666666667,0.43333333333333335,138.0,15.67996017932892,354.5488772074381,-0.00986972880588534,709.1243414560954,1.142053972184658,0.004122221205519357,0.045361328125,0.42886796593666077,0.0
5,20480,1584.4,161.29009226669882,0.62,0.32,116.32,104.95758471158716,312.69902330309804,0.5333333333333333,0.4,132.86666666666667,15.626508577664692,231.37523803710937,-0.011007618843965854,462.77936929066976,1.1466958259542783,0.004626231345173437,0.054947916666666666,0.4297570288181305,0.0
6,24576,1595.9,124.75779547159534,0.56,0.36,129.04,77.44699675556852,309.66774119051206,0.4666666666666667,0.43333333333333335,129.86666666666667,16.713085714975993,335.87105627059935,-0.010988887663309773,671.7709518114726,1.1448663175106049,0.00528988037306893,0.06590169270833333,0.4274982213973999,0.0
7,28672,1613.0,34.06103781801833,0.42,0.52,103.66,112.86582293926107,302.84709025897934,0.5333333333333333,0.36666666666666664,114.53333333333333,14.280411316951115,545.4791655858357,-0.010970858227422772,1090.9870939890543,1.1353525588909785,0.004519309832539875,0.0490234375,0.4265226721763611,0.0
8,32768,1614.6,120.17823167527744,0.58,0.42,84.9,194.76701771906343,293.40176419865725,0.6666666666666666,0.26666666666666666,139.5,15.239794254302979,443.2335574467977,-0.010501484716466317,886.4949099222819,1.130642535785834,0.004297064158890862,0.04970703125,0.4247742295265198,0.0
9,36864,1618.7,170.6776085087289,0.64,0.32,108.28,60.08254945506043,303.0829937351322,0.43333333333333335,0.43333333333333335,139.9,16.49597603480021,334.6360610326131,-0.011674204669543543,669.3021890640259,1.1215914438168209,0.005240374918018157,0.06427408854166666,0.42319542169570923,0.0
10,40960,1609.5,122.52652703219199,0.56,0.38,120.38,169.45141024767454,289.3872950386817,0.6,0.26666666666666666,163.2,20.537062470118205,484.8132793744405,-0.008882429227620984,969.6510218938191,1.116729479531447,0.00472628068140087,0.05374348958333333,0.42283493280410767,0.0
11,45056,1617.0,62.5967112859976,0.46,0.46,127.9,59.77674156895136,313.43256042194105,0.4666666666666667,0.4666666666666667,104.86666666666666,12.033050028483073,296.8368521690369,-0.010340597678441555,593.7011154174804,1.1210371827085812,0.004998308699092983,0.060139973958333336,0.42483484745025635,0.0
12,49152,1626.5,66.27661943593897,0.48,0.46,135.34,160.13949199407887,303.1746589946121,0.6333333333333333,0.3333333333333333,112.5,13.324277130762736,254.5470000743866,-0.011827839456964284,509.12442150115965,1.1273952707648278,0.006976192827278282,0.08693033854166667,0.4261549711227417,0.0
13,53248,1637.2,152.98924989051713,0.62,0.34,131.98,118.12287247959601,312.4626144032127,0.5666666666666667,0.4,90.83333333333333,11.138848376274108,204.70093842347464,-0.01307930273663563,409.4348364671071,1.132981115579605,0.008898353709082586,0.11612955729166667,0.4265752136707306,0.0
14,57344,1638.4,139.23545701988476,0.6,0.36,110.46,110.9585156505036,309.81588107620337,0.5333333333333333,0.36666666666666664,128.8,15.028393177191417,227.5232201099396,-0.013774168707702,455.08078254063923,1.1323870887358984,0.0072654715700385475,0.09391276041666667,0.4261273145675659,0.0
15,61440,1640.0,126.68417387009036,0.58,0.38,99.64,127.66056382626435,313.91927924307504,0.5666666666666667,0.36666666666666664,104.13333333333334,11.524255390961965,320.65139726003014,-0.011858902417588978,641.333284886678,1.1273780355850855,0.006418148891922707,0.08092447916666666,0.42372649908065796,0.0
16,65536,1650.4,184.07062333666443,0.66,0.3,106.76,169.70346289365926,307.67142994242965,0.6666666666666666,0.3333333333333333,73.13333333333334,9.514885870615641,291.32596637407937,-0.011906536486155044,582.682410621643,1.1110407918691636,0.006484144513766902,0.081103515625,0.4193652272224426,0.0
17,69632,1656.0,148.11645844444084,0.58,0.32,137.08,226.56948842444356,275.5433372004308,0.7333333333333333,0.23333333333333334,112.2,13.905034339924653,261.4475289344788,-0.014126268904268121,522.9298807144165,1.0948824773232142,0.00855128643840241,0.10758463541666667,0.4170909523963928,0.0
18,73728,1662.4,189.3394956272353,0.66,0.28,113.26,231.8861394624173,279.5227713897934,0.7333333333333333,0.23333333333333334,98.13333333333334,13.228371431430181,156.03983668486276,-0.01068918161909096,312.10756924947106,1.0858703891436259,0.009129124075116124,0.11494140625,0.4158017933368683,0.0
19,77824,1664.5,125.22117827227514,0.58,0.4,99.74,108.47770715584114,312.5541495278251,0.5333333333333333,0.4,109.43333333333334,14.153798345724741,344.5470348040263,-0.012494193153300633,689.125580851237,1.0867013111710548,0.007563072673898811,0.09879557291666667,0.41746997833251953,0.0
