episode,return,success,collision,steps,path_length
0,31.92101522599639,0,0,500,43.704742431640625
1,392.2380165167332,1,0,67,9.891898155212402
2,388.4885788238421,1,0,128,15.132502555847168
3,-93.1868927948791,0,1,69,11.069080352783203
4,404.0144347423355,1,0,87,14.045924186706543
5,-112.12990587926114,0,1,80,5.395073890686035
6,-113.29917241803545,0,1,39,4.165255546569824
7,-111.59526225843831,0,1,56,5.993662357330322
8,384.1042770592672,1,0,141,15.556830406188965
9,395.8657900995314,1,0,66,9.323995590209961
10,-104.05814047458232,0,1,52,6.549015045166016
11,387.06183342915404,1,0,57,7.797609806060791
12,-86.82998499017178,0,1,81,13.32613468170166
13,-88.29417375290728,0,1,57,8.361456871032715
14,369.2097965152691,1,0,165,17.681396484375
15,359.9478886629576,1,0,242,22.962594985961914
16,410.9436681724168,1,0,102,11.430654525756836
17,375.0281112432508,1,0,123,12.56124496459961
18,436.1227152869674,1,0,151,26.990495681762695
19,431.0134604011444,1,0,116,19.539369583129883
20,369.09699019744505,1,0,120,13.612457275390625
21,386.5047458045632,1,0,62,7.671461582183838
22,385.2862687468454,1,0,101,11.642239570617676
23,374.2350506658111,1,0,372,35.3394775390625
24,375.70509403583475,1,0,47,6.493809223175049
25,-57.137996120940294,0,0,500,58.580650329589844
26,386.8647913178354,1,0,62,8.555716514587402
27,-83.11914135253534,0,1,62,9.616390228271484
28,-110.74344211403981,0,1,16,0.8359041213989258
29,369.1315181722217,1,0,140,13.98648452758789
30,41.206512072980395,0,0,500,59.25029754638672
31,395.2985833780036,1,0,152,17.518516540527344
32,-118.20169094849891,0,1,38,4.847076416015625
33,400.9950863396641,1,0,98,15.85218620300293
34,-111.68104865046789,0,1,42,5.670854091644287
35,370.88396800736433,1,0,47,6.308277606964111
36,385.5057288618966,1,0,402,44.21082305908203
37,371.2620401847084,1,0,123,13.690794944763184
38,21.011557898150983,0,0,500,43.82823181152344
39,412.5386953783631,1,0,87,13.740089416503906
40,-104.73618094701386,0,1,53,7.855209827423096
41,372.6746350234263,1,0,175,23.342206954956055
42,407.60696638342995,1,0,97,16.210453033447266
43,-104.04743712972052,0,1,87,11.88521957397461
44,397.30343496604615,1,0,159,20.91725730895996
45,422.95393523614797,1,0,108,18.07250213623047
46,394.0458968124687,1,0,161,19.80024528503418
47,-13.575848900996297,0,0,500,53.03278350830078
48,391.80301477726744,1,0,192,24.880247116088867
49,-98.55443374611241,0,1,49,7.070852279663086
50,409.9398082879781,1,0,77,12.474878311157227
51,380.118907198062,1,0,58,7.120988368988037
52,407.51463155224917,1,0,77,11.67638874053955
53,-95.27177731916153,0,1,117,19.6240177154541
54,377.6053238410925,1,0,44,5.582292079925537
55,-98.29610011954193,0,1,51,7.451016902923584
56,-117.02539561162463,0,1,36,4.470852375030518
57,386.85383374229457,1,0,98,11.928986549377441
58,-106.71336999982388,0,1,41,4.551309108734131
59,396.9311696470976,1,0,67,9.664855003356934
60,-122.4115131464512,0,1,36,4.2370195388793945
61,415.95234448796856,1,0,86,13.459389686584473
62,374.95467952076757,1,0,358,38.091461181640625
63,384.28993438794424,1,0,43,4.992702484130859
64,-115.24103396637521,0,1,32,3.1311850547790527
65,-104.78841660449338,0,1,46,5.794384002685547
66,402.16741997580226,1,0,88,13.487422943115234
67,-123.84829406550686,0,1,195,24.28832244873047
68,-97.89760190002907,0,1,53,7.848323345184326
69,-117.99007361948102,0,1,26,2.1721231937408447
70,-130.3609757138409,0,1,30,2.554736852645874
71,-102.47331550456506,0,1,63,8.242703437805176
72,409.80618814417716,1,0,78,12.159127235412598
73,389.66717066263493,1,0,84,10.682887077331543
74,10.069807509353272,0,0,500,58.78153610229492
75,401.4256498305058,1,0,77,11.944217681884766
76,-118.58034346374107,0,1,28,2.527742624282837
77,-116.5577131169224,0,1,34,3.111004590988159
78,-102.74379201886558,0,1,53,6.694611549377441
79,390.54048397010973,1,0,109,10.099822044372559
80,403.2413315266915,1,0,80,11.27678394317627
81,390.0145392252812,1,0,251,29.32326889038086
82,386.2790202323831,1,0,57,7.596349239349365
83,384.6124190412909,1,0,83,10.809911727905273
84,-120.37149417250649,0,1,34,2.3938820362091064
85,-105.04212218406487,0,1,50,6.532960414886475
86,-114.17483598086181,0,1,31,3.294680118560791
87,351.01603622188986,1,0,46,4.52604341506958
88,-105.13964588603511,0,1,9,0.18197430670261383
89,-118.8354899006546,0,1,25,1.7534109354019165
90,-113.71724801862662,0,1,62,4.865069389343262
91,-16.73296863884472,0,0,500,64.72769927978516
92,-86.25339109028897,0,1,123,21.121170043945312
93,385.1862702481895,1,0,64,9.354159355163574
94,-11.308591075000255,0,0,500,53.39942169189453
95,415.3047710691601,1,0,153,20.024158477783203
96,-110.81494744573737,0,1,98,16.09960174560547
97,401.69468427140697,1,0,97,15.735641479492188
98,377.83921897498874,1,0,127,15.443178176879883
99,376.8605193120837,1,0,45,5.739120006561279
100,16.8248189296971,0,0,500,24.596317291259766
101,383.9046193943466,1,0,113,13.073501586914062
102,393.77050805845266,1,0,196,20.891481399536133
103,392.73300280390674,1,0,176,22.876781463623047
104,401.3061101873655,1,0,72,10.608388900756836
105,-120.93136741309291,0,1,23,1.9275257587432861
106,420.29589774648986,1,0,175,24.211971282958984
107,-73.41059543616365,0,1,113,19.86963653564453
108,-116.05139276665359,0,1,83,8.755073547363281
109,381.7192325149585,1,0,200,18.300762176513672
110,413.04398627927895,1,0,81,13.0058012008667
111,-5.512558383787664,0,0,500,56.11771774291992
112,382.0240423808681,1,0,94,6.545223712921143
113,381.34246407105024,1,0,72,8.896010398864746
114,407.3827842156887,1,0,96,14.421693801879883
115,394.3584170629236,1,0,63,9.49349594116211
116,399.39365022946544,1,0,74,11.26548957824707
117,-103.09725156820856,0,1,73,7.8500776290893555
118,384.58913572219427,1,0,61,8.314165115356445
119,-96.41704528962728,0,1,53,7.87026834487915
120,-132.021443093192,0,1,72,10.341333389282227
121,371.95594204275307,1,0,38,4.640800476074219
122,395.73336093173714,1,0,105,10.974050521850586
123,-111.78941802343144,0,1,37,4.270428657531738
124,385.51306797417,1,0,271,30.226211547851562
125,-5.209733637109412,0,0,500,55.44243621826172
126,-121.96128979260506,0,1,32,3.670853614807129
127,382.44312079408763,1,0,73,9.330221176147461
128,395.6794378941969,1,0,156,17.451881408691406
129,374.7363054999858,1,0,47,5.574731349945068
130,-13.195157730097755,0,0,500,56.53266525268555
131,393.8736563344192,1,0,71,10.43232536315918
132,16.78287611465647,0,0,500,60.62761306762695
133,-108.95233169574665,0,1,222,28.504032135009766
134,389.5381817114111,1,0,68,9.40799617767334
135,411.56809694154595,1,0,196,24.986648559570312
136,-107.2354419339997,0,1,11,0.4482230246067047
137,397.0626958115101,1,0,177,23.769325256347656
138,-117.88416924068976,0,1,26,2.172548770904541
139,388.6512642829766,1,0,174,22.899085998535156
140,389.96198936289545,1,0,62,8.455227851867676
141,391.1341850371693,1,0,106,10.645302772521973
142,-103.36648920427436,0,1,49,6.1048264503479
143,405.6518508847994,1,0,74,11.762203216552734
144,397.26971833260274,1,0,79,8.338871955871582
145,389.2976345213651,1,0,54,8.032583236694336
146,382.18462404096124,1,0,76,8.970977783203125
147,38.549588863300535,0,0,500,44.5443115234375
148,391.15012408448604,1,0,274,34.804595947265625
149,-111.58914611769674,0,1,14,0.5403876900672913
150,384.9544251334667,1,0,55,7.149129390716553
151,405.4204733169497,1,0,267,32.48609924316406
152,441.47099148465736,1,0,119,20.18031120300293
153,-96.85680041757132,0,1,50,7.267467975616455
154,362.69132546925835,1,0,130,15.740642547607422
155,-106.85754285581037,0,1,42,5.534204483032227
156,397.1172960917133,1,0,108,15.719249725341797
157,363.5581672332594,1,0,196,22.273357391357422
158,-121.86963351495646,0,1,89,9.070714950561523
159,-120.16551494124845,0,1,37,3.9053826332092285
160,381.6180797107369,1,0,61,7.584517002105713
161,418.7146000560327,1,0,105,17.888839721679688
162,422.4740826372206,1,0,91,15.038066864013672
163,391.38337274424566,1,0,150,17.293930053710938
164,414.7998360843956,1,0,89,12.979781150817871
165,390.04953562346634,1,0,65,9.388577461242676
166,392.14704781998694,1,0,243,27.91919708251953
167,385.3431630250877,1,0,134,16.795806884765625
