episode,return,success,collision,steps,path_length
0,384.9914586953324,1,0,63,7.3180766105651855
1,391.7635791649924,1,0,67,9.867060661315918
2,391.14383867646757,1,0,57,8.506925582885742
3,-100.81275952906498,0,1,64,10.032612800598145
4,402.01700308344766,1,0,90,14.686856269836426
5,387.9291853348723,1,0,107,11.250016212463379
6,407.9002730167582,1,0,95,15.381712913513184
7,375.3834416720569,1,0,55,5.539851665496826
8,386.720071368548,1,0,86,10.731544494628906
9,395.57168984679873,1,0,66,9.360827445983887
10,-105.1734587955381,0,1,52,6.743669033050537
11,387.1362019063364,1,0,56,7.646884441375732
12,-95.81618254927997,0,1,89,14.361221313476562
13,-91.20187876964006,0,1,55,7.653456687927246
14,375.36316007171575,1,0,153,15.31960391998291
15,369.9479198068025,1,0,106,10.317399024963379
16,412.08612917939064,1,0,111,14.014310836791992
17,379.16524824404996,1,0,70,7.939999103546143
18,436.08480105302084,1,0,153,26.86928939819336
19,426.87755522275506,1,0,120,20.594959259033203
20,368.10859796513944,1,0,129,15.285147666931152
21,386.8005519263148,1,0,57,7.645290851593018
22,370.32263523959966,1,0,229,27.332677841186523
23,375.0004038983194,1,0,220,18.897083282470703
24,375.86839140010466,1,0,47,6.4605560302734375
25,-153.230194604727,0,1,131,17.38557243347168
26,386.7916012910753,1,0,67,9.0005521774292
27,-83.98800221971109,0,1,61,9.374923706054688
28,-110.51250671389582,0,1,13,0.6429641842842102
29,-137.63251819483264,0,1,90,9.730520248413086
30,66.65736345340805,0,0,500,65.5020523071289
31,399.19087305915355,1,0,96,13.92369556427002
32,-119.09284002987611,0,1,38,4.837541580200195
33,400.49358559710174,1,0,98,16.081148147583008
34,-111.82988986929892,0,1,42,5.670855522155762
35,367.51098533092636,1,0,48,6.411281585693359
36,385.58632589154047,1,0,93,10.249455451965332
37,-117.37126479672216,0,1,24,1.6773905754089355
38,383.08577846821674,1,0,130,15.730850219726562
39,412.8120340331793,1,0,92,14.736750602722168
40,-102.39652199279261,0,1,53,7.870090007781982
41,374.1741376799941,1,0,43,5.30043888092041
42,406.8231430420691,1,0,99,16.034229278564453
43,389.7369698656339,1,0,75,10.83824348449707
44,394.94601616229284,1,0,155,15.810787200927734
45,423.3593885779977,1,0,123,21.22239112854004
46,396.5837184386646,1,0,119,17.393587112426758
47,-1.8088685237501652,0,0,500,10.15036392211914
48,389.37973582002127,1,0,191,24.029939651489258
49,-100.74479495128146,0,1,50,7.267724990844727
50,409.72807345855233,1,0,77,12.539605140686035
51,375.31746763598966,1,0,164,19.607698440551758
52,407.366877039507,1,0,77,11.617799758911133
53,400.75261223061085,1,0,103,16.19864845275879
54,377.45782120480897,1,0,45,5.709812164306641
55,-93.96698381228867,0,1,52,7.646712779998779
56,-117.06821294023447,0,1,36,4.470851421356201
57,387.0842265625944,1,0,101,11.731148719787598
58,-109.2129100446494,0,1,37,4.480645179748535
59,396.9624966215044,1,0,67,9.661355972290039
60,-122.33233374911335,0,1,36,4.236599445343018
61,416.81167529021053,1,0,87,13.55582046508789
62,375.2807195808336,1,0,179,16.93170928955078
63,383.5275966840551,1,0,43,4.918597221374512
64,-115.32405093611133,0,1,32,3.2373123168945312
65,-104.5107988609129,0,1,46,5.81486701965332
66,402.7178837630003,1,0,110,16.23686408996582
67,-113.75378172333347,0,1,46,5.212408542633057
68,-99.36690922202142,0,1,54,8.031953811645508
69,405.8338908147559,1,0,97,15.488770484924316
70,-122.75939642560027,0,1,34,2.5227322578430176
71,-103.50432622083191,0,1,69,9.141453742980957
72,409.1718701319098,1,0,78,11.92431354522705
73,389.8622310246211,1,0,85,10.487680435180664
74,37.65065328024702,0,0,500,45.50831604003906
75,402.67414095484264,1,0,78,11.977935791015625
76,-112.16311193623133,0,1,36,3.6171863079071045
77,406.61307638515734,1,0,94,15.110257148742676
78,-103.48013424656874,0,1,53,6.861572742462158
79,386.67397178383686,1,0,89,9.964449882507324
80,403.5433631528419,1,0,74,10.970524787902832
81,394.76795834868216,1,0,100,13.615212440490723
82,386.85510372748996,1,0,57,7.497833728790283
83,385.02322849382455,1,0,79,9.99977970123291
84,-118.91444954675232,0,1,35,2.361543893814087
85,-98.2723441810613,0,1,50,6.291893482208252
86,-113.31074878948097,0,1,33,3.5828354358673096
87,356.0711847434448,1,0,47,4.539198398590088
88,-103.55571584176388,0,1,9,0.2958630621433258
89,-121.37831784993428,0,1,24,1.6286334991455078
90,5.927593008383327,0,0,500,42.72208786010742
91,34.827585351620996,0,0,500,68.26335144042969
92,402.8651936938797,1,0,114,18.949369430541992
93,384.6029315409655,1,0,64,9.266019821166992
94,13.200632265815669,0,0,500,21.601654052734375
95,417.80644288882206,1,0,87,14.619765281677246
96,-112.79027244361583,0,1,101,16.762319564819336
97,401.20047321358953,1,0,101,16.07334327697754
98,368.7169871893051,1,0,244,29.65366554260254
99,377.21342674952746,1,0,45,5.8087053298950195
100,382.32187344074714,1,0,65,8.616938591003418
101,379.6659008234674,1,0,123,14.908710479736328
102,394.68621544316517,1,0,54,6.854196548461914
103,395.4097097577602,1,0,92,13.378373146057129
104,399.7373210776576,1,0,71,10.367908477783203
105,-119.38837436717263,0,1,23,1.8986568450927734
106,433.70331828709425,1,0,126,21.35806655883789
107,429.6463672902584,1,0,96,16.47085189819336
108,-115.81879100852869,0,1,88,10.058475494384766
109,381.378895773102,1,0,207,18.294147491455078
110,413.18149386551977,1,0,81,12.918169975280762
111,387.35981791943294,1,0,149,17.597618103027344
112,381.3030639871619,1,0,52,6.47899055480957
113,381.30668537165224,1,0,75,9.324965476989746
114,408.2008753908872,1,0,104,14.887107849121094
115,393.92783145057666,1,0,62,9.461073875427246
116,399.26707260000427,1,0,74,11.14419937133789
117,393.5300098007174,1,0,73,8.961115837097168
118,-102.76656168907354,0,1,42,4.531380653381348
119,-99.30820506460432,0,1,53,7.867051124572754
120,-132.67320389061675,0,1,72,10.537083625793457
121,367.1474383142881,1,0,180,24.646461486816406
122,388.4145187866099,1,0,119,13.89827823638916
123,-105.24120144449674,0,1,49,5.828945636749268
124,388.0111759210261,1,0,114,12.593363761901855
125,395.59342083157594,1,0,78,9.6170654296875
126,-121.96508770997167,0,1,32,3.670854330062866
127,382.3981781024474,1,0,79,9.872750282287598
128,390.644681406725,1,0,212,24.879138946533203
129,372.47351542251187,1,0,115,11.309990882873535
130,375.0123896192578,1,0,182,22.306411743164062
131,389.53523982826096,1,0,83,12.316615104675293
132,19.089513708352985,0,0,500,27.734521865844727
133,390.82855772930674,1,0,79,10.153641700744629
134,389.9599285325617,1,0,71,9.116686820983887
135,414.64632608674873,1,0,118,16.72600746154785
136,383.00150509860487,1,0,448,52.97266387939453
137,397.23291604683925,1,0,177,23.59680938720703
138,-115.72347424299915,0,1,30,2.6153202056884766
139,389.4500492827811,1,0,182,23.82696533203125
140,389.57067997717854,1,0,68,8.853233337402344
141,389.14219653335147,1,0,137,16.640140533447266
142,411.84509815877385,1,0,105,17.10976791381836
143,405.5239437115882,1,0,75,11.779633522033691
144,397.8903246352338,1,0,85,8.348827362060547
145,389.5170248475969,1,0,55,8.270530700683594
146,381.9346340558529,1,0,70,8.109742164611816
147,390.5471796684291,1,0,251,25.028230667114258
148,397.587745909186,1,0,99,14.646568298339844
149,389.28278180087653,1,0,118,11.65473461151123
150,384.74010071076447,1,0,55,7.209941864013672
151,-121.74247426203002,0,1,154,21.423755645751953
152,441.6048595885933,1,0,120,20.39884376525879
153,-95.14147020349088,0,1,50,7.270656585693359
154,361.49785539672746,1,0,130,15.985589027404785
155,-104.82193015672522,0,1,43,5.585872173309326
156,396.8330938518526,1,0,110,16.332481384277344
157,366.3186299618446,1,0,126,15.34817123413086
158,-120.03816165592382,0,1,95,10.053667068481445
159,-120.71825806478154,0,1,37,4.075827121734619
160,381.5044716480076,1,0,59,7.375126361846924
161,420.4316320679187,1,0,128,21.227920532226562
162,422.52825627359965,1,0,93,15.725735664367676
163,-126.9387251300186,0,1,32,3.5215933322906494
164,414.51810905188324,1,0,88,13.316842079162598
165,389.76312191174475,1,0,68,9.897189140319824
166,391.35548177294436,1,0,65,8.714430809020996
167,-114.99788753250652,0,1,36,3.9775359630584717
168,403.0347365864035,1,0,72,10.979429244995117
169,394.98100121279623,1,0,171,22.50567626953125
170,405.2691077381521,1,0,120,18.406957626342773
171,382.70757580161677,1,0,74,7.720257759094238
172,442.264841759488,1,0,133,23.097623825073242
173,390.64848146065066,1,0,80,10.674702644348145
174,-104.61007921159812,0,1,48,6.203598976135254
175,-144.88099188235583,0,1,109,14.882357597351074
176,-116.99008611659389,0,1,30,3.1432151794433594
177,380.196607861582,1,0,239,25.576168060302734
178,406.0204829534143,1,0,108,16.41796112060547
179,389.35084542886415,1,0,172,22.56047821044922
180,395.88115541614803,1,0,65,9.589384078979492
181,366.1370050294003,1,0,109,11.876769065856934
182,397.2528283145214,1,0,69,9.797477722167969
183,390.77045580876603,1,0,68,9.909347534179688
184,402.310987087386,1,0,95,14.756810188293457
185,398.6317486667716,1,0,85,12.62735652923584
186,-102.45862545262756,0,1,50,6.314298152923584
187,370.46531279871425,1,0,118,13.033523559570312
188,387.583111142078,1,0,57,7.771151542663574
189,385.9684555371602,1,0,95,9.654193878173828
190,391.1789825280377,1,0,140,14.383078575134277
191,405.3158632571069,1,0,168,22.691232681274414
192,385.7879686759412,1,0,80,8.771562576293945
193,384.5743804064236,1,0,108,12.877901077270508
194,395.5201992682544,1,0,101,14.569112777709961
195,396.0908134010619,1,0,181,24.601688385009766
196,-114.45956094182907,0,1,42,5.614611625671387
197,395.2952127651739,1,0,66,9.322257995605469
198,405.00516610008475,1,0,104,15.921417236328125
199,373.53675081156103,1,0,133,12.732378005981445
