episode,return,success,collision,steps,path_length
0,420.3160527418703,1,0,91,14.326210021972656
1,-1.6610053628479848,0,0,500,12.106544494628906
2,398.43554715387324,1,0,67,10.668198585510254
3,386.448255513668,1,0,57,7.850939750671387
4,-111.91987178899838,0,1,35,3.8285722732543945
5,429.1220452315845,1,0,109,18.164230346679688
6,-88.490044362664,0,1,57,8.659662246704102
7,373.57298735065007,1,0,60,6.320734977722168
8,393.2417616100743,1,0,47,6.460585594177246
9,363.1761734177975,1,0,132,14.673157691955566
10,389.81163612233263,1,0,85,12.276459693908691
11,378.26484140456466,1,0,78,6.663639545440674
12,-92.62235426373864,0,1,58,8.802555084228516
13,37.684020706897755,0,0,500,73.3470458984375
14,-100.75659149823606,0,1,48,6.182597637176514
15,383.4381255011508,1,0,56,7.581913948059082
16,404.1571719523966,1,0,70,11.176021575927734
17,14.035747044337183,0,0,500,18.39980697631836
18,-95.46004737668737,0,1,55,7.323570251464844
19,402.6904811801314,1,0,81,12.370102882385254
20,387.7187984567403,1,0,88,11.260780334472656
21,374.32814946587894,1,0,83,6.6709818840026855
22,380.6711356449872,1,0,51,6.383308410644531
23,409.89005975849346,1,0,99,15.523884773254395
24,45.374446536948604,0,0,500,67.4886474609375
25,384.62955017621067,1,0,129,15.334451675415039
26,390.3749572530389,1,0,62,8.522420883178711
27,389.83978928273916,1,0,67,8.788729667663574
28,402.5435910988748,1,0,85,12.141582489013672
29,393.59318228951224,1,0,65,10.259164810180664
30,381.0287861987789,1,0,48,6.662456512451172
31,-127.56180852232589,0,1,226,10.891515731811523
32,-147.14821793202583,0,1,356,44.164794921875
33,-152.02064689671698,0,1,126,20.23859405517578
34,391.68573439749355,1,0,241,31.106468200683594
35,371.28270064846174,1,0,213,19.571889877319336
36,392.37537325975177,1,0,68,9.933245658874512
37,-110.78213535092982,0,1,83,6.510361671447754
38,-115.13492202595121,0,1,103,15.404824256896973
39,391.0016291946999,1,0,163,20.63132095336914
40,-115.52442780226215,0,1,23,1.9209578037261963
41,387.92276045422255,1,0,108,11.942115783691406
42,384.5651537995923,1,0,62,8.276384353637695
43,368.8993486501148,1,0,121,12.598590850830078
44,387.4399176192522,1,0,74,8.886147499084473
45,-113.53473704769131,0,1,13,0.5871719717979431
46,-124.86989655189002,0,1,46,6.470852851867676
47,-113.31758705253905,0,1,17,0.8229897618293762
48,-119.52684691193265,0,1,115,3.3210105895996094
49,371.12079146976293,1,0,196,22.934249877929688
50,376.9765686380247,1,0,56,7.475027561187744
51,-103.55075878748048,0,1,92,14.571710586547852
52,385.06765721946954,1,0,51,7.463982582092285
53,-114.13227648130214,0,1,45,4.735710144042969
54,386.0576061481982,1,0,57,7.600663661956787
55,385.1101232643163,1,0,216,18.504024505615234
56,-120.0116034901176,0,1,241,32.772953033447266
57,-111.74315408386289,0,1,18,1.029768943786621
58,397.41843310596045,1,0,99,14.729079246520996
59,389.40060407060383,1,0,84,10.659924507141113
60,-88.45731089999416,0,1,55,8.27085018157959
61,412.0009619747698,1,0,117,18.13915252685547
62,422.1264726045579,1,0,110,18.291032791137695
63,430.45613463588427,1,0,203,25.038272857666016
64,-105.38674045112205,0,1,51,6.5824713706970215
65,379.00335768317433,1,0,52,6.91191291809082
66,-119.48594244240222,0,1,24,2.1167478561401367
67,380.37579900264166,1,0,53,6.5804853439331055
68,-105.22646732741579,0,1,79,9.218076705932617
69,-98.62460158634218,0,1,49,6.754611968994141
70,-97.81762030200427,0,1,51,7.059858322143555
71,-99.01108261428563,0,1,47,6.666121482849121
72,0.36513961585057253,0,0,500,18.59137725830078
73,398.98992243835744,1,0,104,15.593338012695312
74,14.69956009901104,0,0,500,66.70339965820312
75,-118.58225674008597,0,1,29,3.0701467990875244
76,-120.60867863129484,0,1,126,10.753101348876953
77,-131.7222481422668,0,1,139,16.974626541137695
78,390.97165974041815,1,0,98,12.261570930480957
79,379.1693597977046,1,0,230,17.138883590698242
80,376.10562027695715,1,0,44,5.692097187042236
81,379.91961742896854,1,0,163,18.245140075683594
82,399.93055452037606,1,0,58,7.831679821014404
83,382.4987264949352,1,0,80,8.650712966918945
84,417.28402272523243,1,0,84,13.755846977233887
85,406.59531519993345,1,0,102,16.283008575439453
86,386.9720693469801,1,0,60,9.074695587158203
87,393.6538485677875,1,0,91,12.583844184875488
88,373.3784294760277,1,0,45,5.915090560913086
89,-104.43070466118394,0,1,7,0.1842387318611145
90,-149.38361001914143,0,1,118,20.067659378051758
91,374.5502315655581,1,0,186,14.688962936401367
92,-111.60708036937594,0,1,79,12.266905784606934
93,2.2118287206945926,0,0,500,64.71328735351562
94,376.0944919007129,1,0,64,6.4745941162109375
95,-152.27427724463064,0,1,106,18.100732803344727
96,409.08404330122926,1,0,80,13.207794189453125
97,406.85525159236784,1,0,81,11.899353981018066
98,388.3881662719359,1,0,70,10.405001640319824
99,-108.13771012492671,0,1,44,5.936290740966797
100,393.25947575130976,1,0,95,12.05759334564209
101,422.9411893789172,1,0,115,17.475080490112305
102,374.12539547016786,1,0,47,5.548887729644775
103,379.4850153562562,1,0,72,9.604963302612305
104,422.7825420492204,1,0,97,15.730002403259277
105,368.49720154340804,1,0,185,22.675601959228516
106,369.293287357546,1,0,139,15.035490036010742
107,-90.28516316688108,0,1,56,8.470060348510742
108,411.8625932809006,1,0,85,13.634214401245117
109,-104.89108974700362,0,1,50,6.7888593673706055
110,422.34522126832604,1,0,88,14.845205307006836
111,380.82786442666895,1,0,94,8.907613754272461
112,-114.93451881396243,0,1,33,3.8708536624908447
113,371.46959824736985,1,0,60,6.770223617553711
114,-124.42367391160842,0,1,41,5.4408650398254395
115,-116.83402355978886,0,1,21,1.5059341192245483
116,-117.56402928332925,0,1,35,3.1837270259857178
