name,group,task,parent_dir,timesteps,seed,lr,entropy,clip,r_goal,r_collision,r_step,r_action,r_progress,r_proximity,proximity_threshold,out_dir
baseline_lr3e4_ent003_clip02_reward350_4,baseline,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\baseline_lr3e4_ent003_clip02_reward350_4
lr_low_1p5e4,learning_rate,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.00015,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\lr_low_1p5e4
lr_high_1e3,learning_rate,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.001,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\lr_high_1e3
entropy_low_001,entropy,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.001,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\entropy_low_001
entropy_high_008,entropy,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.008,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\entropy_high_008
clip_very_low_005,ppo_clip,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.05,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\clip_very_low_005
clip_very_high_04,ppo_clip,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.4,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\clip_very_high_04
reward_weak_guidance,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,200.0,-100.0,-0.01,-0.001,1.0,-0.01,1.0,experiments\custom_ppo_sensitivity\reward_weak_guidance
reward_aggressive_goal,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,600.0,-100.0,-0.01,-0.001,10.0,-0.01,1.0,experiments\custom_ppo_sensitivity\reward_aggressive_goal
reward_weak_safety,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-50.0,-0.01,-0.001,4.0,0.0,1.0,experiments\custom_ppo_sensitivity\reward_weak_safety
reward_safety_focused,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-250.0,-0.01,-0.001,4.0,-0.05,1.5,experiments\custom_ppo_sensitivity\reward_safety_focused
