name,group,task,parent_dir,timesteps,seed,lr,entropy,clip,r_goal,r_collision,r_step,r_action,r_progress,r_proximity,proximity_threshold,out_dir,episodes,success_rate,collision_rate,mean_return,std_return,mean_steps,mean_path_length
baseline_lr3e4_ent003_clip02_reward350_4,baseline,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\baseline_lr3e4_ent003_clip02_reward350_4,200,0.685,0.295,236.67161400309328,229.98553439975115,87.66,10.730479131639004
lr_low_1p5e4,learning_rate,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.00015,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\lr_low_1p5e4,200,0.77,0.22,277.79589814114075,209.56696859655273,95.81,12.234183453023434
lr_high_1e3,learning_rate,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.001,0.003,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\lr_high_1e3,200,0.475,0.345,153.14240658139087,231.63714567698997,162.595,15.994615430235863
entropy_low_001,entropy,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.001,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\entropy_low_001,200,0.705,0.295,243.29114227565827,229.53724631728943,101.225,13.011893399953841
entropy_high_008,entropy,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.008,0.2,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\entropy_high_008,200,0.75,0.24,268.2473338180855,216.02536256421536,97.865,12.120134714320303
clip_very_low_005,ppo_clip,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.05,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\clip_very_low_005,200,0.67,0.32,227.4110933484176,233.90940441833826,97.525,12.45316762521863
clip_very_high_04,ppo_clip,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.4,350.0,-100.0,-0.01,-0.001,4.0,-0.01,1.0,experiments\custom_ppo_sensitivity\clip_very_high_04,200,0.715,0.275,250.17832899444474,224.84414159252853,92.23,11.856054425612092
reward_weak_guidance,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,200.0,-100.0,-0.01,-0.001,1.0,-0.01,1.0,experiments\custom_ppo_sensitivity\reward_weak_guidance,200,0.7,0.275,244.546766221129,226.43311837971294,108.18,13.452778460234404
reward_aggressive_goal,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,600.0,-100.0,-0.01,-0.001,10.0,-0.01,1.0,experiments\custom_ppo_sensitivity\reward_aggressive_goal,200,0.73,0.26,258.0550519134863,220.11827746614253,88.38,11.214195927679539
reward_weak_safety,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-50.0,-0.01,-0.001,4.0,0.0,1.0,experiments\custom_ppo_sensitivity\reward_weak_safety,200,0.6,0.35,196.6374589026878,240.854991196893,111.88,13.256621622741223
reward_safety_focused,reward,one_obstacle_random,experiments/custom_ppo/free_random_from_r5,1000000,500,0.0003,0.003,0.2,350.0,-250.0,-0.01,-0.001,4.0,-0.05,1.5,experiments\custom_ppo_sensitivity\reward_safety_focused,200,0.625,0.315,212.07246787918558,233.76715710729306,115.25,13.75018503203988
