episode,return,success,collision,steps,path_length
0,43.75535180591396,0,0,400,11.555994033813477
1,387.490629340522,1,0,118,8.491154670715332
2,384.04045788384974,1,0,65,6.8956732749938965
3,393.26093214270077,1,0,126,8.839614868164062
4,394.1280126925558,1,0,87,8.871495246887207
5,391.0104670897126,1,0,107,8.951469421386719
6,386.19308793358505,1,0,60,7.329009056091309
7,32.939885676538324,0,0,400,10.107398986816406
8,376.2063362970948,1,0,78,5.646576881408691
9,416.76320760138333,1,0,224,14.552650451660156
10,408.4122396102175,1,0,148,12.125177383422852
11,381.1772590074688,1,0,89,6.778927803039551
12,387.3055247506127,1,0,138,8.197572708129883
13,409.4620141852647,1,0,100,11.99658489227295
14,372.8315944764763,1,0,53,4.941298961639404
15,376.77167915180326,1,0,56,5.676551818847656
16,427.7943094565999,1,0,127,16.454397201538086
17,405.18594473414123,1,0,89,11.58803939819336
18,412.69230066239834,1,0,107,12.540172576904297
19,408.2833563387394,1,0,92,11.752471923828125
20,390.8164193164557,1,0,74,8.386392593383789
21,408.8633535448462,1,0,122,12.453994750976562
22,413.5947417207062,1,0,155,14.50905990600586
23,410.69166551716626,1,0,100,12.42263126373291
24,425.3235515858978,1,0,100,15.261411666870117
25,384.0972826257348,1,0,94,7.564253807067871
26,410.0498077496886,1,0,92,12.18494701385498
27,394.9874688535929,1,0,80,9.31110954284668
28,405.1136857010424,1,0,128,11.806379318237305
29,408.56892586685717,1,0,117,12.920584678649902
30,392.9098595380783,1,0,104,9.056418418884277
31,392.6753003206104,1,0,73,8.796399116516113
32,383.69135424122214,1,0,67,7.144764423370361
33,389.65595554281026,1,0,143,9.758550643920898
34,393.94740877021104,1,0,83,8.916963577270508
35,388.16891618445516,1,0,60,7.9308295249938965
36,394.56283591501415,1,0,86,9.150574684143066
37,392.33631116803735,1,0,78,9.161114692687988
38,396.71879170276225,1,0,85,9.644736289978027
39,393.4229259471176,1,0,103,10.338491439819336
40,384.75127842091024,1,0,78,7.370266437530518
41,394.84214755147696,1,0,92,8.97531509399414
42,382.3857419695705,1,0,77,6.7540459632873535
43,393.4856329225004,1,0,83,8.943060874938965
44,382.7912727575749,1,0,83,6.663205146789551
45,381.8359702657908,1,0,175,8.317512512207031
46,371.44636180996895,1,0,63,4.91723108291626
47,373.2445149831474,1,0,49,4.818861961364746
48,391.3002325594425,1,0,97,8.898442268371582
49,412.90842520445585,1,0,98,13.368629455566406
50,420.060601901263,1,0,96,14.534394264221191
51,411.17974160425365,1,0,96,12.697455406188965
52,390.2023078193888,1,0,77,8.319361686706543
53,25.921860193135217,0,0,400,10.761640548706055
54,404.99538162956014,1,0,249,11.74416732788086
55,394.8359264153987,1,0,100,9.174590110778809
56,384.68253296241164,1,0,67,7.359160900115967
57,402.54394842498004,1,0,137,11.135087013244629
58,383.5708894021809,1,0,92,7.282772541046143
59,387.2325062341988,1,0,73,7.860062599182129
60,375.4925680235028,1,0,97,5.436180114746094
61,380.5056268889457,1,0,73,6.938358783721924
62,404.57154243439436,1,0,96,11.20894718170166
63,390.94567270297557,1,0,127,8.30018138885498
64,392.1270813085139,1,0,88,9.118062973022461
65,387.71878826618195,1,0,85,7.770369052886963
66,393.5093760099262,1,0,77,8.782181739807129
67,411.11093467473984,1,0,111,12.662240982055664
68,388.84156614914536,1,0,69,7.9960713386535645
69,382.17593878880143,1,0,66,6.794144630432129
70,406.89534492231905,1,0,94,12.108118057250977
71,396.5253648683429,1,0,80,9.516853332519531
72,393.50070160627365,1,0,88,9.121923446655273
73,424.87996380776167,1,0,109,15.619536399841309
74,395.84359755553305,1,0,82,9.574666976928711
75,378.42816997133195,1,0,57,6.00914192199707
76,417.15447562374175,1,0,99,13.81995677947998
77,418.02669543772936,1,0,92,13.830699920654297
78,440.9173913523555,1,0,111,18.14884376525879
79,397.5851560244337,1,0,87,9.75442886352539
80,428.80093662813306,1,0,104,15.807052612304688
81,386.09232199937105,1,0,68,7.316816806793213
82,396.38143880292773,1,0,77,10.225116729736328
83,390.9422755744308,1,0,79,8.307705879211426
84,397.65307249315083,1,0,111,10.00100326538086
85,383.69383312389255,1,0,90,6.803624629974365
86,403.0658013699576,1,0,93,10.661081314086914
87,405.1884904690087,1,0,86,11.15647029876709
88,431.4931845124811,1,0,116,16.837339401245117
89,381.34393562190235,1,0,58,6.779886245727539
90,414.6729777902365,1,0,121,12.805632591247559
91,391.7219460364431,1,0,71,8.68094539642334
92,407.16754712723196,1,0,88,11.937272071838379
93,376.28450393117964,1,0,57,6.038453102111816
94,412.0555222639814,1,0,118,12.358785629272461
95,386.51195095665753,1,0,65,7.759761810302734
96,401.1768884435296,1,0,81,10.794596672058105
97,386.2966231983155,1,0,69,7.475822925567627
98,421.7290425840765,1,0,114,15.042318344116211
99,393.4400608111173,1,0,148,8.642590522766113
