timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,275,-62.7839397251976,151.67986321298275,0.08,0.62,289.76,23.11090747833252
20000,101,46.42114057430991,108.77864416574171,0.08,0.0,389.2,9.452975854873657
30000,82,16.23047951781593,128.0390194623141,0.08,0.18,358.98,26.503985948562622
40000,77,44.69127793227779,134.315775873262,0.12,0.16,329.74,19.824670333862304
50000,73,65.18976004679018,145.76029109863333,0.14,0.14,349.92,16.872005825042724
60000,70,130.34230041686115,205.64179727671285,0.36,0.2,274.66,17.613059973716737
70000,68,116.32876444877137,187.23898782801484,0.3,0.12,294.68,16.059605331420897
80000,67,159.99412724710146,188.34950176748382,0.38,0.06,307.7,17.31676552772522
90000,66,63.15222342389902,150.58426730444486,0.16,0.16,325.3,16.828296337127686
100000,66,147.0194257573644,181.82274529045887,0.34,0.04,313.84,18.475684406757356
110000,65,101.6371387221196,184.0128395023555,0.26,0.16,310.16,18.358886499404907
120000,65,161.9866151030539,177.03249455749088,0.36,0.02,312.2,16.316851558685304
130000,69,100.4877637278386,148.01625537210057,0.2,0.02,342.82,16.46916127204895
140000,71,118.7063441359845,176.0678823970681,0.28,0.12,307.74,20.17666088104248
150000,73,157.9052989374882,173.73190905149133,0.34,0.0,325.18,17.308813524246215
160000,75,159.64809465159667,192.8714263595737,0.4,0.08,283.06,15.333079752922059
170000,77,205.61963300424708,189.5412339904993,0.5,0.04,286.26,14.186999702453614
180000,80,254.0584910456851,187.43060078986275,0.64,0.08,205.5,12.475004739761353
190000,81,355.8635428163946,109.98586219183062,0.9,0.0,129.9,9.536533498764038
200000,80,358.8789056099394,117.70204228872393,0.92,0.04,101.84,9.333356351852418
210000,80,266.2839595399266,175.08358040047733,0.64,0.0,205.42,9.572589473724365
220000,78,242.70178529644113,185.74255356905024,0.58,0.02,236.82,9.797423934936523
230000,77,249.6394601903841,181.2986271420519,0.6,0.02,214.28,10.539671955108643
240000,77,338.30325761755887,129.2865195569841,0.84,0.0,147.04,10.382049531936646
250000,76,385.7579297353797,53.02612208917963,0.98,0.0,101.1,8.99313455581665
260000,76,384.0330190637708,72.42322919789234,0.96,0.0,108.96,9.966673460006714
270000,76,287.9884645572284,166.2093498722385,0.7,0.0,194.66,9.451180801391601
280000,75,323.5868167502191,149.59604402547367,0.8,0.0,168.22,9.502060346603393
290000,74,394.9773850514868,15.025768871901716,1.0,0.0,89.46,9.449104080200195
300000,73,381.65331787042726,70.77223716087303,0.96,0.0,90.84,9.48089659690857
