episode,return,success,collision,steps,path_length
0,394.08504019863904,1,0,65,9.067291259765625
1,425.284047733061,1,0,141,19.47985076904297
2,393.5992151289247,1,0,90,11.041435241699219
3,418.16235631145537,1,0,106,16.988473892211914
4,448.77955773472786,1,0,115,18.097606658935547
5,418.2299546673894,1,0,96,14.343984603881836
6,453.4405727609992,1,0,134,20.544666290283203
7,415.1909428779036,1,0,93,14.450501441955566
8,416.6107582449913,1,0,91,13.183610916137695
9,423.2439814284444,1,0,124,15.353180885314941
10,408.94539988040924,1,0,87,12.910271644592285
11,448.70491418614984,1,0,122,18.81378936767578
12,448.97022964805365,1,0,127,18.74506187438965
13,431.63211614638567,1,0,106,15.84636116027832
14,405.9398140832782,1,0,113,15.054423332214355
15,416.8885397668928,1,0,137,19.09853744506836
16,449.30209371447563,1,0,116,17.7155818939209
17,408.78930941736326,1,0,134,15.1590576171875
18,400.97248244285583,1,0,117,12.674488067626953
19,437.1000174358487,1,0,126,15.55226993560791
20,424.882473744452,1,0,102,15.740750312805176
21,399.61499832582194,1,0,84,10.822551727294922
22,413.3234957177192,1,0,103,14.800541877746582
23,409.52754900962464,1,0,147,14.857017517089844
24,412.21888840105385,1,0,127,16.978227615356445
25,433.112785205245,1,0,109,16.447021484375
26,405.6845543971285,1,0,104,13.980107307434082
27,404.6743215601891,1,0,105,14.725922584533691
28,405.26179143227637,1,0,98,12.919515609741211
29,399.6018432220444,1,0,121,13.321317672729492
30,440.9221163825132,1,0,164,22.5203857421875
31,444.0467432513833,1,0,115,17.596561431884766
32,413.66775412572315,1,0,102,13.758906364440918
33,425.62446876615286,1,0,103,15.614439010620117
34,448.9055397436023,1,0,122,18.870107650756836
35,421.41847104299814,1,0,130,17.308563232421875
36,410.0603436762467,1,0,83,12.113507270812988
37,453.7117836624384,1,0,116,17.720212936401367
38,415.8111069332808,1,0,92,13.623920440673828
39,411.6383914879989,1,0,92,13.087986946105957
40,418.30273600667715,1,0,112,16.496784210205078
41,426.3377724494785,1,0,118,17.43031120300293
42,392.98876807330817,1,0,279,11.346693992614746
43,405.40181586612016,1,0,95,12.127001762390137
44,401.061651583761,1,0,92,12.689409255981445
45,404.1649971907027,1,0,92,12.54595947265625
46,396.89794974401593,1,0,73,9.705525398254395
47,446.18885500729084,1,0,108,16.905038833618164
48,400.12026492506266,1,0,96,11.152936935424805
49,416.1219573682174,1,0,136,16.506942749023438
50,437.5742940083146,1,0,133,15.73614501953125
51,444.79013470187783,1,0,149,20.71486473083496
52,415.37612379156053,1,0,109,13.791431427001953
53,421.7485829461366,1,0,98,15.379572868347168
54,417.36203365400434,1,0,109,15.201420783996582
55,410.075060589239,1,0,119,15.727828025817871
56,443.6939257308841,1,0,133,19.523103713989258
57,389.70071489177644,1,0,86,9.329912185668945
58,397.11478510685265,1,0,81,10.806290626525879
59,400.8052546333056,1,0,132,14.13726806640625
60,424.66458640573546,1,0,107,16.424304962158203
61,406.3272834168747,1,0,87,12.689309120178223
62,411.87353960983455,1,0,91,12.667770385742188
63,435.8104692995548,1,0,94,14.435306549072266
64,394.7349743619561,1,0,73,9.42576789855957
65,417.5141878314316,1,0,86,13.671027183532715
66,411.49090791586787,1,0,103,15.595601081848145
67,407.60283995512873,1,0,114,13.664545059204102
68,403.53989759925753,1,0,110,12.359865188598633
69,433.1133635044098,1,0,109,16.519737243652344
70,407.0241559641436,1,0,100,13.34140396118164
71,402.2641315124929,1,0,80,10.914142608642578
72,394.02367168851197,1,0,100,10.98193359375
73,417.5754721807316,1,0,116,15.542784690856934
74,394.3530924245715,1,0,108,14.156928062438965
75,453.4462638273835,1,0,121,18.281686782836914
76,442.7423641681671,1,0,104,15.840307235717773
77,397.84122508601286,1,0,129,12.050165176391602
78,413.14904263429344,1,0,96,13.508540153503418
79,438.7590466970578,1,0,123,16.337722778320312
80,436.89486115798354,1,0,135,19.481616973876953
81,425.35950407385826,1,0,104,16.046722412109375
82,438.9252588227391,1,0,101,15.112971305847168
83,440.84809792786837,1,0,100,15.53264331817627
84,381.38053962029517,1,0,54,6.43233585357666
85,423.3846387118101,1,0,123,17.849103927612305
86,388.95037935394794,1,0,76,9.325506210327148
87,398.22399652469903,1,0,115,15.507126808166504
88,420.98680675867945,1,0,111,16.140409469604492
89,406.2203414849937,1,0,100,14.502171516418457
90,437.70176335424185,1,0,105,15.838898658752441
91,422.05563669092953,1,0,138,17.59520149230957
92,-121.58853529021144,0,1,37,2.1208951473236084
93,454.81583866663277,1,0,145,21.77562141418457
94,389.8356940471567,1,0,106,10.57794189453125
95,430.8847810141742,1,0,149,20.18539810180664
96,399.4399453410879,1,0,90,11.329113006591797
97,397.0255457730964,1,0,71,9.726227760314941
98,426.9922695606947,1,0,127,18.812929153442383
99,451.29536690190434,1,0,128,19.661588668823242
