timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,190,58.77893616703921,150.24713732289655,0.14,0.24,394.98,13.093081111907958
20000,90,2.1979717269155117,60.970395974033565,0.0,0.26,440.52,15.856110301613807
30000,84,31.918046226025805,49.15512369605308,0.0,0.12,476.36,15.850457553863526
40000,82,83.84404365952746,138.5601906199068,0.14,0.1,466.12,17.75181694984436
50000,82,113.93827957556829,151.10146389867464,0.18,0.06,457.88,20.003068866729738
60000,80,71.7074196520424,120.66327883223214,0.1,0.08,461.52,16.842499876022337
70000,79,145.34005767825172,170.7294159296908,0.28,0.02,425.86,16.60984006881714
80000,77,103.02905733067783,134.7111320752595,0.14,0.06,446.16,15.354234166145325
90000,75,162.80047816469218,185.06132548483248,0.34,0.04,392.16,13.363165278434753
100000,72,192.17925916965743,188.07121786781576,0.4,0.04,372.78,15.033488788604735
110000,71,232.17667802250318,197.0202903570889,0.5,0.02,364.44,15.730526008605956
120000,71,248.64582578739592,197.0584517986776,0.58,0.1,301.94,15.960824850797653
130000,72,276.642211253024,181.03026398477007,0.6,0.0,291.48,15.00077570438385
140000,75,267.51993061914305,174.07542507233657,0.58,0.0,291.98,15.293346910476684
150000,76,369.05821814771696,128.93716487133804,0.86,0.0,227.72,15.68445879161358
160000,74,328.16466544407825,154.98064582008215,0.76,0.0,239.18,15.241933479309083
170000,73,349.55551229816433,145.95004049437284,0.82,0.0,221.66,14.191337277889252
180000,74,373.3532065051425,133.07294379064484,0.88,0.02,176.94,14.87002852678299
190000,74,404.07462007071155,76.41376625343176,0.96,0.0,137.84,14.701664237976074
200000,76,406.31039010458085,71.12389490597421,0.98,0.02,117.12,14.10789834022522
210000,78,413.1364005276057,55.587907646104874,0.98,0.0,120.7,14.953659553527832
220000,80,394.76784752342013,97.96667696839103,0.92,0.0,142.2,15.384942512512207
230000,82,416.9667552857078,15.640272225899782,1.0,0.0,108.18,14.586170864105224
240000,84,415.44564635234303,15.838952452955413,1.0,0.0,109.56,14.62420888900757
