episode,return,success,collision,steps,path_length
0,398.63714165985584,1,0,74,9.879651069641113
1,387.3050864683464,1,0,64,7.692095756530762
2,-106.83840347966179,0,1,162,9.21561336517334
3,394.4055740942713,1,0,99,10.692595481872559
4,396.9144867743016,1,0,95,10.44257926940918
5,390.5558191649616,1,0,71,8.31503677368164
6,386.1510790716857,1,0,68,7.396152019500732
7,392.31748002022505,1,0,97,8.522720336914062
8,375.16033581644297,1,0,57,5.196230888366699
9,-64.85160227119923,0,1,172,16.22125244140625
10,407.7581765446812,1,0,84,12.35821533203125
11,420.31515351496637,1,0,110,15.073583602905273
12,399.9447044534609,1,0,93,10.869829177856445
13,408.3623626707122,1,0,81,11.827643394470215
14,385.27162140235305,1,0,58,7.378944396972656
15,396.2398301027715,1,0,77,9.557114601135254
16,386.69949857355095,1,0,85,9.67589282989502
17,403.55598690733314,1,0,85,10.965354919433594
18,391.9083658242598,1,0,65,9.062261581420898
19,381.42544125020504,1,0,63,6.536096572875977
20,427.4601538516581,1,0,139,15.633953094482422
21,410.52332487050444,1,0,99,13.276058197021484
22,410.2773844562471,1,0,102,13.482434272766113
23,425.308222303167,1,0,106,15.62730884552002
24,383.91478762589395,1,0,56,6.972308158874512
25,409.4756501457887,1,0,122,13.075222969055176
26,393.4407035391778,1,0,76,9.095707893371582
27,384.5503066107631,1,0,61,7.455178737640381
28,408.4289293438196,1,0,84,12.28580093383789
29,392.0348293436691,1,0,66,8.527033805847168
30,392.6034574089572,1,0,70,8.810647964477539
31,371.81712578982115,1,0,44,4.702089309692383
32,399.99559498019516,1,0,106,9.99758529663086
33,414.0037212483585,1,0,92,13.2243013381958
34,377.48593497648835,1,0,53,5.800279140472412
35,403.56743586063385,1,0,92,11.124112129211426
36,395.6200563535094,1,0,75,9.503777503967285
37,394.1335224596769,1,0,88,10.811613082885742
38,384.69404091499746,1,0,62,7.305826187133789
39,-82.79054301651195,0,1,77,9.360939025878906
40,419.93157294299453,1,0,98,14.34650707244873
41,386.8602200457826,1,0,59,7.793062686920166
42,428.6547346697189,1,0,110,16.55866813659668
43,376.38662246614695,1,0,52,5.531567096710205
44,392.44298201519996,1,0,92,10.455432891845703
45,401.9527264991775,1,0,86,12.077719688415527
46,413.42279657907784,1,0,113,15.021747589111328
47,419.23285731789656,1,0,111,14.796967506408691
48,411.1032994017005,1,0,101,13.15283489227295
49,388.1277184188366,1,0,68,8.280830383300781
50,386.201969968155,1,0,66,7.810489177703857
51,15.669084158726037,0,0,500,13.353004455566406
52,-1.0761521802050993,0,0,500,0.7705848217010498
53,379.39179531740956,1,0,80,8.373211860656738
54,401.54914585407823,1,0,74,10.529465675354004
55,405.17810551216826,1,0,89,12.372912406921387
56,397.25043578632176,1,0,81,9.82079029083252
57,389.0982391834259,1,0,85,9.841978073120117
58,30.298901693429798,0,0,500,6.342008590698242
59,423.9523597545922,1,0,99,15.579606056213379
60,364.1261512879282,1,0,75,7.552791118621826
61,408.7267733325716,1,0,97,13.8617582321167
62,395.7664526589215,1,0,68,9.394233703613281
63,386.8088100878522,1,0,60,7.61528205871582
64,404.15205878019333,1,0,79,11.18590259552002
65,382.2558889966458,1,0,61,6.818890571594238
66,418.28941675368696,1,0,96,13.704126358032227
67,382.6904256492853,1,0,73,7.271884918212891
68,409.6421871576458,1,0,80,12.418999671936035
69,381.27865178510547,1,0,66,6.461381912231445
70,413.18400954362005,1,0,86,12.879862785339355
71,401.84681496210396,1,0,81,11.227438926696777
72,441.0216083303094,1,0,133,21.332359313964844
73,397.16812532488257,1,0,76,9.636619567871094
74,428.79714867286384,1,0,110,16.790334701538086
75,384.2901283536339,1,0,70,7.889683246612549
76,396.58991446346045,1,0,71,9.773080825805664
77,387.814651285531,1,0,83,8.678997039794922
78,397.3764892537147,1,0,73,9.687102317810059
79,382.9141922611743,1,0,62,6.97905969619751
80,402.87958516180515,1,0,85,10.897607803344727
81,413.390429828316,1,0,90,12.880023956298828
82,372.1908737234771,1,0,66,5.524723052978516
83,388.39704147540033,1,0,64,8.078250885009766
84,389.64338380564004,1,0,90,9.78018856048584
85,408.0382060391421,1,0,128,14.604433059692383
86,392.6468309705233,1,0,100,7.990338325500488
87,407.90944134723395,1,0,107,12.854890823364258
88,389.85975509136915,1,0,68,8.502191543579102
89,387.35208462178707,1,0,106,10.762613296508789
90,379.7798959221691,1,0,56,6.1301774978637695
91,399.786751313135,1,0,104,11.606186866760254
92,375.42744092829525,1,0,56,5.274205207824707
93,407.4475564658642,1,0,87,12.124154090881348
94,388.53758121002465,1,0,69,7.899672031402588
95,394.5380307510495,1,0,77,9.069074630737305
96,410.81153348460793,1,0,124,15.77627182006836
97,373.8127197548747,1,0,61,5.424076557159424
98,384.56893115025014,1,0,60,7.057805061340332
99,387.89023103844374,1,0,69,7.770571231842041
