episode,return,success,collision,steps,path_length
0,395.5542132370174,1,0,78,10.071332931518555
1,387.3330577807501,1,0,61,7.919236660003662
2,415.15700358408503,1,0,105,15.208288192749023
3,373.42080327123404,1,0,57,5.660687446594238
4,398.76878205954563,1,0,89,11.316157341003418
5,390.36495656333864,1,0,61,8.268430709838867
6,385.22703048354015,1,0,63,8.146382331848145
7,393.1700139262248,1,0,87,8.804390907287598
8,421.4812136813998,1,0,97,13.781661987304688
9,404.1228558423463,1,0,81,11.67441463470459
10,388.2076215259731,1,0,62,6.725549221038818
11,366.7802932728082,1,0,60,7.852143287658691
12,416.8709397444036,1,0,98,12.509859085083008
13,384.5215534638992,1,0,53,6.195537567138672
14,408.6484165676811,1,0,82,9.48642635345459
15,427.24822938255966,1,0,131,18.383045196533203
16,392.2201600270346,1,0,66,8.573415756225586
17,376.9844296965748,1,0,49,5.419130802154541
18,-80.44088454544544,0,1,89,12.18370246887207
19,409.9825722761452,1,0,83,11.914461135864258
20,374.9264500364661,1,0,53,4.821491241455078
21,425.6975622083992,1,0,112,17.934112548828125
22,392.1605703982059,1,0,98,10.645992279052734
23,374.8562334366143,1,0,56,5.089012622833252
24,389.69973500072956,1,0,61,7.758774757385254
25,382.60996590554714,1,0,72,6.791421890258789
26,391.26874807290733,1,0,67,8.487656593322754
27,387.65277600474656,1,0,70,7.736525535583496
28,380.7267591438722,1,0,186,11.093400955200195
29,389.43593979999423,1,0,75,9.077370643615723
30,384.58022506997804,1,0,94,9.811492919921875
31,383.89256185106933,1,0,65,6.908275127410889
32,396.08412582753226,1,0,108,13.380956649780273
33,390.8095743902959,1,0,105,12.324958801269531
34,384.96681314194575,1,0,98,8.389671325683594
35,391.56569061242044,1,0,86,9.168890953063965
36,387.4122196515091,1,0,105,12.412041664123535
37,388.58544535189867,1,0,60,7.4736127853393555
38,425.4126124952454,1,0,114,16.03891372680664
39,371.437029870227,1,0,96,8.817941665649414
40,382.0282750055194,1,0,87,10.19487190246582
41,381.40959187503904,1,0,66,7.157225608825684
42,371.96100549632683,1,0,96,9.49370002746582
43,456.9561966881156,1,0,157,24.510255813598633
44,406.93462365306914,1,0,111,13.863205909729004
45,414.1526424763724,1,0,161,22.42435073852539
46,364.4851453533629,1,0,79,7.985534191131592
47,399.2804914303124,1,0,90,12.062129020690918
48,399.2215757742524,1,0,67,9.265462875366211
49,379.83924864884466,1,0,56,7.293600082397461
50,364.2020565709099,1,0,120,9.858331680297852
51,399.7472334150225,1,0,85,11.30467700958252
52,395.8812657725066,1,0,85,11.51378059387207
53,398.97663078131154,1,0,118,14.668895721435547
54,-105.84643587842584,0,1,42,4.417242050170898
55,423.9535395174753,1,0,178,25.171031951904297
56,389.8965266570449,1,0,54,4.623221397399902
57,-108.18266462907195,0,1,19,1.0956025123596191
58,385.70403940975666,1,0,55,6.025170803070068
59,-116.09280887246132,0,1,22,1.2782392501831055
60,418.38834032509476,1,0,91,13.969419479370117
61,21.544806980062276,0,0,600,8.083120346069336
62,416.894187329337,1,0,91,14.12458324432373
63,392.98742063506506,1,0,86,11.130327224731445
64,377.29123528674245,1,0,67,5.89659309387207
65,384.75181787647307,1,0,57,7.480929851531982
66,439.9922200143337,1,0,101,14.55274486541748
67,401.6165243159048,1,0,135,14.535795211791992
68,399.9906814256683,1,0,82,11.443078994750977
69,389.0380412004888,1,0,76,9.857339859008789
70,404.0850495994091,1,0,67,9.055902481079102
71,395.96667386218905,1,0,76,9.561624526977539
72,420.5659455899149,1,0,139,19.016721725463867
73,389.7004557289183,1,0,65,8.84447193145752
74,389.22265776246786,1,0,64,7.693154335021973
75,375.3329495806247,1,0,59,7.109924793243408
76,386.42088193725795,1,0,61,7.74793004989624
77,380.84437452815473,1,0,66,7.884553909301758
78,413.1352354772389,1,0,147,19.304309844970703
79,390.9553037318401,1,0,74,9.068734169006348
80,409.44165850430727,1,0,119,16.10445785522461
81,361.5963492747396,1,0,54,5.510014057159424
82,399.7288506962359,1,0,64,8.604391098022461
83,387.53671113494784,1,0,67,8.108981132507324
84,395.8763205567375,1,0,75,8.670699119567871
85,413.44243598449975,1,0,103,15.505874633789062
86,390.5926449924009,1,0,79,9.969483375549316
87,389.66991763561964,1,0,65,6.471518039703369
88,407.1554936195025,1,0,83,11.906532287597656
89,399.6599838519469,1,0,123,13.254836082458496
90,-90.57302879914641,0,1,73,9.338120460510254
91,409.2186522902921,1,0,140,19.333919525146484
92,399.7126023359597,1,0,76,10.298940658569336
93,374.94561180099845,1,0,54,6.4843645095825195
94,412.95300882915035,1,0,87,12.741121292114258
95,396.0266782990657,1,0,94,9.30118179321289
96,21.73634357181436,0,0,600,8.971868515014648
97,411.5150369349867,1,0,84,11.432034492492676
98,377.88994534127414,1,0,59,4.646845817565918
99,420.84359708428383,1,0,71,10.75674819946289
100,412.7386223943904,1,0,112,14.655584335327148
101,418.41826586797833,1,0,112,17.328895568847656
102,397.3484060950577,1,0,93,9.739449501037598
103,419.26998193375766,1,0,89,14.758336067199707
104,368.19140054518357,1,0,132,14.007282257080078
105,376.64312192675425,1,0,60,5.256777286529541
106,4.221100342110731,0,0,600,8.810067176818848
107,389.17527993023396,1,0,66,7.3049187660217285
108,371.751737665385,1,0,45,4.618616104125977
109,408.38674671947956,1,0,86,11.769055366516113
110,370.9326712116599,1,0,65,5.6932759284973145
111,397.4902041964233,1,0,77,9.914346694946289
112,392.31750347837806,1,0,68,9.513270378112793
113,406.4601399078965,1,0,82,11.337837219238281
114,405.04487096052617,1,0,88,11.182804107666016
115,401.3963530464098,1,0,85,11.321370124816895
116,416.95294589549303,1,0,113,16.502864837646484
117,384.4925381690264,1,0,110,11.021628379821777
118,404.11159466253594,1,0,100,12.796697616577148
119,416.43006858229637,1,0,91,14.348405838012695
120,-100.9559085816145,0,1,9,0.30012789368629456
121,408.32653964776546,1,0,86,11.911115646362305
122,392.58401198498905,1,0,86,12.688998222351074
123,376.5764555186033,1,0,69,5.484707832336426
124,398.2324577793479,1,0,74,10.120002746582031
125,446.7364383241511,1,0,118,19.69577407836914
126,407.5307670449838,1,0,113,14.823143005371094
127,419.59784104302526,1,0,121,19.47398567199707
128,387.70264901733026,1,0,91,9.65357494354248
129,412.9050316652283,1,0,95,13.824767112731934
130,381.7884872085415,1,0,117,12.052157402038574
131,399.1662866198458,1,0,141,14.840463638305664
132,413.521431658417,1,0,98,14.717706680297852
133,397.59993294253945,1,0,87,12.09657096862793
134,407.7275932330813,1,0,85,11.982856750488281
135,424.71227839868516,1,0,175,24.169498443603516
136,414.22167701181024,1,0,90,13.692094802856445
137,402.843597524683,1,0,128,14.352813720703125
138,402.43492677249014,1,0,91,12.476920127868652
139,422.70778296521166,1,0,107,13.602027893066406
140,393.6287617255002,1,0,66,9.357345581054688
141,439.3627181001939,1,0,137,19.84012794494629
142,401.6150471253786,1,0,98,13.381917953491211
143,428.8372479947284,1,0,121,18.059354782104492
144,421.2445948764216,1,0,106,15.611417770385742
145,396.59364507797,1,0,107,14.335346221923828
