episode,return,success,collision,steps,path_length
0,398.5228659212589,1,0,80,10.619512557983398
1,387.1456870222464,1,0,60,7.687005996704102
2,413.669950414449,1,0,99,14.358440399169922
3,374.13896011095494,1,0,52,5.382226467132568
4,397.26490399055183,1,0,92,11.933608055114746
5,390.91695803776383,1,0,63,8.386979103088379
6,382.07951708324254,1,0,122,11.937520980834961
7,395.2669910066761,1,0,82,8.171392440795898
8,422.82003954052925,1,0,96,13.631410598754883
9,406.99863592907786,1,0,90,12.440135955810547
10,390.40704960697076,1,0,68,6.82601261138916
11,365.6892050660681,1,0,147,13.044025421142578
12,416.70572416996583,1,0,102,13.026264190673828
13,384.243371412158,1,0,51,6.182298183441162
14,408.7342743240297,1,0,82,9.963241577148438
15,426.93244593730196,1,0,119,19.018047332763672
16,391.76462211459875,1,0,63,8.551162719726562
17,379.35324881598353,1,0,48,5.4716644287109375
18,425.07545292330906,1,0,172,19.75130844116211
19,409.6545529565774,1,0,79,11.29623794555664
20,374.0351725006476,1,0,51,4.760979652404785
21,424.07251583226025,1,0,115,18.426870346069336
22,392.2212527198717,1,0,91,10.547953605651855
23,375.7731412424473,1,0,51,5.1735005378723145
24,389.55022777989507,1,0,56,7.85372257232666
25,382.64939292520285,1,0,52,6.804210186004639
26,391.48221307899803,1,0,63,8.528045654296875
27,387.1620333120227,1,0,57,7.812846660614014
28,377.83495836821385,1,0,123,10.614234924316406
29,387.95565264392644,1,0,79,8.764485359191895
30,386.3387525945509,1,0,88,10.101892471313477
31,383.79562799446285,1,0,52,7.175235748291016
32,398.28253176482394,1,0,103,14.194028854370117
33,-104.54243334475905,0,1,52,5.341705322265625
34,386.90865270770155,1,0,77,9.016658782958984
35,392.3928163468372,1,0,97,9.658199310302734
36,388.89260762464255,1,0,116,14.277585983276367
37,389.0024195276201,1,0,60,7.627983570098877
38,425.66091608442366,1,0,120,16.387216567993164
39,378.9873732117121,1,0,83,8.376457214355469
40,382.93898468697444,1,0,129,12.227069854736328
41,382.5929126748815,1,0,60,7.2815260887146
42,-5.91508702297142,0,0,600,0.7457981705665588
43,444.4834614433348,1,0,177,24.981348037719727
44,401.11834290158004,1,0,106,13.279471397399902
45,421.56835285772104,1,0,159,24.224599838256836
46,369.4954470394878,1,0,70,7.464230537414551
47,404.0829626582563,1,0,90,11.680414199829102
48,399.02721954137087,1,0,71,9.286765098571777
49,376.0389726450667,1,0,54,7.115696907043457
50,371.41770789196016,1,0,110,9.466137886047363
51,396.17408128641546,1,0,86,11.396495819091797
52,-9.14897468995332,0,0,600,4.069906234741211
53,397.2052947678603,1,0,101,13.224725723266602
54,371.076091138646,1,0,67,6.57451057434082
55,-30.447017526777927,0,0,600,8.487003326416016
56,389.72017711400986,1,0,51,4.706530570983887
57,390.16285395622253,1,0,58,7.252221584320068
58,387.1289444230497,1,0,49,5.823283672332764
59,376.40777610527584,1,0,85,7.347855091094971
60,418.7724869735539,1,0,91,14.028008460998535
61,380.99302961304784,1,0,52,6.544823169708252
62,412.47626847587526,1,0,107,15.07691478729248
63,388.76085618368234,1,0,88,10.809212684631348
64,377.44512274861336,1,0,55,5.776668071746826
65,385.335044933483,1,0,56,7.391726493835449
66,-99.88407420413569,0,1,6,0.10361994057893753
67,398.78143310582254,1,0,539,26.352130889892578
68,403.4921879461035,1,0,86,11.48574161529541
69,390.863325830549,1,0,82,10.337686538696289
70,404.40810066461563,1,0,67,8.881148338317871
71,396.1648718044162,1,0,66,9.399638175964355
72,-13.41567620751448,0,0,600,17.598384857177734
73,391.20905631873757,1,0,79,9.40144157409668
74,387.52286557108164,1,0,65,7.2668657302856445
75,370.85713325068355,1,0,57,7.282758712768555
76,384.35181025695056,1,0,107,10.346290588378906
77,377.0562855582684,1,0,75,8.0435791015625
78,-133.9673519860953,0,1,43,4.675996780395508
79,390.71723682107404,1,0,74,9.223980903625488
80,408.2135423584841,1,0,106,14.702836990356445
81,364.39585515577346,1,0,57,5.712611675262451
82,400.5131778270006,1,0,68,8.573131561279297
83,389.5458843242377,1,0,61,8.3494873046875
84,394.3239072980359,1,0,95,10.253339767456055
85,418.40245884454635,1,0,111,15.887316703796387
86,389.5982637531124,1,0,78,9.673404693603516
87,387.2020083051175,1,0,62,6.504063606262207
88,406.9842915661866,1,0,86,12.491400718688965
89,399.98347602505237,1,0,89,11.70494556427002
90,-0.2214183237956604,0,0,600,2.1005496978759766
91,402.40473336167634,1,0,132,17.32623291015625
92,399.53956778743304,1,0,76,10.686280250549316
93,374.7907908447087,1,0,55,6.375599384307861
94,414.63951818458736,1,0,90,12.941132545471191
95,396.9574074856937,1,0,94,10.497446060180664
96,381.7258423958265,1,0,102,10.157007217407227
97,414.1069441139698,1,0,85,11.821974754333496
98,377.64713451080024,1,0,49,4.566580295562744
99,420.694735661149,1,0,71,10.917333602905273
