episode,return,success,collision,steps,path_length
0,397.03884805366397,1,0,83,10.047459602355957
1,-81.44328673090786,0,1,120,11.980525970458984
2,401.6362181901932,1,0,82,10.567880630493164
3,397.86943298531696,1,0,104,12.075630187988281
4,376.90503802895546,1,0,77,7.776869297027588
5,391.0608026823029,1,0,61,8.52720832824707
6,360.80660070398153,1,0,70,6.266589164733887
7,397.87914429511875,1,0,84,10.76821517944336
8,390.826504252851,1,0,73,9.078154563903809
9,430.5367027176835,1,0,284,23.933815002441406
10,380.182557990076,1,0,127,14.32011604309082
11,372.68391718156636,1,0,51,4.728304862976074
12,393.4509543441236,1,0,112,10.801064491271973
13,374.36048993840814,1,0,62,5.386740684509277
14,415.5559281115129,1,0,124,13.818291664123535
15,374.2625283780508,1,0,85,8.10847282409668
16,376.23815134726465,1,0,52,4.963006496429443
17,413.12744976580143,1,0,109,9.670426368713379
18,399.5264353187522,1,0,118,11.663955688476562
19,27.170153068866057,0,0,600,14.613897323608398
20,402.83606560062617,1,0,127,16.314069747924805
21,413.0901422575116,1,0,103,12.817458152770996
22,373.92391139616575,1,0,73,6.080957412719727
23,397.3062943480909,1,0,78,9.617144584655762
24,393.2106439229101,1,0,90,9.386356353759766
25,398.1755868755281,1,0,86,12.189413070678711
26,413.5532247382216,1,0,232,18.788970947265625
27,392.36806938043446,1,0,147,12.88113784790039
28,382.38966481853276,1,0,63,7.569698810577393
29,403.7791365692392,1,0,117,13.068530082702637
30,384.9465245548636,1,0,84,7.7391557693481445
31,385.75582033302635,1,0,57,7.688732147216797
32,393.1733911000192,1,0,73,9.036799430847168
33,393.2938710292801,1,0,79,9.972978591918945
34,386.9595063328743,1,0,78,7.551910877227783
35,404.8462013313547,1,0,93,11.202024459838867
36,386.6041098218411,1,0,119,11.922552108764648
37,-95.47928413003683,0,1,63,7.969666957855225
38,395.9112592106685,1,0,161,13.607805252075195
39,378.35230544488877,1,0,85,9.217557907104492
40,-118.5594731089659,0,1,27,1.8621630668640137
41,402.97642534796614,1,0,314,19.6987247467041
42,376.59561765167746,1,0,170,12.103727340698242
43,395.6633301549955,1,0,110,11.051980972290039
44,414.3559016622603,1,0,97,11.313880920410156
45,393.57584225479513,1,0,169,14.814058303833008
46,377.55869788862765,1,0,62,5.644083499908447
47,399.5016107130796,1,0,110,14.104896545410156
48,-120.60270321182907,0,1,29,1.6678227186203003
49,421.5988374399021,1,0,127,16.061141967773438
50,389.73327822238207,1,0,81,8.782309532165527
51,397.6180502749048,1,0,100,12.57776165008545
52,404.6215914487839,1,0,98,12.763773918151855
53,386.7166962251067,1,0,116,10.712848663330078
54,32.673047698474875,0,0,600,17.720754623413086
55,415.92883937159786,1,0,94,11.438907623291016
56,390.9714829530567,1,0,74,8.65041732788086
57,-6.16897238085221,0,0,600,2.742215156555176
58,386.44369589723647,1,0,63,7.88369083404541
59,377.42072165571153,1,0,68,6.155554294586182
60,408.8017700491473,1,0,89,11.88325309753418
61,412.0796736367047,1,0,98,13.403820991516113
62,378.6759549090639,1,0,95,9.26634407043457
63,-122.9760872227489,0,1,66,4.692697525024414
64,400.9938287110999,1,0,121,12.440373420715332
65,373.4215003941208,1,0,66,5.161617755889893
66,-103.03869699127972,0,1,64,6.371125221252441
67,408.8129196688533,1,0,98,13.08643627166748
68,-139.89439542934997,0,1,71,2.959287405014038
69,377.4861723552458,1,0,76,6.171008110046387
70,375.7485491095067,1,0,103,10.10071849822998
71,11.355350879897742,0,0,600,6.364093780517578
72,413.99538574088365,1,0,113,15.5007963180542
73,1.878947531803533,0,0,600,5.634909629821777
74,397.908024655655,1,0,84,8.57020092010498
75,420.6316431472078,1,0,131,17.303421020507812
76,406.38947085430846,1,0,118,15.332903861999512
77,378.6972297336906,1,0,87,7.663304805755615
78,401.7355976179242,1,0,95,10.73460578918457
79,380.22105296625523,1,0,106,9.929563522338867
80,397.2064920440316,1,0,79,9.002480506896973
81,387.6261202050373,1,0,86,10.607717514038086
82,424.37998052686453,1,0,128,17.810230255126953
83,367.2775899214903,1,0,63,5.169353008270264
84,394.89182948321104,1,0,82,8.705526351928711
85,23.04639088251497,0,0,600,9.914299011230469
86,-6.132481789602025,0,0,600,3.1837639808654785
87,378.32607731595635,1,0,58,5.621607780456543
88,403.50591032765806,1,0,82,11.53346061706543
89,424.3513876898214,1,0,94,14.110852241516113
90,375.2739069815725,1,0,72,5.18335485458374
91,378.17457088432275,1,0,78,5.768853187561035
92,360.4986030459404,1,0,61,5.829125881195068
93,398.6097135655582,1,0,85,10.497633934020996
94,412.69559965544613,1,0,165,15.874028205871582
95,2.2048215382674243,0,0,600,3.6967732906341553
96,376.7783299461007,1,0,74,7.615167140960693
97,401.8988115405664,1,0,97,10.764725685119629
98,407.8321837533731,1,0,94,10.621866226196289
99,406.8551121572964,1,0,95,12.36440372467041
