timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,226,306.73231284893905,169.49352163096276,0.78,0.06,179.22,11.973331251144408
20000,121,298.43536826357007,180.63816761515363,0.78,0.1,170.68,12.087679779827594
30000,115,312.8104326528863,173.02624298961513,0.82,0.08,162.62,10.849126567840576
40000,125,302.15125997365635,181.22768817774312,0.78,0.08,188.7,11.821656949520111
50000,132,239.01194154911198,219.20073621519472,0.66,0.22,159.62,10.201518132686616
60000,138,266.6307058170444,207.15137653097378,0.72,0.2,146.76,10.651692206263542
70000,142,312.50750767431407,177.8144725209408,0.82,0.12,132.66,10.343009026050568
80000,145,334.7335515788065,151.0531926665664,0.86,0.06,143.62,10.55638566017151
90000,148,272.8644413485708,212.0756770337976,0.74,0.2,133.26,10.802395420074463
100000,150,322.74093992754496,167.86038127834303,0.84,0.08,137.48,10.053319568634032
110000,152,268.0732285313178,210.3890097195403,0.74,0.2,119.62,8.75112215861678
120000,154,347.52834063839725,140.46941749764605,0.9,0.06,119.84,10.443053503036499
130000,155,322.21659810366737,173.93993827359597,0.84,0.1,127.96,10.04610697031021
140000,157,332.54808789625974,165.2146456150342,0.86,0.1,119.42,10.848725950717926
150000,157,345.67020634903747,146.20935325809444,0.88,0.06,133.12,11.202819962501525
160000,158,359.9162108909531,128.07712263068748,0.92,0.06,114.4,11.094827651977539
170000,159,332.07897526395135,160.4343824594557,0.86,0.08,130.62,10.43636062860489
180000,160,380.9375904327497,78.94551433794868,0.96,0.0,139.3,11.475189933776855
190000,160,351.63409655405275,132.2949525437882,0.9,0.04,127.0,10.384791431427002
200000,161,359.78921714755415,116.75341592204106,0.9,0.0,159.32,11.108463859558105
210000,161,359.5790736074242,111.76832658978115,0.92,0.02,122.4,9.968255624771118
220000,162,346.27192313652296,139.5266239204899,0.9,0.06,112.1,9.630269805192947
230000,163,352.0488604496514,126.37175193566593,0.9,0.02,146.28,10.729159257411958
240000,163,379.28906211116833,88.89214562192836,0.96,0.02,106.88,11.109355182647706
250000,164,355.21805772143125,140.90425421995306,0.9,0.06,124.0,11.974365978240966
260000,164,315.1019831097634,176.7589717608355,0.82,0.1,143.18,10.439252490997314
270000,164,366.49061254947753,111.73920828447778,0.94,0.04,100.14,10.3258563041687
280000,164,373.29853447964706,89.26002841610243,0.94,0.0,125.86,10.563253908157348
290000,164,338.61405871172593,150.0996175143422,0.86,0.04,145.4,10.9056916731596
300000,164,358.61194376678117,121.8567952760464,0.92,0.04,110.88,10.24650424003601
