episode,return,success,collision,steps,path_length
0,398.5446523465216,1,0,81,10.025279998779297
1,386.69202091917396,1,0,79,7.819554805755615
2,-119.33567653596401,0,1,29,2.2940664291381836
3,403.19755272753537,1,0,86,9.17111873626709
4,390.66719985730015,1,0,119,12.283609390258789
5,390.63735213689506,1,0,67,8.262252807617188
6,385.9667049385607,1,0,54,7.583352088928223
7,392.3866169266403,1,0,84,9.404093742370605
8,420.85584026761353,1,0,104,14.328690528869629
9,404.47515374654904,1,0,170,21.191089630126953
10,382.46754914708436,1,0,62,6.837284564971924
11,385.82368481124286,1,0,121,11.98682689666748
12,407.9638383872807,1,0,88,12.019279479980469
13,399.32628551125526,1,0,60,7.478504657745361
14,394.9293560954975,1,0,94,10.545945167541504
15,425.60230586351827,1,0,122,18.682058334350586
16,401.7185794535908,1,0,93,12.56120777130127
17,372.0275935959071,1,0,49,4.8120341300964355
18,412.6955167958513,1,0,127,18.84232521057129
19,400.2364813107997,1,0,67,10.268292427062988
20,374.46193361561745,1,0,50,5.260669231414795
21,381.2691569123417,1,0,62,7.690527439117432
22,375.78353790193796,1,0,52,5.2445969581604
23,368.28336396440864,1,0,61,5.592629909515381
24,373.86875975318253,1,0,47,5.005385875701904
25,34.41137462257757,0,0,600,6.076039791107178
26,394.7363358621951,1,0,128,14.553145408630371
27,415.17111890017986,1,0,146,18.20567512512207
28,392.5301241911948,1,0,65,8.992168426513672
29,395.2326807184145,1,0,72,9.458236694335938
30,375.04936186922714,1,0,68,5.198350429534912
31,395.85468187881634,1,0,95,11.927867889404297
32,408.9580504409969,1,0,90,13.794960021972656
33,397.55680466396734,1,0,102,14.517644882202148
34,372.93750038184226,1,0,49,4.809109210968018
35,381.98161307163537,1,0,58,6.559528827667236
36,409.92205165326595,1,0,86,13.092351913452148
37,386.59699184820056,1,0,67,7.2089009284973145
38,380.323717918247,1,0,52,6.2774529457092285
39,399.57257980667055,1,0,77,10.543661117553711
40,428.51704925112426,1,0,116,18.3393611907959
41,402.8991010542959,1,0,83,11.432559967041016
42,394.54842807003297,1,0,98,13.404895782470703
43,400.72300317743793,1,0,91,12.641167640686035
44,409.71324517251924,1,0,99,15.039691925048828
45,420.1594374626875,1,0,102,15.865158081054688
46,374.5320161897689,1,0,46,5.1056928634643555
47,-92.07797682797536,0,1,103,12.64657974243164
48,374.36552557814866,1,0,55,5.023218631744385
49,404.28172405064106,1,0,81,11.23327922821045
50,391.0507403900847,1,0,110,11.828309059143066
51,379.7864204477519,1,0,66,7.480958938598633
52,393.61014789994806,1,0,67,8.86280345916748
53,403.61119386926293,1,0,83,12.142829895019531
54,375.8883371660486,1,0,50,5.358402252197266
55,404.02086630789563,1,0,78,11.533332824707031
56,387.6727804802358,1,0,75,8.549988746643066
57,386.5491381874308,1,0,59,7.59462833404541
58,404.5808068723418,1,0,96,13.488512992858887
59,395.1386599522084,1,0,70,9.442261695861816
60,358.62356656960037,1,0,370,23.768705368041992
61,387.3560487544164,1,0,83,9.44488525390625
62,377.19057026691735,1,0,69,6.799066543579102
63,413.64157370571047,1,0,92,14.337396621704102
64,383.92905146442354,1,0,78,9.11278247833252
65,423.51537335221656,1,0,107,16.73781394958496
66,390.0924520473927,1,0,76,9.548344612121582
67,376.1996009880677,1,0,53,5.999648094177246
68,417.3426945582032,1,0,97,14.968085289001465
69,389.16950195189565,1,0,80,9.671266555786133
70,411.09938727202825,1,0,113,17.79226303100586
71,412.9489146647975,1,0,114,16.992597579956055
72,426.5809405297041,1,0,120,17.94478988647461
73,388.3195195123553,1,0,71,8.217296600341797
74,400.07647709175944,1,0,77,11.30493450164795
75,401.9702343735844,1,0,124,13.42090129852295
76,401.1282922588289,1,0,98,12.838398933410645
77,420.62350253015757,1,0,91,14.875555992126465
78,404.3916696882807,1,0,97,13.798194885253906
79,430.14520922489464,1,0,124,19.830354690551758
80,414.6111755371094,1,0,92,13.71471881866455
81,6.344890879452578,0,0,600,10.70210075378418
82,409.03391141444445,1,0,86,13.238492965698242
83,387.5441952776164,1,0,73,8.5720853805542
84,379.496267022565,1,0,55,5.6825175285339355
85,402.762235101196,1,0,117,16.647441864013672
86,389.659347448498,1,0,67,8.541826248168945
87,379.3152439473197,1,0,130,13.159154891967773
88,380.5507462732494,1,0,56,6.3014068603515625
89,392.37829514965415,1,0,70,8.629104614257812
90,385.9937569722533,1,0,58,6.727624893188477
91,407.659155882895,1,0,77,11.887102127075195
92,388.27830813732,1,0,63,8.069137573242188
93,392.8182667288929,1,0,117,12.32730484008789
94,418.66604861197993,1,0,117,18.491764068603516
95,373.19105123355985,1,0,49,4.836708068847656
96,384.42597152478993,1,0,58,7.271591663360596
97,387.5511349029839,1,0,61,7.704312324523926
98,419.81324604712427,1,0,100,14.801609992980957
99,387.41339172422886,1,0,77,6.655387878417969
