timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,67,180.5795160387511,216.405561465201,0.48,0.18,280.84,11.070112292766572
20000,48,242.21091935845186,211.29116379825902,0.64,0.16,225.76,11.085492234230042
30000,50,243.51948676209247,210.37520977203513,0.64,0.14,229.44,11.200542306900024
40000,51,239.29546710047128,202.8014447961144,0.6,0.08,295.58,12.39988879919052
50000,53,235.07300998785576,201.69958273218944,0.6,0.08,274.6,10.938928470611572
60000,53,243.06884993844272,198.29102518072295,0.62,0.06,272.0,9.964282587766647
70000,54,168.88190477990577,210.06292000330689,0.44,0.14,319.24,12.631561863422395
80000,54,210.63039120177814,210.85549774630013,0.56,0.1,281.88,9.563985702991486
90000,54,271.014174255509,189.65733731679532,0.68,0.04,260.44,11.812686581611633
100000,55,294.90436157544207,181.68058782149703,0.76,0.06,219.7,11.414966149330139
110000,55,291.9037437101779,189.17695413354906,0.74,0.08,224.66,12.195587360858918
120000,55,306.73214563423227,168.22509831065233,0.76,0.0,242.92,10.41716113805771
130000,56,318.7560278832035,166.97548985988257,0.8,0.04,207.52,11.38517741203308
140000,56,293.4538545823858,175.4991881268472,0.74,0.02,228.06,10.446056544780731
150000,56,307.64378661907733,160.04104685633203,0.76,0.0,239.9,11.691504406929017
160000,56,266.8834400312153,190.25195467723998,0.66,0.02,279.96,11.19785234928131
170000,56,285.80117329305807,178.27697099942247,0.72,0.02,248.06,10.540794055461884
180000,56,286.0264571015711,181.79012164543104,0.74,0.04,213.26,8.404809346199036
190000,56,318.1614222101247,164.01715029928783,0.8,0.02,210.06,10.864779734611512
200000,56,260.6533904256222,195.4297925600503,0.66,0.06,257.1,10.737747597694398
210000,56,331.2829998917191,153.5179421977859,0.84,0.04,167.06,11.0941915589571
220000,56,339.0572166610208,144.42029829538905,0.84,0.0,203.92,11.05249763727188
230000,57,321.39916187309865,159.89466251040173,0.8,0.0,201.94,10.047888057231903
240000,57,352.1834012223884,128.62717631105016,0.88,0.0,175.82,11.492873606681824
250000,57,364.282046958776,117.62910437174499,0.9,0.0,170.18,11.642139889597892
260000,56,324.8248854836031,153.01896306437473,0.82,0.02,180.16,10.079932780265809
270000,56,368.77549466740874,111.15018407199454,0.92,0.0,148.92,11.542926309108735
280000,56,333.592878953606,158.89428479508572,0.84,0.04,163.66,11.02157344341278
290000,57,338.2900232822077,141.24135130949216,0.84,0.0,181.76,11.249870476722718
300000,58,336.4583339405168,152.59616343981244,0.86,0.06,131.2,9.965047721862794
310000,59,362.17738149720566,110.66895658050427,0.92,0.0,150.32,9.885449616909026
320000,59,367.3553191312749,114.49067998008066,0.92,0.02,146.38,12.2230007147789
330000,60,355.28903404433635,119.21872183127144,0.9,0.0,142.68,10.206767632961274
340000,60,315.950270332419,164.3616020046717,0.8,0.04,180.9,10.698851003944874
350000,60,345.9634246404777,141.02621134456922,0.86,0.0,176.9,11.435203869342804
360000,61,370.84691640791556,103.05043488700744,0.94,0.02,124.62,11.155929324626923
370000,60,356.3618667079653,120.8079981866155,0.9,0.0,148.6,10.944203510284424
380000,60,366.70293798704586,99.55596963472905,0.92,0.0,136.2,11.352814493179322
390000,60,336.22452731362023,135.1471450770759,0.84,0.0,178.38,11.582994661331178
400000,60,317.53607950091754,168.76153340229814,0.82,0.08,141.76,11.294365649819374
410000,60,346.670956110391,138.31719042790453,0.88,0.02,140.16,9.966478781700134
420000,60,358.9798502024516,122.25379106361792,0.9,0.0,150.76,11.117660069465638
430000,60,361.267482234544,114.91545840598846,0.92,0.02,121.36,10.400988354682923
440000,61,362.54085470517833,116.94886382472174,0.9,0.0,161.2,12.147362833023072
450000,62,376.9525578953468,77.99341767953315,0.96,0.0,105.78,9.744195580482483
460000,62,361.6706585561877,115.68684029298012,0.92,0.02,117.76,9.754704446792603
470000,63,360.8687058346472,129.3849197784089,0.92,0.06,101.68,11.147237861305475
480000,64,370.4147365703411,104.06523200715081,0.94,0.02,116.64,10.983771452903747
490000,64,358.3179346042567,115.9398268819024,0.9,0.0,141.84,10.617341752052306
500000,65,371.9291748628742,105.4643752415666,0.94,0.02,113.9,11.407429995536804
510000,64,380.1186473540962,90.0436461156267,0.96,0.02,102.18,11.2709876537323
520000,64,351.9947322653845,132.31619057600327,0.9,0.04,120.66,10.174668278694153
530000,63,352.80177633369857,128.36602866131588,0.9,0.04,120.0,10.6772780418396
540000,63,383.272406802334,86.69726719721578,0.96,0.02,103.26,12.500002431869508
550000,63,343.7867165213899,147.22094310102963,0.88,0.06,117.94,10.919929934740066
560000,63,370.46926343297,104.73388537724169,0.94,0.02,113.06,10.899663553237914
570000,64,348.63518390014406,142.5843294599127,0.88,0.04,141.1,11.274452142715454
580000,65,378.0896764381585,84.55704481635793,0.96,0.02,111.34,11.479453773498536
590000,65,372.8052165630189,103.35709104791763,0.94,0.02,103.64,10.467077088356017
600000,66,370.96110970053616,101.41037410780456,0.94,0.02,108.02,10.775106410980225
610000,67,357.3586838145839,133.8927249258026,0.92,0.06,94.26,9.891325645446777
620000,67,396.7243520651164,16.826474907779776,1.0,0.0,86.3,10.97392939567566
630000,68,373.12989212590037,95.92081987987412,0.94,0.0,124.18,10.673403668403626
640000,68,394.54884110833393,59.00016483156484,0.98,0.0,101.1,11.909157037734985
650000,69,385.4402314357739,58.379480312419176,0.98,0.0,94.28,10.069388723373413
660000,70,378.9236095137021,91.73338776603619,0.96,0.02,98.52,10.931821072101593
670000,70,380.0508296624176,85.10776377463048,0.96,0.02,99.1,10.962202863693237
680000,71,395.43190979934764,16.495914691802422,1.0,0.0,85.54,10.690120935440063
690000,71,400.11827971331047,16.518833078328633,1.0,0.0,94.82,12.017977714538574
700000,72,371.8716706551844,108.83658990399125,0.94,0.04,97.82,10.956467561721801
710000,72,400.1502916751158,16.1112077030626,1.0,0.0,86.02,11.135737600326538
720000,73,378.00763763195863,100.84774282776948,0.96,0.04,83.82,10.731168344020844
730000,73,399.17446370665743,15.443858296592678,1.0,0.0,95.08,12.070411987304688
740000,74,392.0862561336411,53.1010708037316,0.98,0.0,104.48,12.009537305831909
750000,74,365.5811008990424,121.36040914756639,0.94,0.06,78.44,10.076376597881318
760000,75,366.46604180995087,113.4882606862134,0.94,0.04,93.26,9.941225575953721
770000,75,386.6191608277239,72.52900562646259,0.98,0.02,84.04,10.640366401672363
780000,76,396.67686099542595,17.776688882932444,1.0,0.0,89.36,11.111780939102173
790000,76,382.22882200147683,100.21145672377567,0.96,0.04,88.26,11.696663259267806
800000,77,379.6693406914208,76.94039392955234,0.96,0.0,107.58,10.457588660717011
810000,77,343.2699229341191,147.16437462932427,0.88,0.06,115.82,10.485862464904786
820000,78,373.0109854550771,100.45789444145495,0.94,0.02,106.28,10.93578784108162
830000,78,390.1751071229517,55.49187934668229,0.98,0.0,101.14,11.503202161788941
840000,79,395.7643287543222,19.59854893804726,1.0,0.0,86.24,11.2344895362854
850000,79,395.13119221221064,18.03771509235534,1.0,0.0,84.02,10.610212306976319
860000,80,391.40794463273664,15.353039772149485,1.0,0.0,78.74,9.58593689918518
870000,80,394.93892222233137,16.013856608634,1.0,0.0,81.92,10.251455307006836
880000,81,379.27207087546327,103.66632019770384,0.96,0.04,88.72,11.719360682964325
890000,81,387.38872704625595,73.28933180611996,0.98,0.02,83.94,10.833992259502411
900000,81,386.1978093085054,70.80072947757736,0.98,0.02,84.7,10.569925973415375
910000,82,385.1196346033607,72.16213555968473,0.98,0.02,82.14,10.459302310943604
920000,82,374.51929482158624,96.54547739486233,0.96,0.04,79.96,10.055156784057617
930000,83,397.8584923520811,18.195685673260627,1.0,0.0,88.92,11.51142424583435
940000,83,380.041051536068,97.39685098833874,0.96,0.04,86.28,11.481011114120484
950000,84,394.2613392993737,22.354676826801793,1.0,0.0,86.62,10.949107904434204
960000,84,379.929773881993,87.96612149509485,0.96,0.02,95.66,10.968673219680786
970000,84,390.321706078556,70.6091875888558,0.98,0.02,85.9,11.553295288085938
980000,85,398.1887982895135,17.179349599616856,1.0,0.0,89.16,11.704369459152222
990000,85,378.46512869797755,88.41110807508781,0.96,0.02,88.74,10.30875972032547
1000000,85,387.4748669575807,71.92024991186071,0.98,0.02,84.52,10.794928888082504
