episode,return,success,collision,steps,path_length
0,398.22422951832414,1,0,68,10.238628387451172
1,387.5268266024068,1,0,61,7.872790813446045
2,414.0153241716325,1,0,100,14.661834716796875
3,370.3701925314963,1,0,63,5.598483562469482
4,399.2519072005525,1,0,97,11.82827091217041
5,390.4612811598927,1,0,71,8.282562255859375
6,388.0198513818905,1,0,60,8.06678295135498
7,394.00473944004625,1,0,111,9.032928466796875
8,420.214965024963,1,0,93,13.626237869262695
9,406.11844395752996,1,0,86,11.92782974243164
10,390.2665176782757,1,0,60,6.770670413970947
11,372.6825343705714,1,0,62,7.907750129699707
12,417.27522196248174,1,0,98,13.113258361816406
13,384.52405278757215,1,0,53,6.187410354614258
14,-107.95464061945677,0,1,16,0.7776614427566528
15,426.64911718294024,1,0,122,16.979461669921875
16,391.74004653748125,1,0,65,8.55678653717041
17,380.64579574763775,1,0,50,5.643795013427734
18,415.4036305532791,1,0,336,22.229291915893555
19,410.3169717118144,1,0,87,11.712787628173828
20,375.15804885700345,1,0,52,4.804708480834961
21,424.6013778699562,1,0,116,18.136688232421875
22,388.1839032403659,1,0,94,10.259074211120605
23,378.19941905140877,1,0,59,5.464852333068848
24,389.86680449172854,1,0,59,7.960639476776123
25,382.6610324755311,1,0,64,6.645856857299805
26,391.29789390042424,1,0,70,8.587677001953125
27,387.4586610607803,1,0,79,7.931674957275391
28,383.16611132770777,1,0,100,11.100547790527344
29,387.18814659677446,1,0,74,8.974837303161621
30,386.48928230744787,1,0,95,10.632652282714844
31,383.8391090766527,1,0,88,7.023542404174805
32,398.81842872244306,1,0,108,14.518522262573242
33,-83.61632246151567,0,1,140,15.145514488220215
34,387.18299616128206,1,0,91,8.826706886291504
35,391.93838803470135,1,0,78,9.320900917053223
36,382.974510518834,1,0,123,15.081711769104004
37,388.6760603673756,1,0,59,7.531783103942871
38,420.7151350528002,1,0,106,15.561670303344727
39,376.2659169959952,1,0,99,9.749524116516113
40,384.48052861727774,1,0,173,15.986664772033691
41,383.35805916041136,1,0,61,7.407398700714111
42,371.852649684879,1,0,152,13.862545013427734
43,456.5865662544966,1,0,147,24.46976089477539
44,403.8031705887988,1,0,109,12.95014762878418
45,422.00600113056134,1,0,170,24.51799774169922
46,377.98229085467756,1,0,76,8.058137893676758
47,403.57945132418536,1,0,85,11.487667083740234
48,398.95078314095736,1,0,73,9.155648231506348
49,376.1261691059917,1,0,61,7.094106674194336
50,372.1453847438097,1,0,98,9.892111778259277
51,393.86289652250707,1,0,76,11.350631713867188
52,-9.42759245311936,0,0,600,3.0700368881225586
53,392.504300577566,1,0,105,12.927517890930176
54,367.1865233723074,1,0,57,6.219111442565918
55,-10.939320959500037,0,0,600,10.154459953308105
56,389.4840910881758,1,0,48,4.79008674621582
57,393.4539391193539,1,0,68,8.001707077026367
58,387.36574252694845,1,0,47,5.803989410400391
59,377.2817178731784,1,0,71,6.5999226570129395
60,418.3366343891248,1,0,93,14.237495422363281
61,380.96392751298845,1,0,55,6.522363185882568
62,417.6615316774696,1,0,92,14.426475524902344
63,394.14467772305943,1,0,85,10.939197540283203
64,377.50374448671937,1,0,67,5.6835737228393555
65,384.7877149935812,1,0,56,7.455449104309082
66,438.2327803634107,1,0,93,14.55772876739502
67,402.9694401603192,1,0,140,15.086410522460938
68,400.33628245582804,1,0,84,11.53620719909668
69,391.25892340764403,1,0,78,9.88890266418457
70,403.98452527821064,1,0,72,8.798786163330078
71,396.0664815455675,1,0,68,9.528806686401367
72,-5.201777207083069,0,0,600,4.5377655029296875
73,389.7736868523061,1,0,69,8.892414093017578
74,386.8142720973119,1,0,69,7.3534135818481445
75,382.9353306982666,1,0,57,7.30582857131958
76,386.0091612758115,1,0,62,7.634099960327148
77,378.5335619766265,1,0,71,7.751644611358643
78,415.0198565656319,1,0,152,20.570369720458984
79,391.6684534549713,1,0,73,9.249353408813477
80,409.63844443671405,1,0,101,13.843425750732422
81,367.7923840340227,1,0,57,5.96434211730957
82,400.6602658331394,1,0,65,8.59975528717041
83,387.9031895957887,1,0,83,8.222270965576172
84,394.1859112698585,1,0,69,8.819916725158691
85,415.1654150127433,1,0,102,15.641982078552246
86,-105.92182538285851,0,1,51,4.638381481170654
87,386.52553900005296,1,0,67,6.5876545906066895
88,405.6711952976184,1,0,78,11.763341903686523
89,402.30019626487046,1,0,90,11.92218017578125
90,377.0149217233993,1,0,173,15.641899108886719
91,412.1621415441623,1,0,155,21.041250228881836
92,399.54686507582664,1,0,79,10.572205543518066
93,375.13901890348643,1,0,53,6.288224220275879
94,411.04319489514455,1,0,86,12.729717254638672
95,397.644188368693,1,0,95,11.006270408630371
96,386.2818833012134,1,0,91,9.735637664794922
97,412.58026189915836,1,0,83,11.483689308166504
98,376.96281192824244,1,0,48,4.836607456207275
99,420.8083704262972,1,0,71,10.915234565734863
100,412.772799503291,1,0,140,15.466171264648438
101,420.6495114945574,1,0,112,18.021190643310547
102,398.43834745674394,1,0,108,12.278656959533691
103,419.40607834234834,1,0,92,14.93099594116211
104,-107.06017648009583,0,1,118,13.423627853393555
105,376.53080973098986,1,0,51,5.307025909423828
106,372.67296073772013,1,0,77,7.461169242858887
107,386.2579410900362,1,0,63,7.300708770751953
108,371.7622308190912,1,0,46,4.749981880187988
109,406.81254813447595,1,0,78,11.621211051940918
110,377.17487346043345,1,0,57,6.233538627624512
111,397.82507459819317,1,0,84,9.92203426361084
112,390.3766393210972,1,0,70,9.409479141235352
113,406.6926979571581,1,0,93,12.54568099975586
114,405.48165230546147,1,0,80,11.499786376953125
115,402.25341882091016,1,0,83,11.44001293182373
116,418.72422663867474,1,0,118,15.852640151977539
117,387.34845059365034,1,0,88,9.817832946777344
118,404.82039761915803,1,0,98,13.01671314239502
119,417.67679784446955,1,0,93,14.76000690460205
120,412.78371773520485,1,0,71,9.466197967529297
121,408.3010061495006,1,0,90,11.832079887390137
122,396.3504086995963,1,0,122,15.601973533630371
123,376.29834039509296,1,0,60,5.662003993988037
124,397.7028492707759,1,0,75,10.041979789733887
125,447.4754159216536,1,0,118,19.613723754882812
126,401.98793071648106,1,0,110,13.447247505187988
127,426.82943533733487,1,0,150,18.868200302124023
128,388.1137160483049,1,0,96,10.505647659301758
129,411.4756527701393,1,0,91,13.311944961547852
130,385.8936861269176,1,0,115,12.763571739196777
131,407.08291264856234,1,0,121,14.18815803527832
132,415.8803248722106,1,0,109,14.757461547851562
133,398.16295698913746,1,0,100,12.417413711547852
134,405.7722715931013,1,0,83,11.838536262512207
135,438.275687193498,1,0,136,22.53133773803711
136,414.0588291268796,1,0,96,14.280193328857422
137,407.5324160554446,1,0,155,18.44202423095703
138,400.38082570169354,1,0,104,12.58705997467041
139,421.0501875796108,1,0,188,18.30520248413086
140,393.7082739174366,1,0,67,9.172967910766602
141,435.89334910176694,1,0,126,19.90749168395996
142,401.0261832103133,1,0,143,16.79754638671875
143,429.0836573150009,1,0,116,17.41683006286621
144,416.8761651106179,1,0,115,16.147808074951172
145,395.8891939553432,1,0,104,12.937150955200195
146,416.6283611729741,1,0,156,18.097381591796875
147,413.3679735979531,1,0,111,16.857662200927734
148,408.31393267012754,1,0,124,14.164563179016113
149,423.9038468580693,1,0,101,16.270488739013672
150,388.8084058940585,1,0,83,9.412382125854492
151,363.0381002356298,1,0,52,5.027674674987793
152,384.79990140907466,1,0,62,7.654749393463135
153,386.69205817207694,1,0,62,7.535709857940674
154,384.27006948925555,1,0,59,7.036254405975342
155,403.15488386829384,1,0,71,11.225234985351562
156,382.3470932616474,1,0,121,13.038500785827637
157,400.14353215508163,1,0,151,17.982234954833984
158,396.5011068433523,1,0,86,7.406757354736328
159,390.9345863230992,1,0,107,10.22848129272461
160,411.70057789608836,1,0,93,12.4315185546875
161,401.9526786151109,1,0,124,10.89516830444336
162,381.77113360143267,1,0,97,10.309706687927246
163,405.6714786980301,1,0,79,11.101604461669922
164,413.2761888578534,1,0,91,11.9744234085083
165,420.4605989372358,1,0,133,19.815473556518555
166,412.6914632245898,1,0,151,20.099227905273438
167,381.09829990565777,1,0,66,8.600597381591797
168,391.90264475438744,1,0,96,11.347675323486328
169,409.62525699287653,1,0,125,16.041040420532227
170,406.0188150834292,1,0,80,12.151825904846191
171,426.4654313214123,1,0,101,17.07332992553711
172,409.1900929454714,1,0,84,13.040315628051758
173,387.7225647298619,1,0,124,14.731058120727539
174,372.83974211104214,1,0,57,4.7357025146484375
175,396.43307395017473,1,0,124,7.283921241760254
176,405.34882089169696,1,0,86,11.982942581176758
177,399.58818046562374,1,0,93,12.57044506072998
178,391.5322584011592,1,0,77,8.965606689453125
179,373.2277532755397,1,0,55,6.0672478675842285
180,403.7998086521402,1,0,101,12.396533966064453
181,378.7826607726747,1,0,62,7.202859878540039
182,393.2118505402468,1,0,79,10.29526138305664
183,395.6648730188608,1,0,91,11.256943702697754
184,395.8467413755134,1,0,77,9.574569702148438
185,3.3564514413919824,0,0,600,1.9682379961013794
186,382.98216068791226,1,0,72,8.612733840942383
187,375.8557485230267,1,0,57,4.984304904937744
188,408.5288367513567,1,0,116,16.746417999267578
189,376.37409094139,1,0,122,10.617579460144043
190,385.92606263270136,1,0,97,9.383366584777832
191,383.0622355863452,1,0,87,9.316914558410645
192,410.03141159098595,1,0,133,17.85115623474121
193,377.1007242041669,1,0,115,5.758713245391846
194,399.3165261573158,1,0,111,14.223976135253906
195,381.0197237264365,1,0,58,5.810145854949951
196,-15.381111409966252,0,0,600,2.3669018745422363
197,410.2796217389405,1,0,110,14.370562553405762
198,410.89317805692554,1,0,90,13.210947036743164
199,398.2357790849637,1,0,99,12.359967231750488
