timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,142,142.854731325723,223.4245000316122,0.44,0.3,224.56,9.892481141090393
20000,92,144.2802618401858,226.1187119576234,0.44,0.32,229.34,10.41083131790161
30000,83,146.09364827461127,205.16956542607,0.4,0.18,339.28,11.529277138710022
40000,81,161.7125995112933,215.86154423040296,0.46,0.18,303.06,10.440943239927291
50000,78,203.75906462750666,220.11332042662312,0.56,0.18,247.7,11.046176509857178
60000,76,196.03095094443074,208.45034173956856,0.52,0.14,273.94,10.437377362251281
70000,74,217.28512560170384,200.49992626438376,0.56,0.06,301.3,10.910649449825288
80000,74,210.39008597695775,214.11800805421103,0.56,0.14,273.16,10.037989282608033
90000,74,220.7902042800993,205.76676308838077,0.58,0.1,274.8,9.33588304400444
100000,74,249.33721309623644,212.8795570033552,0.66,0.16,213.6,11.031430804133414
110000,75,247.5547496746884,202.17803820485287,0.64,0.1,246.44,10.792216361165046
120000,73,262.79123202214976,181.65591332678042,0.66,0.02,279.58,10.69720398902893
130000,74,241.92927006016245,208.98151339127952,0.64,0.12,238.52,10.086256053447723
140000,74,233.04496365901642,214.49417253746705,0.62,0.14,222.64,9.118826003670693
150000,74,244.66849268845203,200.90997264162036,0.62,0.08,262.1,10.870883952379227
160000,74,232.7463835058648,200.1843658183865,0.6,0.08,278.58,10.345489308834075
170000,74,306.3319707839065,172.210074250482,0.78,0.04,207.64,10.908820641040801
180000,74,236.2303768195669,206.4014736882462,0.62,0.1,250.22,10.677921925783158
190000,74,288.7690383710122,177.67846267189228,0.74,0.04,224.14,9.92571555674076
200000,74,316.5336489542195,155.7241684688397,0.8,0.02,200.5,10.572633719444275
210000,74,255.01399958398898,201.9621660900572,0.68,0.1,217.36,8.669910333156587
220000,74,290.18710585344013,171.78692914287035,0.74,0.02,219.36,9.965090882778167
230000,74,326.9503548114735,150.11855737405455,0.82,0.0,199.78,11.156406183242797
240000,75,306.03588093467505,176.13166073939266,0.78,0.04,196.24,9.956838122606278
250000,75,242.49384911016213,191.5898738315706,0.6,0.02,295.28,9.990143847465514
260000,75,292.7032052729632,182.4997033271537,0.76,0.06,209.0,9.750965205430985
270000,75,284.4188898118211,178.98382182373737,0.72,0.02,237.6,9.939696630835533
280000,75,270.32149905446136,192.86947268241968,0.7,0.06,229.24,9.489498220682144
290000,75,263.33195869976026,190.0468964911089,0.66,0.02,273.66,9.877073075771332
300000,76,261.62125145604296,191.0691363314391,0.68,0.04,248.68,9.308785603046417
310000,76,307.09017225709266,172.86594780394427,0.78,0.04,199.04,10.239046931266785
320000,76,278.5347805073131,180.0170728040608,0.7,0.02,239.36,9.914599995613099
330000,76,277.16333309791014,190.02717054108695,0.72,0.06,225.14,8.787428832054138
340000,76,291.1821769602051,173.98648760601796,0.74,0.02,226.6,9.737282497882843
350000,76,285.07284479436225,190.95220333152577,0.74,0.1,185.76,9.85132830619812
360000,76,302.43733988474486,169.29164355513876,0.76,0.0,226.58,10.90339536190033
370000,76,248.83911181506565,206.74859340435887,0.66,0.1,228.38,9.691401693820954
380000,76,298.47784129191945,167.78869491648925,0.76,0.0,224.06,10.090745515823365
390000,76,282.79911958476026,180.81601299484245,0.72,0.02,237.8,9.563040759563446
400000,76,291.6384935395555,173.38047803353592,0.74,0.0,222.7,9.770193042755126
410000,76,295.37041869662676,175.9951036762558,0.78,0.06,177.78,9.081098546981812
420000,76,310.7032277421564,175.88529791700233,0.82,0.1,128.06,8.990364457964898
430000,76,339.1046676213613,137.87256706863977,0.86,0.0,170.9,9.866203672736884
440000,77,343.52301832529554,141.4826169464923,0.88,0.04,152.56,11.098807528018952
450000,78,328.3353786700069,150.8142727817312,0.84,0.02,159.62,9.609275312423707
460000,79,317.76106721145493,169.60688841970114,0.84,0.08,136.36,9.689629299640655
470000,80,318.0832488031683,173.8465990779511,0.84,0.1,134.18,9.958866097927093
480000,81,305.157188352232,172.46271037118152,0.78,0.06,171.18,10.093826404213905
490000,82,298.5497424525957,182.2969238077676,0.78,0.1,157.92,9.748957056999206
500000,83,339.84588327914736,147.72593579202277,0.88,0.06,123.82,10.360282390117645
510000,83,309.78067865450697,169.66334196996144,0.78,0.02,201.1,10.802453316301108
520000,84,350.2828968472429,131.6126318958859,0.9,0.04,125.62,10.167561850547791
530000,85,302.3317569861296,184.67138349328863,0.78,0.1,176.88,12.15101719558239
540000,86,364.57613727870745,105.94128169474172,0.92,0.0,136.72,10.684143087863923
550000,87,350.7450423183701,133.01854400989018,0.9,0.04,130.1,10.695930271148681
560000,88,307.64451739501817,171.6157378454839,0.8,0.06,158.28,8.705582959651947
570000,88,314.0625933048766,165.72280487654848,0.8,0.02,190.04,10.64219257414341
580000,89,318.11199235455405,164.21506910270125,0.82,0.04,165.22,9.74801821231842
590000,90,348.4443447785327,139.50193674098935,0.88,0.02,150.92,11.008028477430344
600000,91,338.29131185558043,156.09470041172992,0.86,0.06,142.48,11.519106693267823
610000,91,361.89039674999435,114.28464137660241,0.92,0.02,121.64,10.690912075042725
620000,92,345.38591843836815,142.700790101668,0.88,0.04,147.56,11.126827495098114
630000,93,352.0844221558491,139.9152893280475,0.9,0.06,110.48,11.035632438659668
640000,94,379.5565834517175,91.85935883707441,0.96,0.02,107.02,11.733273892402648
650000,94,363.76220853904687,112.35947562119043,0.92,0.02,125.32,11.36255262568593
660000,95,341.1665807260087,140.28000911425468,0.86,0.0,178.04,10.966268553733826
670000,96,365.56981572553167,113.85222499188772,0.92,0.02,133.18,12.390571451187133
680000,96,336.4698166748236,147.69458183334433,0.86,0.04,148.74,11.08184159040451
690000,97,305.21441663813147,168.9841866277793,0.78,0.06,172.26,10.494291634559632
700000,98,332.456352209195,150.30432254731696,0.84,0.04,154.24,11.013406567573547
710000,98,347.4886934656637,140.26203214196198,0.88,0.04,141.2,11.266251091957093
720000,99,340.90456972632614,147.48781901160814,0.86,0.04,151.42,11.55094620704651
730000,100,339.8417764718358,137.44086584296895,0.86,0.02,158.58,11.002443475723267
740000,100,352.02997323935017,131.23786061739966,0.9,0.04,133.44,11.679905281066894
750000,101,325.49988953275073,161.88621090113008,0.84,0.06,143.92,10.046474177837371
760000,101,361.0477850183807,109.81441051854993,0.92,0.0,133.54,10.103056001663209
770000,102,332.2434300860197,154.32267564419908,0.86,0.08,123.22,10.335154271125793
780000,102,356.58258437926,127.88394600705898,0.9,0.02,142.54,12.1938445520401
790000,103,359.440402833197,124.77509409991791,0.92,0.04,116.66,10.840424461364746
800000,104,360.0190020601722,114.09688785677078,0.92,0.02,124.9,10.523023347854615
810000,104,369.07661872841214,90.59045657991072,0.94,0.0,122.28,10.166262102127074
820000,105,337.93869835149366,146.9631698089291,0.86,0.04,146.72,10.952267770767213
830000,105,347.9966178532736,131.8968950578894,0.88,0.02,149.7,11.422620061933994
840000,106,357.93534579577545,122.78302590569645,0.9,0.02,138.7,11.694701418876647
850000,106,372.4114551740658,95.75307215220177,0.94,0.0,133.06,10.73001276254654
860000,107,366.5285845976394,110.99725178801351,0.94,0.04,97.82,10.387238857746125
870000,107,342.9181290449023,144.4412672327898,0.88,0.06,121.06,10.899860169887543
880000,108,368.08991473666583,110.65734805330187,0.92,0.02,131.04,12.611313297748566
890000,108,348.37889603022285,132.74211762216518,0.88,0.02,146.56,11.007079815864563
900000,109,363.38091099358,113.36724331020437,0.94,0.04,101.0,9.735718083381652
910000,109,361.8809103972786,125.15323216056638,0.92,0.04,117.54,11.152985820770263
920000,110,359.0397893652236,123.6226872855045,0.92,0.04,114.54,10.960132265090943
930000,110,384.8969082884185,72.15706806169078,0.98,0.02,94.04,11.347138166427612
940000,111,324.52812047492614,159.82177956546045,0.84,0.06,136.54,9.930363280773163
950000,111,347.24529229518595,141.72402082979667,0.88,0.04,135.78,11.681984486579895
960000,112,358.35587308055005,124.21066862929256,0.92,0.04,111.38,10.38129545211792
970000,112,351.1455487275141,141.6055700943036,0.9,0.06,111.64,11.15318904519081
980000,112,370.80126214942646,95.45671360056828,0.94,0.0,127.36,10.618523197174072
990000,113,380.2055463516172,80.14863414532259,0.96,0.0,112.04,10.624871633052827
1000000,113,370.60752292518504,114.97042855661331,0.94,0.04,104.9,11.328653626441955
1010000,114,378.16692250840816,84.17516633345203,0.96,0.02,106.22,10.762456798553467
1020000,114,398.64419336999066,17.631170311762684,1.0,0.0,95.38,11.726445579528809
1030000,115,373.7388662905822,93.83884768204703,0.94,0.0,123.0,11.151942644119263
1040000,115,378.2957938877464,86.93719489161585,0.96,0.02,99.6,11.142766716480255
1050000,115,378.44703858132533,88.4283094631055,0.96,0.02,101.94,10.991795897483826
1060000,116,387.5603490843196,73.19923805253678,0.98,0.02,95.76,11.493052773475647
1070000,116,375.6601495139161,114.75713398228288,0.94,0.04,109.32,12.27741478919983
1080000,117,357.04034454512407,139.32896074507659,0.92,0.08,92.64,11.247314422130584
1090000,117,376.122356674032,103.58353921275977,0.94,0.02,122.18,12.762351360321045
1100000,117,396.4267042767286,16.793675738612748,1.0,0.0,93.42,11.655573101043702
1110000,118,375.913262311719,101.97324734859093,0.96,0.04,90.22,10.828394465446472
1120000,118,367.4029760615251,107.51345931673586,0.94,0.04,96.68,10.333311700820923
1130000,118,377.59430551245373,98.8678274943667,0.96,0.04,97.0,11.359428081512451
1140000,119,384.68805672372224,56.889646348198475,0.98,0.0,98.14,10.359639339447021
1150000,119,371.0272214061796,102.37546995725997,0.94,0.02,109.56,10.732744722366332
1160000,120,392.6875849637942,17.384087428557244,1.0,0.0,93.3,11.160130786895753
1170000,120,375.67511856926694,89.35605581580747,0.96,0.02,101.56,10.903194999694824
1180000,120,364.4796474281652,120.9426699041351,0.92,0.04,119.9,12.292292528152466
1190000,121,367.65526819249106,115.17394882052547,0.94,0.06,88.76,11.162088105678558
1200000,121,353.728722627291,135.687147325827,0.92,0.08,81.36,9.919988932609558
1210000,121,356.47963635801455,131.43963154928096,0.9,0.04,125.44,11.628539786338806
1220000,122,360.73595978698245,118.60191703360724,0.92,0.04,105.94,10.784773908257485
1230000,122,381.8711563959504,84.88196098684156,0.96,0.02,103.32,11.796711139678955
1240000,122,387.74391908994295,71.84980181246449,0.98,0.02,93.2,11.339035453796386
1250000,123,383.02482818338206,73.14350348790084,0.98,0.02,91.48,10.633067922592163
1260000,123,372.12952745433023,107.00115516613376,0.94,0.02,112.58,11.151896171569824
1270000,123,375.60201093774515,85.43172953007435,0.96,0.02,92.04,9.899547824859619
1280000,124,376.2269140583675,91.87934829881615,0.96,0.02,100.8,10.607509806156159
1290000,124,378.34889475309524,99.8380738618902,0.96,0.04,91.64,11.340179042816162
1300000,124,377.81310795993863,84.90898437249835,0.96,0.02,97.24,11.137191944122314
1310000,124,381.89958339737876,91.22947572445386,0.96,0.02,103.12,11.785491380691528
1320000,125,376.3041397812075,102.38586464747567,0.96,0.04,86.46,10.55367919921875
1330000,125,346.886535033642,137.89808623419805,0.88,0.04,140.54,11.781766796112061
1340000,125,379.26041269012103,92.70601344002334,0.96,0.02,94.58,10.802567210197449
1350000,126,353.21084878459294,125.29963051152882,0.9,0.04,115.68,10.631494810581207
1360000,126,365.2653056740931,121.80698006717229,0.94,0.06,92.44,11.452712426185608
1370000,126,373.98043920492717,100.73546970263816,0.96,0.04,86.5,10.185450768470764
1380000,127,377.8543796510507,99.24291397894281,0.96,0.04,87.14,10.86324397802353
1390000,127,345.65871970015473,145.59119837053643,0.9,0.08,93.0,9.726166644692421
1400000,127,337.7990551968146,166.66193689524374,0.86,0.1,113.76,11.904836865291
1410000,127,375.5108520364517,99.97120872858464,0.96,0.04,88.76,10.909805731773377
1420000,128,369.6032425468668,111.66580855013905,0.94,0.04,96.6,10.678128314018249
1430000,128,384.8618969517822,81.00695729320259,0.96,0.0,117.68,11.920447719097137
1440000,128,354.57308572878026,129.83358148667165,0.9,0.04,118.2,10.899211583137513
1450000,128,384.2595654245082,68.36366178284187,0.98,0.02,92.18,11.257274169921875
1460000,129,389.3895482115121,72.73326687317761,0.98,0.02,92.72,12.03594217300415
1470000,129,366.1571828250204,101.9800685261527,0.92,0.0,129.74,11.429663594961166
1480000,129,368.4048351534922,110.34984777425927,0.94,0.04,99.54,11.032923385500908
1490000,129,370.40742828119454,109.8169679995366,0.94,0.04,103.96,12.069726209640503
1500000,130,365.0832703601898,118.98822796900951,0.94,0.06,83.98,10.449744168817997
