episode,return,success,collision,steps,path_length
0,398.23766757920384,1,0,69,10.21835994720459
1,387.78408167976886,1,0,59,7.837063312530518
2,415.56097282096744,1,0,99,14.904452323913574
3,368.92876789416187,1,0,55,5.4873270988464355
4,397.17320044804364,1,0,88,11.099800109863281
5,390.87861808389425,1,0,67,8.37045669555664
6,387.53145550377667,1,0,61,7.899094104766846
7,396.2529227854684,1,0,110,11.123971939086914
8,422.009738329798,1,0,101,14.203292846679688
9,405.85217979270965,1,0,84,11.714279174804688
10,386.5823646248318,1,0,57,6.540425777435303
11,-96.52976279053837,0,1,51,6.3182854652404785
12,418.3471981678158,1,0,98,12.082280158996582
13,384.8202383816242,1,0,52,6.270088195800781
14,400.31685309440945,1,0,187,16.844894409179688
15,424.25356687256135,1,0,161,18.937854766845703
16,392.3963252659887,1,0,65,8.63072681427002
17,375.6365258694859,1,0,48,5.573268890380859
18,420.0791934141889,1,0,120,18.56556510925293
19,409.57026655972004,1,0,84,11.915514945983887
20,374.82188165187836,1,0,44,4.765500545501709
21,425.47246198519133,1,0,114,18.566267013549805
22,388.95588122401386,1,0,81,9.324599266052246
23,376.2436100980267,1,0,51,5.367552757263184
24,389.7313194088638,1,0,56,7.803156852722168
25,382.6242208760232,1,0,50,6.761066436767578
26,391.08521328121424,1,0,65,8.482905387878418
27,386.84525529667735,1,0,56,7.72695255279541
28,381.42666096426547,1,0,94,10.132318496704102
29,385.8359028296545,1,0,77,8.478297233581543
30,385.10076454805676,1,0,88,9.637713432312012
31,383.7219932153821,1,0,55,7.09193229675293
32,396.7906359322369,1,0,90,11.68423080444336
33,389.96025198721327,1,0,98,12.395496368408203
34,385.76134161138907,1,0,79,8.484192848205566
35,385.6054638418718,1,0,71,9.398520469665527
36,389.1469251215458,1,0,99,13.107972145080566
37,388.81244772300124,1,0,60,7.607902526855469
38,-64.74343796400353,0,1,130,18.643911361694336
39,378.28986736782826,1,0,73,8.396612167358398
40,382.2953687058762,1,0,79,9.427705764770508
41,384.3910741247237,1,0,62,7.560645580291748
42,373.0499490813527,1,0,117,11.126188278198242
43,457.00027392432094,1,0,171,22.800310134887695
44,404.7749358974397,1,0,98,13.622692108154297
45,418.87877489998937,1,0,124,16.22357940673828
46,366.4312416105531,1,0,64,8.03831672668457
47,403.84606301551685,1,0,83,11.06298828125
48,398.5475823804736,1,0,67,9.344745635986328
49,378.4183465857059,1,0,60,7.283109664916992
50,362.02899917482864,1,0,90,8.576597213745117
51,397.5686957668513,1,0,102,11.803736686706543
52,394.70783078926615,1,0,76,10.322640419006348
53,390.5642854645994,1,0,106,12.251343727111816
54,367.82293545175344,1,0,62,6.250887870788574
55,424.7723042536527,1,0,165,26.173721313476562
56,389.47973838448524,1,0,57,5.065848350524902
57,393.043375140056,1,0,64,7.7294769287109375
58,386.61313999444246,1,0,49,5.7350993156433105
59,376.4448228571564,1,0,70,6.383887767791748
60,419.05462791305035,1,0,96,13.985280990600586
61,380.56640473753214,1,0,52,6.428358554840088
62,415.2906076069921,1,0,88,13.530365943908691
63,384.9246891345829,1,0,78,10.915504455566406
64,376.7577112521976,1,0,61,6.363475322723389
65,385.308250753209,1,0,62,7.2769455909729
66,438.8374990224838,1,0,92,14.481682777404785
67,395.8022478399798,1,0,108,12.991997718811035
68,396.1397460415028,1,0,79,11.128812789916992
69,393.6397210159339,1,0,79,11.236462593078613
