timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,306,148.41747571706196,220.18292203412696,0.44,0.28,240.42,11.53693099975586
20000,215,132.03798355729552,222.4148364949821,0.4,0.3,255.18,12.940348186492919
30000,197,186.7871571579235,210.3192915501312,0.5,0.16,272.22,11.77672424197197
40000,185,256.78402760697276,204.1864963934242,0.68,0.14,204.5,10.341128942966462
50000,142,225.70006793174045,201.49256413220317,0.58,0.1,276.28,11.265251331329345
60000,125,245.98371452293821,200.31012621755417,0.64,0.1,234.04,10.516144624352455
70000,113,224.07590142769277,221.4250090492816,0.62,0.18,205.02,9.917749435901642
80000,115,202.78575252636452,209.37989332057427,0.54,0.1,279.92,10.035922565460204
90000,116,218.74800792781184,209.29938414583748,0.58,0.1,261.48,9.71755248144269
100000,112,271.7929365026747,196.81304819392065,0.7,0.1,215.56,11.419014746546745
110000,107,315.2167046587008,165.04688251182813,0.8,0.02,214.32,11.047319614887238
120000,104,309.81355475528244,170.65872621734715,0.8,0.06,170.22,10.321439905166626
130000,102,307.04414969739815,177.54017765791184,0.8,0.08,166.48,9.740727677345276
140000,101,258.51320916336584,202.16495235333107,0.66,0.1,226.2,10.450778827667236
150000,101,325.5760453769359,158.72008087835675,0.82,0.04,188.82,11.227098531723023
160000,98,252.44462478379725,207.0188206605843,0.68,0.12,215.56,9.115993540287018
170000,95,239.07856551726448,211.72478449163876,0.64,0.16,213.46,10.831466449126602
180000,93,255.4962404330718,195.11107685572105,0.64,0.04,283.68,12.518112411499024
190000,93,288.41767733133844,180.1167795147122,0.74,0.06,196.1,9.968280837535858
200000,95,339.0453671159288,135.60575846672273,0.86,0.02,181.86,11.493099374771118
210000,97,204.91203028240972,207.06271781422,0.54,0.1,301.58,9.47083478808403
220000,99,245.64971697056208,189.71200337892964,0.62,0.02,283.1,9.00457848072052
230000,101,308.50320341387976,177.33121366239303,0.8,0.08,167.9,11.059611086249351
240000,102,308.315125621042,172.70112535468172,0.78,0.06,193.66,10.996656045913696
