episode,return,success,collision,steps,path_length
0,397.16678010486066,1,0,73,10.107871055603027
1,387.5260363230482,1,0,70,7.844944000244141
2,410.6013684384525,1,0,126,15.975273132324219
3,375.1913156788796,1,0,64,5.560846328735352
4,397.81059904256836,1,0,102,12.641031265258789
5,390.83748813532293,1,0,72,8.469924926757812
6,388.0630351100117,1,0,60,8.082385063171387
7,394.9124149903655,1,0,95,9.01822280883789
8,416.84594284323975,1,0,146,17.186935424804688
9,404.19287738762796,1,0,82,11.572554588317871
10,392.43623588606715,1,0,79,7.2478718757629395
11,368.62192221172154,1,0,80,7.928661823272705
12,416.26295838085935,1,0,107,13.21560287475586
13,385.17784164845943,1,0,55,6.2347307205200195
14,-108.00780772417784,0,1,15,0.6846827864646912
15,425.79328802553937,1,0,131,18.291851043701172
16,392.2778233429417,1,0,66,8.59945011138916
17,381.43127314187586,1,0,57,5.715616226196289
18,-10.44963521819227,0,0,600,4.883747100830078
19,409.74890049826354,1,0,82,11.693326950073242
20,374.7944225333631,1,0,53,4.74760627746582
21,-0.39521553357189987,0,0,600,3.0873799324035645
22,392.0044326838106,1,0,103,10.58517837524414
23,377.7123928787187,1,0,58,5.448024272918701
24,389.3266833052039,1,0,59,7.806794166564941
25,382.75766897946596,1,0,57,6.718728542327881
26,391.3540341826156,1,0,68,8.520512580871582
27,387.0849749445915,1,0,63,7.7223711013793945
28,383.73793683201075,1,0,110,12.262972831726074
29,389.0607686326839,1,0,77,8.592852592468262
30,386.7139685533475,1,0,121,13.383145332336426
31,383.8621302191168,1,0,61,7.000481128692627
32,393.9781474680931,1,0,119,14.272624015808105
33,-103.69999710097909,0,1,55,5.095544338226318
34,387.71713977493346,1,0,86,8.933393478393555
35,390.78376709483564,1,0,93,9.432328224182129
36,389.07873458298855,1,0,105,12.385780334472656
37,389.40967195108533,1,0,61,7.571028709411621
38,425.575696606189,1,0,138,19.147125244140625
39,378.61796656716615,1,0,92,8.900948524475098
40,381.5887277983129,1,0,99,10.097277641296387
41,384.45291447266936,1,0,60,7.499980449676514
42,376.60567765060114,1,0,133,12.059664726257324
43,455.8272193297744,1,0,149,24.981136322021484
44,405.95276555698365,1,0,96,13.083356857299805
