episode,return,success,collision,steps,path_length
0,397.4722401779145,1,0,88,10.262859344482422
1,387.3749265158549,1,0,60,7.668676376342773
2,402.4289105460575,1,0,99,14.222298622131348
3,371.7642274843529,1,0,62,5.2799482345581055
4,396.33639775408665,1,0,85,11.158537864685059
5,390.524132668972,1,0,63,8.40077018737793
6,387.3502656556666,1,0,60,8.04415512084961
7,395.8336578514427,1,0,97,10.183005332946777
8,421.4847339587286,1,0,89,13.31357192993164
9,406.9789866185747,1,0,83,11.708569526672363
10,387.4233355531469,1,0,60,6.6426262855529785
11,364.45317521039397,1,0,58,7.633589744567871
12,415.1078641754575,1,0,147,15.11134147644043
13,385.1074254065752,1,0,54,6.251248836517334
14,406.6859740787186,1,0,95,10.59830379486084
15,427.00709370337427,1,0,120,18.09488296508789
16,392.0812364509329,1,0,67,8.587797164916992
17,377.77142187952995,1,0,47,5.45772647857666
18,417.5661031687632,1,0,191,23.206100463867188
19,410.1440687892027,1,0,80,11.687328338623047
20,374.1318287923932,1,0,50,4.840406894683838
21,424.4066922417842,1,0,108,17.569549560546875
22,390.3954509533942,1,0,91,10.828871726989746
23,377.9550166763365,1,0,59,5.847177028656006
24,389.3081601522863,1,0,55,7.728954792022705
25,382.4692301508039,1,0,54,6.775134086608887
26,391.1864339392632,1,0,72,8.439640998840332
27,386.64468845073134,1,0,58,7.635419845581055
28,380.92536166521313,1,0,103,10.135275840759277
29,385.5044087409042,1,0,70,8.421477317810059
30,382.80429269827437,1,0,89,9.885300636291504
31,383.86209982074797,1,0,61,6.960136890411377
32,397.61809459887445,1,0,104,13.43167495727539
33,-83.13232814706862,0,1,138,15.245668411254883
34,385.40001899935305,1,0,90,8.535317420959473
35,390.2245090659708,1,0,81,9.9756441116333
36,390.5258951021824,1,0,111,13.814053535461426
37,388.3962400390301,1,0,60,7.468745708465576
38,426.61717549478635,1,0,112,16.116559982299805
39,373.58303077332675,1,0,83,7.970327377319336
40,377.0312405610457,1,0,119,12.16493034362793
41,384.4256238490343,1,0,64,7.401763439178467
42,370.5488815139979,1,0,86,8.882306098937988
43,456.7551067164168,1,0,174,24.064281463623047
44,406.8236507931724,1,0,106,12.705240249633789
45,413.8085306547582,1,0,120,15.161117553710938
46,376.4120656012092,1,0,73,7.603874206542969
47,404.2369601354003,1,0,79,11.086654663085938
48,397.84930063039064,1,0,67,9.094606399536133
49,382.20515451114625,1,0,57,7.171358108520508
50,370.28090070653707,1,0,100,9.382231712341309
51,396.524299770128,1,0,82,11.237348556518555
52,395.93020233977586,1,0,83,10.394482612609863
53,395.41467765462585,1,0,108,13.725563049316406
54,370.5575437108055,1,0,59,6.426248073577881
55,420.524033776368,1,0,172,19.604267120361328
56,389.863294377923,1,0,60,4.704610824584961
57,-112.31433010101318,0,1,17,0.9419876337051392
58,384.8337276056409,1,0,46,5.78847599029541
59,-115.28804236650467,0,1,21,1.3290700912475586
60,418.3825905546546,1,0,90,14.054502487182617
61,380.69917202554643,1,0,56,6.510621070861816
62,417.39557968080044,1,0,97,15.040802001953125
63,393.5185241131985,1,0,92,11.110261917114258
64,377.4827257655561,1,0,62,5.659933567047119
65,384.7958775013685,1,0,58,7.3580498695373535
66,437.21029743924737,1,0,88,14.293805122375488
67,-83.01325870677829,0,1,88,12.103285789489746
68,396.8432326456532,1,0,82,11.09160041809082
69,394.4906998760998,1,0,83,10.467918395996094
70,404.1089612171054,1,0,67,9.144951820373535
71,395.3854638375342,1,0,71,9.735989570617676
72,416.7087847813964,1,0,108,15.523207664489746
73,388.5369331743568,1,0,68,8.746577262878418
74,386.7660138346255,1,0,60,6.780145645141602
75,377.34857596829534,1,0,55,7.3016886711120605
76,386.3557830322534,1,0,60,7.547889709472656
77,373.75021746754646,1,0,64,7.641256809234619
78,404.6209498604294,1,0,148,15.155351638793945
79,388.0986509080976,1,0,74,8.800348281860352
80,406.4676492540166,1,0,114,13.94726276397705
81,362.93327684886754,1,0,50,5.474514007568359
82,400.9591019228101,1,0,65,8.680591583251953
83,387.3068590089679,1,0,74,8.112850189208984
84,393.73618785012513,1,0,70,8.808725357055664
85,419.12016998638865,1,0,113,16.6693115234375
86,-98.70531088905409,0,1,54,6.194651126861572
87,388.71579306945205,1,0,61,6.405330657958984
88,406.7001004201011,1,0,82,11.903586387634277
89,402.69772155582905,1,0,99,12.867698669433594
90,374.41458837268874,1,0,150,12.039796829223633
91,-116.8282814398408,0,1,21,1.0961272716522217
92,399.69018616341054,1,0,73,10.32129192352295
93,376.3191091194749,1,0,54,6.370352745056152
94,411.5802536867559,1,0,86,12.739400863647461
95,397.6774320118129,1,0,96,10.234439849853516
96,384.32902927557006,1,0,108,10.331178665161133
97,409.1029491513036,1,0,120,13.803508758544922
98,377.6056957170367,1,0,72,4.538467884063721
99,420.3312084823847,1,0,73,10.943087577819824
100,409.2404954074882,1,0,98,13.387540817260742
101,420.4245680558961,1,0,128,18.38265037536621
102,398.21116937184706,1,0,86,9.383005142211914
103,419.691813794896,1,0,90,14.840387344360352
104,362.766070654965,1,0,138,13.300226211547852
105,377.0140210869722,1,0,67,5.3776164054870605
106,372.40354676474817,1,0,59,7.120302200317383
107,389.25222404301167,1,0,58,7.2965850830078125
108,371.85930181108415,1,0,48,4.722013473510742
109,403.38295755535364,1,0,80,11.606215476989746
110,372.87796236760914,1,0,53,5.817639350891113
111,397.6039147283882,1,0,80,10.098470687866211
112,386.3209528196603,1,0,72,9.304283142089844
113,406.61135122110136,1,0,88,12.21101188659668
114,402.8187284562737,1,0,79,11.393900871276855
115,398.7663830211386,1,0,83,10.922370910644531
116,416.0610898900777,1,0,105,15.340583801269531
117,387.3279520571232,1,0,82,9.533434867858887
118,409.4125969768502,1,0,105,13.71882152557373
119,418.0351052787155,1,0,96,15.17284107208252
120,412.35369961720426,1,0,71,9.631633758544922
121,408.3432862907648,1,0,82,11.831531524658203
122,397.91697961837053,1,0,115,13.448346138000488
123,376.5391383357346,1,0,49,5.416865348815918
124,396.59493466932327,1,0,75,9.984500885009766
125,446.70313315466046,1,0,113,18.4515438079834
126,401.8253345359117,1,0,98,13.610905647277832
127,424.2884939033538,1,0,125,18.18317985534668
128,388.70140299294144,1,0,86,8.519067764282227
129,413.7796160373837,1,0,88,13.313175201416016
130,381.0979485157877,1,0,104,11.035393714904785
131,404.7681393690873,1,0,143,14.140813827514648
132,413.20181556232274,1,0,100,14.341389656066895
