timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,303,138.77346902253214,199.6342884336142,0.38,0.3,257.4,9.557008233070373
20000,217,139.23851223100232,205.41244094135678,0.38,0.34,253.4,11.018641664981843
30000,202,219.79295904723543,199.19385503043995,0.56,0.18,249.66,11.723462004363537
40000,196,248.2103373522182,195.85060930496203,0.64,0.16,220.04,10.528519287109376
50000,191,197.23002236787318,202.93601929820883,0.5,0.14,287.86,11.198155031204223
60000,189,240.70700515769758,195.06205889488584,0.62,0.16,233.68,11.358430352210998
70000,186,214.4422726491206,201.12870186886272,0.56,0.1,288.14,10.257481776475906
80000,184,212.81015089564715,201.09902951434802,0.54,0.08,312.14,10.680816044807434
90000,183,255.0165870704539,186.752465256972,0.64,0.04,294.0,11.147617158889771
100000,183,204.587178925185,206.5536716053598,0.52,0.14,289.06,10.54109126329422
110000,182,244.9252804267904,199.6557213486626,0.64,0.12,228.3,9.909069330692292
120000,182,260.1840636485882,193.84653914090916,0.68,0.1,223.18,9.342326979637146
130000,182,277.23166603331424,187.40455068989965,0.72,0.1,209.88,8.91378080368042
140000,182,279.0151598800182,193.53307665200143,0.72,0.14,191.0,10.259851593971252
150000,182,246.190088657631,206.74865090234175,0.64,0.16,212.0,9.261951169967652
160000,181,235.4138876547139,201.01203700228925,0.62,0.14,230.72,9.325000954270363
170000,181,298.8870924302716,174.6729746107322,0.76,0.08,191.68,10.44574989080429
180000,181,231.92108650432098,205.87955309114417,0.6,0.12,246.1,10.28240338265896
190000,181,267.66094471877665,185.46273986877387,0.68,0.06,226.52,8.880825555324554
200000,181,297.4704768954935,168.35603454861484,0.76,0.04,207.16,9.677462110519409
210000,181,262.726417754817,196.0113483905548,0.68,0.1,226.26,9.96839199066162
220000,181,293.4552552198946,179.6987098467627,0.76,0.12,161.44,9.829581634998322
230000,181,301.0159043304857,178.3469500553274,0.78,0.1,170.6,9.94160342991352
240000,181,287.70727961191244,188.94512981651377,0.74,0.12,183.22,10.602174137234687
250000,181,268.67044975481434,192.89342166224105,0.7,0.12,202.54,9.435526478290559
260000,181,233.4860635656067,204.52714149872168,0.62,0.2,187.94,8.605753268003463
270000,181,287.6404955696409,182.8128662747052,0.74,0.06,197.1,9.227298693656921
280000,181,282.2594416183901,185.3228183497242,0.72,0.04,216.84,9.606337387561798
290000,181,288.42245776073526,184.1614242952337,0.74,0.08,209.88,10.172891702651977
300000,181,268.81422705324326,192.02201472600336,0.7,0.1,205.6,9.20890750169754
310000,181,272.13838909880826,191.09189929418653,0.7,0.1,195.36,9.566095786094666
320000,181,261.03201347398624,195.30595395834666,0.68,0.14,196.36,9.145930730104446
330000,181,276.1850531322742,193.85235108286375,0.72,0.14,171.06,8.827035790085793
340000,181,311.64948461985085,167.3162583225581,0.8,0.08,166.12,9.906005796194076
350000,181,294.4158064092988,174.60847235503672,0.74,0.04,221.12,10.644175417423249
360000,181,300.2362993184219,172.2605430286888,0.76,0.0,229.8,9.376512036919594
370000,181,294.9245151188297,178.35787916622138,0.74,0.06,213.38,10.645314552783965
380000,181,286.15602430418886,180.51107449986986,0.74,0.08,176.8,8.29854252398014
390000,181,260.4811193600807,195.55668496520937,0.68,0.12,194.5,8.473641967773437
400000,181,287.9442991515749,181.99811294539842,0.74,0.08,178.1,9.17167977809906
410000,181,322.40133218321125,150.84147500833652,0.82,0.02,185.76,10.296786260604858
420000,181,318.6075376832018,165.71368194544635,0.82,0.08,141.88,9.20803711295128
430000,181,319.59163940745947,161.62462567849607,0.82,0.04,160.74,8.557501585483552
440000,181,276.85369454378207,187.75253336268372,0.7,0.08,210.9,9.800757415294648
450000,181,316.0068552150268,164.51745834109005,0.8,0.06,166.92,10.379534940719605
460000,181,258.8104912924892,201.57414381778037,0.7,0.24,113.42,8.035567491054534
470000,181,284.60665518722703,189.63092351625778,0.74,0.2,125.58,9.97588150024414
480000,181,332.5647056337826,145.48769467314193,0.84,0.02,169.48,10.606627719402313
490000,181,298.9475914114316,170.431224371198,0.76,0.04,195.66,10.162257821559907
500000,181,327.8719381183447,149.27738110912708,0.84,0.04,150.58,10.155458083152771
510000,181,306.9175833724687,172.80942308538798,0.78,0.06,177.68,10.354822905659676
520000,181,301.8686685374177,169.8193375922684,0.78,0.1,149.1,9.173150854706764
530000,181,280.58047062552805,188.98999453238434,0.72,0.12,173.84,10.105310517549515
540000,181,369.207272009911,103.43627925300459,0.94,0.02,121.16,10.27486906528473
550000,181,314.2195766398112,165.90146760375845,0.8,0.04,170.16,9.512823656797408
560000,181,326.89298783850893,148.59202656385153,0.84,0.06,140.2,9.321292358636857
570000,181,337.15316867571477,147.56740901454847,0.86,0.06,137.0,10.490028238296508
580000,181,312.3364337756044,171.71707202349475,0.8,0.12,137.76,10.383117499351501
590000,181,300.239238323542,174.24734278796566,0.76,0.08,174.0,11.398232531547546
600000,181,291.59018155388765,182.49165175925,0.74,0.1,179.26,10.394296686649323
610000,182,353.37828652390914,125.00797371082517,0.9,0.04,125.72,10.689265613555909
620000,182,320.5622264411734,163.07689113801294,0.82,0.08,150.46,10.88041806295514
630000,182,315.53028774371865,170.91474447519272,0.8,0.1,145.46,10.887756279706956
640000,182,341.21514520671,142.44627728542412,0.86,0.04,151.38,11.527005867958069
650000,182,353.22330839950797,130.594411991278,0.9,0.08,107.4,11.036674408912658
660000,182,286.62419017695635,178.7842053649792,0.72,0.06,206.48,10.383259390592576
670000,182,349.43926144648503,132.34299911980153,0.88,0.02,148.1,11.235604197978974
680000,182,334.2202773600794,155.53406047671615,0.86,0.1,116.64,11.09349207997322
690000,182,376.7563691950492,87.5443367362815,0.96,0.04,98.02,11.258789112567902
700000,182,338.6412645323788,140.88328776011696,0.86,0.06,131.16,11.192788621783256
710000,182,370.4489069127495,103.87782645899684,0.94,0.04,103.18,11.10525590658188
720000,182,284.75635074998866,193.39185451593886,0.74,0.18,129.3,9.64069461852312
730000,182,321.4769043971229,161.62627776476216,0.82,0.06,157.2,10.774820730686187
740000,182,351.7064845782646,131.65304370569436,0.9,0.08,108.54,11.154549489021301
750000,182,351.98897241387095,132.19930271113466,0.9,0.06,111.38,10.443994366526603
760000,182,352.98285005564753,125.05883889293912,0.9,0.04,116.3,10.166451593637467
770000,182,367.87912798352625,103.8973591514477,0.94,0.04,96.46,10.213555064201355
780000,182,346.232641941708,141.62053067787255,0.88,0.08,113.1,11.406971944570541
790000,182,363.71848526366534,110.99580211230628,0.92,0.04,113.48,10.972602262496949
800000,182,358.927911762515,117.55730565645365,0.92,0.06,94.58,10.006920090913773
810000,182,341.55651192940337,136.29384639556827,0.88,0.08,104.3,9.986805372238159
820000,182,378.96857728164645,91.37831156558656,0.96,0.04,92.72,11.336401327848435
830000,182,351.7506387024831,130.5525738330592,0.9,0.1,88.88,10.698573532998562
840000,182,343.83920596192416,144.9489930462203,0.88,0.1,98.86,10.862281413078309
850000,183,359.9996098471276,126.58577015471721,0.92,0.08,89.48,10.718382258415222
860000,183,322.762385056596,162.17986207058829,0.84,0.12,101.26,9.538014113903046
870000,183,365.31946320783857,109.59348436627019,0.94,0.06,91.02,10.427347884178161
880000,183,384.6733720786284,81.18295318096914,0.96,0.02,105.5,12.500117530822754
890000,183,342.43157985454195,146.6279661980325,0.88,0.1,97.6,10.623565080165863
900000,183,374.15994705026156,90.26570722325003,0.96,0.04,82.18,9.772401036024094
910000,183,386.99676231459716,66.76521557233056,0.98,0.02,99.86,11.593785109519958
920000,183,365.451033929867,108.33960025693007,0.94,0.06,83.1,10.147020218372345
930000,183,367.00717071111546,103.52494046569649,0.94,0.04,99.32,10.68660463809967
940000,183,349.96916241230645,131.22878140466386,0.9,0.08,94.52,10.389208397865296
950000,183,342.1944288105816,148.7249174024812,0.88,0.12,85.1,10.645725420713426
960000,183,342.0889111656748,145.07890536301278,0.88,0.12,84.56,10.221155951023102
970000,183,342.071033798297,143.15335655117568,0.88,0.1,95.94,10.255000575780869
980000,183,350.2605715147658,132.4829983827983,0.9,0.08,99.16,10.375281873941422
990000,183,368.71942060434026,107.77726840082217,0.94,0.06,82.58,10.456053171157837
1000000,183,363.7911536471948,117.43382508069048,0.92,0.06,100.96,11.380415906906128
1010000,183,368.8597884700372,104.2973244343015,0.94,0.04,93.4,10.39955774307251
1020000,183,379.3156979000324,90.36711884668854,0.96,0.04,87.26,11.002571592330932
1030000,183,368.5140652491323,106.18051038845114,0.94,0.06,83.28,10.32704246044159
1040000,183,386.1565282019577,67.5967333488707,0.98,0.02,87.1,11.022311503887176
1050000,183,358.71341265743075,125.05008366222178,0.92,0.08,89.98,10.453476009368897
1060000,183,369.5760054987723,107.21710951235289,0.94,0.06,88.16,10.879328112602234
1070000,183,368.1674197655324,120.55875904231495,0.92,0.06,101.58,11.714406279623509
1080000,183,370.33406810695874,110.53704916807028,0.94,0.06,94.66,11.345941705703735
1090000,183,365.2072858368512,119.4118799152354,0.92,0.06,103.98,11.935120015144348
1100000,183,351.21888397648405,133.93069080210884,0.9,0.1,83.7,10.355484254956245
1110000,184,361.25063882978577,116.83766553039459,0.92,0.06,93.16,10.499444924592972
1120000,184,385.1046389947139,65.03948794987586,0.98,0.02,81.44,10.25726788163185
1130000,184,369.096944690221,110.05781190135457,0.94,0.06,88.18,10.852921236753463
