timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,142,142.854731325723,223.4245000316122,0.44,0.3,224.56,9.892481141090393
20000,92,144.2802618401858,226.1187119576234,0.44,0.32,229.34,10.41083131790161
30000,83,146.09364827461127,205.16956542607,0.4,0.18,339.28,11.529277138710022
40000,81,161.7125995112933,215.86154423040296,0.46,0.18,303.06,10.440943239927291
50000,78,203.75906462750666,220.11332042662312,0.56,0.18,247.7,11.046176509857178
60000,76,196.03095094443074,208.45034173956856,0.52,0.14,273.94,10.437377362251281
70000,74,217.28512560170384,200.49992626438376,0.56,0.06,301.3,10.910649449825288
80000,74,210.39008597695775,214.11800805421103,0.56,0.14,273.16,10.037989282608033
90000,74,220.7902042800993,205.76676308838077,0.58,0.1,274.8,9.33588304400444
100000,74,249.33721309623644,212.8795570033552,0.66,0.16,213.6,11.031430804133414
110000,75,247.5547496746884,202.17803820485287,0.64,0.1,246.44,10.792216361165046
120000,73,262.79123202214976,181.65591332678042,0.66,0.02,279.58,10.69720398902893
130000,74,241.92927006016245,208.98151339127952,0.64,0.12,238.52,10.086256053447723
140000,74,233.04496365901642,214.49417253746705,0.62,0.14,222.64,9.118826003670693
150000,74,244.66849268845203,200.90997264162036,0.62,0.08,262.1,10.870883952379227
160000,74,232.7463835058648,200.1843658183865,0.6,0.08,278.58,10.345489308834075
170000,74,306.3319707839065,172.210074250482,0.78,0.04,207.64,10.908820641040801
180000,74,236.2303768195669,206.4014736882462,0.62,0.1,250.22,10.677921925783158
190000,74,288.7690383710122,177.67846267189228,0.74,0.04,224.14,9.92571555674076
200000,74,316.5336489542195,155.7241684688397,0.8,0.02,200.5,10.572633719444275
210000,74,255.01399958398898,201.9621660900572,0.68,0.1,217.36,8.669910333156587
220000,74,290.18710585344013,171.78692914287035,0.74,0.02,219.36,9.965090882778167
230000,74,326.9503548114735,150.11855737405455,0.82,0.0,199.78,11.156406183242797
240000,75,306.03588093467505,176.13166073939266,0.78,0.04,196.24,9.956838122606278
250000,75,242.49384911016213,191.5898738315706,0.6,0.02,295.28,9.990143847465514
260000,75,292.7032052729632,182.4997033271537,0.76,0.06,209.0,9.750965205430985
270000,75,284.4188898118211,178.98382182373737,0.72,0.02,237.6,9.939696630835533
