timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,193,142.854731325723,223.4245000316122,0.44,0.3,224.56,9.892481141090393
20000,103,144.2802618401858,226.1187119576234,0.44,0.32,229.34,10.41083131790161
30000,89,146.09364827461127,205.16956542607,0.4,0.18,339.28,11.529277138710022
40000,83,161.7125995112933,215.86154423040296,0.46,0.18,303.06,10.440943239927291
50000,83,203.75906462750666,220.11332042662312,0.56,0.18,247.7,11.046176509857178
60000,89,196.03095094443074,208.45034173956856,0.52,0.14,273.94,10.437377362251281
70000,91,217.28512560170384,200.49992626438376,0.56,0.06,301.3,10.910649449825288
80000,95,210.39008597695775,214.11800805421103,0.56,0.14,273.16,10.037989282608033
90000,99,220.7902042800993,205.76676308838077,0.58,0.1,274.8,9.33588304400444
100000,101,249.33721309623644,212.8795570033552,0.66,0.16,213.6,11.031430804133414
110000,100,247.5547496746884,202.17803820485287,0.64,0.1,246.44,10.792216361165046
120000,101,262.79123202214976,181.65591332678042,0.66,0.02,279.58,10.69720398902893
130000,100,241.92927006016245,208.98151339127952,0.64,0.12,238.52,10.086256053447723
140000,102,233.04496365901642,214.49417253746705,0.62,0.14,222.64,9.118826003670693
150000,104,244.66849268845203,200.90997264162036,0.62,0.08,262.1,10.870883952379227
160000,105,232.7463835058648,200.1843658183865,0.6,0.08,278.58,10.345489308834075
170000,106,306.3319707839065,172.210074250482,0.78,0.04,207.64,10.908820641040801
180000,107,236.2303768195669,206.4014736882462,0.62,0.1,250.22,10.677921925783158
190000,109,288.7690383710122,177.67846267189228,0.74,0.04,224.14,9.92571555674076
200000,110,316.5336489542195,155.7241684688397,0.8,0.02,200.5,10.572633719444275
210000,110,255.01399958398898,201.9621660900572,0.68,0.1,217.36,8.669910333156587
220000,110,290.18710585344013,171.78692914287035,0.74,0.02,219.36,9.965090882778167
230000,110,326.9503548114735,150.11855737405455,0.82,0.0,199.78,11.156406183242797
240000,111,306.03588093467505,176.13166073939266,0.78,0.04,196.24,9.956838122606278
250000,111,242.49384911016213,191.5898738315706,0.6,0.02,295.28,9.990143847465514
260000,109,292.7032052729632,182.4997033271537,0.76,0.06,209.0,9.750965205430985
270000,109,284.4188898118211,178.98382182373737,0.72,0.02,237.6,9.939696630835533
280000,108,270.32149905446136,192.86947268241968,0.7,0.06,229.24,9.489498220682144
290000,109,263.33195869976026,190.0468964911089,0.66,0.02,273.66,9.877073075771332
300000,110,261.62125145604296,191.0691363314391,0.68,0.04,248.68,9.308785603046417
310000,110,307.09017225709266,172.86594780394427,0.78,0.04,199.04,10.239046931266785
320000,111,278.5347805073131,180.0170728040608,0.7,0.02,239.36,9.914599995613099
330000,110,277.16333309791014,190.02717054108695,0.72,0.06,225.14,8.787428832054138
340000,110,291.1821769602051,173.98648760601796,0.74,0.02,226.6,9.737282497882843
350000,111,285.07284479436225,190.95220333152577,0.74,0.1,185.76,9.85132830619812
360000,111,302.43733988474486,169.29164355513876,0.76,0.0,226.58,10.90339536190033
370000,109,248.83911181506565,206.74859340435887,0.66,0.1,228.38,9.691401693820954
380000,109,298.47784129191945,167.78869491648925,0.76,0.0,224.06,10.090745515823365
390000,110,282.79911958476026,180.81601299484245,0.72,0.02,237.8,9.563040759563446
400000,110,291.6384935395555,173.38047803353592,0.74,0.0,222.7,9.770193042755126
410000,110,295.37041869662676,175.9951036762558,0.78,0.06,177.78,9.081098546981812
420000,110,310.7032277421564,175.88529791700233,0.82,0.1,128.06,8.990364457964898
430000,110,339.1046676213613,137.87256706863977,0.86,0.0,170.9,9.866203672736884
440000,111,343.52301832529554,141.4826169464923,0.88,0.04,152.56,11.098807528018952
450000,111,328.3353786700069,150.8142727817312,0.84,0.02,159.62,9.609275312423707
460000,110,317.76106721145493,169.60688841970114,0.84,0.08,136.36,9.689629299640655
470000,109,318.0832488031683,173.8465990779511,0.84,0.1,134.18,9.958866097927093
480000,108,305.157188352232,172.46271037118152,0.78,0.06,171.18,10.093826404213905
490000,106,298.5497424525957,182.2969238077676,0.78,0.1,157.92,9.748957056999206
500000,105,339.84588327914736,147.72593579202277,0.88,0.06,123.82,10.360282390117645
