episode,return,success,collision,steps,path_length
0,398.49679022841156,1,0,88,10.657111167907715
1,387.2836950821802,1,0,62,8.010381698608398
2,407.3022443233058,1,0,106,14.150634765625
3,374.64477588422596,1,0,65,5.817811012268066
4,400.47957453061827,1,0,145,17.918169021606445
5,390.90220545977354,1,0,73,8.3497953414917
6,381.43158973101526,1,0,132,13.227270126342773
7,-93.21159920841455,0,1,57,4.234143257141113
8,422.94401504844427,1,0,130,14.81070613861084
9,407.69493783451617,1,0,85,11.94015121459961
10,391.00798277556896,1,0,69,6.978466033935547
11,370.44137991731986,1,0,82,8.050028800964355
12,417.3775815134868,1,0,95,12.720366477966309
13,385.0643300265074,1,0,54,6.287876605987549
14,407.6044041952118,1,0,81,9.755373001098633
15,425.69937186548486,1,0,151,19.263660430908203
16,391.0946395918727,1,0,65,8.736550331115723
17,380.8858060091734,1,0,49,5.722999572753906
18,-81.51115714479238,0,1,174,14.83263111114502
19,407.33784881047904,1,0,127,13.896865844726562
20,374.5712620653212,1,0,51,4.759052753448486
21,423.3915701354854,1,0,112,17.673608779907227
22,393.04095742397476,1,0,131,10.807867050170898
23,373.64254478365183,1,0,64,5.107056617736816
24,389.28386645391583,1,0,59,7.9650959968566895
25,382.93305671028793,1,0,70,6.702554702758789
26,389.4929637024179,1,0,68,8.487839698791504
27,387.3308884669095,1,0,74,8.126055717468262
28,381.9252360102255,1,0,123,12.987189292907715
29,389.93255087872967,1,0,95,9.901238441467285
30,386.3268193373806,1,0,102,10.672451972961426
31,384.29451774433255,1,0,73,7.0522918701171875
32,397.1965388794197,1,0,122,14.229132652282715
33,376.32149484567344,1,0,168,16.899303436279297
34,385.78365056961775,1,0,96,9.134681701660156
35,386.856586875394,1,0,90,9.272278785705566
36,386.99084893474355,1,0,119,14.284757614135742
37,388.99604127183557,1,0,60,7.668104648590088
38,423.569288155064,1,0,150,19.88149642944336
39,380.10795387846883,1,0,103,10.136070251464844
40,377.06332573896043,1,0,122,10.1474609375
41,382.8768293415196,1,0,80,7.2914910316467285
42,372.35750289959833,1,0,117,11.404437065124512
43,99.19939620335936,0,0,600,23.64698028564453
44,-11.195933603215963,0,0,600,1.5261931419372559
45,416.65557673061267,1,0,170,22.420040130615234
46,378.3013641452417,1,0,107,7.951962471008301
47,403.1392497404013,1,0,83,11.143692970275879
48,397.33776430785656,1,0,68,9.278341293334961
49,379.0141582340002,1,0,55,7.205559730529785
50,-109.97974279196933,0,1,59,4.528042793273926
51,391.84623838588595,1,0,88,11.316304206848145
52,394.1404735300457,1,0,178,13.927379608154297
53,393.9482419297565,1,0,141,13.374288558959961
54,372.7981221517548,1,0,65,6.752114772796631
55,425.4585211991216,1,0,243,25.802715301513672
56,388.5350316022523,1,0,76,5.969658851623535
57,-109.8263923637569,0,1,19,1.0508664846420288
58,387.4945714324713,1,0,67,5.911430835723877
59,376.8576356349513,1,0,79,6.381785869598389
60,419.152192318812,1,0,92,14.113018989562988
61,380.8232145495713,1,0,53,6.3702287673950195
62,415.23255022242665,1,0,101,14.692862510681152
63,401.8437903285376,1,0,131,13.158912658691406
64,377.3760935626924,1,0,57,5.6904425621032715
65,385.1088781841099,1,0,59,7.4012861251831055
66,440.6181475445628,1,0,142,21.12057113647461
67,398.43035685061477,1,0,140,13.803823471069336
68,397.6870229318738,1,0,82,11.402244567871094
69,396.0111503282096,1,0,130,11.977752685546875
70,403.6594187617302,1,0,66,9.016618728637695
71,396.21924764476717,1,0,67,9.450971603393555
72,424.43440673756413,1,0,196,23.225757598876953
73,391.80388293229043,1,0,77,9.394177436828613
74,385.8985581770539,1,0,64,7.262302398681641
75,380.7429008409381,1,0,59,7.443243503570557
76,386.6378183113411,1,0,61,7.642934799194336
77,371.53334067575634,1,0,64,7.613038063049316
78,413.908104010392,1,0,162,19.3289794921875
79,388.42280478961766,1,0,84,8.975180625915527
80,410.9361918065697,1,0,110,15.0873384475708
81,365.1512907370925,1,0,53,5.632166385650635
82,399.7956863611762,1,0,63,8.59533405303955
83,389.0075739957392,1,0,81,8.805638313293457
84,395.142198137939,1,0,67,8.734864234924316
85,417.87890073191375,1,0,125,16.452980041503906
86,392.34742225147784,1,0,91,10.126883506774902
87,388.34838758409023,1,0,58,6.528799057006836
88,407.557602126617,1,0,92,11.838568687438965
89,-116.53513540071435,0,1,57,3.029629945755005
90,-117.36934245124576,0,1,54,3.2425222396850586
91,-65.02994609823509,0,1,123,16.59698486328125
92,400.447854924947,1,0,73,10.443997383117676
93,19.679799843135697,0,0,600,9.6273832321167
94,413.5278090472566,1,0,129,14.006669998168945
95,396.38074149843305,1,0,106,11.436773300170898
96,382.35166481818305,1,0,237,11.515321731567383
97,412.8360478375107,1,0,87,11.590171813964844
98,376.588443281129,1,0,52,4.932520389556885
99,420.6675175577402,1,0,77,10.655243873596191
100,414.0200950370636,1,0,155,19.153169631958008
101,419.509148477111,1,0,130,17.656402587890625
102,387.8483778305035,1,0,226,16.06369400024414
103,418.6848739180714,1,0,90,14.447447776794434
104,366.53688819985837,1,0,197,15.499126434326172
105,376.9146560076624,1,0,54,5.208630084991455
106,373.29868190782145,1,0,68,7.664946556091309
107,389.25916194170713,1,0,65,7.4653544425964355
108,371.82072974927723,1,0,46,4.5548787117004395
109,408.5132089667022,1,0,95,12.027692794799805
110,376.4202641742304,1,0,60,6.164857387542725
111,396.63558994047344,1,0,80,9.776073455810547
112,392.1625411771238,1,0,70,9.46994400024414
113,407.12312789354473,1,0,118,13.398417472839355
114,405.42539495415986,1,0,79,11.268439292907715
115,400.22542159387376,1,0,128,14.270177841186523
116,419.8587613683194,1,0,155,17.440135955810547
117,386.64670661091805,1,0,119,9.451620101928711
118,410.1769067917485,1,0,176,19.296016693115234
119,416.5097896642983,1,0,100,14.967738151550293
120,411.2093805940822,1,0,70,9.596482276916504
121,408.8836929881945,1,0,114,11.83558464050293
122,391.55873056687415,1,0,102,13.130778312683105
123,376.5185210928321,1,0,62,5.780824661254883
124,398.32764523942024,1,0,73,10.074897766113281
125,446.1224363259971,1,0,120,18.92307472229004
126,397.88819071650505,1,0,112,12.988277435302734
127,427.0631785336882,1,0,150,18.898427963256836
128,386.8156560524367,1,0,161,17.0737361907959
129,414.08077824499924,1,0,147,15.979781150817871
130,387.77076108171605,1,0,127,12.849687576293945
131,402.1574362766696,1,0,145,15.502557754516602
132,416.23322402327904,1,0,137,17.584381103515625
133,397.8864806095371,1,0,98,12.65009880065918
134,53.35405856795387,0,0,600,12.275056838989258
135,438.3716699327342,1,0,138,22.362890243530273
136,414.4737261183909,1,0,100,14.315752029418945
137,2.348453078593593,0,0,600,14.502571105957031
138,408.32735862908885,1,0,116,13.266271591186523
139,424.33615475089755,1,0,208,22.38001251220703
140,393.96699723415077,1,0,66,9.274055480957031
141,438.9965570003551,1,0,201,22.01828956604004
142,405.0529293366708,1,0,146,14.850976943969727
143,427.76481806254014,1,0,152,20.480918884277344
144,16.639333985745907,0,0,600,6.218729496002197
145,392.52479064278305,1,0,128,14.896627426147461
146,405.9564077996183,1,0,502,19.01441764831543
147,418.9548080507666,1,0,147,21.757625579833984
148,407.3178628273308,1,0,91,13.022401809692383
149,423.37142888922244,1,0,110,16.035587310791016
150,388.70135248906445,1,0,79,9.75585651397705
151,357.2784671597765,1,0,47,5.050166130065918
152,384.3519961135462,1,0,88,8.126890182495117
153,386.75897985883057,1,0,70,7.572463512420654
154,383.63151900004596,1,0,58,7.371367454528809
155,402.7089883994777,1,0,76,10.663857460021973
156,382.759159703739,1,0,136,12.951986312866211
157,398.5765885221772,1,0,152,16.615882873535156
158,394.4911943553161,1,0,76,7.190402984619141
159,-29.70345726693631,0,0,600,5.62437629699707
160,411.4281665775925,1,0,85,12.67914867401123
161,404.3516304693185,1,0,116,12.611766815185547
162,379.45245404040907,1,0,120,10.792444229125977
163,399.7294400949031,1,0,75,11.066587448120117
164,414.1468721330166,1,0,94,12.385577201843262
165,419.5066595780663,1,0,124,19.673940658569336
166,413.67165912594646,1,0,166,19.369300842285156
167,388.57960883527994,1,0,72,9.49936294555664
168,389.14897318929434,1,0,107,11.924222946166992
