episode,return,success,collision,steps,path_length
0,-92.99628456868231,0,1,190,13.81283950805664
1,387.17873381078243,1,0,62,7.800657272338867
2,411.3611860591918,1,0,114,14.303768157958984
3,372.95618244539946,1,0,126,6.1669182777404785
4,395.6784251492936,1,0,88,10.512038230895996
5,391.0837465636432,1,0,122,8.475798606872559
6,381.8289064827841,1,0,168,10.085878372192383
7,11.342721460736357,0,0,600,11.86752986907959
8,420.27895486401394,1,0,142,14.13105297088623
9,407.4816856062971,1,0,103,11.908821105957031
10,9.874541716766544,0,0,600,2.964979648590088
11,371.77321823081,1,0,73,7.757442951202393
12,417.8591674566269,1,0,97,12.019012451171875
13,385.3440791666508,1,0,56,6.292592525482178
14,52.200389520279714,0,0,600,11.235062599182129
15,426.05494380323216,1,0,157,17.64393424987793
16,392.111017068848,1,0,69,8.718448638916016
17,378.83809518814087,1,0,54,5.486526966094971
18,-83.74171032337472,0,1,104,13.269941329956055
19,409.7003621229669,1,0,100,12.830866813659668
20,373.99486509896815,1,0,60,5.191063404083252
21,-6.092179865343496,0,0,600,0.3096543252468109
22,389.3433066699654,1,0,138,9.937660217285156
23,378.0760864689946,1,0,90,5.389688491821289
24,389.74456103146076,1,0,59,7.882400989532471
25,381.2921332195401,1,0,59,7.0596842765808105
26,390.11016121832654,1,0,103,10.317359924316406
27,387.3960271192482,1,0,83,8.385064125061035
28,377.7444750407012,1,0,248,9.884849548339844
29,388.2124640820548,1,0,95,8.683995246887207
30,384.68227383703925,1,0,86,10.112936973571777
31,384.03671937435865,1,0,75,7.27126407623291
32,395.37824467843166,1,0,109,13.085816383361816
33,377.0545213245787,1,0,224,15.125757217407227
34,385.97146647050977,1,0,144,10.694483757019043
35,392.09501005656784,1,0,107,9.593335151672363
36,-15.61436899995897,0,0,600,2.1475133895874023
37,389.4800441674888,1,0,64,7.716222763061523
38,-119.76559244468808,0,1,20,1.319717288017273
39,367.0507497349754,1,0,141,8.996078491210938
40,377.2034901101142,1,0,115,8.790525436401367
41,382.6965262051672,1,0,92,7.608752250671387
42,374.7525202850811,1,0,164,9.65041732788086
43,452.18041540309787,1,0,155,20.545717239379883
44,408.2590435529128,1,0,158,13.882950782775879
45,-21.815815967042,0,0,600,1.5339415073394775
46,380.0518843084574,1,0,75,7.9170331954956055
47,403.7424441706389,1,0,87,10.944724082946777
48,396.27880827337503,1,0,73,9.599940299987793
49,377.5625176154572,1,0,56,7.073085784912109
50,-6.968023220659234,0,0,600,2.9453601837158203
51,-8.468892798526213,0,0,600,1.1679891347885132
52,36.31484621926211,0,0,600,12.531795501708984
53,390.5246426681988,1,0,174,12.484657287597656
54,373.6622155709192,1,0,81,7.556521892547607
55,421.6474249889143,1,0,155,21.455732345581055
56,389.6402373164892,1,0,52,4.663890838623047
57,393.6659314073622,1,0,70,7.474609375
58,383.40402015531436,1,0,56,6.0499982833862305
59,21.126480195322074,0,0,600,10.009910583496094
60,418.7202101936564,1,0,96,13.972999572753906
61,380.6340282559395,1,0,58,6.8400702476501465
62,417.13473301939666,1,0,91,14.207452774047852
63,396.0943098186981,1,0,160,12.130510330200195
64,18.366702691826504,0,0,600,9.565207481384277
65,385.19949739053845,1,0,61,7.373081207275391
66,-83.44448648695834,0,1,78,5.379432201385498
67,398.3319855313748,1,0,259,19.199962615966797
68,399.79319423250854,1,0,106,11.405616760253906
69,397.05283109098673,1,0,76,10.428642272949219
70,399.39908397197723,1,0,67,9.112493515014648
71,396.3457010332495,1,0,70,9.422307968139648
72,-141.3892026282847,0,1,42,2.287975311279297
73,391.39848672039807,1,0,86,9.236420631408691
74,380.12863648310304,1,0,74,6.702307224273682
75,375.37349839124363,1,0,58,7.285004615783691
76,386.32323890551925,1,0,72,7.580465316772461
77,7.762547848862596,0,0,600,10.036391258239746
78,-10.133328069685376,0,0,600,2.2748289108276367
79,-9.221245929817087,0,0,600,1.9154106378555298
80,408.1439769389108,1,0,118,14.029472351074219
81,368.6147599830292,1,0,61,5.804994106292725
82,400.96355387568474,1,0,68,8.582708358764648
83,390.10916273575276,1,0,103,8.941961288452148
84,393.4286404689774,1,0,81,9.08950138092041
85,-5.680408671381883,0,0,600,2.046729564666748
86,-95.70447816886008,0,1,79,6.49180793762207
87,389.36043655127287,1,0,71,6.666461944580078
88,402.38257546024397,1,0,179,18.419822692871094
89,397.9751016884111,1,0,135,12.964945793151855
90,379.7627630960196,1,0,156,11.287599563598633
91,0.0014084550057305023,0,0,600,5.327884197235107
92,39.70293291751295,0,0,600,19.733638763427734
93,380.77782091870904,1,0,58,6.699747562408447
94,409.21025829110295,1,0,87,12.938156127929688
95,36.13070526170486,0,0,600,14.756501197814941
96,-100.61712381243706,0,1,47,5.284152030944824
97,54.10548003117583,0,0,600,14.84475326538086
98,377.74474396184087,1,0,62,4.884253978729248
99,420.5776109844446,1,0,72,10.937824249267578
100,405.87733602523804,1,0,184,13.770890235900879
101,-4.557645571127068,0,0,600,0.7239101529121399
102,1.6447621715487912,0,0,600,7.47935152053833
103,419.88285569055006,1,0,107,15.2183198928833
104,10.503683381939481,0,0,600,20.798673629760742
105,377.15258826175705,1,0,64,5.427550792694092
106,372.8576224995777,1,0,75,7.300001621246338
107,389.2992430254817,1,0,65,7.464953422546387
108,370.7080410589697,1,0,76,5.891995906829834
109,407.6386816781014,1,0,86,11.603410720825195
110,376.583731684892,1,0,60,6.189138889312744
111,397.28685448138276,1,0,99,10.540267944335938
112,390.50541102094576,1,0,78,9.426812171936035
113,403.8443749323487,1,0,123,13.789011001586914
114,403.5176096800715,1,0,81,11.219006538391113
115,402.37598842801526,1,0,99,11.594057083129883
116,3.628006929917319,0,0,600,1.82233726978302
117,24.117240648076404,0,0,600,9.444611549377441
118,1.4160734685065108,0,0,600,5.3456621170043945
119,417.50964998081326,1,0,93,14.705798149108887
120,405.7960991640575,1,0,78,10.23890209197998
121,406.1931547764689,1,0,99,12.010785102844238
122,-73.47430610284209,0,1,188,12.387904167175293
123,376.4534395188093,1,0,57,5.6366729736328125
124,397.7272722935304,1,0,89,10.175471305847168
125,-144.4809224192868,0,1,328,6.365703582763672
126,401.40513621864375,1,0,137,14.091114044189453
127,420.71745989471674,1,0,204,19.852657318115234
128,387.7847010730766,1,0,239,13.892412185668945
129,-40.29919040761888,0,0,600,3.491391181945801
130,384.6277146548964,1,0,145,11.508428573608398
131,399.29621062934166,1,0,125,13.80339241027832
132,-8.767194184474647,0,0,600,0.6842176914215088
