episode,return,success,collision,steps,path_length
0,398.2321294450667,1,0,83,11.296173095703125
1,387.68340796697885,1,0,69,7.673669338226318
2,411.0039582978934,1,0,106,14.390362739562988
3,375.74591761734337,1,0,69,5.711493015289307
4,398.4513085177168,1,0,105,12.122709274291992
5,390.9804871529341,1,0,80,8.44558334350586
6,384.26317577715963,1,0,102,10.058305740356445
7,391.6760576646775,1,0,111,8.743647575378418
8,421.22584822773933,1,0,103,13.486337661743164
9,407.71985006146133,1,0,92,12.051634788513184
10,390.59618050046265,1,0,76,6.7527971267700195
11,367.7233017841354,1,0,80,7.652148246765137
12,-103.0685471277684,0,1,20,1.0934783220291138
13,384.2531185261905,1,0,55,6.136173725128174
14,409.3332708850503,1,0,86,10.204178810119629
15,427.3898225557059,1,0,141,18.001394271850586
16,392.1002514157444,1,0,70,8.566801071166992
17,380.0563352908939,1,0,57,5.486647605895996
18,423.99997428338975,1,0,212,23.026493072509766
19,410.1911824569106,1,0,83,11.601251602172852
20,373.8026992045343,1,0,55,5.062193393707275
21,425.7201988347806,1,0,123,17.736083984375
22,392.10569222457707,1,0,94,9.860220909118652
23,377.44770266488194,1,0,73,5.590954780578613
24,389.50702173635364,1,0,57,7.714417934417725
25,382.7275429032743,1,0,63,6.728255271911621
26,391.5669120363891,1,0,70,8.721285820007324
27,387.117035375908,1,0,74,7.656863689422607
28,381.03799294075,1,0,136,10.415643692016602
29,387.3563667857088,1,0,80,8.746747016906738
30,-115.58980074652936,0,1,41,4.07393741607666
31,383.8591151125729,1,0,63,6.899054050445557
32,394.3142151889042,1,0,251,13.88096809387207
33,-78.8876081610797,0,1,169,14.96198844909668
34,387.2151415012777,1,0,105,9.0416898727417
35,389.52801900496706,1,0,102,10.486503601074219
36,382.7153845545254,1,0,282,21.328548431396484
37,388.724639238324,1,0,64,7.54231595993042
38,-120.67311667278409,0,1,21,1.3064838647842407
39,377.04695664998144,1,0,97,9.02741527557373
40,380.98621966224164,1,0,102,8.8891019821167
41,383.6653178781271,1,0,84,7.496355056762695
42,-121.69505673181266,0,1,38,1.3724395036697388
43,7.687588258922915,0,0,600,2.3104753494262695
44,3.120255332905799,0,0,600,4.667189121246338
45,418.0733288852498,1,0,179,16.323787689208984
46,377.500614839606,1,0,67,7.71120548248291
47,402.92847914481536,1,0,86,10.991063117980957
48,395.5852426022175,1,0,73,9.904617309570312
49,385.1267896522768,1,0,93,9.179530143737793
50,-7.858185522942222,0,0,600,3.8485870361328125
51,-0.42387733186478727,0,0,600,5.830512046813965
52,390.68640891928226,1,0,98,10.194497108459473
53,-94.37937895208597,0,1,91,7.987697601318359
54,368.70795626053587,1,0,82,7.789254188537598
55,416.3531989622861,1,0,184,25.352598190307617
56,389.8210308998823,1,0,52,4.684479236602783
57,390.4850249439478,1,0,65,7.342761516571045
58,383.389159148559,1,0,56,5.962070465087891
59,-8.263944787035143,0,0,600,6.820270538330078
60,418.59627660084516,1,0,92,13.985747337341309
61,13.683215571567416,0,0,600,10.3588285446167
62,416.99972180463374,1,0,90,14.190056800842285
63,401.49921122787964,1,0,140,12.71670913696289
64,377.39457633532584,1,0,63,5.800034999847412
65,385.25674039311707,1,0,59,7.290182590484619
66,437.30001484882087,1,0,99,14.57318115234375
67,402.5194976381026,1,0,151,18.52425765991211
68,398.781594815664,1,0,99,11.277496337890625
69,396.0481587089598,1,0,80,10.586352348327637
70,400.5294907912612,1,0,67,9.00428295135498
71,396.0052361767739,1,0,73,9.574868202209473
72,5.357812035479583,0,0,600,5.243180274963379
73,390.4202249292284,1,0,74,8.960855484008789
74,386.3968128114939,1,0,65,6.871370315551758
75,379.8169960156083,1,0,58,7.207898139953613
76,386.17875204235315,1,0,67,7.601186275482178
77,381.4350672699511,1,0,72,7.928645610809326
78,409.58348768146243,1,0,164,15.537103652954102
79,-8.858557850689976,0,0,600,2.884336471557617
80,398.710082616657,1,0,162,18.40182113647461
81,367.07643591426313,1,0,58,5.769905090332031
82,400.8149864971638,1,0,66,8.56152057647705
83,388.35955285280943,1,0,84,8.378546714782715
84,392.8818175693741,1,0,75,9.273091316223145
85,-8.073721771272176,0,0,600,2.1646969318389893
86,-102.72374034312088,0,1,61,6.5639424324035645
87,388.885993629694,1,0,64,6.8412184715271
88,406.70494242059067,1,0,108,12.762616157531738
89,401.6421401752159,1,0,101,12.594411849975586
90,380.0671945135109,1,0,103,10.80901050567627
91,-93.57327571162023,0,1,99,8.769671440124512
92,399.3346152799204,1,0,77,10.603201866149902
93,373.7917573216837,1,0,57,6.4692912101745605
94,405.5065312990919,1,0,184,18.542863845825195
95,395.63472695928067,1,0,163,13.658449172973633
96,382.98993630567566,1,0,115,10.627588272094727
97,412.5536418762058,1,0,131,14.002389907836914
98,377.3082859907299,1,0,60,4.585936069488525
99,413.5764777569566,1,0,180,18.74505615234375
100,-0.8972812441497808,0,0,600,5.612326622009277
101,-115.64928818307817,0,1,34,2.954657554626465
102,398.1866567656398,1,0,121,10.70544719696045
103,419.5962915974669,1,0,100,14.73217487335205
104,369.958086495928,1,0,178,11.546150207519531
105,377.1454690271057,1,0,54,5.637307643890381
106,373.6805655614007,1,0,68,7.469541549682617
107,389.2077415883541,1,0,68,7.3751959800720215
108,371.68088831938803,1,0,57,4.748599529266357
109,406.4506793715991,1,0,93,12.177041053771973
110,374.80918890982866,1,0,63,6.049231052398682
111,398.09492805507034,1,0,84,10.070034980773926
112,391.73200994729996,1,0,72,9.602018356323242
113,406.138551119715,1,0,120,12.789464950561523
114,404.7725507328287,1,0,83,11.236739158630371
115,401.306098884088,1,0,86,11.568985939025879
116,5.648126800704631,0,0,600,3.0654635429382324
117,387.48989131115377,1,0,170,11.813591003417969
118,0.9665184253826737,0,0,600,1.9452263116836548
119,417.91632802411914,1,0,91,14.503110885620117
120,410.89231817796826,1,0,79,10.021754264831543
121,408.79048734530807,1,0,101,11.934648513793945
122,379.7379082965199,1,0,141,13.29727840423584
123,376.76562059670687,1,0,58,5.441984176635742
124,397.4893794860691,1,0,91,10.10578727722168
125,-102.68618635833263,0,1,9,0.2179548144340515
126,403.35451729773195,1,0,125,13.221366882324219
127,421.5379319190979,1,0,205,18.825586318969727
128,388.59039640799165,1,0,93,9.805585861206055
129,-7.506285281015153,0,0,600,5.8630266189575195
130,383.8493055952713,1,0,200,11.661191940307617
131,400.70113786101865,1,0,175,13.601914405822754
132,-5.445430889725685,0,0,600,0.5039173364639282
133,393.6487943059765,1,0,99,11.432479858398438
134,405.67034870316274,1,0,91,11.886343955993652
135,2.449849874985375,0,0,600,5.565650939941406
136,413.02916365116835,1,0,90,13.71396255493164
137,-72.73946688423166,0,1,405,19.181682586669922
138,409.82857625186443,1,0,103,13.929176330566406
139,415.58410225016996,1,0,141,12.947349548339844
140,394.09947756305337,1,0,68,8.991302490234375
141,-118.34126413892955,0,1,69,3.0875022411346436
142,-3.4971755701408256,0,0,600,10.343737602233887
143,430.0879456689581,1,0,150,18.136322021484375
144,4.840271471788583,0,0,600,2.0486276149749756
145,393.43879423011094,1,0,121,13.186615943908691
146,413.98103887122124,1,0,154,15.855965614318848
147,418.58690486103296,1,0,364,25.694425582885742
148,407.094050061889,1,0,93,13.398906707763672
149,420.7314308597706,1,0,111,15.840506553649902
150,383.4643287070794,1,0,84,8.538398742675781
151,367.29079124424607,1,0,51,5.125367641448975
152,382.9501961134374,1,0,60,7.2088942527771
153,386.5171511825174,1,0,61,7.4761457443237305
154,383.9510149778798,1,0,63,6.929673194885254
155,402.4489533640444,1,0,80,10.508975982666016
156,373.6309749492211,1,0,265,12.215154647827148
157,394.89374098880216,1,0,189,13.538680076599121
158,396.22592260688543,1,0,85,7.027536392211914
159,8.264593678992242,0,0,600,5.500984191894531
160,405.590824222425,1,0,93,12.838372230529785
161,406.09282158565475,1,0,153,13.341995239257812
162,-95.18997391778976,0,1,62,7.2051262855529785
163,404.1811035759747,1,0,79,11.446606636047363
164,412.6229339125566,1,0,93,10.798626899719238
165,-7.562379710426285,0,0,600,4.165338516235352
166,-90.66314319951925,0,1,253,14.505507469177246
167,374.92145810090005,1,0,66,8.64842414855957
168,-98.53703669272363,0,1,52,6.982789516448975
169,-5.85410412012061,0,0,600,3.108902931213379
170,405.61803152645007,1,0,84,11.78959846496582
171,426.85746368952096,1,0,103,16.42194366455078
172,409.51010069437325,1,0,88,12.820547103881836
173,-101.84275855254964,0,1,199,8.604710578918457
174,373.31779728177935,1,0,74,5.047182083129883
175,392.70536191016436,1,0,143,9.25090217590332
176,402.73422060499433,1,0,86,11.662261009216309
177,397.8770059943199,1,0,96,12.314438819885254
178,391.9460696534952,1,0,72,8.878484725952148
179,373.6268826480955,1,0,77,6.881293773651123
180,402.5851605888456,1,0,93,12.703927040100098
181,381.8868003273383,1,0,69,7.430873394012451
182,392.21477504540235,1,0,97,10.323190689086914
183,-98.98095612460747,0,1,68,7.272197246551514
184,396.46282751020044,1,0,82,9.446357727050781
185,19.571710291522322,0,0,600,9.874256134033203
186,379.9569453583099,1,0,76,8.108222961425781
187,377.8325855601579,1,0,49,4.970710754394531
188,408.6748176307883,1,0,144,16.557113647460938
