timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,146,148.41747571706196,220.18292203412696,0.44,0.28,240.42,11.53693099975586
20000,93,132.03798355729552,222.4148364949821,0.4,0.3,255.18,12.940348186492919
30000,84,186.7871571579235,210.3192915501312,0.5,0.16,272.22,11.77672424197197
40000,78,256.78402760697276,204.1864963934242,0.68,0.14,204.5,10.341128942966462
50000,83,225.70006793174045,201.49256413220317,0.58,0.1,276.28,11.265251331329345
60000,82,245.98371452293821,200.31012621755417,0.64,0.1,234.04,10.516144624352455
70000,80,224.07590142769277,221.4250090492816,0.62,0.18,205.02,9.917749435901642
80000,78,202.78575252636452,209.37989332057427,0.54,0.1,279.92,10.035922565460204
90000,83,218.74800792781184,209.29938414583748,0.58,0.1,261.48,9.71755248144269
100000,87,271.7929365026747,196.81304819392065,0.7,0.1,215.56,11.419014746546745
110000,91,315.2167046587008,165.04688251182813,0.8,0.02,214.32,11.047319614887238
120000,95,309.81355475528244,170.65872621734715,0.8,0.06,170.22,10.321439905166626
130000,98,307.04414969739815,177.54017765791184,0.8,0.08,166.48,9.740727677345276
140000,101,258.51320916336584,202.16495235333107,0.66,0.1,226.2,10.450778827667236
150000,104,325.5760453769359,158.72008087835675,0.82,0.04,188.82,11.227098531723023
160000,107,252.44462478379725,207.0188206605843,0.68,0.12,215.56,9.115993540287018
170000,109,239.07856551726448,211.72478449163876,0.64,0.16,213.46,10.831466449126602
180000,111,255.4962404330718,195.11107685572105,0.64,0.04,283.68,12.518112411499024
190000,113,288.41767733133844,180.1167795147122,0.74,0.06,196.1,9.968280837535858
200000,115,339.0453671159288,135.60575846672273,0.86,0.02,181.86,11.493099374771118
210000,117,204.91203028240972,207.06271781422,0.54,0.1,301.58,9.47083478808403
220000,119,245.64971697056208,189.71200337892964,0.62,0.02,283.1,9.00457848072052
230000,120,308.50320341387976,177.33121366239303,0.8,0.08,167.9,11.059611086249351
240000,122,308.315125621042,172.70112535468172,0.78,0.06,193.66,10.996656045913696
250000,123,256.2418442846905,206.53103556990976,0.68,0.14,210.8,10.098950333595276
260000,125,307.02834047713054,163.9042135930218,0.78,0.04,206.34,10.355817775726319
270000,126,312.9068575131669,168.7138528376309,0.8,0.06,181.04,10.513355493545532
280000,127,284.59694274339887,181.91959027042788,0.72,0.04,231.5,10.772500078678132
290000,128,253.00418799492218,206.7347699223005,0.66,0.1,233.82,10.080589280128478
300000,129,251.48599523117812,189.26207947223585,0.64,0.04,269.1,10.437440378665924
310000,131,351.17924373181944,128.0613537043683,0.88,0.0,167.62,10.940295337438583
320000,132,295.94248175826414,175.4294340897697,0.76,0.04,206.52,9.734886019229888
330000,132,259.7069957485378,192.4301480135517,0.66,0.02,260.02,10.087587752342223
340000,133,285.47100388933444,189.22991122963626,0.74,0.08,195.6,9.54360517024994
350000,134,295.0034781453238,179.36611475912042,0.74,0.04,218.68,10.84853705048561
360000,135,276.0911118571354,193.8322197913202,0.72,0.08,207.54,9.615131769180298
370000,136,276.3401259390967,188.62090405396987,0.7,0.04,236.8,10.435780790448188
380000,137,284.60467061757794,188.45969257664586,0.74,0.1,175.82,9.22914562255144
390000,137,323.19934350931436,167.59100323109297,0.84,0.08,143.32,9.929124588966369
400000,138,348.9726464823973,125.159775851515,0.88,0.0,159.1,10.150678634643555
410000,139,278.37811718147185,183.96968952725084,0.72,0.08,199.5,10.169482831954957
420000,139,324.8374118484594,168.83263759064866,0.84,0.08,139.24,9.460116267204285
430000,140,333.7391636986649,155.7582638953411,0.86,0.06,140.92,10.420253200531006
440000,141,280.4857575410371,182.45373177376288,0.72,0.04,224.36,9.549791097640991
450000,141,314.83524071491956,167.13647349528765,0.82,0.08,139.32,9.711512956619263
460000,142,313.6952120669214,170.14452600382472,0.82,0.08,152.88,9.680204429626464
470000,143,324.3815408167222,151.89005389794687,0.82,0.0,201.76,10.66864119231701
480000,143,332.85053611701755,149.5197454635283,0.84,0.02,172.58,10.79126029253006
490000,144,301.48245703869253,173.95261909205428,0.78,0.06,183.2,9.470646331310272
500000,144,285.5662641079066,194.09177834331368,0.76,0.14,146.22,9.933101320266724
