episode,return,success,collision,steps,path_length
0,398.7379772057757,1,0,86,10.597188949584961
1,387.32850683201104,1,0,60,7.7948384284973145
2,408.3185705584474,1,0,151,15.53345012664795
3,373.339107491076,1,0,55,5.399108409881592
4,398.72055843495764,1,0,97,11.220908164978027
5,390.8593293596059,1,0,62,8.490572929382324
6,386.93132365774363,1,0,68,7.884178638458252
7,18.540755432564765,0,0,600,12.038607597351074
8,421.3611046471633,1,0,101,13.96185302734375
9,407.45113245397806,1,0,93,12.111687660217285
10,390.9270449653268,1,0,54,6.8169264793396
11,375.1859300506767,1,0,72,8.03935432434082
12,417.4515724629164,1,0,101,13.373018264770508
13,385.24662701040506,1,0,58,6.286585807800293
14,408.26684918720275,1,0,124,11.764923095703125
15,427.34726074524224,1,0,138,18.457538604736328
16,391.950014423579,1,0,69,8.627877235412598
17,366.8946942407638,1,0,57,5.718388080596924
18,419.31931699591223,1,0,180,20.689668655395508
19,410.40240544080734,1,0,91,12.918883323669434
20,374.885815218091,1,0,49,4.798428535461426
21,424.09539842786035,1,0,115,17.21773338317871
22,389.9412943625357,1,0,97,10.629945755004883
23,9.715560186821676,0,0,600,7.49468994140625
24,389.68514619767666,1,0,62,7.907313346862793
25,382.6014282796532,1,0,59,6.6787333488464355
26,391.15442534256727,1,0,70,8.371851921081543
27,387.1332595711574,1,0,65,7.8913726806640625
28,-106.36551348399371,0,1,49,4.812979698181152
29,390.004335867241,1,0,79,9.546961784362793
30,387.14327761810273,1,0,100,10.749374389648438
31,383.83232850022614,1,0,59,6.962172985076904
32,395.98636507987976,1,0,131,14.197091102600098
33,-107.47697483748198,0,1,47,4.916542053222656
34,386.01426907628775,1,0,83,8.355884552001953
35,383.12670303322375,1,0,77,9.317340850830078
36,390.27876381389797,1,0,119,14.375871658325195
37,388.9645852567628,1,0,63,7.542836666107178
38,424.46063355356455,1,0,109,15.612605094909668
39,378.2805922611151,1,0,99,10.37886905670166
40,375.05239822808653,1,0,96,8.948026657104492
41,20.025622319546528,0,0,600,9.671091079711914
42,-9.0821212726878,0,0,600,1.0571870803833008
43,-101.35666102170944,0,1,4,0.06781245768070221
44,406.7364841904491,1,0,103,13.567435264587402
45,420.28125747543527,1,0,143,15.78676700592041
